id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,impMv,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,2390.224,Apple_Sherbet,R,26,139,-2.298,0.476,0.244,1.658,-36.479,2,0,29.26,-200,3.033,0,0,1,0,1,L,Kr_Luna,190,94.523,0.497,2,59,2391.096,147,10,91,34,14,186,139,117,-10.829,-42.264,0.88,0.037,-0.031,0.133,0,0.115,-36.933,0,HalF_HearteD,-0.103,-17.015,0,-Alta-,-20.668,-45.793,0,장덕춘_,-14.236,-64.16,0,오띵__,20.688,-45.706,0,muyang_,13.687,-63.66,0,AI,35.7,-81.8,0,Multeinn,5.617,-106.025,0,AI,-35.7,-81.8,0,2391.418,4.134,-24.057,2399.042,0,Apple_Sherbet,12.075,-36.624,1,0,0,0,0,0,0,2
2,1,1,0,0,0,0,0,1,0,0,1,255,255,1,2492.642,Apple_Sherbet,R,10,91,0.621,-1.164,0.398,1.642,-36.555,1,0,95.095,400,4.273,0,0,0,1,3,L,Pring__,179.5,95.172,0.482,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.353,-37.56,0,HalF_HearteD,0.245,-17.003,0,-Alta-,-20.219,-42.111,0,장덕춘_,-9.543,-62.945,0,오띵__,21.805,-47.136,0,muyang_,7.588,-60.596,0,AI,35.7,-81.8,0,Multeinn,9.256,-104.477,0,AI,-35.7,-81.8,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,1,0,0,1,0,0,1,255,255,2,2509.144,Apple_Sherbet,R,10,116,-0.742,-0.803,0.32,1.661,-36.575,2,0,64.387,400,-3.936,0,0,1,1,3,L,Pring__,179.5,95.172,0.482,3,79,2510.058,134,18,156,97,39,255,150,129,107.671,59.889,0.49,0.039,-0.072,0.147,0,-0.051,-36.961,0,HalF_HearteD,0.172,-17.157,0,-Alta-,-19.241,-44.636,0,장덕춘_,-11.242,-64.261,0,오띵__,21.737,-46.785,0,muyang_,11.281,-63.637,0,AI,35.7,-81.8,0,Multeinn,6.121,-107.191,0,AI,-35.7,-81.8,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,3
4,1,1,0,0,1,1,0,1,0,0,1,255,255,3,2527.057,Apple_Sherbet,R,26,131,0.301,1.216,0.386,1.739,-36.6,4,0,63.149,-200,7.586,0,0,1,1,3,L,Pring__,179.5,95.172,0.482,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.445,-37.47,0,HalF_HearteD,0.196,-17.013,0,-Alta-,-21.251,-44.408,0,장덕춘_,-11.298,-63.541,0,오띵__,21.37,-45.838,0,muyang_,10.459,-63.343,0,AI,35.7,-81.8,0,Multeinn,6.533,-107.146,0,AI,-35.7,-81.8,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
5,1,1,0,0,1,2,0,1,0,0,1,255,255,4,2560.776,Apple_Sherbet,R,10,102,0.026,-1.372,0.393,1.619,-36.51,4,0,0,400,6.361,-0.056,-17.913,1,1,3,L,Pring__,179.5,95.172,0.482,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.264,-37.531,0,HalF_HearteD,0.212,-16.975,0,-Alta-,-20.153,-42.568,0,장덕춘_,-9.963,-62.802,0,오띵__,21.507,-45.914,0,muyang_,5.975,-63.564,0,AI,35.7,-81.8,0,Multeinn,4.471,-103.195,0,AI,-35.7,-81.8,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
6,1,1,0,0,0,0,2,1,0,0,1,255,255,5,2595.447,Apple_Sherbet,R,26,138,-1.74,-0.52,0.283,1.578,-36.608,1,0,61.176,-200,8.459,0,0,0,3,2,R,하루（Haru）,190,94.522,0.55,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,-36.905,0,HalF_HearteD,-0.154,-17.114,0,-Alta-,-19.528,-42.762,0,장덕춘_,-13.569,-64.218,0,오띵__,21.265,-46.639,0,muyang_,4.565,-62.321,0,AI,35.7,-81.8,0,Multeinn,1.255,-104.274,0,AI,-35.7,-81.8,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
7,1,1,0,0,1,0,2,1,0,0,1,255,255,6,2716.951,Apple_Sherbet,R,32,140,1.544,-0.913,0.429,1.529,-36.447,2,0,250,-200,38.61,0,0,1,3,2,R,하루（Haru）,190,94.522,0.55,2,59,2717.798,120,14,138,33,3,236,146,73,-30,37.446,0.99,-0.05,-0.044,0.204,0,0.209,-36.832,0,HalF_HearteD,0.095,-16.965,0,-Alta-,-19.25,-45.068,0,장덕춘_,-14.43,-64.04,0,あいくんだよー『아이 군』,18.474,-45.558,0,muyang_,9.312,-60.581,0,AI,35.7,-81.8,0,Multeinn,1.077,-105.223,0,오띵__,-35.684,-83.473,0,2717.951,-0.345,-19.752,2719.873,2,-Alta-,-14.193,-43.069,0,0,0,0,0,0,0,2
8,1,0,0,0,0,0,0,0,0,0,255,255,255,0,2862.702,_Chun,L,3,120,-0.293,1.024,-0.206,1.65,-36.572,2,0,433.531,0,-4.753,0,0,1,0,8,R,오띵__,175.5,90,0.404,3,58,2863.602,69,22,73,97,58,73,120,106,-30,42.011,0.91,-0.041,-0.001,0.075,0,-0.07,-36.993,0,Kr_Luna,0.082,-17.295,0,하루（Haru）,-19.63,-47.038,0,Pring__,-13.266,-63.354,0,_이누_,21.008,-52.432,0,CVPileMaki,13.555,-64.926,0,Penguin_iDOL,39.269,-94.038,0,mungjungh,-1.422,-102.656,0,AI,-35.7,-81.8,0,2863.842,-1.929,-22.605,2865.436,2,하루（Haru）,-20.553,-43.203,0,0,0,0,0,0,0,2
9,1,0,0,0,0,0,1,0,0,0,255,255,255,1,2898.719,_Chun,L,0,89,0.511,2.83,-0.102,1.936,-36.948,1,0,0,0,-0.337,0,0,0,1,7,R,Multeinn,160,94.946,0.498,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077,-37.404,0,Kr_Luna,0.059,-17.243,0,하루（Haru）,-19.763,-45.507,0,Pring__,-13.726,-62.6,0,_이누_,19.602,-51.569,0,CVPileMaki,13.582,-64.755,0,Penguin_iDOL,37.185,-93.256,0,mungjungh,-5.462,-100.269,0,AI,-35.7,-81.8,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
10,1,0,0,0,1,0,1,0,0,0,255,255,255,2,2915.258,_Chun,L,28,135,1.635,1.383,0.043,1.716,-36.545,1,0,-44.422,-80.61,-2.491,0,0,0,1,7,R,Multeinn,160,94.946,0.498,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.008,-37.688,0,Kr_Luna,-0.006,-17.214,0,하루（Haru）,-20.545,-46.368,0,Pring__,-13.822,-62.447,0,_이누_,19.482,-51.441,0,CVPileMaki,13.6,-64.814,0,Penguin_iDOL,37.363,-93.38,0,mungjungh,-3.518,-102.614,0,AI,-35.7,-81.8,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
