id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1741.356,"-라후이-",R,26,87,140,-0.97,1.047,0.145,1.81,-0.261,2.044,-36.309,20.471,2,0,-146.964,-182.045,14.902,0,0,1,0,5,L,"わだ、、",175.1,85,0.53,3,54,1742.381,234,70,96,67,3,145,86,18.294,-2.06,-0.75,0,0.408,403.307,-231.602,373.134,0.036,-36.689,0,"DoYaGee",-0.222,-17.394,0,"Amellaid",-22.68,-47.764,0,"coder_",-9.599,-66.578,85,"_이누_",22.338,-48.831,0,"shimenawa",14.354,-63.819,0,"낑깡__",43.021,-94.461,0,"하루（Haru）",0.232,-111.18,68,"Dοpi",-41.557,-92.737,0,1743.032,4.687,-88.765,1743.832,7,"하루（Haru）",5.257,-93.482,1,0,,,,,261,2
2,1,1,0,0,0,0,0,1,0,0,5,255,255,1,1775.443,"-라후이-",R,27,84,137,1.382,0.944,0.301,1.642,0.694,2.026,-36.243,12.536,0,0,-88.776,-137.534,10.753,0,0,0,1,7,R,"Gonyong",174.9,80,0.2,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43,-38.321,0,"DoYaGee",0.041,-17.75,120,"Amellaid",-21.683,-45.175,0,"coder_",-12.085,-63.229,0,"_이누_",21.421,-49.591,0,"shimenawa",6.817,-62.188,0,"낑깡__",41.652,-98.866,0,"하루（Haru）",-0.046,-110.624,0,"Dοpi",-43.517,-89.767,0,0,0,0,0,0,"",0,0,0,0,1773.365,,,,0,0
3,1,1,0,0,0,1,0,1,0,0,5,255,255,2,1798.207,"-라후이-",R,26,75,127,1.002,0.989,0.3,1.736,0.694,1.97,-36.37,22.456,0,0,-177.499,-200,14.257,0,0,0,1,7,R,"Gonyong",174.9,80,0.2,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.128,-39.514,120,"DoYaGee",-0.732,-19.442,0,"Amellaid",-18.694,-41.082,81,"coder_",-11.815,-63.612,0,"_이누_",22.232,-50.167,0,"shimenawa",6.572,-61.664,0,"낑깡__",36.895,-100.166,0,"하루（Haru）",-0.09,-111.613,0,"Dοpi",-41.622,-94.788,0,0,0,0,0,0,"",0,0,0,0,1796.282,,,,0,0
4,1,1,0,0,0,2,0,1,0,0,5,255,255,3,1871.303,"-라후이-",R,39,57,100,-0.572,-0.51,0.202,1.551,-0.295,1.113,-36.599,29.758,2,0,18.673,-167.447,-5.417,0,0,1,1,7,R,"Gonyong",174.9,80,0.2,3,53,1872.53,159,112,101,84,82,145,96,64.248,45.539,-0.23,0,0.195,436.584,383.219,139.811,-0.07,-36.744,0,"DoYaGee",-0.291,-17.713,0,"Amellaid",-19.418,-42.146,0,"coder_",-12.863,-60.712,0,"_이누_",22.009,-50.07,0,"shimenawa",13.868,-63.56,0,"낑깡__",36.196,-101.067,0,"하루（Haru）",-0.384,-109.451,0,"Dοpi",-40.494,-95.542,0,1875.249,-49.238,-53.675,0,0,"",0,0,0,0,,,,,4,3
5,1,1,0,0,0,2,0,1,0,0,5,255,255,4,1899.547,"-라후이-",R,26,80,131,1.902,1.656,0.42,1.967,1.042,2.365,-36.431,36.79,2,0,-157.373,-188.383,-7.87,0,0,0,1,7,R,"Gonyong",174.9,80,0.2,3,48,1900.646,185,96,31,10,8,64,64,105.988,-69.244,0.81,0,0.215,-403.767,250.424,-364.364,0.369,-36.772,0,"DoYaGee",0.028,-17.333,0,"Amellaid",-18.931,-43.533,0,"coder_",-14.233,-62.376,0,"_이누_",21.873,-50.012,0,"shimenawa",12.619,-63.419,0,"낑깡__",39.91,-100.745,0,"하루（Haru）",0.16,-108.195,0,"Dοpi",-40.607,-93.569,0,0,0,0,0,0,"",0,0,0,0,,,,,132,3
6,1,1,0,0,0,2,0,1,0,0,5,255,255,5,1978.143,"-라후이-",R,10,87,132,-0.469,-0.647,0.139,1.674,-0.261,1.499,-36.357,15.397,2,0,38.07,259.428,23.302,0,0,1,1,7,R,"Gonyong",174.9,80,0.2,3,47,1979.212,250,129,145,79,6,145,93,94.849,-86.379,0.95,0.048,0.309,108.493,587.535,-6.398,0.034,-36.833,0,"DoYaGee",-0.255,-17.729,0,"Amellaid",-18.805,-42.231,0,"coder_",-13.797,-62.308,0,"_이누_",22.244,-49.848,0,"shimenawa",14.162,-63.371,0,"낑깡__",38.355,-104.18,0,"하루（Haru）",-0.127,-112.581,0,"Dοpi",-40.448,-94.093,0,0,0,0,0,0,"",0,0,0,0,,,,,4,3
7,1,1,0,0,0,2,0,1,0,0,5,255,255,6,1997.781,"-라후이-",R,26,90,140,1.234,0.564,0.272,1.654,0.544,1.75,-36.231,14.045,0,0,-11.051,-200,19.543,0,0,1,1,7,R,"Gonyong",174.9,80,0.2,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.293,-38.246,0,"DoYaGee",-0.381,-17.988,0,"Amellaid",-19.671,-43.572,0,"coder_",-14.909,-63.418,0,"_이누_",22.235,-49.757,0,"shimenawa",10.504,-64.535,0,"낑깡__",39.771,-103.031,0,"하루（Haru）",-0.164,-115.074,0,"Dοpi",-40.134,-90.325,0,0,0,0,0,0,"",0,0,0,0,1995.699,,,,0,0
8,1,1,0,0,0,0,1,1,0,0,5,255,255,7,2017.715,"-라후이-",R,27,91,140,-0.989,0.623,0.13,1.705,-0.325,1.892,-36.266,15.269,0,0,-97.885,-134.071,4.124,0,0,0,2,2,L,"-Alta-",190,88,0.479,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.038,-37.006,0,"DoYaGee",-1.085,-18.528,0,"Amellaid",-19.301,-42.721,0,"coder_",-6.489,-66.501,0,"_이누_",23.063,-49.983,0,"shimenawa",11.414,-64.765,0,"낑깡__",44.896,-99.275,0,"하루（Haru）",-0.083,-115.715,0,"Dοpi",-36.881,-94.056,0,0,0,0,0,0,"",0,0,0,0,2015.332,,,,0,0
9,1,1,0,0,0,1,1,1,0,0,5,255,255,8,2034.661,"-라후이-",R,27,91,140,-0.892,0.607,0.133,1.548,-0.225,1.888,-36.239,11.54,0,0,-128.864,-134.715,11.907,0,0,0,2,2,L,"-Alta-",190,88,0.479,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051,-36.915,0,"DoYaGee",-0.103,-17.33,0,"Amellaid",-19.549,-42.472,0,"coder_",-7.646,-66.451,0,"_이누_",22.819,-49.138,0,"shimenawa",10.745,-64.821,0,"낑깡__",44.918,-99.255,0,"하루（Haru）",0.196,-113.357,0,"Dοpi",-37.455,-94.683,0,0,0,0,0,0,"",0,0,0,0,2032.182,,,,0,0
10,1,1,0,0,0,2,1,1,0,0,5,255,255,9,2048.049,"-라후이-",R,26,87,140,-1.266,1.291,0.122,1.877,-0.314,2.252,-36.356,23.007,1,0,-181.426,-199.331,13.623,0,0,0,2,2,L,"-Alta-",190,88,0.479,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.091,-36.749,0,"DoYaGee",-0.774,-18.389,0,"Amellaid",-19.284,-42.858,0,"coder_",-5.39,-66.287,0,"_이누_",22.772,-50.131,0,"shimenawa",12.402,-64.224,0,"낑깡__",44.926,-99.195,0,"하루（Haru）",-0.151,-114.369,0,"Dοpi",-36.102,-89.424,0,0,0,0,0,0,"",0,0,0,0,2045.482,,,,0,0
