id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1164.879,"encounter v",R,26,89,140,0.567,0.734,0.577,2.29,-0.012,1.796,-36.821,48.079,0,0,175.468,-200,-12.941,0,0,0,0,3,R,"coder_",172.3,89.946,0.355,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,-37.399,0,"Pring__",0.022,-17.135,0,"소솨소솨",-19.197,-43.071,0,"Riyaj",-12.574,-62.975,0,"인생최패망자",19.404,-48.352,0,"白霜らいふ",10.916,-60.289,0,"SFIDA",39.833,-97.324,0,"아침땅_",-1.031,-98.815,0,"Roscosmos",-40.914,-90.888,0,0,0,0,0,0,"",0,0,0,0,1155.854,,,,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,1182.071,"encounter v",R,32,86,140,2.137,2.086,0.696,2.439,0.54,2.56,-37.166,71.519,4,0,250,-200,-16.59,0,0,1,0,3,R,"coder_",172.3,89.946,0.355,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.323,-37.295,0,"Pring__",0.005,-17.191,0,"소솨소솨",-19.569,-44.01,0,"Riyaj",-12.592,-62.999,0,"인생최패망자",19.963,-47.453,0,"白霜らいふ",11.882,-64.284,0,"SFIDA",38.463,-99.961,0,"아침땅_",-1.079,-99.295,0,"Roscosmos",-40.969,-90.938,0,0,0,0,0,0,"",0,0,0,0,1171.054,,,,0,0
3,1,1,0,0,0,2,0,0,0,0,255,255,255,2,1199.83,"encounter v",R,32,83,136,2.135,1.262,0.673,2.39,0.433,2.154,-37.036,66.528,4,0,250,-200,-11.508,-0.647,-20.368,1,0,3,R,"coder_",172.3,89.946,0.355,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352,-37.187,0,"Pring__",-0.335,-17.833,0,"소솨소솨",-19.519,-44.043,0,"Riyaj",-12.01,-63.43,0,"인생최패망자",21.041,-49.506,0,"白霜らいふ",11.991,-64.398,0,"SFIDA",37.628,-100.643,0,"아침땅_",-1.07,-99.131,0,"Roscosmos",-40.94,-90.912,0,0,0,0,0,0,"",0,0,0,0,1191.721,,,,0,0
4,1,1,0,0,0,0,1,0,0,0,255,255,255,3,1225.35,"encounter v",R,32,82,134,7.456,5.92,0.547,2.4,3.674,4.245,-37.227,75.036,1,0,241.812,-190.432,-2.908,4.353,-7.641,0,1,5,L,"shimenawa",175.1,95.82,0.2,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.277,-37.596,0,"Pring__",1.666,-15.795,0,"소솨소솨",-19.655,-44.589,0,"Riyaj",-7.655,-65.884,0,"인생최패망자",24.192,-50.021,0,"白霜らいふ",14.078,-63.621,0,"SFIDA",40.267,-97.092,0,"아침땅_",0.955,-104.303,0,"Roscosmos",-43.083,-96.478,0,0,0,0,0,0,"",0,0,0,0,1216.121,,,,0,0
5,1,1,0,0,1,0,1,0,0,0,255,255,255,4,1244.751,"encounter v",R,32,81,133,0.541,1.287,0.563,2.382,-0.081,2.116,-36.841,67.096,1,0,203.906,-200,-15.442,0,0,0,1,5,L,"shimenawa",175.1,95.82,0.2,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,-36.949,0,"Pring__",-0.051,-17.159,0,"소솨소솨",-19.748,-44.787,0,"Riyaj",-7.735,-66.995,0,"인생최패망자",24.102,-50.131,0,"白霜らいふ",14.072,-63.655,0,"SFIDA",38.824,-96.731,0,"아침땅_",0.969,-104.377,0,"Roscosmos",-43.196,-96.554,0,0,0,0,0,0,"",0,0,0,0,1232.871,,,,0,0
6,1,1,0,0,2,0,1,0,0,0,255,255,255,5,1259.546,"encounter v",R,13,67,110,-7.556,-1.03,0.459,2.051,-2.468,1.509,-37.349,101.54,1,0,-390.434,312.348,-8.79,-1.887,-17.339,0,1,5,L,"shimenawa",175.1,95.82,0.2,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296,-37.2,0,"Pring__",-1.008,-16.527,0,"소솨소솨",-19.773,-44.749,0,"Riyaj",-7.826,-67.004,0,"인생최패망자",24.074,-50.089,0,"白霜らいふ",13.688,-63.825,0,"SFIDA",37.926,-95.77,0,"아침땅_",0.2,-104.302,0,"Roscosmos",-43.359,-96.896,0,0,0,0,0,0,"",0,0,0,0,,,,,0,0
7,1,1,0,0,3,0,1,0,0,0,255,255,255,6,1279.516,"encounter v",R,26,67,121,1.89,0.979,0.693,2.324,0.527,1.913,-37.071,69.463,1,0,161.107,-198.892,-10.989,0,0,0,1,5,L,"shimenawa",175.1,95.82,0.2,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204,-37.168,0,"Pring__",-0.015,-16.936,0,"소솨소솨",-19.747,-44.751,0,"Riyaj",-8.076,-66.882,0,"인생최패망자",24.03,-50.037,0,"白霜らいふ",13.745,-63.775,0,"SFIDA",42.803,-100.213,0,"아침땅_",1.823,-104.734,0,"Roscosmos",-43.961,-96.68,0,0,0,0,0,0,"",0,0,0,0,1267.237,,,,0,5
8,1,1,0,0,0,0,1,1,0,0,5,255,255,7,1314.234,"encounter v",R,32,82,135,1.471,0.669,0.641,2.323,0.283,1.89,-36.884,69.51,0,0,220.816,-200,-21.877,-0.703,-20.547,0,2,0,R,"-라후이-",190,83,0.496,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212,-37.065,0,"Pring__",-0.292,-17.803,0,"소솨소솨",-19.098,-42.758,0,"Riyaj",-11.725,-64.022,0,"인생최패망자",23.366,-54.915,0,"白霜らいふ",10.223,-64.691,0,"SFIDA",35.259,-98.989,0,"아침땅_",-1.274,-105.465,0,"Roscosmos",-45.781,-97.202,0,0,0,0,0,0,"",0,0,0,0,1303.221,,,,0,0
9,1,1,0,0,0,1,1,1,0,0,5,255,255,8,1339.208,"encounter v",R,32,78,129,1.416,0.413,0.628,2.248,0.223,1.648,-36.902,69.194,0,0,250,-200,-41.051,0,0,0,2,0,R,"-라후이-",190,83,0.496,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188,-36.991,0,"Pring__",0.048,-17.091,0,"소솨소솨",-19.378,-40.753,0,"Riyaj",-11.706,-63.303,0,"인생최패망자",24.134,-53.828,0,"白霜らいふ",10.225,-64.679,0,"SFIDA",37.526,-103.006,0,"아침땅_",-2.015,-107.285,0,"Roscosmos",-46.041,-98.004,0,0,0,0,0,0,"",0,0,0,0,1325.071,,,,0,0
10,1,1,0,0,0,2,1,1,0,0,5,255,255,9,1354.561,"encounter v",R,13,63,94,-1.273,-2.225,0.595,1.881,0.048,0.857,-36.694,56.912,4,0,-268.884,388.58,-18.362,-0.274,-19.951,1,2,0,R,"-라후이-",190,83,0.496,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114,-37.013,0,"Pring__",-0.601,-19.806,0,"소솨소솨",-19.52,-40.337,0,"Riyaj",-9.497,-63.468,0,"인생최패망자",23.038,-52.065,0,"白霜らいふ",5.517,-63.256,0,"SFIDA",34.311,-99.315,0,"아침땅_",-3.916,-106.932,0,"Roscosmos",-45.789,-98.008,0,0,0,0,0,0,"",0,0,0,2,1339.821,1358.216,,,0,0
