id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1139.154,"Slaris",R,29,92,140,-1.339,-0.542,-0.421,1.754,-0.359,1.164,-36.213,23.208,0,0,-191.226,-124.333,5.936,0,0,0,0,1,L,"Sabo_10",184.6,88,0.452,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.077,-37.274,0,"Kenomo",-0.211,-17.712,0,"HalF_HearteD",-21.77,-47.142,0,"柴山犬吉",-13.551,-64.82,0,"Pugeuk",23.529,-51.281,0,"쟈가리코",15.347,-63.084,0,"「론구」",45.816,-97.28,0,"紅さかな",1.603,-115.882,0,"mungjungh",-41.103,-91.559,0,0,0,0,0,0,"",0,0,0,0,1140.016,,,,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,1154.995,"Slaris",R,26,91,140,2.769,0.458,0.173,1.779,1.141,1.718,-36.308,44.962,4,0,45.542,-194.694,5.994,0,0,1,0,1,L,"Sabo_10",184.6,88,0.452,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.059,-36.919,0,"Kenomo",0.118,-17.703,0,"HalF_HearteD",-21.738,-47.091,0,"柴山犬吉",-13.563,-64.838,0,"Pugeuk",24.294,-51.253,0,"쟈가리코",14.359,-63.941,0,"「론구」",44.418,-99.814,0,"紅さかな",1.309,-116.279,0,"mungjungh",-41.115,-91.599,0,0,0,0,0,0,"",0,0,0,0,1155.905,,,,0,0
3,1,1,0,0,0,2,0,0,0,0,255,255,255,2,1173.948,"Slaris",R,33,62,118,3.851,0.547,0.395,1.93,1.44,1.875,-36.974,89.852,4,0,122.738,-53.146,10.012,0,0,1,0,1,L,"Sabo_10",184.6,88,0.452,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,-36.944,0,"Kenomo",0.051,-17.476,0,"HalF_HearteD",-21.781,-47.026,0,"柴山犬吉",-13.635,-64.801,0,"Pugeuk",24.278,-51.231,0,"쟈가리코",14.367,-63.967,0,"「론구」",44.437,-99.79,0,"紅さかな",0.896,-116.917,0,"mungjungh",-41.1,-91.605,0,0,0,0,0,0,"",0,0,0,0,1174.905,,,,0,0
4,1,1,0,0,0,0,1,0,0,0,255,255,255,3,1235.833,"Slaris",R,3,76,115,-0.051,-0.448,0.176,1.822,0.612,1.541,-36.364,43.991,2,0,-448.813,220.379,-6.878,0,0,1,1,2,L,"_Chun",190,80,0.455,3,87,1236.807,255,156,89,110,64,145,119,-30,-42.839,0.81,0,0.504,503.317,128.127,-298.423,-0.167,-36.064,0,"Kenomo",-0.06,-17.769,0,"HalF_HearteD",-22.74,-48.003,0,"柴山犬吉",-13.649,-64.738,85,"Pugeuk",23.323,-52.039,0,"쟈가리코",13.978,-64.611,107,"「론구」",44.536,-99.962,106,"紅さかな",-0.447,-119.77,0,"mungjungh",-45.188,-96.972,0,1236.46,1.296,-22.075,1242.438,6,"「론구」",70.481,-93.3,1,0,,1246.909,,,201,2
5,1,1,0,0,0,0,1,0,1,0,255,2,255,4,1275.169,"Slaris",R,28,85,139,1.282,0.559,0.098,1.975,0.514,1.88,-36.577,51.903,2,0,34.863,-78.86,10.822,0,0,1,2,4,R,"559：広告",190,88.184,0.2,3,75,1276.183,255,82,87,94,41,145,90,48.69,-11.055,-0.85,0,0.434,423.021,-420.521,34.997,-0.298,-36.577,0,"Kenomo",0.044,-17.437,0,"HalF_HearteD",-22.972,-47.906,0,"柴山犬吉",-15.934,-63.386,0,"Pugeuk",19.813,-50.654,0,"쟈가리코",6.016,-63.015,89,"「론구」",46.104,-98.415,0,"紅さかな",-1.697,-118.764,0,"mungjungh",-46.348,-95.29,0,1281.594,18.368,-76.822,1281.794,5,"쟈가리코",17.833,-75.491,0,0,,1281.244,,,200,1
6,1,1,0,0,0,0,2,0,1,0,255,2,255,5,1310.743,"Slaris",R,13,77,116,-2.8,-0.869,-0.244,1.688,-0.661,1.377,-36.33,16.657,1,0,-388.808,314.37,0.907,0,0,0,3,0,R,"あおいぬ",190,90.486,0.43,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061,-37.479,0,"Kenomo",-0.584,-17.642,119,"HalF_HearteD",-21.637,-46.246,0,"柴山犬吉",-15.601,-63.38,0,"Pugeuk",19.757,-51.066,0,"쟈가리코",8.002,-65.669,0,"「론구」",46.376,-99.096,0,"紅さかな",-12.89,-121.102,0,"mungjungh",-45.129,-97.497,0,0,0,0,0,0,"",0,0,0,0,1311.794,1313.621,,,0,0
7,1,1,0,0,1,0,2,0,1,0,255,2,255,6,1328.765,"Slaris",R,27,88,140,-0.491,0.926,-0.182,1.897,-0.173,2.064,-36.367,34.189,0,0,-26.957,-145.485,15.317,0,0,1,3,0,R,"あおいぬ",190,90.486,0.43,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.011,-37.219,0,"Kenomo",-0.162,-17.466,0,"HalF_HearteD",-22.198,-46.834,0,"柴山犬吉",-15.637,-63.333,0,"Pugeuk",20.028,-51.066,0,"쟈가리코",8.329,-64.405,0,"「론구」",46.32,-99.084,0,"紅さかな",-12.541,-121.139,0,"mungjungh",-45.106,-97.475,0,0,0,0,0,0,"",0,0,0,0,1329.649,1331.66,,,0,0
8,1,1,0,0,1,1,2,0,1,0,255,2,255,7,1348.197,"Slaris",R,14,88,126,3.266,-0.706,-0.039,1.841,0.624,1.735,-36.347,30.822,4,0,371.207,334.971,17.856,0,0,1,3,0,R,"あおいぬ",190,90.486,0.43,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.254,-37.132,0,"Kenomo",-0.845,-17.891,0,"HalF_HearteD",-22.188,-46.79,0,"柴山犬吉",-15.585,-63.342,0,"Pugeuk",19.27,-51.683,0,"쟈가리코",8.841,-64.808,0,"「론구」",46.342,-99.079,0,"紅さかな",-13.269,-119.801,0,"mungjungh",-45.118,-97.48,0,0,0,0,0,0,"",0,0,0,0,1349.883,1351.226,,,0,0
9,1,1,0,0,1,2,2,0,1,0,255,2,255,8,1373.621,"Slaris",R,13,77,116,-0.339,-1.235,0.018,1.611,0.489,1.194,-36.204,16.329,4,0,-390.434,312.348,-11.662,-0.319,-18.841,1,3,0,R,"あおいぬ",190,90.486,0.43,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176,-37.117,0,"Kenomo",-0.336,-18.414,0,"HalF_HearteD",-21.647,-46.842,0,"柴山犬吉",-15.326,-63.451,0,"Pugeuk",18.979,-50.215,0,"쟈가리코",10.404,-65.592,0,"「론구」",46.331,-99.073,0,"紅さかな",-10.953,-119.633,0,"mungjungh",-45.122,-97.511,0,0,0,0,0,0,"",0,0,0,0,1375.883,,1379.796,,0,0
10,1,0,0,0,0,0,0,0,0,0,255,255,255,0,1533.748,"あおいぬ",R,27,83,136,1.419,0.381,0.547,1.618,0.454,1.708,-36.572,29.142,0,0,121.33,-121.634,0,0,0,1,0,6,R,"「론구」",175,80,0.2,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.178,-37.889,0,"Sabo_10",0.113,-17.942,0,"_Chun",-21.438,-49.251,0,"Ayu_Yua",-14.733,-62.713,0,"559：広告",21.87,-47.613,0,"즉석카레",13.846,-64.313,0,"장덕춘_",40.032,-93.307,0,"ディシジョン",-8.507,-116.163,0,"ʚmingɞ",-46.518,-88.31,0,0,0,0,0,0,"",0,0,0,0,1534.76,,,,0,0
