id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1484.005,"하루（Haru）",R,28,85,139,-1.28,-1.614,0.062,1.445,-0.652,0.581,-36.215,17.352,1,0,83.297,-97.347,5.813,0,0,0,0,5,R,"Mr․D VRC",174.8,89.669,0.464,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.273,-37.061,0,"-라후이-",-0.106,-17.605,0,"Amellaid",-21.116,-46.926,0,"coder_",-12.355,-64.905,0,"_이누_",21.79,-47.701,0,"shimenawa",14.68,-64.315,0,"낑깡__",39.952,-91.438,0,"あいくんだよー『아이 군』",-0.879,-108.614,0,"Dοpi",-42.11,-89.713,0,0,0,0,0,0,"",0,0,0,0,1485.155,,,,0,0
2,1,1,0,0,1,0,0,0,0,0,255,255,255,1,1504.751,"하루（Haru）",R,28,84,137,-0.002,-0.561,0.177,1.617,-0.116,1.186,-36.25,23.211,0,0,82.197,-96.53,7.278,0,0,0,0,5,R,"Mr․D VRC",174.8,89.669,0.464,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.127,-37.171,0,"-라후이-",-0.098,-17.535,0,"Amellaid",-21.1,-46.904,0,"coder_",-11.875,-67.854,0,"_이누_",21.761,-47.76,0,"shimenawa",13.807,-64.554,0,"낑깡__",38.752,-90.685,0,"あいくんだよー『아이 군』",-0.365,-109.335,0,"Dοpi",-42.555,-88.886,0,0,0,0,0,0,"",0,0,0,0,1505.955,,,,0,0
3,1,1,0,0,1,1,0,0,0,0,255,255,255,2,1520.091,"하루（Haru）",R,27,77,128,3.281,1.753,0.485,1.99,1.317,2.498,-36.588,53.185,2,0,62.888,-105.01,5.188,0,0,0,0,5,R,"Mr․D VRC",174.8,89.669,0.464,3,151,1521.247,12,14,18,7,7,3,42,-36.459,44.457,-0.84,0,0.072,426.409,327.803,263.101,-0.314,-36.799,0,"-라후이-",0.176,-17.739,0,"Amellaid",-20.995,-46.805,73,"coder_",-11.724,-65.328,0,"_이누_",22.134,-48.464,0,"shimenawa",15.068,-64.098,0,"낑깡__",38.741,-91.54,0,"あいくんだよー『아이 군』",-0.301,-109.334,0,"Dοpi",-41.124,-87.739,0,1521.238,-0.997,-20.221,1524.555,2,"Amellaid",-16.505,-34.557,0,0,,,,,64,2
4,1,1,0,0,1,2,0,0,0,0,255,255,255,3,1543.449,"하루（Haru）",R,0,65,105,-0.465,-0.656,0.15,1.574,-0.161,1.241,-36.527,32.302,0,0,-23.763,0,13.003,0,0,1,0,5,R,"Mr․D VRC",174.8,89.669,0.464,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.306,-37.178,0,"-라후이-",-0.045,-17.562,120,"Amellaid",-21.773,-46.393,0,"coder_",-12.864,-64.598,0,"_이누_",20.205,-48.699,0,"shimenawa",11.582,-64.804,0,"낑깡__",37.18,-90.224,0,"あいくんだよー『아이 군』",-0.25,-109.316,0,"Dοpi",-41.53,-88.618,0,0,0,0,0,0,"",0,0,0,0,1544.821,,,,0,0
5,1,1,0,0,0,0,1,0,0,0,255,255,255,4,1568.148,"하루（Haru）",R,28,83,136,2.223,-0.293,0.387,1.668,0.861,1.34,-36.415,41.924,1,0,81.078,-92.305,3.541,0,0,0,1,3,L,"ʚEveɞ",160,94.704,0.452,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166,-37.268,0,"-라후이-",0.099,-17.38,0,"Amellaid",-21.524,-46.411,0,"coder_",-7.095,-68.572,0,"_이누_",21.543,-46.848,0,"shimenawa",14.672,-64.204,0,"낑깡__",37.213,-90.262,0,"あいくんだよー『아이 군』",4.087,-110.642,0,"Dοpi",-40.102,-92.611,0,0,0,0,0,0,"",0,0,0,0,1569.205,,,,0,0
6,1,1,0,0,1,0,1,0,0,0,255,255,255,5,1582.001,"하루（Haru）",R,33,86,140,-0.72,-2.97,0.097,1.475,-0.49,0.596,-36.32,21.628,2,0,120.815,-100.436,3.852,0,0,1,1,3,L,"ʚEveɞ",160,94.704,0.452,3,148,1582.895,181,165,87,56,27,145,122,-16.757,25.728,0.53,0,0.336,-510.46,142.915,201.297,-0.413,-36.753,0,"-라후이-",0.111,-17.642,0,"Amellaid",-21.438,-46.245,0,"coder_",-7.863,-64.765,0,"_이누_",22.197,-48.104,0,"shimenawa",15.534,-63.898,62,"낑깡__",39.747,-90.977,0,"あいくんだよー『아이 군』",0.45,-107.258,0,"Dοpi",-40.085,-92.576,95,1582.655,-0.189,-20.603,1585.821,8,"Dοpi",-26.578,-87.449,1,0,,,,,160,2
7,1,1,0,0,0,0,1,1,0,0,3,255,255,6,1613.026,"하루（Haru）",R,4,76,124,-1.088,-1.124,0.143,1.539,-0.277,0.931,-36.316,30.947,2,0,-154.144,0,8.989,0,0,1,2,8,R,"ByeolBam",180,90,0.5,3,147,1613.993,237,107,140,92,45,145,129,5.687,18.423,0.55,0,0.07,9.473,553.922,-47.835,-0.51,-36.747,0,"-라후이-",-0.4,-17.95,0,"Amellaid",-18.506,-42.914,0,"coder_",-12.669,-65.198,103,"_이누_",22.659,-49.296,0,"shimenawa",15.328,-63.432,0,"낑깡__",35.993,-94.504,0,"あいくんだよー『아이 군』",-1.49,-118.019,0,"Dοpi",-43.179,-89.948,0,0,0,0,1615.555,3,"coder_",-16.607,-61.807,0,2,1663.855,,,,337,1
8,1,0,0,0,0,0,0,0,0,0,255,255,255,0,1805.075,"Ainy4／あいにゃ",R,28,90,140,0.329,0.38,0.01,1.777,0.045,1.739,-36.931,7.185,0,0,69.408,-69.759,-3.717,0,0,0,0,3,R,"coder_",169.9,88.456,0.282,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02,-38.373,0,"_AKASATA_",0.046,-17.254,0,"Rite_",-22.756,-51.379,0,"ʚEveɞ",-13.59,-64.795,0,"눈꽃",18.727,-46.318,0,"Mr․D VRC",10.707,-66.298,0,"magimari",40.538,-90.705,0,"˗ˋˏ 카피 ˎˊ˗",0.207,-103.77,0,"ByeolBam",-43.698,-94.69,0,0,0,0,0,0,"",0,0,0,0,1805.955,,,,0,0
9,1,0,0,0,0,1,0,0,0,0,255,255,255,1,1824.393,"Ainy4／あいにゃ",R,6,69,100,1.067,0.185,-0.088,1.917,-0.409,1.707,-37.123,19.8,2,0,385.9,-0.98,24.08,0,0,1,0,3,R,"coder_",169.9,88.456,0.282,3,51,1825.612,157,86,141,77,53,145,99,28.227,-0.154,0.01,0,0.409,362.494,141.582,454.047,0.003,-37.71,0,"_AKASATA_",0.224,-17.297,0,"Rite_",-22.797,-51.329,84,"ʚEveɞ",-13.413,-64.791,0,"눈꽃",18.871,-46.231,0,"Mr․D VRC",10.713,-66.248,0,"magimari",40.879,-89.79,0,"˗ˋˏ 카피 ˎˊ˗",0.178,-103.795,85,"ByeolBam",-43.698,-94.671,0,0,0,0,1829.921,7,"˗ˋˏ 카피 ˎˊ˗",-4.062,-102.045,0,0,,,,,208,1
10,1,0,0,0,0,0,1,0,0,0,255,255,255,2,1852.971,"Ainy4／あいにゃ",R,27,88,140,0.048,0.176,-0.019,1.737,-0.088,1.595,-36.971,2.914,2,0,86.9,-109.413,-3.559,0,0,1,1,6,R,"낑깡__",175.1,80,0.402,3,142,1853.865,204,94,125,98,23,145,127,109.027,-22.663,0.39,0,0.34,291.207,-297.134,291.371,-0.007,-37.387,0,"_AKASATA_",0.198,-17.404,0,"Rite_",-24.074,-52.778,0,"ʚEveɞ",-13.956,-64.429,0,"눈꽃",17.889,-47.488,0,"Mr․D VRC",9.874,-66.538,0,"magimari",38.574,-89.306,0,"˗ˋˏ 카피 ˎˊ˗",-2.476,-103.997,0,"ByeolBam",-45.824,-96.045,0,0,0,0,0,0,"",0,0,0,0,,,,,16,3
