id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1014.004,"Slaris",R,7,87,134,-0.257,0.308,-0.272,1.773,-0.398,1.757,-36.322,17.72,0,0,213.812,0,15.26,0,0,0,0,3,R,"coder_",163.9,82.449,0.35,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.343,-37.41,0,"Kenomo",-0.015,-17.844,0,"アリアル",-20.618,-46.101,0,"HalF_HearteD",-11.232,-61.382,0,"쟈가리코",22.045,-49.162,0,"Pugeuk",9.722,-61.061,0,"「론구」",38.459,-94.032,0,"紅さかな",0.437,-111.865,0,"mungjungh",-42.066,-90.543,0,0,0,0,0,0,"",0,0,0,0,1010.189,,,,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,1033.614,"Slaris",R,27,86,140,-0.162,0.532,-0.051,1.891,0.01,1.741,-36.41,33.479,2,0,-59.755,-133.573,13.119,0,0,1,0,3,R,"coder_",163.9,82.449,0.35,3,62,1034.676,166,48,125,49,31,145,83,6.353,15.72,-0.72,0,0.265,211.37,507.03,-238.839,-0.623,-36.404,0,"Kenomo",0.135,-17.72,0,"アリアル",-20.564,-46.14,85,"HalF_HearteD",-11.545,-62.58,0,"쟈가리코",22.159,-48.943,0,"Pugeuk",9.773,-61.055,0,"「론구」",38.591,-94.223,0,"紅さかな",0.527,-112.155,0,"mungjungh",-42.017,-90.494,0,1030.123,-10.989,-52.74,1030.523,3,"HalF_HearteD",-11.636,-54.732,0,1,,,,,296,2
3,1,1,0,0,0,0,1,0,0,0,255,255,255,2,1064.018,"Slaris",R,27,85,139,0.362,0.126,-0.102,1.766,0.101,1.55,-36.312,22.584,0,0,52.756,-131.909,7.478,0,0,0,1,6,R,"낑깡__",175.1,80,0.402,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.222,-36.616,0,"Kenomo",0.016,-17.709,120,"アリアル",-20.663,-45.968,0,"HalF_HearteD",-12.307,-62.737,0,"쟈가리코",22.088,-49.852,0,"Pugeuk",9.863,-61.855,0,"「론구」",39.813,-95.463,0,"紅さかな",0.262,-114.225,0,"mungjungh",-42.398,-91.818,0,0,0,0,0,0,"",0,0,0,0,1058.139,,,,0,0
4,1,1,0,0,0,1,1,0,0,0,255,255,255,3,1077.486,"Slaris",R,13,70,112,-3.562,-2.001,-0.158,1.804,-0.833,0.879,-36.422,25.584,1,0,-390.434,312.348,-31.8,-1.19,-18.449,0,1,6,R,"낑깡__",175.1,80,0.402,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.27,-37.006,0,"Kenomo",-1.158,-18.273,114,"アリアル",-20.74,-45.9,0,"HalF_HearteD",-12.584,-62.876,0,"쟈가리코",22.131,-49.892,0,"Pugeuk",9.963,-62.024,0,"「론구」",39.803,-95.447,0,"紅さかな",0.117,-114.189,0,"mungjungh",-42.496,-91.928,0,0,0,0,0,0,"",0,0,0,0,1073.24,,,,0,0
5,1,1,0,0,1,1,1,0,0,0,255,255,255,4,1093.503,"Slaris",R,26,94,140,-2.559,-0.406,-0.355,1.71,-0.971,1.179,-36.411,11.464,1,0,-100.57,-200,12.092,0,0,0,1,6,R,"낑깡__",175.1,80,0.402,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.312,-37.239,0,"Kenomo",-0.394,-17.945,120,"アリアル",-20.688,-45.882,0,"HalF_HearteD",-12.677,-62.87,0,"쟈가리코",22.081,-49.831,0,"Pugeuk",9.924,-62.004,0,"「론구」",39.663,-95.255,0,"紅さかな",-0.098,-114.231,0,"mungjungh",-44.855,-91.763,0,0,0,0,0,0,"",0,0,0,0,1087.623,,,,0,0
6,1,1,0,0,2,1,1,0,0,0,255,255,255,5,1106.745,"Slaris",R,27,78,129,1.115,0.296,0.157,2.032,0.465,1.644,-36.715,46.659,2,0,10.204,-107.192,14.186,0,0,1,1,6,R,"낑깡__",175.1,80,0.402,3,32,1107.685,246,130,188,108,47,145,106,93.708,-84.69,0.06,0.095,0.366,283.173,517.229,-99.466,-0.375,-36.31,0,"Kenomo",0.161,-17.741,0,"アリアル",-20.729,-45.917,0,"HalF_HearteD",-12.898,-62.946,0,"쟈가리코",22.009,-49.825,0,"Pugeuk",9.852,-61.887,0,"「론구」",39.767,-95.394,0,"紅さかな",0.422,-114.461,0,"mungjungh",-42.042,-91.274,0,0,0,0,0,0,"",0,0,0,0,,,,,8,3
7,1,1,0,0,2,2,1,0,0,0,255,255,255,6,1127.413,"Slaris",R,14,90,126,1.168,-0.958,-0.229,1.697,-0.051,1.39,-36.385,14.064,0,0,388.381,314.897,26.608,0,0,1,1,6,R,"낑깡__",175.1,80,0.402,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.227,-37.07,0,"Kenomo",0.192,-17.767,0,"アリアル",-20.441,-45.599,0,"HalF_HearteD",-13.058,-62.458,0,"쟈가리코",22.196,-50.495,0,"Pugeuk",9.884,-61.686,0,"「론구」",40.489,-94.803,0,"紅さかな",-0.754,-113.274,0,"mungjungh",-41.512,-91.806,0,0,0,0,0,0,"",0,0,0,0,1121.506,,,,0,0
8,1,1,0,0,0,0,2,0,0,0,255,255,255,7,1152.948,"Slaris",R,6,89,128,-1.343,0.032,-0.424,1.779,-1.03,1.622,-36.481,17.576,0,0,413.834,0,29.067,0,0,0,2,0,R,"-라후이-",190,80,0.496,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.313,-36.945,0,"Kenomo",-0.185,-17.931,0,"アリアル",-20.609,-45.896,0,"HalF_HearteD",-13.014,-63.182,0,"쟈가리코",22.734,-51.388,0,"Pugeuk",9.088,-65.129,0,"「론구」",45.285,-100.003,0,"紅さかな",-2.629,-116.38,0,"mungjungh",-44.682,-95.428,0,0,0,0,0,0,"",0,0,0,0,1146.573,,,,0,0
9,1,1,0,0,0,1,2,0,0,0,255,255,255,8,1167.598,"Slaris",R,33,90,140,1.53,0.331,0.091,1.866,0.495,1.722,-36.523,37.613,1,0,125.252,-102.991,9.421,0,0,0,2,0,R,"-라후이-",190,80,0.496,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.188,-36.816,0,"Kenomo",0.217,-17.733,0,"アリアル",-21.372,-45.876,0,"HalF_HearteD",-12.979,-63.195,0,"쟈가리코",22.656,-51.313,0,"Pugeuk",9.119,-65.093,0,"「론구」",45.318,-100.006,0,"紅さかな",-3.101,-116.394,0,"mungjungh",-44.662,-95.421,0,0,0,0,0,0,"",0,0,0,0,1161.156,,,,0,0
10,1,1,0,0,1,1,2,0,0,0,255,255,255,9,1182.475,"Slaris",R,6,93,128,-0.006,0.197,-0.239,1.895,-0.612,1.721,-36.536,21.146,0,0,414.479,0,25.572,0,0,0,2,0,R,"-라후이-",190,80,0.496,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.296,-37.045,0,"Kenomo",0.114,-17.808,0,"アリアル",-21.302,-45.847,0,"HalF_HearteD",-12.963,-63.131,0,"쟈가리코",23.085,-51.651,0,"Pugeuk",9.245,-65.2,0,"「론구」",45.28,-99.953,0,"紅さかな",-2.594,-116.38,0,"mungjungh",-44.688,-95.435,0,0,0,0,0,0,"",0,0,0,0,1176.056,,,,0,0
