id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1644.546,"눈꽃",R,0,93,140,1.335,-0.046,0.242,1.849,0.558,1.531,-36.64,13.585,49,51,0,0,0,12.187,-28.994,2.782,0,0,0,0,8,R,"Pizzallaris",167.4,85.912,0.402,0,136,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146,-37.425,0,"甲斐野柊太",0.204,-16.816,0,"SFIDA",-20.834,-43.737,0,"柴山犬吉",-17.032,-62.379,0,"Azuner",17.643,-50.471,0,"coder_",7.348,-65.957,0,"YukihiroD",37.28,-99.67,0,"Amellaid",-4.279,-111.581,0,"소솨소솨",-45.096,-92.263,0,0,0,0,0,0,"",0,0,0,0,1646.059,,,,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,1660.033,"눈꽃",R,28,87,140,0.788,0.638,0.255,1.938,0.264,1.871,-36.64,23.578,82,18,0,2,0,52.605,-67.664,4.865,0,0,1,0,8,R,"Pizzallaris",167.4,85.912,0.402,3,136,W,Y,1661.151,133,96,73,0,0,94,63,25.788,37.426,0.95,0,0.24,-380.587,-272.117,-39.134,0.025,-37.236,0,"甲斐野柊太",0.075,-16.856,0,"SFIDA",-20.731,-43.657,85,"柴山犬吉",-16.793,-62.743,0,"Azuner",17.672,-50.301,0,"coder_",9.726,-65.352,0,"YukihiroD",39.115,-98.948,0,"Amellaid",-7.212,-115.427,0,"소솨소솨",-45.262,-92.593,0,1663.905,-20.02,-46.728,1664.063,2,"SFIDA",-18.608,-44.544,0,0,,,,,36,1
3,1,1,0,0,0,0,1,0,0,0,255,255,255,2,1687.817,"눈꽃",R,28,93,140,-1.637,-0.465,-0.052,1.689,-0.803,1.24,-36.64,6.325,47,53,0,1,0,76.589,-91.741,7.937,0,0,0,1,3,L,"Pring__",175.7,87.36,0.485,0,135,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245,-37.53,0,"甲斐野柊太",-0.443,-16.955,0,"SFIDA",-19.721,-45.05,0,"柴山犬吉",-11.89,-65.588,0,"Azuner",25.105,-50.584,0,"coder_",14.464,-68.592,0,"YukihiroD",46.04,-93.345,0,"Amellaid",7.24,-117.861,0,"소솨소솨",-39.59,-95.867,0,0,0,0,0,0,"",0,0,0,0,1689.251,,,,0,0
4,1,1,0,0,1,0,1,0,0,0,255,255,255,3,1701.722,"눈꽃",R,27,89,140,-1.294,0.29,0.022,1.904,-0.678,1.661,-36.64,11.298,62,38,0,2,0,82.749,-105.095,9.148,0,0,1,1,3,L,"Pring__",175.7,87.36,0.485,3,135,W,Y,1702.56,255,130,145,85,51,145,87,29.515,33.302,-0.75,0,0.393,581.393,25.771,-65.255,0.136,-37.35,0,"甲斐野柊太",-0.244,-16.908,0,"SFIDA",-19.511,-45.095,0,"柴山犬吉",-11.99,-65.471,0,"Azuner",25.075,-50.547,0,"coder_",12.994,-66.711,0,"YukihiroD",45.978,-93.373,0,"Amellaid",7.225,-117.875,0,"소솨소솨",-41.57,-97.037,96,0,0,0,1708.026,8,"소솨소솨",-41.471,-81.342,0,0,,,,,12,1
5,1,1,0,0,0,0,2,0,0,0,255,255,255,4,1729.989,"눈꽃",R,27,89,140,-1.001,0.369,0.042,1.863,-0.569,1.725,-36.64,8.415,57,43,0,2,0,110.794,-124.792,9.458,0,0,1,2,9,L,"-Alta-",190,84,0.479,3,134,W,Y,1730.749,255,68,118,128,8,145,91,92.834,82.659,-0.8,0,0.504,256.586,-80.91,-6.762,0.208,-37.193,0,"甲斐野柊太",-0.181,-16.956,0,"SFIDA",-19.753,-44.541,0,"柴山犬吉",-12.205,-65.343,0,"Azuner",25.984,-51.575,0,"coder_",14.274,-66.465,0,"YukihiroD",41.814,-90.146,0,"Amellaid",12.756,-113.231,0,"소솨소솨",-42.714,-95.161,0,0,0,0,0,0,"",0,0,0,0,,,,,4,3
6,1,1,0,0,0,1,2,0,0,0,255,255,255,5,1749.844,"눈꽃",R,26,84,136,-0.513,1.211,0.085,2.006,-0.384,2.222,-36.64,18.951,83,17,0,2,0,111.389,-154.72,10.884,0,0,1,2,9,L,"-Alta-",190,84,0.479,3,57,W,Y,1750.65,255,142,109,89,16,145,111,95.018,84.955,0.89,0,0.613,103.37,207.289,-0.976,0.283,-37.193,0,"甲斐野柊太",-0.22,-16.898,0,"SFIDA",-20.044,-43.86,0,"柴山犬吉",-12.247,-65.364,0,"Azuner",25.961,-51.675,0,"coder_",13.636,-66.609,0,"YukihiroD",43.242,-89.184,0,"Amellaid",12.719,-113.676,0,"소솨소솨",-44.201,-93.017,0,0,0,0,0,0,"",0,0,0,0,,,,,4,3
7,1,1,0,0,0,2,2,0,0,0,255,255,255,6,1767.14,"눈꽃",R,27,97,140,-0.624,-0.548,0.015,1.624,-0.39,1.162,-36.64,10.227,51,49,0,0,0,85.688,-115.207,6.1,0,0,0,2,9,L,"-Alta-",190,84,0.479,0,58,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.432,-35.96,0,"甲斐野柊太",-0.027,-17.247,0,"SFIDA",-19.846,-41.106,0,"柴山犬吉",-12.208,-65.27,0,"Azuner",26.205,-51.591,0,"coder_",15.436,-68.624,0,"YukihiroD",44.269,-89.05,0,"Amellaid",9.266,-113.865,0,"소솨소솨",-42.832,-85.949,0,0,0,0,0,0,"",0,0,0,0,1768.438,,,,0,0
8,1,0,0,0,0,0,0,0,0,0,255,255,255,0,2019.76,"Pugeuk",R,29,86,139,0.436,1.164,0.312,1.692,0.523,2.168,-36.594,21.774,93,7,0,1,0,-250,-91.288,14.146,0,0,0,0,5,R,"coder_",170,80,0.299,0,128,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.324,-37.856,0,"HalF_HearteD",0.012,-16.854,0,"ame_3",-20.752,-44.468,0,"Pring__",-14.434,-58.839,0,"bdg06213",18.123,-46.923,0,"Rite_",9.564,-63.674,0,"alcohol500",33.907,-103.364,0,"紅さかな",-8.634,-116.744,0,"Pizzallaris",-44.092,-99.369,0,0,0,0,0,0,"",0,0,0,0,2021.334,,,,0,0
9,1,0,0,0,1,0,0,0,0,0,255,255,255,1,2036.648,"Pugeuk",R,29,83,134,1.916,-0.508,0.438,1.42,1.107,1.182,-36.594,27.598,52,48,0,1,0,-199.773,-135.599,15.994,0,0,0,0,5,R,"coder_",170,80,0.299,0,128,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.408,-37.476,0,"HalF_HearteD",0.02,-16.911,0,"ame_3",-20.768,-44.511,0,"Pring__",-14.381,-58.712,0,"bdg06213",18.14,-47.506,0,"Rite_",10.054,-63.992,0,"alcohol500",35.603,-102.945,0,"紅さかな",-7.429,-116.76,0,"Pizzallaris",-44.092,-99.361,0,0,0,0,0,0,"",0,0,0,0,2038.238,,,,0,0
10,1,0,0,0,2,0,0,0,0,0,255,255,255,2,2054.539,"Pugeuk",R,29,83,135,0.286,0.725,0.276,1.616,0.353,1.894,-36.594,20.772,55,45,0,0,0,-167.153,-116.485,5.428,0,0,1,0,5,R,"coder_",170,80,0.299,0,128,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.054,-37.727,0,"HalF_HearteD",-0.026,-16.951,0,"ame_3",-20.837,-44.553,0,"Pring__",-14.41,-58.726,0,"bdg06213",18.092,-47.674,0,"Rite_",10.068,-63.965,0,"alcohol500",34.137,-105.177,0,"紅さかな",-7.444,-116.72,0,"Pizzallaris",-44.089,-99.357,0,0,0,0,0,0,"",0,0,0,0,2056.172,,,,0,0
