id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1690.795,"siesta_aves",R,37,83,135,-0.931,0.467,0.356,0.942,-0.469,1.972,-36.339,24.158,4,53,43,0,0,44.271,97.938,0,0,0,0,0,7,R,"아침땅_",160,94.757,0.5,0,57,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109,-38.144,0,"P0TA0",0.226,-17.014,0,"ʚEveɞ",-22.075,-49.955,0,"白霜らいふ",-10.189,-62.422,0,"인생최패망자",19.361,-49.121,0,"ibqrqki",9.45,-61.739,0,"あおいぬ",37.558,-94.69,0,"sano jpn",-11.741,-108.592,0,"NABIMan",-46.107,-88.812,0,0,0,0,0,0,"",0,0,0,0,1692.002,,,,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,1709.426,"siesta_aves",R,36,77,128,1.324,-1.607,0.457,0.754,0.476,0.904,-36.339,49.032,5,17,78,1,0,59.334,105.353,0,0.209,-15.157,0,0,7,R,"아침땅_",160,94.757,0.5,0,57,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156,-38.134,0,"P0TA0",0.233,-17.061,0,"ʚEveɞ",-21.963,-50.041,0,"白霜らいふ",-10.661,-59.93,0,"인생최패망자",19.298,-48.708,0,"ibqrqki",9.785,-62.055,0,"あおいぬ",37.602,-94.664,0,"sano jpn",-17.91,-107.439,0,"NABIMan",-46.462,-89.794,0,0,0,0,0,0,"",0,0,0,0,1710.668,,,,0,0
3,1,1,0,0,1,1,0,0,0,0,255,255,255,2,1728.492,"siesta_aves",R,16,75,110,0.72,0.048,0.429,0.778,0.301,1.474,-36.339,34.815,2,11,86,0,0,0,-158.757,0,0,0,0,0,7,R,"아침땅_",160,94.757,0.5,0,57,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246,-38.293,0,"P0TA0",0.187,-17.102,0,"ʚEveɞ",-22.162,-50.182,0,"白霜らいふ",-10.564,-60.116,0,"인생최패망자",19.273,-48.658,0,"ibqrqki",9.265,-62.428,0,"あおいぬ",37.57,-94.624,0,"sano jpn",-7.8,-109.717,0,"NABIMan",-45.811,-89.697,0,0,0,0,0,0,"",0,0,0,0,1729.752,,,,0,0
4,1,1,0,0,1,2,0,0,0,0,255,255,255,3,1752.71,"siesta_aves",R,4,77,109,0.052,-1.339,0.628,0.706,0.44,0.939,-36.339,45.771,6,9,85,1,0,-241.371,0,0,0,0,0,0,7,R,"아침땅_",160,94.757,0.5,0,57,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172,-38.072,0,"P0TA0",-0.463,-17.088,0,"ʚEveɞ",-22.208,-50.541,0,"白霜らいふ",-10.673,-60.168,0,"인생최패망자",19.257,-48.64,0,"ibqrqki",9.281,-62.157,0,"あおいぬ",37.535,-94.593,0,"sano jpn",-13.818,-107.512,0,"NABIMan",-46.244,-90.063,0,0,0,0,0,0,"",0,0,0,0,1754.052,,,,0,0
5,1,1,0,0,2,2,0,0,0,0,255,255,255,4,1771.89,"siesta_aves",R,36,77,128,-0.987,1.162,0.277,1.127,-0.396,2.391,-36.339,7.953,0,52,48,0,0,-29.147,127.204,0,0,0,0,0,7,R,"아침땅_",160,94.757,0.5,0,57,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371,-38.222,0,"P0TA0",0.166,-17.015,0,"ʚEveɞ",-22.187,-50.528,0,"白霜らいふ",-10.47,-60.423,0,"인생최패망자",19.252,-48.639,0,"ibqrqki",9.642,-62.298,0,"あおいぬ",38.799,-91.359,0,"sano jpn",-6.313,-110.205,0,"NABIMan",-45.952,-90.768,0,0,0,0,0,0,"",0,0,0,0,1773.068,,,,0,0
6,1,1,0,0,0,0,1,0,0,0,255,255,255,5,1800.629,"siesta_aves",R,36,72,111,0.732,-1.468,0.512,0.554,0.378,0.858,-36.339,41.644,2,14,84,4,0,-50.269,117.581,0,0,0,1,1,2,R,"Floră",190,84.538,0.401,0,57,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071,-38.18,0,"P0TA0",0.227,-16.85,0,"ʚEveɞ",-22.265,-49.902,0,"白霜らいふ",-13.17,-64.696,0,"인생최패망자",22.224,-51.729,0,"ibqrqki",10.823,-65.763,0,"あおいぬ",42.164,-102.976,0,"sano jpn",-15.819,-115.769,0,"NABIMan",-50.76,-96.923,0,0,0,0,0,0,"",0,0,0,0,1801.968,,,,0,0
7,1,1,0,0,0,1,1,0,0,0,255,255,255,6,1817.653,"siesta_aves",R,3,59,92,0.567,-1.302,0.64,0.745,1.015,0.852,-36.339,46.706,0,30,70,1,0,-350.733,0,0,0,0,0,1,2,R,"Floră",190,84.538,0.401,0,57,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084,-37.95,0,"P0TA0",-0.418,-17.157,0,"ʚEveɞ",-22.074,-50.065,0,"白霜らいふ",-13.184,-64.648,0,"인생최패망자",22.034,-51.867,0,"ibqrqki",10.901,-65.353,0,"あおいぬ",39.232,-103.392,0,"sano jpn",-18.671,-116.263,0,"NABIMan",-50.771,-97.377,0,0,0,0,0,0,"",0,0,0,0,1819.118,,,,0,0
8,1,1,0,0,1,1,1,0,0,0,255,255,255,7,1836.289,"siesta_aves",R,36,75,126,-1.131,-0.691,0.31,0.848,-0.448,1.353,-36.339,32.018,2,9,89,2,0,-36.261,144.38,0,0,0,1,1,2,R,"Floră",190,84.538,0.401,3,57,W,Y,1837.224,154,109,128,113,71,145,116,-30,-10.319,0.89,0,0.497,-332.083,37.424,32.672,0.359,-37.897,0,"P0TA0",-0.099,-17.083,0,"ʚEveɞ",-21.914,-49.987,87,"白霜らいふ",-13.183,-64.507,0,"인생최패망자",21.433,-51.37,0,"ibqrqki",10.823,-65.379,87,"あおいぬ",38.822,-103.708,0,"sano jpn",-14.05,-115.524,0,"NABIMan",-51.091,-97.712,0,1837.218,-0.056,-20.241,1839.152,5,"ibqrqki",7.063,-59.314,0,0,,,,,264,2
9,1,1,0,0,0,0,2,0,0,0,255,255,255,8,1880.493,"siesta_aves",R,36,88,140,2.033,-1.915,0.546,0.64,0.777,0.522,-36.339,55.391,7,18,75,1,0,81.083,104.888,0,0.342,-17.999,0,2,4,R,"Slaris",190,85.704,0.452,0,57,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046,-38.025,0,"P0TA0",0.23,-17.35,0,"ʚEveɞ",-22.295,-49.467,0,"白霜らいふ",-12.518,-63.803,0,"인생최패망자",21.697,-51.071,0,"ibqrqki",10.831,-65.511,0,"あおいぬ",40.073,-103.54,0,"sano jpn",-13.016,-116.347,0,"NABIMan",-54.133,-99.142,0,0,0,0,0,0,"",0,0,0,0,1883.152,,,,0,0
10,1,1,0,0,1,0,2,0,0,0,255,255,255,9,1897.314,"siesta_aves",R,16,79,124,0.271,-0.931,0.435,0.659,0.218,0.868,-36.339,36.411,3,14,82,2,0,-73.704,-201.241,0,0,0,1,2,4,R,"Slaris",190,85.704,0.452,3,57,W,Y,1898.272,174,80,107,107,75,145,130,-16.248,-31.586,0.66,0,0.314,-497.612,270.235,83.678,0.233,-38.038,0,"P0TA0",0.183,-17.121,0,"ʚEveɞ",-21.999,-49.525,0,"白霜らいふ",-11.719,-64.101,0,"인생최패망자",22.274,-50.279,117,"ibqrqki",10.902,-65.487,0,"あおいぬ",43.199,-100.541,0,"sano jpn",-13.164,-116.314,0,"NABIMan",-54.068,-99.045,0,1898.352,1.489,-23.557,1899.668,4,"인생최패망자",17.934,-46.7,0,0,1934.702,,,,140,2
11,1,0,0,0,0,0,0,0,0,0,255,255,255,0,2060.617,"Ainy4／あいにゃ",R,27,89,140,-0.87,-1.072,0.095,1.545,-0.488,0.881,-36.94,12.271,42,58,0,2,0,74.828,-122.937,-0.707,0,0,1,0,7,R,"sano jpn",165.7,90.644,0.571,3,76,W,Y,2061.696,126,61,107,106,60,139,122,27.546,45.496,0.65,0.048,0.296,-62.412,300.81,-100.4,-0.005,-37.973,0,"Kenomo",-0.2,-17.926,0,"Floră",-20.312,-46.671,0,"낑깡__",-12.993,-65.209,0,"Slaris",20.425,-48.994,0,"ぐだもん",12.281,-63.648,0,"メリニット",44.387,-97.303,0,"아침땅_",-3.242,-106.976,0,"ディシジョン",-43.222,-82.783,0,2066.568,-84.271,-91.587,0,0,"",0,0,0,0,,,,,0,3
12,1,0,0,0,0,1,0,0,0,0,255,255,255,1,2081.744,"Ainy4／あいにゃ",R,3,79,105,0.724,0.598,0.499,1.879,1.263,1.933,-36.94,51.111,81,19,0,0,0,-470.788,0,-4.354,0,0,0,0,7,R,"sano jpn",165.7,90.644,0.571,0,77,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.143,-38.538,0,"Kenomo",-0.016,-17.652,0,"Floră",-20.087,-45.512,0,"낑깡__",-13.146,-65.081,0,"Slaris",20.424,-48.364,0,"ぐだもん",12.094,-63.007,0,"メリニット",44.839,-95.121,0,"아침땅_",-1.8,-106.893,0,"ディシジョン",-43.701,-80.306,0,0,0,0,0,0,"",0,0,0,0,2083.202,,,,0,0
13,1,0,0,0,0,2,0,0,0,0,255,255,255,2,2100.546,"Ainy4／あいにゃ",R,27,86,139,-0.441,-0.735,0.125,1.597,-0.349,1.073,-36.94,14.811,53,45,2,0,0,107.07,-114.503,-0.244,0,0,0,0,7,R,"sano jpn",165.7,90.644,0.571,0,77,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.248,-38.555,0,"Kenomo",-0.186,-17.826,0,"Floră",-21.032,-44.221,0,"낑깡__",-13.158,-65.074,0,"Slaris",20.464,-48.287,0,"ぐだもん",10.27,-63.256,0,"メリニット",45.058,-95.37,0,"아침땅_",-1.479,-107.001,0,"ディシジョン",-43.692,-80.237,0,0,0,0,0,0,"",0,0,0,0,2101.785,,,,0,0
