id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1377.574,"Espressο",R,26,102,138,0.275,-0.229,0.462,1.81,-0.048,1.273,-36.608,29.483,88,12,0,0,0,127.362,-185.709,2.139,0,0,0,0,8,R,"Pizzallaris",167.4,85.912,0.402,0,41,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.485,-37.432,0,"kneesohime",0.038,-17.278,0,"にゃんこ65K",-22.139,-50.438,0,"vovopo 보보포",-14.354,-61.875,0,"?fredo?",20.185,-48.329,0,"CoalCat",9.721,-62.921,0,"あくせる",31.025,-96.899,0,"「yune」",-5.119,-107.169,0,"Metalu",-44.976,-92.138,0,0,0,0,0,0,"",0,0,0,0,1379.04,,,,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,1391.092,"Espressο",R,26,114,140,0.775,0.363,0.515,1.938,0.117,1.586,-36.608,31.966,74,26,0,0,0,150.5,-200,11.96,0,0,0,0,8,R,"Pizzallaris",167.4,85.912,0.402,0,41,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.351,-37.19,0,"kneesohime",0.061,-17.268,0,"にゃんこ65K",-22.1,-49.59,0,"vovopo 보보포",-14.95,-62.211,0,"?fredo?",19.926,-49.043,0,"CoalCat",9.724,-62.944,0,"あくせる",31.048,-97.028,0,"「yune」",-5.821,-106.288,0,"Metalu",-44.979,-92.136,0,0,0,0,0,0,"",0,0,0,0,1392.523,,,,0,0
3,1,1,0,0,0,2,0,0,0,0,255,255,255,2,1407.877,"Espressο",R,33,110,140,-0.04,-1.545,0.406,1.538,-0.221,0.606,-36.608,18.76,48,52,0,1,0,140.792,-133.031,18.92,0,0,0,0,8,R,"Pizzallaris",167.4,85.912,0.402,0,41,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,-37.167,0,"kneesohime",0.041,-17.293,0,"にゃんこ65K",-21.938,-49.269,0,"vovopo 보보포",-14.295,-62.068,0,"?fredo?",20.614,-47.495,0,"CoalCat",9.751,-63.023,0,"あくせる",31.098,-97.146,0,"「yune」",-5.371,-106.458,0,"Metalu",-44.988,-92.232,0,0,0,0,0,0,"",0,0,0,0,1409.319,,,,0,0
4,1,1,0,0,1,2,0,0,0,0,255,255,255,3,1420.267,"Espressο",R,26,107,140,1.267,0.691,0.607,1.831,0.403,1.814,-36.608,35.554,81,19,0,2,0,95.951,-161.415,7.12,0,0,1,0,8,R,"Pizzallaris",167.4,85.912,0.402,3,41,W,Y,1421.345,171,213,130,97,18,145,83,17.774,18.12,-0.79,0,0.193,313.762,483.635,166.285,0.277,-37.111,0,"kneesohime",0.074,-17.294,0,"にゃんこ65K",-22.103,-51.428,0,"vovopo 보보포",-14.151,-63.79,87,"?fredo?",21.658,-49.916,0,"CoalCat",9.877,-62.946,0,"あくせる",31.071,-97.017,0,"「yune」",-5.336,-106.425,0,"Metalu",-44.902,-92.258,0,0,0,0,1424.886,3,"vovopo 보보포",-19.659,-66.999,0,0,,,,,1,1
5,1,1,0,0,0,0,1,0,0,0,255,255,255,4,1448.16,"Espressο",R,32,108,140,1.117,0.44,0.563,1.781,0.264,1.691,-36.608,30.15,92,8,0,0,0,173.558,-155.009,3.501,0,0,0,1,5,R,"Pugeuk",170.1,80,0.281,0,98,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.509,-37.163,0,"kneesohime",0.057,-17.309,0,"にゃんこ65K",-22.175,-50.869,0,"vovopo 보보포",-15.775,-63.152,0,"?fredo?",21.532,-50.032,0,"CoalCat",11.288,-65.157,0,"あくせる",28.821,-99.965,0,"「yune」",-12.845,-113.195,0,"Metalu",-46.898,-92.848,0,0,0,0,0,0,"",0,0,0,0,1449.602,,,,0,0
6,1,1,0,0,0,1,1,0,0,0,255,255,255,5,1462.078,"Espressο",R,26,104,140,1.78,1.109,0.653,1.918,0.545,2.021,-36.608,43.7,80,20,0,2,0,154.159,-200,2.558,0,0,1,1,5,R,"Pugeuk",170.1,80,0.281,3,98,W,Y,1463.104,122,57,50,21,14,103,63,57.593,42.098,-0.6,0,0.463,302.742,-76.087,111.106,0.309,-37.136,0,"kneesohime",0.123,-17.36,0,"にゃんこ65K",-22.203,-50.833,88,"vovopo 보보포",-15.374,-63.339,0,"?fredo?",20.464,-48.712,0,"CoalCat",11.348,-65.093,0,"あくせる",28.75,-99.994,0,"「yune」",-12.421,-113.39,0,"Metalu",-46.879,-92.805,0,0,0,0,1467.986,2,"にゃんこ65K",-24.762,-46.843,0,0,,,,,16,1
7,1,1,0,0,0,0,2,0,0,0,255,255,255,6,1486.798,"Espressο",R,26,105,140,-3.445,-1.148,-0.039,1.545,-1.602,0.745,-36.608,2.938,46,54,0,1,0,86.178,-160.794,13.819,0,0,0,2,2,L,"Pring__",190,93.36,0.485,0,97,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054,-37.293,0,"kneesohime",-0.055,-17.29,0,"にゃんこ65K",-21.207,-51.99,0,"vovopo 보보포",-10.6,-62.271,0,"?fredo?",22.232,-49.2,0,"CoalCat",13.488,-63.659,0,"あくせる",48.556,-96.723,0,"「yune」",6.326,-118.858,0,"Metalu",-46.233,-103.616,0,0,0,0,0,0,"",0,0,0,0,1488.156,,,,0,0
8,1,1,0,0,1,0,2,0,0,0,255,255,255,7,1505.15,"Espressο",R,26,112,140,-2.092,-0.048,0.153,1.862,-1.006,1.429,-36.608,19.931,85,15,0,1,0,65.57,-160.603,6.253,0,0,0,2,2,L,"Pring__",190,93.36,0.485,0,97,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,-36.902,0,"kneesohime",-0.091,-17.254,0,"にゃんこ65K",-21.565,-52.83,0,"vovopo 보보포",-11.348,-62.273,0,"?fredo?",20.655,-48.722,0,"CoalCat",13.539,-63.647,0,"あくせる",48.554,-96.676,0,"「yune」",5.961,-115.907,0,"Metalu",-41.371,-103.523,0,0,0,0,0,0,"",0,0,0,0,1506.482,,,,0,0
9,1,1,0,0,2,0,2,0,0,0,255,255,255,8,1523.567,"Espressο",R,26,104,140,1.901,-0.305,0.702,1.781,0.695,1.255,-36.608,45.258,83,17,0,1,0,81.512,-177.836,-3.155,0,0,0,2,2,L,"Pring__",190,93.36,0.485,0,97,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229,-37.246,0,"kneesohime",-0.007,-17.302,0,"にゃんこ65K",-21.611,-52.732,0,"vovopo 보보포",-11.987,-61.401,0,"?fredo?",22.773,-49.087,0,"CoalCat",13.547,-63.633,0,"あくせる",48.684,-96.788,0,"「yune」",5.493,-115.742,0,"Metalu",-43.492,-102.736,0,0,0,0,0,0,"",0,0,0,0,1524.89,,,,0,0
10,1,1,0,0,3,0,2,0,0,0,255,255,255,9,1537.432,"Espressο",R,10,93,117,-0.422,0.751,0.436,2.161,-0.196,2.548,-36.608,57.79,80,20,0,0,0,0,400,-6.56,0,0,0,2,2,L,"Pring__",190,93.36,0.485,0,97,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.341,-37.357,0,"kneesohime",-0.042,-17.251,0,"にゃんこ65K",-21.894,-52.899,0,"vovopo 보보포",-12.413,-63.466,0,"?fredo?",22.163,-49.008,0,"CoalCat",13.532,-63.624,0,"あくせる",48.692,-96.786,0,"「yune」",5.857,-115.831,0,"Metalu",-43.554,-102.742,0,0,0,0,0,0,"",0,0,0,0,1538.857,,,,0,0
11,1,1,0,0,3,1,2,0,0,0,255,255,255,10,1553.845,"Espressο",R,10,105,128,-0.669,0.658,0.421,2.212,-0.304,2.429,-36.608,63.219,82,18,0,2,0,0,400,-2.317,0,0,1,2,2,L,"Pring__",190,93.36,0.485,3,97,W,Y,1554.738,214,111,108,101,79,145,96,16.194,22.154,-0.52,0,0.243,359.658,-115.743,40.034,0.137,-37.009,0,"kneesohime",-0.101,-17.287,0,"にゃんこ65K",-21.908,-52.58,79,"vovopo 보보포",-11.665,-62.818,0,"?fredo?",22.765,-50.905,0,"CoalCat",13.598,-63.62,0,"あくせる",48.857,-97.055,0,"「yune」",5.865,-115.775,0,"Metalu",-43.584,-102.672,93,1558.644,-26.918,-90.017,1559.49,8,"Metalu",-29.007,-94.443,1,0,,,,,272,2
12,1,1,0,0,0,0,2,1,0,0,2,255,255,11,1580.398,"Espressο",R,10,108,128,-1.417,0.779,0.399,2.242,-0.409,2.392,-36.608,57.825,79,21,0,2,0,0,400,2.638,0,0,1,3,0,L,"-Alta-",190,84,0.479,3,94,W,Y,1581.265,255,47,115,45,33,145,91,28.594,33.996,-0.78,0,0.429,145.326,-506.132,247.367,0.073,-36.839,0,"kneesohime",-0.11,-17.273,0,"にゃんこ65K",-20.179,-49.461,85,"vovopo 보보포",-11.037,-62.337,0,"?fredo?",22.099,-49.667,0,"CoalCat",11.074,-63.138,0,"あくせる",48.663,-97.172,0,"「yune」",3.921,-110.723,0,"Metalu",-41.813,-105.559,103,1585.915,-35.678,-87,1586.452,8,"Metalu",-36.195,-88.374,1,0,,1586.508,,,272,2
13,1,1,0,0,0,0,2,1,1,0,0,2,255,12,1611.86,"Espressο",R,26,107,140,1.511,0.529,0.609,1.89,0.408,1.717,-36.608,38.727,90,10,0,2,0,112.435,-151.763,6.061,0,0,1,4,4,R,"magimari",190,84.655,0.348,3,93,W,Y,1612.969,255,85,101,64,54,145,91,43.994,-46.638,-0.78,0,0.601,510.505,43.438,278.949,0.287,-37.144,0,"kneesohime",0.033,-17.329,0,"にゃんこ65K",-22.41,-50.303,0,"vovopo 보보포",-14.829,-64.042,0,"?fredo?",21.38,-49.611,0,"CoalCat",10.572,-64.767,0,"あくせる",31.252,-98.579,0,"「yune」",-2.039,-103.216,0,"Metalu",-45.36,-93.214,0,1618.398,54.624,-71.722,0,0,"",0,0,0,0,,1618.022,1618.469,,0,3
14,1,1,0,0,0,1,2,1,0,1,0,255,2,13,1641.365,"Espressο",R,10,104,128,1.38,-0.22,0.718,2.043,0.58,1.881,-36.608,51.675,89,11,0,2,0,0,400,-5.233,0,0,1,4,4,R,"magimari",190,84.655,0.348,3,63,W,Y,1642.469,255,99,105,71,50,145,103,103.255,75.74,-0.21,0,0.489,154.835,478.268,75.576,0.161,-37.155,0,"kneesohime",0.026,-17.297,0,"にゃんこ65K",-23.215,-50.898,0,"vovopo 보보포",-14.195,-63.6,0,"?fredo?",21.649,-49.781,0,"CoalCat",11.384,-62.867,0,"あくせる",38.209,-99.534,0,"「yune」",0.061,-106.2,0,"Metalu",-42.274,-85.387,0,0,0,0,0,0,"",0,0,0,0,,1646.792,,,0,3
