id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,997.979,"_Chun",L,27,81,132,1.423,0.469,-0.269,1.997,0.58,1.719,-36.607,41.353,86,14,0,0,0,38.415,-128.191,-4.669,0,0,0,0,5,R,"CVPileMaki",172.3,94,0.397,0,137,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.266,-37.469,0,"べるちゃそ",-0.006,-17.811,0,"shuwaYNZ",-21.441,-46.54,0,"わかなで",-17.176,-62.705,0,"まととまと",20.955,-51.893,0,"ke ro",8.985,-65.495,0,"「론구」",37.185,-91.399,0,"Mr․D VRC",-2.216,-109.939,0,"ゆっち一",-43.867,-92.802,0,0,0,0,0,0,"",0,0,0,0,999.513,,,,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,1015.089,"_Chun",L,14,87,127,-2.839,-0.338,-0.555,2.012,-0.929,1.862,-36.607,50.096,79,21,0,1,0,-190.207,400,-16.354,0,0,0,0,5,R,"CVPileMaki",172.3,94,0.397,0,137,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.129,-37.746,0,"べるちゃそ",-0.099,-17.863,0,"shuwaYNZ",-21.62,-46.818,0,"わかなで",-17.648,-62.416,0,"まととまと",20.661,-51.99,0,"ke ro",9.482,-66.325,0,"「론구」",37.355,-91.587,0,"Mr․D VRC",-2.048,-110.619,0,"ゆっち一",-49.343,-93.822,0,0,0,0,0,0,"",0,0,0,0,1016.634,,,,0,0
3,1,1,0,0,1,1,0,0,0,0,255,255,255,2,1032.631,"_Chun",L,10,85,126,1.424,-1.884,-0.338,1.906,0.629,0.987,-36.607,37.098,85,15,0,4,0,0,400,-9.868,0,0,1,0,5,R,"CVPileMaki",172.3,94,0.397,0,137,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.227,-37.52,0,"べるちゃそ",-0.106,-17.87,0,"shuwaYNZ",-21.726,-46.844,0,"わかなで",-17.358,-62.51,0,"まととまと",20.756,-52.046,0,"ke ro",9.489,-66.28,0,"「론구」",37.196,-91.367,0,"Mr․D VRC",-2.047,-110.95,0,"ゆっち一",-45.95,-95.351,0,0,0,0,0,0,"",0,0,0,0,1034.188,,,,0,0
4,1,1,0,0,1,2,0,0,0,0,255,255,255,3,1050.997,"_Chun",L,26,82,133,1.33,1.801,-0.312,2.157,0.314,2.407,-36.607,44.348,80,18,2,1,0,195.716,-200,-30.386,0,0,0,0,5,R,"CVPileMaki",172.3,94,0.397,0,137,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.173,-37.507,0,"べるちゃそ",-0.027,-17.868,0,"shuwaYNZ",-21.233,-45.903,0,"わかなで",-16.17,-63.663,0,"まととまと",20.516,-52.041,0,"ke ro",9.49,-66.268,0,"「론구」",36.195,-92.427,0,"Mr․D VRC",-2.052,-110.948,0,"ゆっち一",-47.59,-94.717,0,0,0,0,0,0,"",0,0,0,0,1052.559,,,,0,0
5,1,1,0,0,2,2,0,0,0,0,255,255,255,4,1067.434,"_Chun",L,10,78,109,-1.471,-0.63,-0.608,1.965,-0.631,1.605,-36.607,47.603,84,16,0,0,0,0,253.775,-1.319,0,0,0,0,5,R,"CVPileMaki",172.3,94,0.397,0,137,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.243,-37.328,0,"べるちゃそ",-0.333,-18.127,0,"shuwaYNZ",-21.418,-47.136,0,"わかなで",-17.963,-61.753,0,"まととまと",20.511,-52.02,0,"ke ro",9.481,-66.257,0,"「론구」",36.204,-92.448,0,"Mr․D VRC",-2.357,-111.812,0,"ゆっち一",-48.265,-93.98,0,0,0,0,0,0,"",0,0,0,0,1069.068,,,,0,0
6,1,1,0,0,0,0,1,0,0,0,255,255,255,5,1092.159,"_Chun",L,26,82,133,0.088,1.834,-0.417,2.106,-0.086,2.491,-36.607,50.507,81,19,0,2,0,109.338,-200,-14.873,0,0,1,1,8,R,"SUGUN",180,82.092,0.496,3,133,W,Y,1093.118,222,37,88,60,6,145,128,30.528,-3.146,0.37,0,0.27,366.609,-225.013,94.384,-0.521,-36.986,0,"べるちゃそ",-0.024,-18.006,0,"shuwaYNZ",-21.334,-47.522,0,"わかなで",-17.472,-62.475,86,"まととまと",19.811,-52.579,0,"ke ro",8.124,-66.034,0,"「론구」",37.422,-91.609,0,"Mr․D VRC",-1.699,-112.542,101,"ゆっち一",-45.03,-96.671,0,1099.359,11.724,-133.327,1101.759,7,"Mr․D VRC",10.483,-122.355,1,0,,1102.922,,,133,2
7,1,1,0,0,0,0,1,0,1,0,255,8,255,6,1130.229,"_Chun",L,14,84,123,-1.312,-0.468,-0.413,1.915,-0.202,1.534,-36.607,35.39,79,21,0,2,0,-363.99,342.799,-44.497,0,0,1,2,4,L,"Kr_Luna",190,95.256,0.499,3,131,W,Y,1131.07,155,106,134,71,40,145,107,25.81,-26.347,0.01,0,0.141,200.495,-513.918,-96.332,-0.14,-37.072,0,"べるちゃそ",-0.109,-18,0,"shuwaYNZ",-20.086,-46.912,0,"わかなで",-6.619,-65.862,79,"まととまと",22.076,-48.281,0,"ke ro",15.13,-62.183,0,"「론구」",48.566,-95.144,103,"Mr․D VRC",3.114,-116.563,0,"ゆっち一",-37.716,-98.662,0,0,0,0,1136.142,6,"「론구」",49.206,-94.776,0,0,,1135.548,,,13,1
8,1,1,0,0,0,0,2,0,1,0,255,8,255,7,1157.375,"_Chun",L,10,85,127,-2.375,-0.901,-0.603,1.908,-0.999,1.4,-36.607,42.466,80,20,0,1,0,-12.817,400,-9.939,0,0,0,3,1,R,"가앤슬_",190,87.22,0.2,0,130,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.288,-37.454,0,"べるちゃそ",-0.303,-17.967,0,"shuwaYNZ",-21.246,-46.951,0,"わかなで",-16.773,-62.801,0,"まととまと",18.196,-48.259,0,"ke ro",5.147,-63.235,0,"「론구」",36.804,-92.02,0,"Mr․D VRC",-0.68,-116.261,0,"ゆっち一",-46.707,-96.638,0,0,0,0,0,0,"",0,0,0,0,1158.909,1160.042,,,0,0
9,1,1,0,0,1,0,2,0,1,0,255,8,255,8,1173.723,"_Chun",L,26,82,133,1.659,0.414,-0.258,1.979,0.6,1.681,-36.607,36.433,84,16,0,2,0,90.486,-191.321,-8.703,0,0,1,3,1,R,"가앤슬_",190,87.22,0.2,3,130,W,Y,1174.795,175,54,131,70,39,145,105,57.692,24.963,-0.13,0,0.375,163.16,79.091,-48.589,-0.349,-36.946,0,"べるちゃそ",0.059,-17.946,0,"shuwaYNZ",-21.197,-46.92,0,"わかなで",-14.676,-64.098,0,"まととまと",18.156,-48.192,0,"ke ro",5.259,-61.971,0,"「론구」",36.765,-92.052,0,"Mr․D VRC",-0.78,-115.275,0,"ゆっち一",-45.701,-95.327,88,1181.551,-29.741,-80.067,1181.647,8,"ゆっち一",-29.2,-79.012,0,0,1213.913,,1178.975,,46,1
10,1,0,0,0,0,0,0,0,0,0,255,255,255,0,1321.869,"HANA_ARASHI",R,14,71,110,1.093,-0.269,0.227,2.31,-0.117,1.885,-36.637,34.254,83,17,0,0,0,367.346,339.201,-15.788,0,0,0,0,3,L,"わかなで",160,94.33,0.2,0,124,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-37.564,0,"가앤슬_",0.328,-17.891,0,"mungjungh",-21.944,-46.315,0,"crani",-12.34,-63.905,0,"Kr_Luna",20.957,-49.964,0,"CVPileMaki",12.517,-60.431,0,"-KYU-",42.574,-91.454,0,"k@ster",0.385,-109.265,0,"SUGUN",-43.246,-90.985,0,0,0,0,0,0,"",0,0,0,0,1323.597,,,,0,0
