id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1123.086,"Riyaj",R,27,81,132,1.751,1.406,0.345,2.102,0.676,2.279,-36.788,45.695,80,20,0,1,0,58.459,-118.069,-1.763,0,0,0,0,7,R,"カズティー",175,84.645,0.33,0,56,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.016,-37.328,0,"encounter v",-0.102,-17.419,0,"쟈가리코",-20.812,-45.746,0,"DoYaGee",-17.906,-61.936,0,"わだ、、",19.892,-48.652,0,"shimenawa",11.016,-66.172,0,"_송글_",41.756,-91.987,0,"muyang_",-1.042,-109.473,0,"Po_cari",-44.368,-92.079,0,0,0,0,0,0,"",0,0,0,0,1124.327,,,,0,0
2,1,1,0,0,1,0,0,0,0,0,255,255,255,1,1134.661,"Riyaj",R,27,89,140,-1.104,-0.991,0.08,1.709,-0.558,0.897,-36.788,9.444,54,46,0,0,0,53.342,-126.431,-0.522,0,0,0,0,7,R,"カズティー",175,84.645,0.33,0,56,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054,-37.702,0,"encounter v",-0.055,-17.529,0,"쟈가리코",-20.771,-45.667,0,"DoYaGee",-17.899,-61.934,0,"わだ、、",19.12,-48.189,0,"shimenawa",10.159,-66.442,0,"_송글_",41.77,-91.98,0,"muyang_",0.285,-109.337,0,"Po_cari",-44.174,-92.13,0,0,0,0,0,0,"",0,0,0,0,1135.827,,,,0,0
3,1,1,0,0,1,1,0,0,0,0,255,255,255,2,1146.449,"Riyaj",R,26,92,140,-2.966,-1.69,-0.089,1.587,-1.345,0.47,-36.788,10.376,49,51,0,1,0,39.904,-151.096,-4.486,0,0,0,0,7,R,"カズティー",175,84.645,0.33,0,56,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.095,-37.142,0,"encounter v",-0.058,-17.401,0,"쟈가리코",-20.842,-45.596,0,"DoYaGee",-17.917,-61.928,0,"わだ、、",19.04,-48.114,0,"shimenawa",5.86,-66.966,0,"_송글_",41.671,-92.054,0,"muyang_",-0.291,-109.048,0,"Po_cari",-44.165,-92.109,0,0,0,0,0,0,"",0,0,0,0,1147.577,,,,0,0
4,1,1,0,0,2,1,0,0,0,0,255,255,255,3,1159.762,"Riyaj",R,26,88,140,1.668,1.111,0.323,2.036,0.572,2.048,-36.788,37.338,87,13,0,2,0,104,-191.63,-11.53,0,0,0,0,7,R,"カズティー",175,84.645,0.33,3,56,W,Y,1160.762,239,94,84,80,0,145,127,-30,26.31,0.69,0,0.479,-517.448,302.137,31.008,0.056,-37.424,0,"encounter v",-0.019,-17.545,0,"쟈가리코",-20.762,-45.614,83,"DoYaGee",-17.977,-61.844,87,"わだ、、",19.306,-48.049,0,"shimenawa",8.578,-66.527,0,"_송글_",41.613,-92.053,0,"muyang_",-0.009,-109.498,0,"Po_cari",-44.191,-92.182,0,1160.693,-0.619,-20.367,1162.56,3,"DoYaGee",-18.67,-56.435,0,0,,,,,68,2
5,1,1,0,0,0,0,1,0,0,0,255,255,255,4,1182.693,"Riyaj",R,26,86,139,-0.468,0.565,0.135,1.964,-0.303,1.783,-36.788,28.406,91,9,0,2,0,77.291,-191.341,-6.313,0,0,1,1,8,L,"NABIMan",190,82.228,0.48,3,56,W,Y,1183.678,207,138,104,94,24,145,126,102.081,77.157,0.26,0,0.432,109.285,-488.948,44.442,0.037,-37.273,0,"encounter v",-0.101,-17.489,0,"쟈가리코",-20.442,-46.837,0,"DoYaGee",-11.124,-64.694,0,"わだ、、",22.035,-50.673,0,"shimenawa",13.114,-66.035,0,"_송글_",42.195,-91.832,0,"muyang_",-0.36,-110.554,0,"Po_cari",-43.409,-92.259,0,0,0,0,0,0,"",0,0,0,0,,,,,0,3
6,1,1,0,0,0,1,1,0,0,0,255,255,255,5,1198.543,"Riyaj",R,26,96,140,-1.741,-0.303,-0.01,1.794,-0.978,1.233,-36.788,10.845,44,56,0,4,0,158.545,-200,6.251,0,0,1,1,8,L,"NABIMan",190,82.228,0.48,0,41,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.045,-37.836,0,"encounter v",-0.075,-17.444,0,"쟈가리코",-20.723,-45.615,0,"DoYaGee",-9.578,-66.074,0,"わだ、、",22.854,-50.338,0,"shimenawa",13.475,-65.386,0,"_송글_",42.73,-92.952,0,"muyang_",1.314,-109.768,0,"Po_cari",-42.843,-93.216,0,0,0,0,0,0,"",0,0,0,0,1199.793,,,,0,0
7,1,1,0,0,0,2,1,0,0,0,255,255,255,6,1214.998,"Riyaj",R,26,88,140,-1.378,0.783,0.051,2.008,-0.694,1.928,-36.788,30.916,88,12,0,2,0,66.002,-182.294,-2.446,0,0,1,1,8,L,"NABIMan",190,82.228,0.48,3,41,W,Y,1216.005,237,56,77,89,77,145,119,29.184,-1.158,0.19,0,0.347,332.198,24.503,64.439,-0.005,-37.062,0,"encounter v",-0.151,-17.515,0,"쟈가리코",-20.605,-46.814,0,"DoYaGee",-9.673,-65.98,85,"わだ、、",22.743,-49.784,0,"shimenawa",12.717,-65.536,0,"_송글_",42.738,-92.911,0,"muyang_",-0.333,-109.629,93,"Po_cari",-42.872,-93.225,0,1221.427,1.016,-125.459,1221.56,7,"muyang_",0.981,-121.843,0,0,,,,,320,1
8,1,1,0,0,0,0,2,0,0,0,255,255,255,7,1245.273,"Riyaj",R,10,76,117,2.126,0.181,0.397,2.073,0.914,2.136,-36.788,49.006,89,11,0,2,0,0,400,-2.894,0,0,1,2,4,R,"인생최패망자",190,80,0.346,3,56,W,Y,1246.445,255,196,136,126,82,145,128,104.572,-75.052,0.28,0,0.475,248.735,-499.184,98.489,0.076,-37.171,0,"encounter v",-0.016,-17.416,0,"쟈가리코",-22.794,-48.221,0,"DoYaGee",-17.013,-61.815,0,"わだ、、",21.485,-50.538,0,"shimenawa",11.828,-65.624,0,"_송글_",41.197,-91.106,0,"muyang_",1.421,-110.304,0,"Po_cari",-40.404,-92.544,0,0,0,0,0,0,"",0,0,0,0,,,,,0,3
9,1,1,0,0,0,1,2,0,0,0,255,255,255,8,1262.736,"Riyaj",R,10,78,108,-0.838,-0.624,0.082,1.937,-0.367,1.683,-36.788,30.329,86,14,0,2,0,0,340.646,6.748,0,0,1,2,4,R,"인생최패망자",190,80,0.346,3,56,W,Y,1263.936,222,123,105,108,67,145,130,25.624,-20.59,0.35,0,0.426,103.026,499.33,161.042,-0.093,-37.146,0,"encounter v",-0.634,-17.424,0,"쟈가리코",-22.567,-47.889,0,"DoYaGee",-17.763,-61.791,0,"わだ、、",21.057,-50.216,0,"shimenawa",11.258,-65.638,0,"_송글_",44.874,-94.563,0,"muyang_",1.009,-111.316,109,"Po_cari",-39.708,-92.166,0,1269.027,25.968,-129.443,1270.377,7,"muyang_",23.073,-123.628,1,0,,1273.858,,,320,2
10,1,1,0,0,0,0,2,0,1,0,255,4,255,9,1298.14,"Riyaj",R,27,87,140,-0.084,1.007,0.167,2.061,-0.155,2.097,-36.788,38.313,86,13,1,2,0,93.27,-149.6,-1.647,0,0,1,3,0,L,"ʚEveɞ",190,85.463,0.404,3,56,W,Y,1299.032,255,217,39,38,0,127,126,92.868,83.955,0.43,0,0.359,553.636,-169.844,54.58,-0.081,-37.087,0,"encounter v",-0.164,-17.314,0,"쟈가리코",-21.568,-48.674,0,"DoYaGee",-8.261,-65.124,0,"わだ、、",20.411,-46.964,0,"shimenawa",14.427,-64.718,0,"_송글_",42.145,-91.521,0,"muyang_",0.026,-116.041,0,"Po_cari",-37.721,-89.426,0,0,0,0,0,0,"",0,0,0,0,,1302.403,,,0,3
