id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1421.777,"Pring__",R,32,81,132,-0.395,-0.016,0.294,1.015,-0.474,1.708,-36.136,28.395,5,14,81,0,0,250,98.833,13.03,0,0,0,0,5,R,"CVPileMaki",172.3,94,0.397,0,129,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.104,-37.71,0,"HalF_HearteD",0.026,-16.581,0,"-Alta-",-22.652,-48.657,0,"mochi_2929",-13.682,-60.916,0,"bdg06213",20.155,-50.53,0,"Rite_",11.81,-61.419,0,"alcohol500",41.929,-97.161,0,"紅さかな",0.581,-115.946,0,"Pizzallaris",-43.165,-101.789,0,0,0,0,0,0,"",0,0,0,0,1423.475,,,,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,1438.394,"Pring__",R,3,78,115,-2.936,0.246,0.296,1.061,-0.464,1.873,-36.136,28.195,0,15,85,2,0,-494.276,75.439,33.887,0,0,1,0,5,R,"CVPileMaki",172.3,94,0.397,3,129,W,Y,1439.607,255,126,148,140,101,145,94,109.207,-73.77,0.94,0,0.196,82.365,-519.196,-46.413,-0.218,-37.239,0,"HalF_HearteD",-0.267,-16.665,0,"-Alta-",-22.574,-48.514,0,"mochi_2929",-13.644,-60.942,0,"bdg06213",20.214,-49.707,0,"Rite_",11.845,-61.785,0,"alcohol500",41.374,-97.104,0,"紅さかな",-0.503,-115.369,0,"Pizzallaris",-43.499,-102.19,0,0,0,0,0,0,"",0,0,0,0,,,,,8,3
3,1,1,0,0,0,2,0,0,0,0,255,255,255,2,1456.661,"Pring__",R,32,76,114,1.029,0.354,0.303,1.116,0.024,1.93,-36.136,20.396,0,11,89,2,0,250,74.796,0,0,0,1,0,5,R,"CVPileMaki",172.3,94,0.397,3,128,W,Y,1457.871,165,52,106,77,47,145,98,35.273,-19.644,-0.08,0,0.269,124.653,564.852,-147.035,-0.061,-37.243,0,"HalF_HearteD",0.118,-16.664,0,"-Alta-",-23.298,-48.484,0,"mochi_2929",-13.905,-61.029,73,"bdg06213",19.945,-49.872,0,"Rite_",11.086,-61.849,0,"alcohol500",39.678,-96.89,0,"紅さかな",0.384,-114.452,109,"Pizzallaris",-40.955,-101.906,0,1463.1,17.313,-97.603,1464.421,7,"紅さかな",18.661,-104.157,1,0,,,,,137,2
4,1,1,0,0,0,0,0,1,0,0,5,255,255,3,1491.602,"Pring__",R,32,82,133,-1.692,0.115,0.074,1.025,-1.03,1.738,-36.136,25.293,4,11,85,1,0,250,44.63,17.587,0,0,0,1,8,R,"SUGUN",180,82.092,0.496,0,127,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02,-38.039,0,"HalF_HearteD",-0.105,-16.652,0,"-Alta-",-20.755,-44.515,0,"mochi_2929",-12.47,-60.078,0,"bdg06213",20.006,-50.639,0,"Rite_",9.496,-62.595,0,"alcohol500",41.548,-103.525,0,"紅さかな",0.124,-118.284,0,"Pizzallaris",-40.954,-101.038,0,0,0,0,0,0,"",0,0,0,0,1493.421,,,,0,0
5,1,1,0,0,1,0,0,1,0,0,5,255,255,4,1507.076,"Pring__",R,32,76,127,2.661,-0.828,0.409,0.939,0.827,1.217,-36.136,48.157,0,21,79,1,0,221.376,76.755,-0.95,0,0,0,1,8,R,"SUGUN",180,82.092,0.496,0,127,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.014,-37.957,0,"HalF_HearteD",-0.074,-16.641,0,"-Alta-",-20.383,-42.956,0,"mochi_2929",-13.108,-60.606,0,"bdg06213",19.918,-50.607,0,"Rite_",7.289,-62.146,0,"alcohol500",41.418,-103.801,0,"紅さかな",-0.48,-118.567,0,"Pizzallaris",-40.954,-101.048,0,0,0,0,0,0,"",0,0,0,0,1508.863,,,,0,0
6,1,1,0,0,2,0,0,1,0,0,5,255,255,5,1524.081,"Pring__",R,32,83,134,-6.062,1.451,-0.114,1.177,-2.972,2.596,-36.136,19.969,2,9,88,1,0,250,102.612,26.257,-1.141,-6.258,0,1,8,R,"SUGUN",180,82.092,0.496,0,127,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.302,-37.872,0,"HalF_HearteD",-1.041,-16.471,0,"-Alta-",-20.266,-43.663,0,"mochi_2929",-12.501,-60.436,0,"bdg06213",20.199,-50.94,0,"Rite_",9.147,-61.828,0,"alcohol500",40.056,-105.221,0,"紅さかな",-0.144,-118.024,0,"Pizzallaris",-41.364,-101.304,0,0,0,0,0,0,"",0,0,0,0,1529.067,,,,0,0
7,1,1,0,0,3,0,0,1,0,0,5,255,255,6,1553.588,"Pring__",R,32,79,129,-0.714,-0.014,0.153,1.013,-0.661,1.699,-36.136,26.874,2,9,89,0,0,243.054,73.741,15.282,0,0,0,1,8,R,"SUGUN",180,82.092,0.496,0,127,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.217,-37.858,0,"HalF_HearteD",-0.04,-16.84,0,"-Alta-",-20.489,-43.449,0,"mochi_2929",-12.452,-59.421,0,"bdg06213",18.661,-49.827,0,"Rite_",7.31,-62.571,0,"alcohol500",41.509,-102.127,0,"紅さかな",-1.875,-117.956,0,"Pizzallaris",-41.366,-101.311,0,0,0,0,0,0,"",0,0,0,0,1555.542,,,,0,0
8,1,1,0,0,3,1,0,1,0,0,5,255,255,7,1570.151,"Pring__",R,32,79,129,-2.701,1.164,-0.012,1.217,-1.43,2.394,-36.136,8.613,0,47,53,1,0,181.991,71.937,32.826,0,0,0,1,8,R,"SUGUN",180,82.092,0.496,0,127,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.316,-37.496,0,"HalF_HearteD",-0.598,-17.458,0,"-Alta-",-20.899,-45.129,0,"mochi_2929",-12.121,-60.402,0,"bdg06213",18.706,-49.768,0,"Rite_",8.278,-62.622,0,"alcohol500",41.895,-101.821,0,"紅さかな",-1.272,-118.081,0,"Pizzallaris",-41.372,-101.311,0,0,0,0,0,0,"",0,0,0,0,1574.613,1579.11,,,0,5
9,1,1,0,0,0,0,0,1,1,0,8,5,255,8,1597.895,"Pring__",R,32,78,128,-1.833,0.881,0.077,1.19,-1.018,2.269,-36.136,14.792,0,11,89,1,0,177.646,99.613,16.394,-0.529,-17.395,0,2,4,L,"Kr_Luna",190,95.256,0.499,0,123,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.279,-37.125,0,"HalF_HearteD",-0.311,-17.046,0,"-Alta-",-19.966,-42.911,0,"mochi_2929",-10.796,-62.153,0,"bdg06213",21.281,-45.921,0,"Rite_",14.635,-60.875,0,"alcohol500",46.36,-102.242,0,"紅さかな",3.84,-120.606,0,"Pizzallaris",-35.231,-106.386,0,0,0,0,0,0,"",0,0,0,0,1601.096,1608.675,,,0,0
10,1,1,0,0,1,0,0,1,1,0,8,5,255,9,1616.88,"Pring__",R,32,82,133,-1.441,0.66,0.09,1.145,-0.955,2.122,-36.136,16.922,2,10,88,0,0,239.937,78.734,22.844,0,0,0,2,4,L,"Kr_Luna",190,95.256,0.499,0,123,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.293,-37.72,0,"HalF_HearteD",-0.113,-16.906,0,"-Alta-",-20.189,-43.288,0,"mochi_2929",-8.415,-61.977,0,"bdg06213",21.583,-46.001,0,"Rite_",15.198,-60.401,0,"alcohol500",47.452,-97.88,0,"紅さかな",0.424,-120.455,0,"Pizzallaris",-35.246,-107.016,0,0,0,0,0,0,"",0,0,0,0,1618.309,,,,0,0
