id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1554.998,"_AKASATA_",R,4,53,91,-1.885,-0.232,1.161,1.505,-0.343,1.499,-36.588,97.74,0,100,0,1,0,-217.525,0,-4.616,0,0,0,0,0,R,"Slaris",190,85.704,0.452,0,83,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.392,-37.243,0,"하루（Haru）",-0.205,-17.721,0,"Fresh825",-23.459,-48.187,0,"_앰프_",-18.027,-61.674,0,"Muna_328",23.096,-50.7,0,"schmoneymikey",7.674,-65.841,0,"Sabo_10",48.516,-101.001,0,"うよすま",-4.484,-120.329,0,"Dοpi",-50.901,-103.533,0,0,0,0,0,0,"",0,0,0,0,1556.267,,,,0,0
2,1,1,0,0,1,0,0,0,0,0,255,255,255,1,1571.77,"_AKASATA_",R,10,79,107,0.928,-0.493,0.922,1.642,0.377,1.852,-36.588,43.591,0,100,0,0,0,0,400,10.314,0,0,0,0,0,R,"Slaris",190,85.704,0.452,0,83,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,-37.149,0,"하루（Haru）",0.066,-17.797,0,"Fresh825",-23.46,-48.198,0,"_앰프_",-17.994,-61.661,0,"Muna_328",22.994,-50.699,0,"schmoneymikey",7.442,-65.386,0,"Sabo_10",48.579,-101.052,0,"うよすま",-1.687,-118.869,0,"Dοpi",-49.241,-100.854,0,0,0,0,0,0,"",0,0,0,0,1572.982,,,,0,0
3,1,1,0,0,1,1,0,0,0,0,255,255,255,2,1587.956,"_AKASATA_",R,11,86,133,-7.192,-2.529,0.843,1.463,0.203,1.371,-36.588,32.699,0,100,0,2,0,0,249.31,3.626,0,0,0,0,0,R,"Slaris",190,85.704,0.452,3,83,W,Y,1589.018,165,101,204,98,30,145,95,-4.959,4.771,-0.6,0,0.197,-410.818,237.411,267.66,0.363,-36.661,0,"하루（Haru）",-0.017,-17.734,0,"Fresh825",-23.146,-48.109,0,"_앰프_",-18.52,-63.421,85,"Muna_328",22.855,-52.163,0,"schmoneymikey",7.365,-65.548,0,"Sabo_10",48.591,-101.09,0,"うよすま",-4.141,-123.525,89,"Dοpi",-49.296,-101.839,0,1588.882,-0.452,-24.969,1593.888,7,"うよすま",-14.553,-102.025,1,0,,,,,192,2
4,1,1,0,0,0,0,0,1,0,0,0,255,255,3,1619.049,"_AKASATA_",R,0,70,109,3.034,-0.191,1.218,1.482,1.296,1.506,-36.588,56.879,0,100,0,1,0,-7.623,0,-3.426,0,0,0,1,1,R,"-라후이-",190,87.311,0.496,0,82,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.454,-37.139,0,"하루（Haru）",0.317,-17.673,0,"Fresh825",-18.44,-40.085,0,"_앰프_",-16.202,-62.166,0,"Muna_328",24.13,-51.745,0,"schmoneymikey",4.213,-64.022,0,"Sabo_10",38.209,-100.276,0,"うよすま",-3.328,-117.293,0,"Dοpi",-47.504,-100.662,0,0,0,0,0,0,"",0,0,0,0,1620.125,,,,0,0
5,1,1,0,0,1,0,0,1,0,0,0,255,255,4,1634.138,"_AKASATA_",R,0,71,110,1.997,-0.001,0.985,1.414,0.573,1.359,-36.588,45.254,0,100,0,2,0,0,6.986,8.845,0,0,1,1,1,R,"-라후이-",190,87.311,0.496,3,82,W,Y,1635.156,246,106,140,87,37,145,91,52.496,-43.676,-0.8,0,0.247,485.441,-71.128,30.82,0.396,-36.612,0,"하루（Haru）",0.066,-17.741,0,"Fresh825",-18.891,-39.941,0,"_앰프_",-17.248,-61.715,0,"Muna_328",24.198,-51.669,0,"schmoneymikey",6.773,-65.274,0,"Sabo_10",39.872,-103.27,0,"うよすま",-2.204,-119.081,0,"Dοpi",-47.665,-100.474,0,1640.326,48.652,-66.454,0,0,"",0,0,0,0,,,,,0,3
6,1,1,0,0,1,1,0,1,0,0,0,255,255,5,1661.714,"_AKASATA_",R,34,81,131,1.552,-0.022,0.909,1.516,0.505,1.543,-36.588,45.822,0,100,0,2,0,96.906,-59.226,-0.681,0,0,1,1,1,R,"-라후이-",190,87.311,0.496,3,87,W,Y,1662.653,202,55,87,40,29,142,130,-30,33.016,0.35,0,0.217,-387.263,455.457,50.862,0.201,-36.677,0,"하루（Haru）",0.065,-17.622,0,"Fresh825",-18.596,-40.214,66,"_앰프_",-17.743,-61.977,0,"Muna_328",24.334,-50.192,0,"schmoneymikey",6.92,-65.032,0,"Sabo_10",39.914,-96.222,0,"うよすま",-2.435,-117.764,0,"Dοpi",-47.541,-100.519,95,1662.353,-0.711,-20.136,1665.755,8,"Dοpi",-41.45,-84.02,1,0,,1666.975,,,288,2
7,1,1,0,0,0,0,0,1,1,0,1,0,255,6,1692.435,"_AKASATA_",R,13,72,100,-0.002,-0.768,0.969,1.491,0.524,1.524,-36.588,52.712,0,100,0,0,0,-308.361,294.317,-11.006,0,0,0,2,8,R,"ディシジョン",190,92.496,0.622,0,81,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301,-37.1,0,"하루（Haru）",0.086,-17.512,0,"Fresh825",-19.353,-40.427,0,"_앰프_",-15.075,-59.987,0,"Muna_328",20.107,-45.439,0,"schmoneymikey",4.502,-63.463,0,"Sabo_10",35.356,-94.137,0,"うよすま",-7.047,-120.685,0,"Dοpi",-49.25,-98.519,0,0,0,0,0,0,"",0,0,0,0,1693.684,1695.345,,,0,0
8,1,1,0,0,0,1,0,1,1,0,1,0,255,7,1711.6,"_AKASATA_",R,0,68,107,1.471,0.12,0.997,1.521,0.61,1.704,-36.588,66.069,0,100,0,0,0,0,0,7.535,0,0,0,2,8,R,"ディシジョン",190,92.496,0.622,0,81,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.325,-37.137,0,"하루（Haru）",0.171,-17.578,0,"Fresh825",-19.969,-40.331,0,"_앰프_",-12.93,-59.239,0,"Muna_328",20.543,-45.066,0,"schmoneymikey",4.585,-62.494,0,"Sabo_10",34.412,-89.999,0,"うよすま",-5.676,-119.515,0,"Dοpi",-49.106,-98.329,0,0,0,0,0,0,"",0,0,0,0,1712.853,1714.492,,,0,0
9,1,1,0,0,0,2,0,1,1,0,1,0,255,8,1729.493,"_AKASATA_",R,33,80,130,2.066,-0.184,0.951,1.435,0.704,1.45,-36.588,58.937,0,100,0,2,0,111.745,-51.634,-1.809,0,0,1,2,8,R,"ディシジョン",190,92.496,0.622,3,81,W,Y,1730.616,150,55,117,0,0,135,114,-30,8.094,0.88,0,0.372,-225.091,202.677,63.129,0.351,-36.734,0,"하루（Haru）",0.209,-17.45,107,"Fresh825",-19.106,-42.78,0,"_앰프_",-17.6,-62.045,0,"Muna_328",20.583,-47.17,0,"schmoneymikey",5.827,-62.096,0,"Sabo_10",34.779,-89.993,0,"うよすま",-5.663,-114.219,114,"Dοpi",-44.361,-97.449,0,1730.257,0.139,-19.392,1734.509,7,"うよすま",-11.155,-94.913,1,0,1738.459,1735.369,1734.915,,144,2
10,1,1,0,0,0,0,0,1,1,1,8,1,0,9,1762.548,"_AKASATA_",R,34,92,140,0.851,0,0.85,1.468,0.235,1.556,-36.588,24.83,0,100,0,2,0,92.505,-69.19,2.299,0,0,1,3,4,L,"Ainy4／あいにゃ",189.3,85,0.512,3,80,W,Y,1763.65,218,93,66,86,42,141,110,27.866,-17.399,0.87,0,0.515,245.266,-75.415,17.097,0.354,-36.657,0,"하루（Haru）",0.098,-17.744,0,"Fresh825",-16.878,-43.627,0,"_앰프_",-8.271,-61.197,0,"Muna_328",21.595,-44.943,0,"schmoneymikey",16.379,-61.932,0,"Sabo_10",47.095,-103.132,116,"うよすま",10.684,-124.73,0,"Dοpi",-32.706,-106.301,0,1768.265,30.434,-110.691,1768.386,6,"Sabo_10",29.422,-107.767,0,0,,1770.354,1768.503,,4,1
