id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1522.645,"Metalu",R,27,91,140,-1.257,-0.434,0.084,1.72,-0.547,1.233,-36.505,19.258,97,3,0,0,0,-2.791,-121.054,-1.618,0,0,0,0,3,L,"わかなで",160,94.33,0.2,0,56,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067,-37.378,0,"kneesohime",-0.076,-17.71,0,"にゃんこ65K",-17.743,-45.97,0,"vovopo 보보포",-7.275,-58.509,0,"?fredo?",16.556,-43.835,0,"CoalCat",9.123,-59.699,0,"あくせる",39.027,-89.159,0,"「yune」",0.261,-102.278,0,"Gonyong",-37.221,-82.828,0,0,0,0,0,0,"",0,0,0,0,1523.881,,,,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,1541.983,"Metalu",R,28,79,129,0.155,2.669,0.146,2.149,0.002,2.896,-36.505,56.599,89,11,0,1,0,41.278,-82.919,-1.997,0,0,0,0,3,L,"わかなで",160,94.33,0.2,0,56,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104,-37.31,0,"kneesohime",-0.066,-17.687,0,"にゃんこ65K",-18.078,-46.143,0,"vovopo 보보포",-9.27,-59.021,0,"?fredo?",17.672,-45.015,0,"CoalCat",9.187,-59.64,0,"あくせる",38.91,-89.229,0,"「yune」",1.536,-101.209,0,"Gonyong",-37.816,-83.092,0,0,0,0,0,0,"",0,0,0,0,1543.314,,,,0,0
3,1,1,0,0,1,1,0,0,0,0,255,255,255,2,1555.033,"Metalu",R,28,86,139,-0.098,0.672,0.152,1.92,-0.082,1.838,-36.505,39.185,95,5,0,2,0,25.611,-96.163,-0.943,0,0,1,0,3,L,"わかなで",160,94.33,0.2,3,56,W,Y,1556.066,236,43,101,82,32,145,121,-6.551,-38.238,0.7,0,0.236,183.216,-243.444,473.081,0.031,-36.839,0,"kneesohime",-0.121,-17.712,0,"にゃんこ65K",-17.875,-47.211,93,"vovopo 보보포",-8.007,-57.906,0,"?fredo?",17.238,-44.857,116,"CoalCat",9.306,-59.599,0,"あくせる",39.056,-89.368,0,"「yune」",0.506,-102.804,0,"Gonyong",-37.804,-83.265,0,1556.281,5.656,-26.707,1557.397,4,"?fredo?",16.779,-41.51,0,0,,,,,24,2
4,1,1,0,0,0,0,1,0,0,0,255,255,255,3,1579.482,"Metalu",R,26,96,140,1.217,-2.328,0.312,1.349,0.515,0.021,-36.505,19.533,50,50,0,1,0,4.655,-195.666,-0.349,0.219,-19.265,0,1,8,L,"ゆっち一",181.2,83.623,0.399,0,56,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.058,-37.455,0,"kneesohime",0.039,-17.73,0,"にゃんこ65K",-21.934,-50.743,0,"vovopo 보보포",-11.996,-63.207,0,"?fredo?",19.203,-47.813,0,"CoalCat",12.478,-63.773,0,"あくせる",47.242,-99.71,0,"「yune」",-6.803,-121.523,0,"Gonyong",-47.006,-109.811,0,0,0,0,0,0,"",0,0,0,0,1580.714,,,,0,0
5,1,1,0,0,1,0,1,0,0,0,255,255,255,4,1593.513,"Metalu",R,27,93,140,1.448,0.548,0.295,1.92,0.576,1.825,-36.505,34.709,91,9,0,0,0,34.217,-109.252,-0.14,0,0,0,1,8,L,"ゆっち一",181.2,83.623,0.399,0,56,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,-37.404,0,"kneesohime",0.076,-17.748,0,"にゃんこ65K",-21.988,-50.799,0,"vovopo 보보포",-9.154,-63.893,0,"?fredo?",19.079,-47.033,0,"CoalCat",12.49,-63.76,0,"あくせる",46.864,-98.507,0,"「yune」",-6.782,-121.511,0,"Gonyong",-47.04,-110.024,0,0,0,0,0,0,"",0,0,0,0,1594.681,,,,0,0
6,1,1,0,0,1,1,1,0,0,0,255,255,255,5,1608.897,"Metalu",R,27,91,140,-2.076,-2.05,0.023,1.414,-0.831,0.241,-36.505,13.165,60,40,0,1,0,-55.875,-149.452,6.854,0,0,0,1,8,L,"ゆっち一",181.2,83.623,0.399,0,56,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186,-37.382,0,"kneesohime",-0.334,-17.715,0,"にゃんこ65K",-22.16,-50.979,0,"vovopo 보보포",-9.423,-64.054,0,"?fredo?",20.008,-47.399,0,"CoalCat",12.499,-63.714,0,"あくせる",46.62,-98.215,0,"「yune」",-6.852,-121.505,0,"Gonyong",-46.99,-109.956,0,0,0,0,0,0,"",0,0,0,0,1610.181,,,,0,0
7,1,1,0,0,2,1,1,0,0,0,255,255,255,6,1623.226,"Metalu",R,3,63,105,-1.662,0.403,0.296,1.934,0.194,1.853,-36.505,31.709,94,6,0,1,0,-477.273,0,-21.033,0,0,0,1,8,L,"ゆっち一",181.2,83.623,0.399,0,56,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289,-37.527,0,"kneesohime",-0.257,-17.73,0,"にゃんこ65K",-22.186,-51.113,0,"vovopo 보보포",-7.772,-65.962,0,"?fredo?",19.053,-47.064,0,"CoalCat",12.492,-63.524,0,"あくせる",46.471,-98.094,0,"「yune」",-7.023,-122.061,0,"Gonyong",-47.181,-109.333,0,0,0,0,0,0,"",0,0,0,0,1624.681,,,,0,0
8,1,1,0,0,3,1,1,0,0,0,255,255,255,7,1641.255,"Metalu",R,28,75,126,0.024,1.8,0.163,2.142,-0.054,2.605,-36.505,54.987,93,7,0,1,0,38.99,-61.043,-0.971,0,0,0,1,8,L,"ゆっち一",181.2,83.623,0.399,0,56,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,-37.264,0,"kneesohime",-0.106,-17.687,0,"にゃんこ65K",-22.276,-51.023,0,"vovopo 보보포",-9.356,-65.016,0,"?fredo?",19.116,-46.306,0,"CoalCat",12.47,-63.582,0,"あくせる",46.692,-98.687,0,"「yune」",-6.784,-122.275,0,"Gonyong",-47.185,-109.477,0,0,0,0,0,0,"",0,0,0,0,1642.581,,,,0,5
9,1,1,0,0,0,0,1,1,0,0,8,255,255,8,1682.142,"Metalu",R,3,73,114,-1.203,0.433,0.285,1.96,0.092,1.876,-36.505,41.207,82,18,0,0,0,-419.018,0,-6.03,0,0,0,2,0,L,"_Chun",190,80,0.455,0,56,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137,-37.497,0,"kneesohime",-0.27,-17.99,0,"にゃんこ65K",-19.802,-42.018,0,"vovopo 보보포",-5.172,-59.508,0,"?fredo?",19.432,-46.589,0,"CoalCat",10.058,-60.029,0,"あくせる",49.233,-104.253,0,"「yune」",6.712,-118.557,0,"Gonyong",-39.55,-107.547,0,0,0,0,0,0,"",0,0,0,0,1683.314,,,,0,0
10,1,1,0,0,0,1,1,1,0,0,8,255,255,9,1698.61,"Metalu",R,26,91,140,-0.411,-2.529,0.135,1.419,-0.213,-0.109,-36.505,13.216,60,40,0,1,0,21.723,-158.901,5.308,-0.078,-20.231,0,2,0,L,"_Chun",190,80,0.455,0,56,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.483,-37.063,120,"kneesohime",-0.507,-18.917,0,"にゃんこ65K",-19.407,-41.972,0,"vovopo 보보포",-5.151,-59.796,0,"?fredo?",18.673,-45.374,0,"CoalCat",10.539,-59.897,0,"あくせる",49.208,-104.337,0,"「yune」",11.849,-122.701,0,"Gonyong",-37.837,-110.318,0,0,0,0,0,0,"",0,0,0,0,1699.797,,,,0,0
