id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1137.16,"DoYaGee",R,32,78,128,-1.726,0.699,-0.013,1.174,-0.99,1.914,-36.437,12.673,5,64,31,1,0,197.609,-113.846,23.1,0,0,0,0,8,R,"Pizzallaris",175.3,88,0.383,0,50,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.135,-37.16,0,"encounter v",0.001,-17.392,0,"쟈가리코",-21.027,-44.986,0,"muyang_",-17.026,-62.431,0,"わだ、、",17.805,-46.444,0,"shimenawa",9.88,-65.263,0,"ddil_ddil69",36.992,-98.051,0,"ByeolBam",-0.912,-106.057,0,"Po_cari",-42.674,-91.073,0,0,0,0,0,0,"",0,0,0,0,1138.118,,,,0,0
2,1,1,0,0,1,0,0,0,0,0,255,255,255,1,1151.827,"DoYaGee",R,32,73,125,0.938,0.357,0.228,1.14,0.129,1.794,-36.437,28.377,2,15,83,2,0,179.836,-33.858,28.745,0,0,0,0,8,R,"Pizzallaris",175.3,88,0.383,3,50,W,Y,1152.969,201,64,110,100,0,145,127,91.509,-86.17,0.58,0.19,0.387,-50.67,-101.188,43.495,-0.204,-37.046,0,"encounter v",0.004,-17.56,0,"쟈가리코",-21.743,-45.562,0,"muyang_",-16.983,-62.408,0,"わだ、、",17.508,-46.333,0,"shimenawa",10.298,-65.11,0,"ddil_ddil69",36.526,-97.736,0,"ByeolBam",-2.307,-105.637,0,"Po_cari",-42.45,-91.506,0,0,0,0,0,0,"",0,0,0,0,,,,,32,3
3,1,1,0,0,1,1,0,0,0,0,255,255,255,2,1174.246,"DoYaGee",R,13,76,114,-2.843,-0.436,0.079,1.139,-0.563,1.792,-36.437,17.324,2,66,31,4,0,-390.434,312.348,39.574,0,0,1,0,8,R,"Pizzallaris",175.3,88,0.383,0,50,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.012,-37.573,0,"encounter v",-0.158,-17.346,0,"쟈가리코",-21.457,-45.698,0,"muyang_",-16.95,-62.428,0,"わだ、、",16.563,-45.473,0,"shimenawa",8.628,-64.661,0,"ddil_ddil69",35.618,-97.501,0,"ByeolBam",-2.45,-108.274,0,"Po_cari",-43.733,-90.63,0,0,0,0,0,0,"",0,0,0,0,1175.257,,,,0,0
4,1,1,0,0,1,2,0,0,0,0,255,255,255,3,1192.537,"DoYaGee",R,3,65,112,1.824,-0.592,0.401,0.972,1.259,1.294,-36.437,45.876,3,9,89,4,0,-270.367,0,2.935,0,0,1,0,8,R,"Pizzallaris",175.3,88,0.383,0,50,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.215,-37.535,0,"encounter v",-0.039,-17.407,0,"쟈가리코",-21.26,-45.828,0,"muyang_",-16.302,-62.567,0,"わだ、、",17.506,-45.792,0,"shimenawa",8.404,-64.049,0,"ddil_ddil69",35.795,-97.198,0,"ByeolBam",-0.667,-107.956,0,"Po_cari",-43.686,-90.599,0,0,0,0,0,0,"",0,0,0,0,1193.507,,,,0,0
5,1,1,0,0,0,0,1,0,0,0,255,255,255,4,1215.201,"DoYaGee",R,32,88,140,-3.658,0.471,-0.191,1.14,-1.818,1.791,-36.437,10.155,3,63,34,2,0,247.781,-132.272,31.41,0,0,1,1,5,R,"mochi_2929",180,87.482,0.553,3,149,W,Y,1216.32,255,163,96,68,21,145,88,25.349,59.248,0.98,0,0.292,275.019,-327.056,62.275,-0.264,-36.979,0,"encounter v",-0.168,-17.517,0,"쟈가리코",-21.681,-46.975,0,"muyang_",-15.252,-63.172,0,"わだ、、",18.64,-47.41,0,"shimenawa",11.748,-65.728,0,"ddil_ddil69",35.968,-97.393,0,"ByeolBam",0.099,-108.334,0,"Po_cari",-42.775,-89.857,0,1218.972,-41.271,-47.07,0,0,"",0,0,0,0,,,,,32,3
6,1,1,0,0,0,1,1,0,0,0,255,255,255,5,1235.821,"DoYaGee",R,33,80,130,-2.758,0.822,-0.102,1.203,-1.403,2.006,-36.437,9.839,2,63,35,1,0,143.245,-113.089,33.07,0,0,0,1,5,R,"mochi_2929",180,87.482,0.553,0,148,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.008,-37.418,0,"encounter v",-0.053,-17.362,0,"쟈가리코",-21.601,-47.27,0,"muyang_",-16.98,-62.663,0,"わだ、、",19.076,-48.359,0,"shimenawa",8.977,-66.375,0,"ddil_ddil69",35.773,-97.199,0,"ByeolBam",-0.66,-105.067,0,"Po_cari",-39.398,-85.054,0,0,0,0,0,0,"",0,0,0,0,1236.799,,,,0,0
7,1,1,0,0,1,1,1,0,0,0,255,255,255,6,1263.951,"DoYaGee",R,6,41,93,1.557,-0.058,0.198,1.091,-0.012,1.624,-36.437,33.816,0,100,0,2,0,304.994,0,-2.644,0,0,1,1,5,R,"mochi_2929",180,87.482,0.553,3,148,W,Y,1265.254,153,108,78,46,25,138,88,29.634,31.249,-0.55,0,0.173,288.677,161.723,-114.187,0.176,-37.564,0,"encounter v",-0.032,-17.499,0,"쟈가리코",-21.47,-46.653,0,"muyang_",-15.457,-62.824,0,"わだ、、",19.197,-48.644,0,"shimenawa",9.884,-66.516,94,"ddil_ddil69",37.783,-96.171,0,"ByeolBam",-1.255,-106.742,0,"Po_cari",-38.596,-84.485,85,1269.84,-42.194,-84.577,1270.007,8,"Po_cari",-41.128,-83.055,0,0,,,,,161,1
8,1,1,0,0,0,0,2,0,0,0,255,255,255,7,1298.263,"DoYaGee",R,32,74,125,-0.272,0.573,0.113,1.19,-0.405,1.944,-36.437,18.163,2,54,45,0,0,214.473,-46.084,19.807,0,0,0,2,1,R,"HalF_HearteD",190,82,0.35,0,39,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.077,-37.508,0,"encounter v",-0.058,-17.371,0,"쟈가리코",-22.163,-47.54,0,"muyang_",-17.172,-62.268,0,"わだ、、",17.82,-46.707,0,"shimenawa",11.522,-65.533,0,"ddil_ddil69",38.034,-97.194,0,"ByeolBam",-0.493,-105.91,0,"Po_cari",-39.159,-84.259,0,0,0,0,0,0,"",0,0,0,0,1299.25,,,,0,0
9,1,1,0,0,0,1,2,0,0,0,255,255,255,8,1317.056,"DoYaGee",R,13,65,107,-3.629,0.126,0.015,1.257,-0.862,2.164,-36.437,16.847,4,96,0,2,0,-370.696,323.683,38.714,0,0,1,2,1,R,"HalF_HearteD",190,82,0.35,3,39,W,Y,1318.213,255,142,87,122,89,145,89,-7.165,58.885,0.99,0,0.426,166.998,-220.819,79.787,-0.3,-37.272,0,"encounter v",-0.583,-17.48,0,"쟈가리코",-21.93,-47.275,0,"muyang_",-17.073,-62.153,0,"わだ、、",17.229,-46.888,0,"shimenawa",11.36,-66.128,0,"ddil_ddil69",38.086,-97.16,0,"ByeolBam",-0.411,-106.166,0,"Po_cari",-39.086,-84.097,0,1318.195,-9.075,-25.492,0,0,"",0,0,0,0,,,,,32,3
10,1,1,0,0,0,2,2,0,0,0,255,255,255,9,1339.294,"DoYaGee",R,32,79,129,-1.187,0.133,0.029,1.102,-0.797,1.66,-36.437,12.983,6,63,32,0,0,188.901,-57.62,19.979,0,0,0,2,1,R,"HalF_HearteD",190,82,0.35,0,39,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.136,-37.103,0,"encounter v",0.032,-17.412,0,"쟈가리코",-21.548,-46.695,0,"muyang_",-17.289,-62.316,0,"わだ、、",17.499,-45.858,0,"shimenawa",8.939,-64.99,0,"ddil_ddil69",37.44,-96.889,0,"ByeolBam",-0.106,-105.905,0,"Po_cari",-40.158,-85.439,0,0,0,0,0,0,"",0,0,0,0,1340.306,,,,0,0
