id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1425.371,"si_ho",R,13,63,93,0.029,0.084,0.436,1.845,0.733,2.173,-36.352,25.173,84,16,0,0,0,-330.095,312.348,-12.029,0,0,0,0,4,R,"Slaris",190,85.704,0.452,0,76,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268,-37.643,0,"가앤슬_",-0.781,-18.133,0,"Kr_Luna",-20.586,-48.282,0,"crani",-14.334,-63.992,0,"mungjungh",25.141,-53.249,0,"CVPileMaki",14.548,-63.22,0,"-KYU-",45.34,-97.518,0,"k@ster",-2.396,-114.554,0,"SUGUN",-45.513,-93.89,0,0,0,0,0,0,"",0,0,0,0,1426.916,,,,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,1438.395,"si_ho",R,27,82,134,1.656,0.689,0.41,1.788,0.617,1.928,-36.352,24.832,87,13,0,2,0,65.617,-125.285,5.826,0,0,0,0,4,R,"Slaris",190,85.704,0.452,3,76,W,Y,1439.335,224,66,102,98,43,145,97,41.501,-34.69,-0.5,0,0.196,541.812,210.438,57.883,0.196,-36.969,0,"가앤슬_",0.151,-17.848,0,"Kr_Luna",-20.549,-48.277,0,"crani",-14.286,-63.98,0,"mungjungh",25.288,-53.156,0,"CVPileMaki",16.083,-62.859,0,"-KYU-",45.322,-97.526,109,"k@ster",-1.79,-116.443,0,"SUGUN",-45.731,-93.838,0,1444.678,43.56,-87.602,1444.85,6,"-KYU-",42.426,-85.608,0,0,,,,,16,1
3,1,1,0,0,0,0,1,0,0,0,255,255,255,2,1462.75,"si_ho",R,13,73,100,-2.179,-1.109,0.088,1.508,-0.347,1.318,-36.352,11.617,42,58,0,1,0,-352.404,315.804,-9.055,0,0,0,1,1,R,"-라후이-",190,87.311,0.496,0,74,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123,-37.745,0,"가앤슬_",-0.581,-18.795,0,"Kr_Luna",-20.673,-48.227,0,"crani",-14.598,-64.095,0,"mungjungh",23.977,-51.244,0,"CVPileMaki",12.129,-64.897,0,"-KYU-",44.861,-98.953,0,"k@ster",0.091,-116.438,0,"SUGUN",-46.543,-95.827,0,0,0,0,0,0,"",0,0,0,0,1464.137,,,,0,0
4,1,1,0,0,1,0,1,0,0,0,255,255,255,3,1474.529,"si_ho",R,27,91,140,-1.451,-0.42,0.041,1.539,-0.739,1.248,-36.352,5.742,53,47,0,0,0,79.71,-118.118,8.946,0,0,0,1,1,R,"-라후이-",190,87.311,0.496,0,74,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148,-37.681,0,"가앤슬_",-0.546,-18.439,0,"Kr_Luna",-20.751,-48.41,0,"crani",-14.332,-64.169,0,"mungjungh",25.497,-52.135,0,"CVPileMaki",12.017,-64.806,0,"-KYU-",44.864,-98.976,0,"k@ster",0.083,-116.531,0,"SUGUN",-45.929,-95.532,0,0,0,0,0,0,"",0,0,0,0,1475.707,,,,0,0
5,1,1,0,0,1,1,1,0,0,0,255,255,255,4,1486.666,"si_ho",R,27,86,140,0.92,0.286,0.32,1.743,0.289,1.69,-36.352,18.304,86,14,0,2,0,77.127,-114.242,6.986,0,0,1,1,1,R,"-라후이-",190,87.311,0.496,3,74,W,Y,1487.457,168,102,121,70,46,145,92,44.949,9.991,-0.75,0,0.095,385.124,-122.673,-293.403,0.206,-37.026,0,"가앤슬_",0.12,-17.664,0,"Kr_Luna",-20.448,-48.46,0,"crani",-14.183,-64.223,0,"mungjungh",25.441,-52.076,0,"CVPileMaki",15.838,-62.861,85,"-KYU-",44.873,-99,0,"k@ster",0.088,-116.543,95,"SUGUN",-46.007,-95.483,0,1492.979,-8.191,-86.491,1494.096,7,"k@ster",-8.831,-91.73,1,0,,,,,129,2
6,1,1,0,0,0,0,1,1,0,0,1,255,255,5,1513.107,"si_ho",R,13,69,97,-1.913,-1.247,0.12,1.486,-0.248,1.27,-36.352,10.128,49,51,0,1,0,-329.722,331.949,-17.603,0,0,0,2,8,R,"ディシジョン",190,92.496,0.622,0,72,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124,-37.722,0,"가앤슬_",-0.132,-17.555,0,"Kr_Luna",-19.427,-40.389,0,"crani",-13.493,-64.84,0,"mungjungh",25.128,-51.407,0,"CVPileMaki",3.08,-64.496,0,"-KYU-",42.312,-99.739,0,"k@ster",-0.028,-115.632,0,"SUGUN",-46.848,-93.938,0,0,0,0,0,0,"",0,0,0,0,1514.883,,,,0,0
7,1,1,0,0,0,1,1,1,0,0,1,255,255,6,1531.884,"si_ho",R,26,77,127,0.458,0.262,0.251,1.647,0.239,1.631,-36.352,11.618,55,45,0,0,0,-31.978,-152.157,19.16,0,0,0,2,8,R,"ディシジョン",190,92.496,0.622,0,72,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178,-37.357,0,"가앤슬_",-0.28,-18.225,0,"Kr_Luna",-19.458,-41.977,0,"crani",-14.327,-65.761,0,"mungjungh",25.049,-51.436,0,"CVPileMaki",6.066,-64.371,0,"-KYU-",42.344,-98.831,0,"k@ster",-0.011,-115.358,0,"SUGUN",-45.295,-91.864,0,0,0,0,0,0,"",0,0,0,0,1533.42,,,,0,0
8,1,1,0,0,0,2,1,1,0,0,1,255,255,7,1551.382,"si_ho",R,27,83,135,1.182,1.002,0.345,1.773,0.438,2.115,-36.352,22.121,92,8,0,1,0,47.719,-139.975,5.862,0,0,0,2,8,R,"ディシジョン",190,92.496,0.622,0,72,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202,-37.708,0,"가앤슬_",0.089,-18.374,0,"Kr_Luna",-19.832,-43.252,0,"crani",-14.658,-64.623,0,"mungjungh",25.058,-51.523,0,"CVPileMaki",6.289,-64.994,0,"-KYU-",42.362,-98.822,0,"k@ster",0.05,-115.364,0,"SUGUN",-45.393,-93.913,0,0,0,0,0,0,"",0,0,0,0,1552.754,,,,0,0
9,1,1,0,0,0,0,2,1,0,0,1,255,255,8,1576.882,"si_ho",R,10,75,104,0.53,-1.465,0.31,1.569,0.222,1.234,-36.352,20.241,55,45,0,2,0,0,400,7.069,0,0,0,3,0,R,"Kenomo",179.9,80,0.449,3,70,W,Y,1578.113,46,52,16,51,40,23,33,-88.924,-86.006,0.94,0,0.175,541.99,-94.224,-104.561,0.09,-37.123,0,"가앤슬_",0.081,-18.71,120,"Kr_Luna",-19.092,-44.282,0,"crani",-14.093,-63.539,0,"mungjungh",24.171,-50.306,0,"CVPileMaki",9.469,-65.263,0,"-KYU-",40.837,-97.107,0,"k@ster",0.165,-112.125,0,"SUGUN",-47.333,-92.427,0,1577.979,0.158,-19.527,1579.523,1,"가앤슬_",2.379,-19.701,0,0,1579.523,,,,256,2
10,1,1,0,0,0,1,2,1,0,0,1,255,255,9,1600.322,"si_ho",R,26,77,127,0.763,0.236,0.299,1.613,0.428,1.569,-36.352,16.577,58,42,0,2,0,-70.586,-178.631,18.09,0,0,1,3,0,R,"Kenomo",179.9,80,0.449,3,70,W,Y,1601.39,138,21,53,39,0,131,110,23.299,30.714,0.17,0,0.153,483.487,199.853,-249.405,0.149,-37.21,0,"가앤슬_",0.095,-18.377,0,"Kr_Luna",-18.666,-45.93,0,"crani",-14.183,-63.974,0,"mungjungh",24.028,-49.91,0,"CVPileMaki",10.653,-65.614,0,"-KYU-",41.635,-96.132,0,"k@ster",0.094,-111.13,0,"SUGUN",-46.675,-90.225,119,0,0,0,1606.416,8,"SUGUN",-51.654,-99.459,0,0,1697.299,1605.337,,,10,1
