id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1737.219,"あくせる",R,10,80,119,-0.026,-0.582,0.25,1.558,-0.019,1.688,-36.443,26.202,45,55,0,0,0,0,400,26.448,0,0,0,0,6,L,"濃いめのラー油",165,80,0.8,0,125,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087,-37.175,0,"kneesohime",-0.125,-17.626,0,"にゃんこ65K",-20.249,-49.525,0,"vovopo 보보포",-9.94,-60.95,0,"?fredo?",20.585,-44.975,0,"CoalCat",11.256,-63.861,0,"Espressο",44.537,-90.232,0,"「yune」",3.717,-108.375,0,"Roscosmos",-36.763,-90.957,0,0,0,0,0,0,"",0,0,0,0,1738.342,,,,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,1756.58,"あくせる",R,3,84,122,-1.023,-1.195,0.313,1.425,0.275,1.192,-36.443,30.244,0,100,0,1,0,-461.38,192.687,-12.565,0,0,0,0,6,L,"濃いめのラー油",165,80,0.8,0,125,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.075,-36.951,0,"kneesohime",-0.243,-17.574,0,"にゃんこ65K",-20.085,-48.513,0,"vovopo 보보포",-7.182,-61.751,0,"?fredo?",19.555,-47.324,0,"CoalCat",11.251,-63.923,0,"Espressο",44.551,-90.158,0,"「yune」",3.904,-108.418,0,"Roscosmos",-37.703,-92.104,0,0,0,0,0,0,"",0,0,0,0,1757.717,,,,0,0
3,1,1,0,0,1,1,0,0,0,0,255,255,255,2,1772.361,"あくせる",R,28,85,138,-1.76,0.455,0.064,1.576,-0.882,1.753,-36.443,7.877,13,87,0,2,0,82.974,-96.652,18.393,0,0,1,0,6,L,"濃いめのラー油",165,80,0.8,3,125,W,Y,1773.393,255,23,86,23,10,137,79,58.066,52.317,-0.76,0,0.05,-145.224,28.693,79.24,-0.178,-36.706,0,"kneesohime",-0.164,-17.521,0,"にゃんこ65K",-20.293,-49.954,0,"vovopo 보보포",-8.149,-60.385,0,"?fredo?",18.538,-46.41,0,"CoalCat",11.34,-63.884,0,"Espressο",44.531,-90.195,0,"「yune」",3.526,-108.402,0,"Roscosmos",-38.12,-92.69,0,1778.192,-41.737,-52.698,0,0,"",0,0,0,0,,,,,2,3
4,1,1,0,0,1,2,0,0,0,0,255,255,255,3,1795.187,"あくせる",R,32,94,140,2.043,0.359,0.385,1.544,0.612,1.633,-36.443,17.371,0,100,0,2,0,205.426,-168.522,24.497,0,0,1,0,6,L,"濃いめのラー油",165,80,0.8,3,125,W,Y,1796.186,227,16,98,22,7,139,111,-15.007,-35.769,0.82,0,0.119,-489.553,79.632,235.479,0.162,-36.772,0,"kneesohime",0.1,-17.672,0,"にゃんこ65K",-20.567,-49.415,88,"vovopo 보보포",-8.35,-60.649,0,"?fredo?",17.469,-46.023,92,"CoalCat",13.099,-64.53,0,"Espressο",46.666,-90.818,0,"「yune」",1.471,-107.429,0,"Roscosmos",-38.669,-90.893,0,1796.001,2.661,-22.889,1797.826,8,"Roscosmos",20.934,-48.414,0,0,,,,,26,2
5,1,1,0,0,0,0,1,0,0,0,255,255,255,4,1821.566,"あくせる",R,33,86,139,0.426,-1.001,0.264,1.321,0.047,0.913,-36.443,22.761,0,100,0,1,0,112.913,-87.27,10.315,0,0,0,1,1,R,"Megu3568",190,85.846,0.405,0,85,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172,-37.345,0,"kneesohime",-0.015,-17.594,0,"にゃんこ65K",-22.987,-50.359,0,"vovopo 보보포",-15.546,-62.967,0,"?fredo?",18.399,-46.985,0,"CoalCat",10.292,-65.364,0,"Espressο",46.775,-105.365,0,"「yune」",-0.204,-110.263,0,"Roscosmos",-45.074,-94.476,0,0,0,0,0,0,"",0,0,0,0,1822.576,,,,0,0
6,1,1,0,0,1,0,1,0,0,0,255,255,255,5,1840.315,"あくせる",R,13,83,108,-2.28,-1.041,0.133,1.421,-0.301,1.398,-36.443,23.032,27,73,0,2,0,-374.209,323.626,-11.843,0,0,1,1,1,R,"Megu3568",190,85.846,0.405,3,85,W,Y,1841.43,255,184,196,122,94,145,102,26.201,-21.163,0.93,0,0.594,33.95,-35.849,-0.996,-0.151,-36.863,0,"kneesohime",-0.665,-17.727,0,"にゃんこ65K",-23.004,-50.202,0,"vovopo 보보포",-15.381,-63.54,86,"?fredo?",18.655,-46.444,0,"CoalCat",10.347,-65.26,0,"Espressο",46.432,-105.033,0,"「yune」",-1.081,-119.767,0,"Roscosmos",-45.543,-91.59,0,1845.976,32.248,-103.416,1846.142,6,"Espressο",31.125,-100.638,0,0,,,,,7,1
7,1,1,0,0,0,0,2,0,0,0,255,255,255,6,1868.93,"あくせる",R,13,78,115,-1.939,-0.993,0.193,1.462,-0.279,1.337,-36.443,20.152,30,70,0,2,0,-390.434,312.348,-16.461,0,0,1,2,8,L,"Sabo_10",185.3,88,0.452,3,120,W,Y,1869.808,168,156,97,114,68,145,94,23.545,33.63,0.96,0,0.742,-81.051,-15.58,41.036,-0.087,-36.806,119,"kneesohime",-0.21,-17.529,0,"にゃんこ65K",-22.195,-51.496,86,"vovopo 보보포",-9.025,-60.11,0,"?fredo?",18.302,-47.022,0,"CoalCat",12.375,-64.306,0,"Espressο",55.937,-99.593,0,"「yune」",13.281,-117.171,0,"Roscosmos",-37.482,-102.646,98,1873.209,-39.192,-80.076,1874.459,8,"Roscosmos",-43.16,-86.212,1,0,,,,,274,2
8,1,1,0,0,0,0,2,1,0,0,8,255,255,7,1927.305,"あくせる",R,10,79,119,-0.408,-0.857,0.214,1.483,-0.184,1.412,-36.443,19.334,16,84,0,0,0,0,400,29.559,0,0,0,3,0,L,"하루（Haru）",190,90.172,0.403,0,119,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.115,-37.101,0,"kneesohime",-0.035,-17.305,0,"にゃんこ65K",-20.006,-42.238,0,"vovopo 보보포",-5.484,-60.55,0,"?fredo?",19.977,-47.842,0,"CoalCat",11.605,-63.149,0,"Espressο",51.691,-97.583,0,"「yune」",10.616,-118.052,0,"Roscosmos",-41.341,-97.977,0,0,0,0,0,0,"",0,0,0,0,1928.392,,,,0,0
9,1,1,0,0,0,0,2,1,0,0,8,255,255,7,2088.147,"あくせる",R,32,93,140,-1.943,0.435,0.028,1.606,-1.051,1.81,-36.443,6.067,0,100,0,1,0,152.635,-88.834,7.469,0,0,0,3,0,L,"하루（Haru）",190,90.172,0.403,0,119,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178,-37.232,0,"kneesohime",-0.135,-17.341,0,"にゃんこ65K",-20.371,-43.073,0,"vovopo 보보포",-5.08,-60.884,0,"?fredo?",19.981,-46.549,0,"CoalCat",11.962,-63.721,0,"Espressο",52.704,-98.436,0,"「yune」",10.431,-117.99,0,"Roscosmos",-40.708,-94.077,0,0,0,0,0,0,"",0,0,0,0,2089.201,,,,0,0
10,1,1,0,0,1,0,2,1,0,0,8,255,255,8,2106.859,"あくせる",R,10,84,125,0.562,-0.846,0.304,1.513,0.236,1.509,-36.443,22.866,13,87,0,0,0,0,400,14.307,0,0,0,3,0,L,"하루（Haru）",190,90.172,0.403,0,119,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108,-37.23,0,"kneesohime",-0.034,-17.368,0,"にゃんこ65K",-19.68,-42.96,0,"vovopo 보보포",-7.257,-60.941,0,"?fredo?",19.247,-46.27,0,"CoalCat",11.978,-63.731,0,"Espressο",52.641,-98.484,0,"「yune」",10.341,-118.039,0,"Roscosmos",-42.324,-94.768,0,0,0,0,0,0,"",0,0,0,0,2108.026,,,,0,0
11,1,1,0,0,1,1,2,1,0,0,8,255,255,9,2124.829,"あくせる",R,33,92,140,-1.153,0.61,0.11,1.641,-0.666,1.922,-36.443,10.014,0,100,0,2,0,120.13,-85.97,9.473,0,0,1,3,0,L,"하루（Haru）",190,90.172,0.403,3,119,W,Y,2125.885,159,92,75,42,38,137,116,31.699,-42.014,0.2,0,0.132,-134.882,-418.787,264.475,0.206,-37.197,0,"kneesohime",-0.179,-17.383,0,"にゃんこ65K",-18.496,-45.313,0,"vovopo 보보포",-9.017,-60.756,0,"?fredo?",19.009,-46.063,0,"CoalCat",12.32,-63.523,0,"Espressο",51.638,-96.743,0,"「yune」",10.322,-118.013,0,"Roscosmos",-42.584,-94.824,0,2130.476,73.506,-88.099,0,0,"",0,0,0,0,,2131.208,,,2,3
12,1,1,0,0,1,2,2,1,0,0,8,255,255,10,2156.034,"あくせる",R,13,75,113,-1.669,0.242,0.213,1.694,-0.049,2.154,-36.443,23.835,0,100,0,2,0,-390.434,312.348,-17.281,0,0,1,3,0,L,"하루（Haru）",190,90.172,0.403,3,112,W,Y,2157.159,180,114,147,124,62,145,92,4.561,10.292,-0.73,0.048,0.286,-528.487,200.679,-112.538,-0.017,-36.777,0,"kneesohime",-0.368,-17.406,0,"にゃんこ65K",-18.3,-45.096,0,"vovopo 보보포",-8.897,-60.609,0,"?fredo?",20.464,-47.549,0,"CoalCat",13.597,-63.199,0,"Espressο",54.955,-99.617,0,"「yune」",6.134,-122.431,0,"Roscosmos",-41.725,-96.932,0,2157.942,-5.019,-44.521,2158.809,3,"vovopo 보보포",-6.552,-53.755,1,4,2210.509,,,,363,2
13,1,0,0,0,0,0,0,0,0,0,255,255,255,0,2371.389,"하루（Haru）",R,26,92,140,-2.763,-1.3,0.03,1.626,-1.27,0.819,-36.491,12.498,50,50,0,3,0,64.381,-152.356,11.249,0,0,0,0,3,L,"vovopo 보보포",165.4,80.084,0.55,0,108,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.205,-36.904,0,"Megu3568",-0.234,-18.471,0,"Dοpi",-20.659,-44.69,0,"_앰프_",-9.588,-62.647,0,"Muna_328",22.648,-45.715,0,"schmoneymikey",12.911,-63.681,0,"濃いめのラー油",45.513,-85.862,0,"うよすま",5.362,-104.655,0,"Sabo_10",-42.274,-90.138,0,0,0,0,0,0,"",0,0,0,0,2372.576,,,,0,6
14,1,0,0,0,0,0,0,1,0,0,13,255,255,1,2425.605,"하루（Haru）",R,13,81,119,-0.395,-0.823,0.23,1.723,-0.339,1.242,-36.491,38.081,88,12,0,2,0,-319.79,384.362,6.686,0,0,1,1,0,R,"あくせる",190,89.801,0.5,3,107,W,Y,2426.76,255,161,173,149,56,145,112,-0.049,25.311,0.91,0,0.33,74.689,-140.677,-45.073,0.273,-36.998,0,"Megu3568",-0.509,-18.714,0,"Dοpi",-19.272,-45.414,75,"_앰프_",-14.514,-59.296,90,"Muna_328",23.01,-52.562,0,"schmoneymikey",7.13,-64.924,107,"濃いめのラー油",41.857,-98.629,0,"うよすま",-10.375,-120.337,0,"Sabo_10",-49.535,-99.407,0,2426.751,-4.832,-28.804,2428.276,3,"_앰프_",-16.768,-54.763,0,0,,2431.698,,,456,2
15,1,0,0,0,0,0,2,0,0,0,255,255,255,2,2460.347,"하루（Haru）",R,28,73,125,0.653,1.777,0.348,2.149,0.21,2.621,-36.491,66.676,86,14,0,1,0,48.331,-91.724,0.742,0,0,0,2,6,R,"Espressο",190,85.344,0.301,0,106,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,-36.905,0,"Megu3568",0.058,-18.285,0,"Dοpi",-20.735,-47.04,0,"_앰프_",-15.542,-60.513,0,"Muna_328",23.343,-52.039,0,"schmoneymikey",9.087,-66.282,0,"濃いめのラー油",38.385,-90.999,0,"うよすま",-6.19,-120.561,0,"Sabo_10",-49.312,-98.197,0,0,0,0,0,0,"",0,0,0,0,2461.309,,,,0,0
16,1,0,0,0,1,0,2,0,0,0,255,255,255,3,2484.531,"하루（Haru）",R,0,87,139,-1.795,-1.217,0.134,1.607,-0.786,0.867,-36.491,19.396,49,51,0,1,0,-0.362,29.844,8.122,0.07,-20.742,0,2,6,R,"Espressο",190,85.344,0.301,0,106,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.089,-37.006,0,"Megu3568",-0.249,-18.344,0,"Dοpi",-20.519,-47.295,0,"_앰프_",-14.658,-61.107,0,"Muna_328",23.432,-51.952,0,"schmoneymikey",8.62,-66.091,0,"濃いめのラー油",38.339,-91.028,0,"うよすま",-5.06,-118.696,0,"Sabo_10",-52.832,-97.057,0,0,0,0,0,0,"",0,0,0,0,2488.984,,,,0,0
17,1,0,0,0,2,0,2,0,0,0,255,255,255,4,2508.829,"하루（Haru）",R,12,84,134,-1.9,-0.792,0.142,1.707,-0.752,1.189,-36.491,25.028,91,9,0,4,0,-56.859,86.434,10.592,0,0,1,2,6,R,"Espressο",190,85.344,0.301,0,106,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033,-36.942,0,"Megu3568",-0.041,-18.212,0,"Dοpi",-20.587,-47.327,0,"_앰프_",-14.64,-61.128,0,"Muna_328",23.371,-51.881,0,"schmoneymikey",8.944,-66.643,0,"濃いめのラー油",38.286,-90.999,0,"うよすま",-5.418,-118.966,0,"Sabo_10",-49.209,-98.689,0,0,0,0,0,0,"",0,0,0,0,2509.809,,,,0,0
18,1,0,0,0,2,1,2,0,0,0,255,255,255,5,2531.069,"하루（Haru）",R,3,59,104,-0.439,-0.048,0.419,1.83,0.538,1.588,-36.491,40.023,79,21,0,2,0,-378.46,0,9.09,0,0,1,2,6,R,"Espressο",190,85.344,0.301,3,105,W,Y,2532.17,176,105,77,67,49,145,130,106.206,-68.596,0.52,0,0.271,235.212,-171.35,116.461,-0.112,-36.898,0,"Megu3568",0.186,-18.019,0,"Dοpi",-19.724,-45.939,0,"_앰프_",-14.297,-60.974,0,"Muna_328",23.36,-51.799,0,"schmoneymikey",8.94,-66.595,0,"濃いめのラー油",38.402,-91.006,0,"うよすま",-2.911,-118.825,0,"Sabo_10",-47.105,-98.802,0,0,0,0,0,0,"",0,0,0,0,,,,,8,3
19,1,0,0,0,2,2,2,0,0,0,255,255,255,6,2552.939,"하루（Haru）",R,26,86,140,0.232,-0.361,0.307,1.723,0.017,1.243,-36.491,28.3,43,57,0,0,0,55.637,-156.653,8.266,0,0,0,2,6,R,"Espressο",190,85.344,0.301,0,104,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.114,-37.015,0,"Megu3568",-0.132,-18.468,0,"Dοpi",-20.414,-44.01,0,"_앰프_",-14.84,-60.859,0,"Muna_328",22.903,-51.483,0,"schmoneymikey",8.576,-65.652,0,"濃いめのラー油",38.105,-91.002,0,"うよすま",-6.886,-121.91,0,"Sabo_10",-50.373,-99.338,0,0,0,0,0,0,"",0,0,0,0,2553.817,,,,0,0
20,2,1,0,0,0,0,0,0,0,0,255,255,255,11,2607.208,"あくせる",R,3,74,103,-1.661,-0.625,0.211,1.446,-0.133,1.412,-36.443,29.048,27,73,0,4,0,-355.611,144.253,-10.62,0,0,1,4,4,R,"Muna_328",190,89.724,0.4,0,103,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066,-37.387,0,"kneesohime",-0.256,-17.388,0,"にゃんこ65K",-21.915,-50.019,0,"vovopo 보보포",-16.062,-61.496,0,"?fredo?",19.279,-45.046,0,"CoalCat",9.063,-65.367,0,"Espressο",47.96,-107.318,0,"「yune」",-6.875,-115.131,0,"Roscosmos",-43.093,-90.431,0,0,0,0,0,0,"",0,0,0,0,2608.359,,,,0,0
21,2,1,0,0,0,1,0,0,0,0,255,255,255,12,2627.047,"あくせる",R,27,85,138,0.196,0.395,0.245,1.592,-0.04,1.764,-36.443,14.669,0,100,0,2,0,86.717,-113.101,14.711,0,0,1,4,4,R,"Muna_328",190,89.724,0.4,3,103,W,Y,2628.079,229,35,107,0,0,135,121,107.412,-58.065,0.27,0,0.614,142.727,260.486,-182.289,0.093,-36.846,0,"kneesohime",0.297,-17.414,0,"にゃんこ65K",-23.047,-51.726,0,"vovopo 보보포",-15.183,-62.828,0,"?fredo?",17.556,-46.984,0,"CoalCat",9.989,-65.022,0,"Espressο",47.945,-107.305,0,"「yune」",-6.67,-115.229,0,"Roscosmos",-43.146,-90.419,0,0,0,0,0,0,"",0,0,0,0,,,,,2,3
22,2,1,0,0,0,2,0,0,0,0,255,255,255,13,2647.147,"あくせる",R,3,75,103,-1.389,-0.578,0.319,1.47,0.172,1.327,-36.443,41.535,4,96,0,2,0,-397.602,40.757,-4.354,0,0,1,4,4,R,"Muna_328",190,89.724,0.4,3,90,W,Y,2648.256,255,130,100,131,29,145,117,25.398,47.635,0.79,0,0.793,181.262,-309.485,-48.034,-0.149,-36.749,0,"kneesohime",-0.908,-17.576,0,"にゃんこ65K",-23.073,-51.685,0,"vovopo 보보포",-14.536,-63.787,0,"?fredo?",17.238,-47.117,0,"CoalCat",9.909,-65.069,85,"Espressο",44.764,-108.248,0,"「yune」",-6.348,-114.777,0,"Roscosmos",-44.634,-92.723,108,2652.718,-72.162,-95.623,2654.067,8,"Roscosmos",-68.608,-91.554,1,0,,2658.223,,,386,2
23,2,1,0,0,0,0,0,0,1,0,255,4,255,14,2685.612,"あくせる",R,34,84,136,0.153,0.791,0.242,1.653,-0.052,1.987,-36.443,15.678,0,100,0,2,0,99.385,-80.066,23.194,0,0,0,5,7,R,"うよすま",175.4,85,0.568,3,103,W,Y,2686.572,159,54,91,26,0,138,127,26.757,44.688,0.43,0,0.288,-152.589,361.933,-108.971,-0.07,-36.828,0,"kneesohime",0.029,-17.264,0,"にゃんこ65K",-19.824,-48.521,0,"vovopo 보보포",-13.608,-61.272,0,"?fredo?",18.521,-46.226,0,"CoalCat",4.972,-60.391,0,"Espressο",37.326,-98.101,0,"「yune」",-9.773,-114.002,0,"Roscosmos",-47.678,-93.102,0,2690.992,-85.404,-92.574,0,0,"",0,0,0,0,,2697.359,2691.714,,2,3
24,2,1,0,0,0,1,0,0,1,0,255,4,255,15,2711.379,"あくせる",R,34,75,126,1.775,-1.223,0.389,1.318,0.63,0.815,-36.443,30.719,0,100,0,2,0,86.445,-79.563,6.839,0,0,1,5,7,R,"うよすま",175.4,85,0.568,3,102,W,Y,2712.343,255,75,119,78,12,145,86,0.621,25.663,-0.76,0,0.284,58.905,303.133,-72.3,-0.008,-36.809,0,"kneesohime",0.061,-17.312,0,"にゃんこ65K",-19.211,-47.653,120,"vovopo 보보포",-13.643,-60.513,91,"?fredo?",17.334,-45.883,87,"CoalCat",7.001,-61.543,0,"Espressο",39.591,-100.352,0,"「yune」",-9.797,-121.554,0,"Roscosmos",-47.462,-90.918,0,2712.551,-5.056,-30.498,2714.251,3,"vovopo 보보포",-15.801,-52.882,0,0,,,2717.06,,27,2
