id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,2142.344,"mungjungh",R,26,88,140,0.903,0.682,0.841,1.602,0.192,1.852,-36.513,37.69,0,100,0,0,0,130.894,-159.018,20.534,0,0,0,0,7,R,"「yune」",174.8,80,0.28,0,170,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375,-37.181,0,"가앤슬_",-0.078,-17.649,0,"Kr_Luna",-19.57,-50.303,0,"Yaksok~",-13.681,-66.563,0,"Penguin_iDOL",20.227,-47.867,0,"CVPileMaki",18.156,-61.492,0,"-KYU-",41.21,-95.666,0,"k@ster",-1.779,-105.04,0,"HANA_ARASHI",-43.77,-96.341,0,0,0,0,0,0,"",0,0,0,0,2143.692,,,,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,2155.004,"mungjungh",R,26,86,139,2.1,0.747,0.956,1.601,0.726,1.85,-36.513,45.097,2,98,0,4,0,117.329,-200,9.658,0,0,1,0,7,R,"「yune」",174.8,80,0.28,0,170,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.409,-37.424,0,"가앤슬_",-0.016,-17.65,0,"Kr_Luna",-19.564,-50.283,0,"Yaksok~",-13.328,-64.851,0,"Penguin_iDOL",20.354,-47.885,0,"CVPileMaki",18.119,-61.458,0,"-KYU-",41.168,-95.563,0,"k@ster",0.008,-105.921,0,"HANA_ARASHI",-41.727,-100.327,0,0,0,0,0,0,"",0,0,0,0,2156.338,,,,0,0
3,1,1,0,0,0,2,0,0,0,0,255,255,255,2,2166.889,"mungjungh",R,13,76,114,-0.933,-1.764,0.849,1.371,0.229,1.037,-36.513,31.536,5,95,0,2,0,-376.571,328.929,12.98,0,0,1,0,7,R,"「yune」",174.8,80,0.28,3,170,W,Y,2168.068,255,201,48,67,22,135,105,1.422,2.469,0.9,0,0.363,-60.836,59.403,-347.812,0.641,-36.791,0,"가앤슬_",0.062,-18.047,0,"Kr_Luna",-18.331,-50.857,0,"Yaksok~",-13.344,-64.838,0,"Penguin_iDOL",20.307,-47.888,0,"CVPileMaki",18.139,-61.308,0,"-KYU-",41.199,-95.561,0,"k@ster",-0.527,-106.719,95,"HANA_ARASHI",-40.002,-98.533,0,2168.178,-0.624,-32.27,2171.387,7,"k@ster",-1.26,-91.506,1,0,,,,,164,2
4,1,1,0,0,0,0,0,1,0,0,7,255,255,3,2213.811,"mungjungh",R,26,82,133,0.776,-0.171,0.838,1.453,0.176,1.352,-36.513,26.734,0,100,0,2,0,112.313,-170.197,21.094,0,0,1,1,6,R,"あくせる",190,89.801,0.5,3,75,W,Y,2214.867,255,69,117,74,47,145,91,23.782,10.866,-0.8,0,0.284,104.044,513.264,-255.951,0.453,-36.927,0,"가앤슬_",0.09,-17.84,0,"Kr_Luna",-19.236,-46.013,0,"Yaksok~",-10.821,-61.343,0,"Penguin_iDOL",19.591,-47.806,61,"CVPileMaki",9.112,-65.225,105,"-KYU-",42.481,-98.657,0,"k@ster",-0.994,-110.881,0,"HANA_ARASHI",-44.654,-100.53,130,2219.067,-22.393,-93.152,2220.012,8,"HANA_ARASHI",-23.694,-97.868,1,0,,2219.871,2224.642,,105,2
5,1,1,0,0,0,0,0,1,0,1,6,255,7,4,2275.063,"mungjungh",R,26,86,139,-0.112,0.322,0.764,1.545,-0.167,1.651,-36.513,21.284,16,84,0,0,0,80.008,-192.419,19.842,0,0,0,2,9,R,"アリアル",190,95.446,0.5,0,36,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.348,-37.324,0,"가앤슬_",0.054,-17.522,0,"Kr_Luna",-19.762,-44.878,0,"Yaksok~",-11.27,-57.906,0,"Penguin_iDOL",19.852,-43.31,0,"CVPileMaki",11.43,-65.217,0,"-KYU-",43.492,-99.618,0,"k@ster",-4.077,-120.353,0,"HANA_ARASHI",-40.739,-99.356,0,0,0,0,0,0,"",0,0,0,0,2276.046,,2277.292,,0,0
6,1,1,0,0,0,1,0,1,0,1,6,255,7,5,2289.864,"mungjungh",R,13,88,126,-1.446,-0.774,0.742,1.514,-0.268,1.552,-36.513,27.9,5,95,0,2,0,-251.067,400,23.509,0,0,1,2,9,R,"アリアル",190,95.446,0.5,3,36,W,Y,2290.71,127,141,80,87,54,138,130,-30,46.633,0.65,0,0.323,47.877,-249.93,-72.303,0.485,-36.939,0,"가앤슬_",-0.525,-18.236,0,"Kr_Luna",-19.037,-47.324,0,"Yaksok~",-12.131,-59.389,0,"Penguin_iDOL",18.165,-46.202,0,"CVPileMaki",11.475,-64.943,0,"-KYU-",43.539,-99.648,0,"k@ster",-4.454,-120.721,0,"HANA_ARASHI",-48.406,-103.009,0,2290.331,-1.449,-21.266,0,0,"",0,0,0,0,,,2298.204,,36,3
7,1,1,0,0,0,2,0,1,0,1,6,255,7,6,2357.492,"mungjungh",R,26,86,139,2.233,0.737,0.951,1.623,0.701,1.904,-36.513,38.216,3,97,0,2,0,191.148,-200,40.259,0,0,1,2,9,R,"アリアル",190,95.446,0.5,3,36,W,Y,2358.37,255,35,51,58,20,136,90,26.796,-18.818,-0.56,0,0.187,-365.392,300.601,341.02,0.72,-36.913,0,"가앤슬_",0.228,-18.011,0,"Kr_Luna",-19.255,-47.241,0,"Yaksok~",-13.282,-58.436,86,"Penguin_iDOL",20.288,-46.796,0,"CVPileMaki",12.881,-64.1,0,"-KYU-",43.624,-98.232,0,"k@ster",-3.809,-120.389,0,"HANA_ARASHI",-46.87,-97.676,0,2362.102,17.679,-88.875,2364.769,7,"k@ster",21.281,-110.691,1,0,,2364.025,2368.834,2365.562,162,2
8,1,1,1,0,0,0,0,0,1,1,255,9,6,7,2457.818,"mungjungh",R,26,100,140,-3.397,-0.382,0.448,1.41,-1.637,1.213,-36.513,8.672,2,98,0,2,0,177.89,-193.085,42.357,0,0,1,3,4,R,"?fredo?",190.4,86.374,0.436,3,164,W,Y,2458.918,255,109,73,118,44,145,111,-30,47.43,0.92,0,0.299,115.243,-180.399,96.841,0.308,-37.309,0,"가앤슬_",-0.551,-17.985,0,"Kr_Luna",-19.383,-46.298,0,"Yaksok~",-13.377,-61.076,0,"Penguin_iDOL",18.906,-46.524,0,"CVPileMaki",8.235,-66.412,0,"-KYU-",42.391,-98.194,0,"k@ster",-1.032,-111.336,0,"HANA_ARASHI",-44.787,-98.156,0,2458.651,-2.106,-21.434,0,0,"",0,0,0,0,,2464.656,2464.213,,32,3
9,1,1,1,0,0,1,0,0,1,1,255,9,6,8,2474.633,"mungjungh",R,26,87,140,-0.238,1.816,0.759,1.833,-0.19,2.583,-36.513,36.828,60,40,0,2,0,47.914,-200,28.377,0,0,1,3,4,R,"?fredo?",190.4,86.374,0.436,3,164,W,Y,2475.7,179,83,74,63,33,142,112,108.842,29.83,0.12,0,0.246,446.888,227.105,-93.47,0.464,-36.762,0,"가앤슬_",0.003,-18.458,0,"Kr_Luna",-20.506,-46.35,0,"Yaksok~",-12.454,-60.887,0,"Penguin_iDOL",19.342,-46.181,0,"CVPileMaki",12.497,-64.09,0,"-KYU-",42.044,-96.732,0,"k@ster",0.298,-110.699,0,"HANA_ARASHI",-44.485,-102.594,0,0,0,0,0,0,"",0,0,0,0,,2474.955,2477.792,,32,3
10,1,1,1,0,0,2,0,0,1,1,255,9,6,9,2490.743,"mungjungh",R,13,87,126,-3.497,-0.732,0.693,1.498,-0.962,1.498,-36.513,35.449,0,100,0,2,0,-380.109,324.834,29.423,0,0,1,3,4,R,"?fredo?",190.4,86.374,0.436,3,164,W,Y,2491.797,253,179,63,121,52,139,102,14.783,21.824,0.91,0,0.319,37.457,207.627,561.683,0.491,-36.98,0,"가앤슬_",-0.953,-18.146,120,"Kr_Luna",-20.443,-46.437,0,"Yaksok~",-12.656,-61.349,0,"Penguin_iDOL",20.029,-46.172,0,"CVPileMaki",10.115,-64.604,0,"-KYU-",43.284,-96.26,0,"k@ster",0.004,-111.731,0,"HANA_ARASHI",-43.91,-96.368,0,2494.206,-26.139,-77.976,2495.31,8,"HANA_ARASHI",-31.627,-89.492,1,0,2498.866,,2497.122,2496.998,352,2
