id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1438.747,"Dοpi",R,3,75,115,0.309,-0.326,0.433,1.733,0.849,1.414,-36.235,48.101,100,0,0,0,0,-438.134,0,-22.089,0,0,0,0,8,R,"Pizzallaris",169.9,88,0.383,0,52,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126,-37.181,0,"Megu3568",0.195,-18.048,0,"Fresh825",-21.653,-47.103,0,"_앰프_",-12.331,-59.495,0,"하루（Haru）",17.478,-48.985,0,"schmoneymikey",6.149,-66.079,0,"濃いめのラー油",33.231,-92.456,0,"うよすま",-7.025,-104.799,0,"Muna_328",-52.09,-90.871,0,0,0,0,0,0,"",0,0,0,0,1437.364,,,,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,1454.992,"Dοpi",R,4,67,116,-0.782,0.687,0.183,1.879,-0.051,1.979,-36.235,66.895,100,0,0,2,0,-180.068,0,-4.36,0,0,0,0,8,R,"Pizzallaris",169.9,88,0.383,3,52,W,Y,1456.191,203,157,109,92,55,145,90,96.005,-81.118,-0.49,0,0.152,34.706,-130.796,64.358,-0.193,-36.796,0,"Megu3568",-0.485,-17.993,0,"Fresh825",-21.951,-47.424,0,"_앰프_",-12.992,-59.809,0,"하루（Haru）",17.351,-48.887,0,"schmoneymikey",8.081,-65.913,0,"濃いめのラー油",31.58,-89.728,0,"うよすま",-6.554,-111.402,0,"Muna_328",-52.081,-90.841,0,0,0,0,0,0,"",0,0,0,0,,,,,4,3
3,1,1,0,0,0,2,0,0,0,0,255,255,255,2,1473.847,"Dοpi",R,5,82,131,-0.844,-0.413,0.204,1.679,-0.3,1.359,-36.235,42.861,98,2,0,2,0,-53.155,0,0.496,0,0,1,0,8,R,"Pizzallaris",169.9,88,0.383,3,51,W,Y,1474.999,206,138,85,41,0,142,115,7.385,-15.002,0.23,0,0.1,170.574,387.148,39.916,-0.181,-36.697,0,"Megu3568",-0.246,-18.131,0,"Fresh825",-22.66,-47.551,0,"_앰프_",-12.105,-59.133,0,"하루（Haru）",17.689,-49.505,0,"schmoneymikey",8.183,-65.653,85,"濃いめのラー油",31.517,-89.373,0,"うよすま",-6.689,-108.792,0,"Muna_328",-52.74,-89.207,0,0,0,0,1474.164,5,"schmoneymikey",9.327,-62.713,0,0,,,,,20,1
4,1,1,0,0,0,0,1,0,0,0,255,255,255,3,1499.324,"Dοpi",R,27,86,139,-3.154,-0.162,-0.076,1.671,-1.45,1.395,-36.235,27.934,96,4,0,1,0,69.466,-118.641,2.279,0,0,0,1,3,L,"-Alta-",171.9,84,0.479,0,51,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.267,-36.951,0,"Megu3568",-0.406,-17.984,0,"Fresh825",-19.251,-48.035,0,"_앰프_",-8.656,-60.558,0,"하루（Haru）",20.189,-46.086,0,"schmoneymikey",13.671,-62.551,0,"濃いめのラー油",46.898,-91.31,0,"うよすま",-2.641,-108.654,0,"Muna_328",-41.458,-93.2,0,0,0,0,0,0,"",0,0,0,0,1497.414,,,,0,0
5,1,1,0,0,1,0,1,0,0,0,255,255,255,4,1517.453,"Dοpi",R,27,86,139,0.56,-0.475,0.265,1.632,0.128,1.221,-36.235,38.958,95,5,0,2,0,82.38,-114.633,-0.095,0,0,1,1,3,L,"-Alta-",171.9,84,0.479,3,51,W,Y,1518.293,255,84,131,18,0,145,105,108.273,72.46,0.88,0,0.503,89.473,-263.668,76.628,0.032,-36.523,0,"Megu3568",0.174,-18.047,0,"Fresh825",-19.264,-48.019,0,"_앰프_",-8.668,-60.471,0,"하루（Haru）",20.22,-46.099,0,"schmoneymikey",13.299,-62.598,0,"濃いめのラー油",46.864,-91.293,0,"うよすま",-1.456,-110.237,0,"Muna_328",-40.097,-91.497,0,0,0,0,0,0,"",0,0,0,0,,,,,4,3
6,1,1,0,0,1,1,1,0,0,0,255,255,255,5,1537.894,"Dοpi",R,5,69,118,1.914,0.548,0.391,1.807,1.025,1.906,-36.235,75.329,93,7,0,2,0,-126.074,0,-0.312,0,0,1,1,3,L,"-Alta-",171.9,84,0.479,3,64,W,Y,1538.809,255,65,143,75,56,145,115,91.718,83.178,0.77,0,0.56,302.805,172.248,-140.858,-0.189,-36.533,0,"Megu3568",-0.295,-18.086,0,"Fresh825",-19.986,-48.875,0,"_앰프_",-9.184,-60.414,0,"하루（Haru）",20.842,-47.16,0,"schmoneymikey",14.502,-63.013,0,"濃いめのラー油",47.042,-91.188,0,"うよすま",-0.287,-108.739,0,"Muna_328",-40.605,-90.655,0,0,0,0,0,0,"",0,0,0,0,,,,,4,3
7,1,1,0,0,1,2,1,0,0,0,255,255,255,6,1561.313,"Dοpi",R,12,81,128,1.945,-0.576,0.451,1.702,0.957,1.399,-36.235,51.391,96,4,0,1,0,-84.849,120.587,-0.353,0,0,0,1,3,L,"-Alta-",171.9,84,0.479,0,64,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.048,-36.746,0,"Megu3568",0.334,-18.201,0,"Fresh825",-19.41,-47.389,0,"_앰프_",-8.883,-60.732,0,"하루（Haru）",20.99,-47.056,0,"schmoneymikey",14.461,-61.403,0,"濃いめのラー油",49.624,-89.84,0,"うよすま",1.362,-106.318,0,"Muna_328",-40.827,-87.77,0,0,0,0,0,0,"",0,0,0,0,1559.414,,,,0,0
8,1,1,0,0,2,2,1,0,0,0,255,255,255,7,1581.804,"Dοpi",R,34,77,128,-0.369,0.824,0.176,1.811,-0.288,1.992,-36.235,55.405,92,8,0,2,0,84.053,-68.188,1.171,0,0,1,1,3,L,"-Alta-",171.9,84,0.479,3,64,W,Y,1582.677,223,65,87,65,10,145,126,26.121,-37.683,0.3,0,0.379,25.762,-430.154,147.876,-0.338,-36.452,0,"Megu3568",-0.424,-17.814,0,"Fresh825",-19.145,-47.603,0,"_앰프_",-9.044,-60.796,0,"하루（Haru）",20.773,-46.517,0,"schmoneymikey",14.954,-61.707,0,"濃いめのラー油",48.439,-90.555,0,"うよすま",3.013,-107.874,0,"Muna_328",-40.852,-87.805,0,1584.414,76.561,-100.764,0,0,"",0,0,0,0,,1593.332,1598.279,,4,4
9,1,1,1,0,0,0,1,0,0,0,255,255,255,8,1628.376,"Dοpi",R,27,83,134,0.475,-0.104,0.269,1.714,0.107,1.439,-36.235,40.466,95,5,0,2,0,78.04,-113.087,-0.369,0,0,1,2,4,R,"mochi_2929",190,87.482,0.553,3,50,W,Y,1629.503,255,50,89,59,18,145,87,17.994,-16.977,1,0,0.252,140.202,-284.277,54.506,-0.094,-36.617,0,"Megu3568",0.241,-18.032,0,"Fresh825",-21.322,-46.26,0,"_앰프_",-11.679,-60.616,75,"하루（Haru）",19.028,-48.997,0,"schmoneymikey",8.759,-65.692,0,"濃いめのラー油",44.693,-100.175,101,"うよすま",-5.679,-121.211,0,"Muna_328",-51.263,-89.618,0,1629.697,20.917,-76.37,1631.731,6,"濃いめのラー油",27.958,-93.287,1,0,,,,,261,2
10,1,1,1,0,0,0,1,1,0,0,4,255,255,9,1732.401,"Dοpi",R,28,75,126,-2.515,0.095,0.018,1.739,-1.2,1.58,-36.235,44.831,97,3,0,1,0,82.077,-87.856,0.065,0,0,0,3,0,L,"Pring__",190,93.089,0.485,0,49,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.279,-37.241,0,"Megu3568",-0.299,-18.331,0,"Fresh825",-18.792,-39.621,0,"_앰프_",-7.812,-59.43,0,"하루（Haru）",20.525,-46.23,0,"schmoneymikey",14.525,-62.348,0,"濃いめのラー油",52.652,-99.651,0,"うよすま",8.017,-122.653,0,"Muna_328",-46.161,-97.587,0,0,0,0,0,0,"",0,0,0,0,1730.147,,,,0,0
