id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,2143.716,"눈꽃",R,27,89,140,1.271,0.736,0.285,1.985,0.509,1.858,-36.64,19.359,90,10,0,0,0,26.113,-146.136,0,0,0,0,0,7,R,"Gonyong",170.2,85,0.2,0,165,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301,-37.718,0,"559：広告",-0.071,-18,0,"甲斐野柊太",-19.85,-44.86,0,"柴山犬吉",-16.214,-62.667,0,"Azuner",17.572,-48.367,0,"coder_",8.815,-68.959,0,"YukihiroD",29.59,-92.845,0,"Amellaid",-9.178,-109.166,0,"레이나2",-43.88,-96.137,0,0,0,0,0,0,"",0,0,0,0,2144.535,,,,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,2161.759,"눈꽃",R,27,90,140,1.409,0.122,0.256,1.842,0.623,1.543,-36.64,18.574,52,48,0,0,0,-12.51,-118.546,0,0.247,-10.541,0,0,7,R,"Gonyong",170.2,85,0.2,0,164,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.043,-37.796,0,"559：広告",0.097,-18.44,0,"甲斐野柊太",-19.541,-45.357,0,"柴山犬吉",-16.103,-62.701,0,"Azuner",17.458,-48.453,0,"coder_",10.607,-68.869,0,"YukihiroD",29.088,-93.15,0,"Amellaid",-8.075,-110.316,0,"레이나2",-45.223,-97.114,0,0,0,0,0,0,"",0,0,0,0,2163.862,,,,0,0
3,1,1,0,0,0,2,0,0,0,0,255,255,255,2,2178.199,"눈꽃",R,26,76,127,0.04,0.957,0.171,2.005,-0.018,1.933,-36.64,24.893,87,13,0,0,0,19.178,-173.407,0,0,0,0,0,7,R,"Gonyong",170.2,85,0.2,0,164,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217,-37.521,0,"559：広告",-0.15,-17.993,0,"甲斐野柊太",-19.808,-44.812,0,"柴山犬吉",-16.055,-62.701,0,"Azuner",17.423,-48.415,0,"coder_",10.26,-68.577,0,"YukihiroD",29.078,-93.148,0,"Amellaid",-8.171,-110.22,0,"레이나2",-45.735,-97.572,0,0,0,0,0,0,"",0,0,0,0,2179.299,,,,0,0
4,1,1,0,0,0,0,1,0,0,0,255,255,255,3,2204.9,"눈꽃",R,26,89,140,0.916,0.527,0.167,1.86,0.373,1.765,-36.64,15.554,49,51,0,0,0,17.468,-193.063,0,0,0,0,1,6,R,"あくせる",190,89.801,0.5,0,163,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188,-37.587,0,"559：広告",0.092,-17.863,0,"甲斐野柊太",-19.392,-45.188,0,"柴山犬吉",-16.427,-63.015,0,"Azuner",19.965,-52.554,0,"coder_",9.853,-70.196,0,"YukihiroD",30.399,-94.525,0,"Amellaid",-8.427,-117.697,0,"레이나2",-49.425,-100.156,0,0,0,0,0,0,"",0,0,0,0,2205.646,,,,0,0
5,1,1,0,0,0,1,1,0,0,0,255,255,255,4,2220.398,"눈꽃",R,26,89,140,0.83,0.681,0.179,1.932,0.317,1.896,-36.64,16.224,51,49,0,0,0,28.434,-151.529,0,0,0,0,1,6,R,"あくせる",190,89.801,0.5,0,163,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,-37.668,0,"559：広告",0.131,-17.934,0,"甲斐野柊太",-19.436,-44.878,0,"柴山犬吉",-16.446,-63.037,0,"Azuner",20.048,-52.502,0,"coder_",10.007,-70.773,0,"YukihiroD",30.33,-94.437,0,"Amellaid",-8.434,-117.808,0,"레이나2",-49.385,-100.113,0,0,0,0,0,0,"",0,0,0,0,2221.125,,,,0,0
6,1,1,0,0,0,2,1,0,0,0,255,255,255,5,2236.558,"눈꽃",R,28,88,140,0.923,1.71,0.233,2.243,0.349,2.58,-36.64,43.055,82,18,0,1,0,33.842,-99.826,0,0,0,0,1,6,R,"あくせる",190,89.801,0.5,0,163,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083,-37.55,0,"559：広告",-0.273,-17.971,0,"甲斐野柊太",-20.25,-44.254,0,"柴山犬吉",-16.428,-63.019,0,"Azuner",20.166,-52.414,0,"coder_",10.332,-70.373,0,"YukihiroD",30.154,-94.53,0,"Amellaid",-8.43,-117.844,0,"레이나2",-49.333,-100.108,0,0,0,0,0,0,"",0,0,0,0,2237.327,,,,0,0
7,1,1,0,0,1,2,1,0,0,0,255,255,255,6,2253.811,"눈꽃",R,28,83,134,1.624,0.013,0.254,1.807,0.697,1.524,-36.64,17.281,58,42,0,2,0,1.799,-91.78,0,0,0,0,1,6,R,"あくせる",190,89.801,0.5,3,163,W,Y,2254.934,192,34,122,92,42,145,130,112.412,-59.839,0.46,0,0.375,9.935,558.643,-109.145,0.214,-37.42,0,"559：広告",0.156,-18.063,0,"甲斐野柊太",-19.579,-45.31,0,"柴山犬吉",-16.415,-63.018,0,"Azuner",19.899,-52.445,0,"coder_",9.929,-69.691,0,"YukihiroD",30.095,-94.534,0,"Amellaid",-8.432,-117.849,0,"레이나2",-49.336,-100.183,0,0,0,0,0,0,"",0,0,0,0,,,,,4,3
8,1,1,0,0,1,2,1,0,0,0,255,255,255,7,2276.659,"눈꽃",R,13,66,107,-0.501,-0.637,0.329,1.823,0.365,1.742,-36.64,18.328,57,43,0,2,0,-307.113,387.71,0,0,0,1,1,6,R,"あくせる",190,89.801,0.5,3,162,W,Y,2277.871,255,81,177,76,53,145,129,-7.14,20.742,0.69,0,0.187,-217.531,350.875,53.189,0.23,-37.52,0,"559：広告",-0.395,-18.035,0,"甲斐野柊太",-19.538,-44.977,91,"柴山犬吉",-17.186,-62.532,99,"Azuner",19.963,-52.462,0,"coder_",6.513,-70.916,0,"YukihiroD",30.461,-95.36,0,"Amellaid",-8.894,-117.971,0,"레이나2",-50.349,-100.115,0,2277.375,-1.601,-22.687,2278.931,3,"柴山犬吉",-15.086,-58.234,0,0,,,,,134,2
9,1,1,0,0,0,0,2,0,0,0,255,255,255,8,2306.955,"눈꽃",R,26,92,140,1.02,0.083,0.209,1.822,0.437,1.485,-36.64,19.494,50,50,0,2,0,0.552,-194.747,0,0,0,1,2,4,R,"Espressο",190,85.344,0.301,3,161,W,Y,2307.848,186,191,97,96,33,145,91,17.805,7.783,-0.78,0,0.232,346.648,425.863,139.852,0.11,-37.297,120,"559：広告",0.025,-17.906,0,"甲斐野柊太",-18.352,-45.518,85,"柴山犬吉",-15.838,-63.239,0,"Azuner",19.858,-51.179,0,"coder_",11.364,-66.191,0,"YukihiroD",30.955,-93.279,0,"Amellaid",-7.981,-118.481,95,"레이나2",-49.88,-100.434,0,2311.264,-15.628,-90.672,2316.591,2,"甲斐野柊太",-19.083,-97.72,1,0,,,,,263,2
10,1,1,0,0,0,0,2,1,0,0,4,255,255,9,2397.423,"눈꽃",R,27,86,139,1.444,0.134,0.265,1.852,0.561,1.558,-36.64,23.833,52,48,0,2,0,50.426,-145.816,0,0,0,1,3,0,R,"?fredo?",190.4,86.374,0.436,3,160,W,Y,2398.507,141,132,79,83,6,141,87,-63.023,-53.345,-0.85,0,0.251,-482.489,31.85,355.233,0.225,-37.413,0,"559：広告",0.145,-17.898,0,"甲斐野柊太",-16.802,-42.032,0,"柴山犬吉",-17.245,-62.276,0,"Azuner",18.862,-53.07,0,"coder_",8.058,-71.295,0,"YukihiroD",25.402,-92.735,0,"Amellaid",-8.566,-117.076,0,"레이나2",-49.817,-101.165,0,2397.979,0.933,-20.29,0,0,"",0,0,0,0,,,,,4,3
