id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1682.6,"HANA_ARASHI",R,26,93,140,2.332,0.803,0.432,2.138,1.078,1.922,-36.736,28.97,73,27,0,1,0,-61.827,-200,-2.215,0,0,0,0,0,R,"Muna_328",190,89.724,0.4,0,158,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167,-37.547,0,"가앤슬_",-0.199,-18.134,0,"Kr_Luna",-20.191,-48.998,0,"crani",-14.524,-63.718,0,"Penguin_iDOL",20.806,-49.618,0,"CVPileMaki",15.053,-63.844,0,"-KYU-",42.987,-96.591,0,"Yaksok~",-3.374,-102.992,0,"SUGUN",-45.155,-91.567,0,0,0,0,0,0,"",0,0,0,0,1682.82,,,,0,0
2,1,1,0,0,1,0,0,0,0,0,255,255,255,1,1700.099,"HANA_ARASHI",R,26,89,140,1.442,0.51,0.366,2.174,0.771,1.735,-36.736,30.775,88,12,0,0,0,-111.646,-200,-0.706,0,0,0,0,0,R,"Muna_328",190,89.724,0.4,0,158,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183,-37.448,0,"가앤슬_",-0.236,-18.007,0,"Kr_Luna",-19.567,-48.642,0,"crani",-14.306,-63.754,0,"Penguin_iDOL",21.034,-49.43,0,"CVPileMaki",15.689,-63.239,0,"-KYU-",42.757,-96.761,0,"Yaksok~",-2.445,-105.266,0,"SUGUN",-45.232,-91.51,0,0,0,0,0,0,"",0,0,0,0,1700.286,,,,0,0
3,1,1,0,0,1,1,0,0,0,0,255,255,255,2,1717.855,"HANA_ARASHI",R,14,87,112,1.835,-0.624,0.361,2.28,0.499,1.718,-36.736,44.144,87,13,0,2,0,157.411,400,-9.822,0,0,1,0,0,R,"Muna_328",190,89.724,0.4,3,158,W,Y,1718.981,255,171,196,0,0,145,91,91.194,-88.291,-0.77,0,0.646,169.597,-95.244,129.964,0.089,-37.177,0,"가앤슬_",0.067,-17.887,0,"Kr_Luna",-20.536,-47.531,0,"crani",-14.325,-63.728,0,"Penguin_iDOL",21.839,-49.078,0,"CVPileMaki",15.643,-62.842,0,"-KYU-",42.783,-96.715,0,"Yaksok~",-2.439,-105.258,0,"SUGUN",-45.169,-91.451,0,0,0,0,0,0,"",0,0,0,0,,,,,32,3
4,1,1,0,0,1,2,0,0,0,0,255,255,255,3,1736.448,"HANA_ARASHI",R,10,79,107,-2.312,-1.324,0.049,2.096,-0.779,1.322,-36.736,18.422,89,11,0,2,0,-116.736,400,8.876,0,0,1,0,0,R,"Muna_328",190,89.724,0.4,3,156,W,Y,1737.564,255,115,93,97,12,145,130,100.45,-69.946,0.46,0,0.743,382.385,4.085,198.976,-0.033,-37.161,0,"가앤슬_",-0.611,-18.077,0,"Kr_Luna",-20.682,-47.656,0,"crani",-14.447,-63.589,0,"Penguin_iDOL",21.211,-49.652,0,"CVPileMaki",14.702,-63.959,0,"-KYU-",42.771,-96.268,0,"Yaksok~",-2.757,-104.874,0,"SUGUN",-45.296,-91.435,0,0,0,0,0,0,"",0,0,0,0,,,,,32,3
5,1,1,0,0,1,2,0,0,0,0,255,255,255,4,1754.253,"HANA_ARASHI",R,13,71,99,-3.184,-1.215,0.097,2.1,-0.629,1.329,-36.736,21.347,93,7,0,4,0,-350.099,314.134,15.186,0,0,1,0,0,R,"Muna_328",190,89.724,0.4,0,156,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.062,-37.665,0,"가앤슬_",-1.133,-17.994,0,"Kr_Luna",-21.493,-44.928,0,"crani",-14.738,-63.678,0,"Penguin_iDOL",20.368,-49.82,0,"CVPileMaki",12.184,-64.102,0,"-KYU-",42.451,-97.009,0,"Yaksok~",-2.436,-105.983,0,"SUGUN",-45.668,-90.926,0,0,0,0,0,0,"",0,0,0,0,1754.744,,,,0,0
6,1,1,0,0,0,0,1,0,0,0,255,255,255,5,1776.717,"HANA_ARASHI",R,14,82,120,1.622,0.323,0.279,2.256,0.369,2.198,-36.736,38.439,82,18,0,1,0,226.068,400,-4.789,0,0,0,1,1,R,"Megu3568",190,85.846,0.405,0,155,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084,-37.524,0,"가앤슬_",-0.133,-17.603,0,"Kr_Luna",-21.328,-46.283,0,"crani",-14.697,-63.779,0,"Penguin_iDOL",20.526,-49.807,0,"CVPileMaki",14.556,-63.737,0,"-KYU-",43.662,-97.564,0,"Yaksok~",-1.737,-104.07,0,"SUGUN",-45.385,-91.173,0,0,0,0,0,0,"",0,0,0,0,1776.883,,,,0,0
7,1,1,0,0,1,0,1,0,0,0,255,255,255,6,1795.235,"HANA_ARASHI",R,26,82,133,1.485,1.936,0.351,2.348,0.703,2.62,-36.736,43.763,73,27,0,1,0,-45.728,-200,-1.66,0,0,0,1,1,R,"Megu3568",190,85.846,0.405,0,155,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,-37.328,0,"가앤슬_",-0.344,-18.022,0,"Kr_Luna",-20.728,-48.078,0,"crani",-14.584,-63.885,0,"Penguin_iDOL",20.891,-49.494,0,"CVPileMaki",14.226,-64.097,0,"-KYU-",43.665,-97.581,0,"Yaksok~",-1.229,-104.565,0,"SUGUN",-45.453,-91.148,0,0,0,0,0,0,"",0,0,0,0,1795.334,,,,0,0
8,1,1,0,0,2,0,1,0,0,0,255,255,255,7,1824.058,"HANA_ARASHI",R,26,91,140,1.438,0.755,0.356,2.123,0.727,1.891,-36.736,29.727,87,13,0,0,0,-80.508,-200,-5.383,0,0,0,1,1,R,"Megu3568",190,85.846,0.405,0,154,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068,-37.477,0,"가앤슬_",-0.581,-17.943,0,"Kr_Luna",-20.419,-48.306,0,"crani",-14.549,-63.829,0,"Penguin_iDOL",20.668,-49.951,0,"CVPileMaki",15.469,-62.659,0,"-KYU-",43.834,-97.755,0,"Yaksok~",-1.974,-103.457,0,"SUGUN",-45.54,-91.262,0,0,0,0,0,0,"",0,0,0,0,1824.133,,,,0,0
9,1,1,0,0,2,1,1,0,0,0,255,255,255,8,1843.289,"HANA_ARASHI",R,10,77,105,-0.789,-1.927,0.187,1.93,-0.35,0.963,-36.736,15.21,70,30,0,2,0,1.082,400,0.729,0,0,1,1,1,R,"Megu3568",190,85.846,0.405,3,154,W,Y,1844.462,255,91,106,89,57,145,112,15.224,-36.087,0.09,0,0.666,-223.958,320.623,-224.903,-0.044,-37.202,0,"가앤슬_",0.035,-18.064,0,"Kr_Luna",-20.49,-47.88,0,"crani",-14.49,-63.826,85,"Penguin_iDOL",20.713,-49.558,0,"CVPileMaki",12.994,-64.544,0,"-KYU-",43.842,-97.748,98,"Yaksok~",-1.444,-104.69,0,"SUGUN",-45.753,-91.06,0,1845.584,33.118,-71.214,1846.827,6,"-KYU-",41.846,-84.549,1,0,,,,,224,2
10,1,1,0,0,0,0,1,1,0,0,1,255,255,9,1887.268,"HANA_ARASHI",R,26,87,140,-0.82,1.562,0.214,2.304,-0.398,2.364,-36.736,36.216,85,15,0,2,0,28.004,-200,6.038,0,0,1,2,8,L,"Sabo_10",185.3,88,0.452,3,153,W,Y,1888.119,225,102,144,80,17,145,90,108.569,36.56,-0.76,0,0.54,215.06,-141.106,19.177,-0.008,-37.035,0,"가앤슬_",-0.009,-18.134,0,"Kr_Luna",-18.4,-46.099,0,"crani",-7.419,-62.591,0,"Penguin_iDOL",21.697,-49.024,0,"CVPileMaki",17.154,-62.187,0,"-KYU-",44.027,-94.514,0,"Yaksok~",3.127,-105.595,0,"SUGUN",-44.705,-92.686,0,0,0,0,0,0,"",0,0,0,0,,,,,32,3
