id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,2083.087,"-Alta-",L,27,87,140,1.776,-0.082,-0.162,1.69,0.859,1.449,-36.536,14.657,50,50,0,1,0,-59.515,-122.679,-4.544,0,0,0,0,2,R,"-라후이-",190,87.311,0.496,0,162,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.383,-37.116,0,"HalF_HearteD",0.099,-16.721,0,"Pring__",-20.728,-46.705,0,"Rite_",-16.701,-61.397,0,"magimari",16.593,-46.35,0,"alcohol500",8.62,-65.19,0,"ame_3",49.108,-105.118,0,"紅さかな",-1.309,-118.871,0,"Pizzallaris",-43.915,-100.912,0,0,0,0,0,0,"",0,0,0,0,2083.49,,,,0,0
2,1,1,0,0,1,0,0,0,0,0,255,255,255,1,2097.582,"-Alta-",L,13,77,105,1.21,-1.102,-0.28,1.672,0.207,1.479,-36.536,20.807,57,43,0,1,0,167.915,400,-4.188,0,0,0,0,2,R,"-라후이-",190,87.311,0.496,0,162,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162,-37.191,0,"HalF_HearteD",0.088,-16.686,0,"Pring__",-20.843,-46.859,0,"Rite_",-16.613,-61.109,0,"magimari",16.635,-46.293,0,"alcohol500",7.883,-64.597,0,"ame_3",49.158,-105.17,0,"紅さかな",-1.65,-118.785,0,"Pizzallaris",-43.893,-100.916,0,0,0,0,0,0,"",0,0,0,0,2098.17,,,,0,0
3,1,1,0,0,2,0,0,0,0,0,255,255,255,2,2111.896,"-Alta-",L,13,88,131,-1053.959,1148.701,-0.431,1.696,-0.392,1.468,-36.536,26.357,64,36,0,2,0,172.342,270.125,0.518,0,0,1,0,2,R,"-라후이-",190,87.311,0.496,3,162,W,Y,2112.689,158,144,164,66,33,145,130,-15.247,-9.111,0.49,0,0.175,-528.482,-48.439,256.416,0.549,-36.879,0,"HalF_HearteD",-0.222,-16.741,0,"Pring__",-21.529,-46.432,0,"Rite_",-16.271,-60.572,81,"magimari",16.241,-46.55,0,"alcohol500",8.064,-64.565,0,"ame_3",49.082,-105.043,0,"紅さかな",-1.667,-118.789,105,"Pizzallaris",-43.9,-100.935,0,2112.01,0.321,-22.195,2115.594,7,"紅さかな",6.269,-107.817,1,0,,,,,162,2
4,1,1,0,0,0,0,0,1,0,0,2,255,255,3,2137.879,"-Alta-",L,26,79,129,-1.278,1.136,-0.434,1.899,-0.405,2.128,-36.536,30.78,85,15,0,1,0,-107.37,-200,-1.138,0,0,0,1,0,L,"Ainy4／あいにゃ",189.4,85,0.512,0,160,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.045,-36.61,0,"HalF_HearteD",-0.211,-16.746,0,"Pring__",-19.46,-39.581,0,"Rite_",-13.249,-62.935,0,"magimari",17.515,-46.066,0,"alcohol500",13.305,-63.274,0,"ame_3",53.264,-99.341,0,"紅さかな",2.001,-117.561,0,"Pizzallaris",-44.038,-100.968,0,0,0,0,0,0,"",0,0,0,0,2138.441,,,,0,0
5,1,1,0,0,1,0,0,1,0,0,2,255,255,4,2153.555,"-Alta-",L,28,85,137,-0.273,-0.304,-0.359,1.658,-0.058,1.344,-36.536,20.846,54,46,0,0,0,-35.7,-81.691,-2.518,0,0,0,1,0,L,"Ainy4／あいにゃ",189.4,85,0.512,0,160,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084,-37.068,0,"HalF_HearteD",-0.188,-16.644,0,"Pring__",-19.214,-39.721,0,"Rite_",-8.606,-60.948,0,"magimari",17.522,-45.985,0,"alcohol500",11.867,-63.39,0,"ame_3",51.236,-99.761,0,"紅さかな",1.152,-117.661,0,"Pizzallaris",-44.027,-100.983,0,0,0,0,0,0,"",0,0,0,0,2154.094,,,,0,0
6,1,1,0,0,1,1,0,1,0,0,2,255,255,5,2172.118,"-Alta-",L,13,81,107,1.621,-1.089,-0.241,1.671,0.329,1.476,-36.536,22.596,48,52,0,1,0,201.158,400,1.25,0,0,0,1,0,L,"Ainy4／あいにゃ",189.4,85,0.512,0,160,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.396,-36.919,0,"HalF_HearteD",0.283,-16.644,0,"Pring__",-19.291,-39.989,0,"Rite_",-8.275,-61.584,0,"magimari",17.684,-45.85,0,"alcohol500",11.309,-63.873,0,"ame_3",51.223,-99.742,0,"紅さかな",1.905,-117.92,0,"Pizzallaris",-44.031,-100.997,0,0,0,0,0,0,"",0,0,0,0,2172.83,,,,0,0
7,1,1,0,0,2,1,0,1,0,0,2,255,255,6,2188.774,"-Alta-",L,26,89,140,-2.342,0.257,-0.523,1.736,-0.818,1.597,-36.536,32.248,58,42,0,2,0,-138.087,-200,-2.25,0,0,1,1,0,L,"Ainy4／あいにゃ",189.4,85,0.512,3,160,W,Y,2189.8,255,112,96,97,36,145,92,52.004,-34.609,-0.72,0,0.559,240.952,-92.677,-273.878,0.343,-36.804,0,"HalF_HearteD",-0.241,-16.878,0,"Pring__",-17.578,-42.243,81,"Rite_",-9.647,-62.118,0,"magimari",17.305,-45.669,0,"alcohol500",11.721,-63.632,0,"ame_3",50.763,-99.742,85,"紅さかな",-0.715,-117.987,0,"Pizzallaris",-43.989,-100.962,0,2194.406,40.449,-72.527,2195.365,6,"ame_3",43.677,-74.441,1,0,,2194.976,,,70,2
8,1,1,0,0,0,0,0,1,1,0,0,2,255,7,2227.875,"-Alta-",L,26,80,130,1.645,-0.244,-0.23,1.803,0.543,1.814,-36.536,18.586,47,53,0,2,0,-86.506,-200,0.455,0,0,1,2,4,R,"Slaris",190,85.704,0.452,3,69,W,Y,2228.639,255,100,108,90,27,145,105,24.973,-31.677,-0.1,0,0.205,394.023,256.162,106.936,0.332,-37.369,0,"HalF_HearteD",0.069,-16.8,0,"Pring__",-17.545,-42.236,0,"Rite_",-15.364,-61.897,0,"magimari",16.778,-45.161,0,"alcohol500",6.976,-61.885,91,"ame_3",42.374,-103.369,95,"紅さかな",0.77,-119.13,0,"Pizzallaris",-43.61,-102.097,0,0,0,0,2232.656,6,"ame_3",43.753,-98.807,0,0,,2233.504,,,322,1
9,1,1,0,0,0,0,1,1,1,0,0,2,255,8,2261.203,"-Alta-",L,27,77,128,2.177,-1.546,-0.138,1.407,0.972,0.531,-36.536,20.706,49,51,0,1,0,-14.203,-110.565,-9.533,0.529,-16.531,0,3,8,R,"ディシジョン",190,92.496,0.622,0,158,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262,-37.52,0,"HalF_HearteD",0.141,-16.607,0,"Pring__",-19.081,-39.83,0,"Rite_",-15.387,-62.494,0,"magimari",16.846,-44.528,0,"alcohol500",5.61,-61.433,0,"ame_3",44.822,-101.352,0,"紅さかな",-0.603,-119.385,0,"Pizzallaris",-41.127,-100.72,0,0,0,0,0,0,"",0,0,0,0,2261.726,2263.962,,,0,0
10,1,1,0,0,1,0,1,1,1,0,0,2,255,9,2279.525,"-Alta-",L,28,81,132,1.514,-0.935,-0.198,1.539,0.695,0.96,-36.536,16.199,54,46,0,1,0,-19.747,-64.458,-1.404,0,0,0,3,8,R,"ディシジョン",190,92.496,0.622,0,158,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,-37.873,0,"HalF_HearteD",-0.194,-17.456,0,"Pring__",-19.344,-40.085,0,"Rite_",-12.138,-62.832,0,"magimari",18.063,-44.011,0,"alcohol500",5.678,-61.094,0,"ame_3",45.083,-101.259,0,"紅さかな",-0.466,-119.264,0,"Pizzallaris",-41.138,-100.713,0,0,0,0,0,0,"",0,0,0,0,2279.983,2283.066,,,0,0
