id,type,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,manual,sH,sV,gyro,plx,plz,bIdx,order1Name,order2Name,order3Name,order4Name,order5Name,order6Name,order7Name,order8Name,order9Name,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,bSwing,hSec,rotS,rotL,shS,lgS,prepS,gripPen,batSpd,ev,ldeg,sdeg,launchPosX,launchPosY,launchPosZ,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,ltSec,lx,lz,cSec,cPos,cx,cy,cz,1BSafe,tag,cpSec,bTo1Sec,bTo2Sec,bTo3Sec,bToHSec,r1To2Sec,r1To3Sec,r1ToHSec,r2To3Sec,r2ToHSec,r3ToHSec,r1LeaveSec,r2LeaveSec,r3LeaveSec,out1Sec,out1BatterIndex,out1PrevBase,out1Code,out1Ass,out2Sec,out2BatterIndex,out2PrevBase,out2Code,out2Ass,out3Sec,out3BatterIndex,out3PrevBase,out3Code,out3Ass,ball1Sec,ball1Pos,ball2Sec,ball2Pos,ball3Sec,ball3Pos,ballHSec,ballHPos,PitchPPosX,PitchPPosZ,PitchCPosX,PitchCPosZ,Pitch1BPosX,Pitch1BPosZ,Pitch2BPosX,Pitch2BPosZ,Pitch3BPosX,Pitch3BPosZ,PitchSSPosX,PitchSSPosZ,PitchLFPosX,PitchLFPosZ,PitchCFPosX,PitchCFPosZ,PitchRFPosX,PitchRFPosZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,PGetSec,PGetX,PGetZ,CGetSec,CGetX,CGetZ,1BGetSec,1BGetX,1BGetZ,2BGetSec,2BGetX,2BGetZ,3BGetSec,3BGetX,3BGetZ,SSGetSec,SSGetX,SSGetZ,LFGetSec,LFGetX,LFGetZ,CFGetSec,CFGetX,CFGetZ,RFGetSec,RFGetX,RFGetZ,PThrSec,PThrX,PThrZ,CThrSec,CThrX,CThrZ,1BThrSec,1BThrX,1BThrZ,2BThrSec,2BThrX,2BThrZ,3BThrSec,3BThrX,3BThrZ,SSThrSec,SSThrX,SSThrZ,LFThrSec,LFThrX,LFThrZ,CFThrSec,CFThrX,CFThrZ,RFThrSec,RFThrX,RFThrZ,errPosDelta,result,swPreDeg,swTargetDeg,swApproachDeg,swCorr,swSource,swProximity,swVRawDeg,swVAdjustedDeg,swVMotionDeg,swVClosestDeg,swVYShrink,swGeometryDeg,balk,cPlr,sb2Sec,sb3Sec,sbhSec,ass,remarks
1,,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1598.74,"559：広告",R,26,95,140,-1.723,-0.95,0.009,1.548,-0.888,0.881,-36.419,13.379,34,66,0,1,"",119.572,-152.177,11.046,0,0,0,"_Chun","ゆっち一","MODECO","わかなで","「론구」","Mr․D VRC","檸檬の残骸","TaeGeuk_","ke ro",1,L,"_Chun",190,80,0.455,,75,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.11,-38.199,-0.094,-17.525,-20.867,-47.218,-12.208,-64.739,21.439,-47.486,12.206,-65.07,51.975,-103.036,17.409,-116.595,-41.209,-92.088,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
2,,1,1,0,0,1,0,0,0,0,0,255,255,255,1,1610.215,"559：広告",R,10,77,119,1.491,-0.511,0.352,1.861,0.683,1.677,-36.419,53.394,91,9,0,2,"",-27.064,348.326,-1.31,0,0,0,"=","=","=","=","=","=","=","=","=",1,L,"_Chun",190,80,0.455,0,75,W,Y,1,1611.201,215,179,95,97,62,,145,133,-7.26,-8.538,0.274,0.795,-20.186,0.66,0,0.452,-117.403,178.849,24.762,1610.913,1.065,-25.525,1614.236,7,12.045,0.058,-105.401,1,0,,1616.856,,,,,,,,,,,,,,,,,,,,,,,,,,,,1619.048,2,,,,,,,-0.187,-37.528,-0.09,-17.545,-20.907,-47.241,-12.272,-64.767,21.214,-47.656,11.987,-65.653,52.469,-102.731,16.696,-118.279,-36.924,-92.971,0.124,-36.991,,"SFIDA",-0.048,-17.542,,"레이나2",-20.748,-47.061,83,"柴山犬吉",-12.134,-64.822,,"きりん SR",21.343,-47.347,,"coder_",11.922,-65.473,,"Azuner",52.476,-102.749,,"YukihiroD",16.102,-117.583,105,"소솨소솨",-37.847,-93.623,,1622.862,-0.36,-38.773,,,,1618.63,-18.339,-40.699,,,,,,,,,,,,,1614.684,12.014,-105.857,,,,,,,,,,1621.805,-17.294,-40,,,,,,,,,,,,,1615.541,9.231,-100.536,,,,"",2,,,,,,,,,,,,,0,"YukihiroD",,,,74,""
3,,1,1,0,0,0,0,0,1,0,0,1,255,255,2,1637.438,"559：広告",R,13,74,101,-1.508,-1.143,0.19,1.728,-0.085,1.365,-36.419,50.423,85,15,0,1,"",-336.854,339.715,-6.205,0,0,1,"=","=","=","=","=","=","=","=","=",8,L,"ゆっち一",181.3,84,0.401,,74,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.261,-38.168,-0.165,-17.465,-20.234,-41.164,-10.642,-62.885,21.809,-48.443,10.751,-65.948,49.989,-102.651,10.169,-116.284,-34.751,-100.768,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1642.491,-0.111,-37.385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
4,,1,1,0,0,1,0,0,1,0,0,1,255,255,3,1651.996,"559：広告",R,10,55,89,0.097,-0.886,0.197,1.844,0.037,1.79,-36.419,45.195,100,0,0,0,"",0,400,-2.909,0,0,1,"=","=","=","=","=","=","=","=","=",8,L,"ゆっち一",181.3,84,0.401,,74,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,1652.403,,,,,,,,,,,,,,,,,,,,,,,,,,-0.06,-37.707,-0.143,-17.489,-20.151,-41.095,-10.445,-62.302,21.738,-48.48,10.428,-65.817,50.589,-103.499,16.666,-115.573,-34.492,-100.053,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1656.759,0.14,-37.485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
5,,1,1,0,0,1,1,0,1,0,0,1,255,255,4,1664.718,"559：広告",R,27,85,137,0.071,-0.107,0.154,1.604,-0.215,1.033,-36.419,25.181,38,62,0,2,"O-|R1+|BH-",97.123,-138.984,0.794,0,0,1,"=","=","=","=","=","=","=","=","=",8,L,"ゆっち一",181.3,84,0.401,0,74,W,Y,1,1665.753,190,189,62,108,37,,138,131,-30,10.705,-0.034,0.697,-20.152,0.6,0,0.338,-481.203,126.398,-21.416,1665.392,-0.243,-21.25,1667.028,3,-7.204,3.068,-57.859,1,2,,1670.924,,,,1670.506,,,,,,1665.211,,,1669.79,0,1,164,0,1671.728,1,1,275,256,,,,,,1674.757,2,1669.195,3,,,,,-0.14,-37.606,-0.141,-17.472,-20.15,-40.856,-10.746,-61.31,21.889,-48.411,10.796,-65.379,50.883,-103.13,16.467,-114.819,-34.445,-100.092,0.098,-37.128,,"SFIDA",-0.129,-17.47,,"레이나2",-19.608,-44.991,85,"柴山犬吉",-10.674,-61.435,103,"きりん SR",21.799,-48.489,,"coder_",10.794,-65.135,,"Azuner",50.869,-103.112,,"YukihiroD",16.458,-114.798,,"소솨소솨",-34.451,-100.092,,1677.201,-1.023,-38.405,,,,1670.994,-18.205,-41.137,1667.413,-7.501,-58.455,,,,,,,,,,,,,,,,,,,,,,1676.203,-17.531,-40.142,1669.87,-1.546,-56.233,,,,,,,,,,,,,,,,"",2,,,,,,,,,,,,,0,"柴山犬吉",1670.506,,,266,""
6,,1,1,0,0,0,0,1,1,0,0,8,255,255,5,1697.3,"559：広告",R,13,77,115,-2.806,-1.415,0.088,1.672,-0.69,1.064,-36.419,41.31,44,56,0,1,"",-367.81,338.697,-1.833,0,0,2,"=","=","=","=","=","=","=","=","=",4,R,"MODECO",190,85,0.447,,73,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,1710.987,,,,,,,,,,,,,,,,,,,,,,,,,,-0.299,-37.697,-0.125,-17.268,-20.647,-41.733,-13.662,-60.451,21.269,-52.413,7.966,-66.234,32.462,-102.584,-17.489,-117.405,-50.437,-102.264,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1703.04,-0.239,-37.485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
7,,1,1,0,0,1,0,1,1,0,0,8,255,255,6,1712.303,"559：広告",R,26,85,138,1.871,-0.342,0.334,1.733,0.629,1.246,-36.419,37.399,83,17,0,2,"BH-",129.947,-164.122,1.325,0,0,2,"=","=","=","=","=","=","=","=","=",4,R,"MODECO",190,85,0.447,3,73,W,Y,1,1713.398,203,67,1,0,3,,17,45,52.442,9.527,0.34,0.937,-20.145,-1,0,0.967,554.818,201.432,-43.093,1717.421,-4.306,-43.413,1718.884,0,-5.177,0.225,-44.982,1,0,,1720.597,,,,,,,,,,1718.522,,,1721.574,1,1,166,2,,,,,,,,,,,,,,,,,,,-0.139,-37.551,0.02,-17.31,-20.365,-41.163,-13.789,-60.29,21.357,-52.725,8.011,-66.732,32.154,-102.532,-17.199,-117.45,-50.512,-99.72,0.246,-36.997,120,"SFIDA",0.016,-17.29,,"레이나2",-19.845,-44.872,,"柴山犬吉",-13.619,-60.268,,"きりん SR",21.31,-52.507,,"coder_",7.752,-65.931,85,"Azuner",32.158,-102.526,,"YukihiroD",-17.197,-117.459,,"소솨소솨",-50.929,-100.026,,1719.355,-5.309,-45.003,,,,,,,,,,,,,1720.897,-0.522,-58.39,,,,,,,,,,1720.351,-3.583,-49.584,,,,,,,,,,,,,1724.243,0.146,-58.159,,,,,,,,,,"",2,,,,,,,,,,,,,0,"559：広告",,,,3,""
8,,1,1,0,0,0,0,2,1,0,0,4,255,255,7,1742.978,"559：広告",R,10,50,98,1.877,-0.303,0.215,1.833,0.811,1.937,-36.419,57.364,100,0,0,2,"",0,400,-5.011,0,0,3,"=","=","=","=","=","=","=","=","=",0,L,"わかなで",190,80,0.2,5,44,W,Y,1,1744.182,129,255,118,98,113,,139,86,-0.76,57.01,0.338,1.056,-21.519,-1,0,0.681,75.753,220.589,213.315,1744.398,-11.069,-28.786,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.107,-37.92,-0.011,-17.449,-20.845,-45.051,-13.376,-64.923,22.62,-49.957,10.665,-65.074,50.375,-102.644,18.007,-114.541,-38.825,-92.3,0.254,-37.55,,"SFIDA",0.069,-17.437,,"레이나2",-20.36,-47.519,,"柴山犬吉",-13.226,-64.822,,"きりん SR",22.522,-49.964,,"coder_",10.997,-64.589,,"Azuner",50.388,-102.64,,"YukihiroD",18.004,-114.529,,"소솨소솨",-38.215,-91.648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",3,56.538,56.538,30.077,0,2,0.038,-1.141,-0.76,-14.369,-1.296,0.001,-72.774,0,"",,,,0,""
9,,1,1,0,0,0,1,2,1,0,0,4,255,255,8,1762.852,"559：広告",R,3,68,113,5.297,-0.004,0.776,1.786,2.856,1.606,-36.419,66.494,84,16,0,1,"",-328.389,0,0.739,0,0,3,"=","=","=","=","=","=","=","=","=",0,L,"わかなで",190,80,0.2,,44,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,1763.007,,,,,,,,,,,,,,,,,,,,,,,,,,0.108,-37.594,0.002,-17.479,-21.063,-42.609,-13.488,-64.749,22.099,-48.728,11.487,-65.899,49.182,-103.332,11.617,-115.862,-33.682,-83.164,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
10,,1,1,0,0,1,1,2,1,0,0,4,255,255,9,1778.142,"559：広告",R,14,65,94,2.417,-1.144,0.23,1.735,0.318,1.411,-36.419,24.742,100,0,0,2,"",328.398,319.871,-6.312,0,0,3,"=","=","=","=","=","=","=","=","=",0,L,"わかなで",190,80,0.2,5,44,W,Y,1,1779.396,167,255,125,97,76,,145,98,-63.8,28.353,0.41,0.708,-21.203,-0.57,0,0.566,37.361,161.54,-463.237,1778.957,0.258,-21.484,1781.888,2,-11.644,3.519,-43.324,0,0,,1784.557,,,,1783.79,,,,,,,,,1785.024,3,,147,0,,,,,,,,,,,1784.37,2,,,,,,,-0.03,-37.889,0.015,-17.46,-21.275,-44.026,-13.423,-64.776,22.059,-48.765,11.583,-65.717,49.273,-103.28,11.453,-114.747,-33.68,-83.152,0.376,-37.517,,"SFIDA",0.086,-17.5,,"레이나2",-20.113,-47.192,,"柴山犬吉",-13.29,-64.673,,"きりん SR",22.065,-48.705,,"coder_",11.343,-65.514,,"Azuner",49.251,-103.214,,"YukihiroD",11.446,-114.748,,"소솨소솨",-33.68,-83.152,,,,,,,,1782.3,-11.982,-43.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",2,25.831,25.831,15.096,0,2,0.02,-71.735,-63.8,-17.806,-71.766,0.066,-91.274,0,"레이나2",1783.79,,,8,""
