id,type,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,manual,sH,sV,gyro,plx,plz,bIdx,order1Name,order2Name,order3Name,order4Name,order5Name,order6Name,order7Name,order8Name,order9Name,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,bSwing,hSec,rotS,rotL,shS,lgS,prepS,gripPen,batSpd,ev,ldeg,sdeg,launchPosX,launchPosY,launchPosZ,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,ltSec,lx,lz,cSec,cPos,cx,cy,cz,1BSafe,tag,cpSec,bTo1Sec,bTo2Sec,bTo3Sec,bToHSec,r1To2Sec,r1To3Sec,r1ToHSec,r2To3Sec,r2ToHSec,r3ToHSec,r1LeaveSec,r2LeaveSec,r3LeaveSec,out1Sec,out1BatterIndex,out1PrevBase,out1Code,out1Ass,out2Sec,out2BatterIndex,out2PrevBase,out2Code,out2Ass,out3Sec,out3BatterIndex,out3PrevBase,out3Code,out3Ass,ball1Sec,ball1Pos,ball2Sec,ball2Pos,ball3Sec,ball3Pos,ballHSec,ballHPos,PitchPPosX,PitchPPosZ,PitchCPosX,PitchCPosZ,Pitch1BPosX,Pitch1BPosZ,Pitch2BPosX,Pitch2BPosZ,Pitch3BPosX,Pitch3BPosZ,PitchSSPosX,PitchSSPosZ,PitchLFPosX,PitchLFPosZ,PitchCFPosX,PitchCFPosZ,PitchRFPosX,PitchRFPosZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,PGetSec,PGetX,PGetZ,CGetSec,CGetX,CGetZ,1BGetSec,1BGetX,1BGetZ,2BGetSec,2BGetX,2BGetZ,3BGetSec,3BGetX,3BGetZ,SSGetSec,SSGetX,SSGetZ,LFGetSec,LFGetX,LFGetZ,CFGetSec,CFGetX,CFGetZ,RFGetSec,RFGetX,RFGetZ,PThrSec,PThrX,PThrZ,CThrSec,CThrX,CThrZ,1BThrSec,1BThrX,1BThrZ,2BThrSec,2BThrX,2BThrZ,3BThrSec,3BThrX,3BThrZ,SSThrSec,SSThrX,SSThrZ,LFThrSec,LFThrX,LFThrZ,CFThrSec,CFThrX,CFThrZ,RFThrSec,RFThrX,RFThrZ,errPosDelta,result,swPreDeg,swTargetDeg,swApproachDeg,swCorr,swSource,swProximity,swVRawDeg,swVAdjustedDeg,swVMotionDeg,swVClosestDeg,swVYShrink,swGeometryDeg,balk,cPlr,sb2Sec,sb3Sec,sbhSec,ass,remarks
1,,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1312.345,"Penguin_iDOL",R,14,82,119,1.991,-1.17,0.219,1.934,0.278,1.383,-36.493,39.176,82,18,0,2,"",353.553,353.554,9.012,0,0,0,"sano jpn","ʚEveɞ","カズティー","P0TA0","인생최패망자","白霜らいふ","ibqrqki","IbikiKai_JP","Ѕeyeon",8,R,"sano jpn",169.8,92.118,0.561,5,78,W,Y,1,1313.468,114,86,184,113,47,,137,107,6.973,6.627,0.371,0.548,-20.38,0.13,0.19,0.291,-31.614,-305.929,63.197,1313.325,-3.365,-65.096,1315.499,7,-6.242,0.059,-96.923,1,0,,1318.308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1321.28,5,,,,,0.072,-37.9,0.037,-17.349,-20.097,-47.398,-13.424,-63.481,18.459,-51.152,11.501,-65.413,45.408,-96.856,-0.83,-112.824,-48.153,-96.282,0.225,-36.825,,"mungjungh",0.07,-17.378,,"CAT tourniquet",-20.102,-47.413,,"HANA_ARASHI",-13.44,-63.443,,"Kr_Luna",18.407,-51.275,,"Yaksok~",12.341,-65.26,86,"가앤슬_",45.573,-97.202,,"k@ster",-0.833,-112.816,105,"SUGUN",-49.161,-95.427,,1322.777,-0.904,-39.312,,,,,,,,,,,,,1319.766,-0.491,-60.079,,,,1317.318,-6.38,-97.924,,,,,,,,,,,,,,,,,,,1321.657,-0.351,-57.911,,,,1318.254,-6.521,-92.396,,,,"",2,4.567,4.567,-10.895,0,1,0.834,12.275,6.973,8.801,58.156,0.015,25.457,0,"k@ster",,,,400,""
2,,1,1,0,0,0,0,0,1,0,0,8,255,255,1,1339.967,"Penguin_iDOL",R,26,87,140,-1.482,-0.053,0.11,1.688,-0.42,1.403,-36.493,29.426,90,10,0,4,"",-198.238,-200,12.568,0,0,1,"=","=","=","=","=","=","=","=","=",2,L,"ʚEveɞ",190,84.82,0.479,,153,W,Y,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,1358.646,,,,,,,,,,,,,,,,,,,,,,,,,,-0.032,-37.767,0.039,-17.301,-19.746,-44.103,-11.862,-61.98,17.844,-47.167,10.739,-61.263,49.86,-110.631,1.728,-119.571,-39.868,-96.285,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1344.033,-0.053,-36.968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
3,,1,1,0,0,0,1,0,1,0,0,8,255,255,2,1359.088,"Penguin_iDOL",R,13,72,99,-3.143,-2.034,-0.003,1.576,-0.63,0.814,-36.493,12.532,70,30,0,2,"",-351.391,312.348,-2.805,0,0,1,"=","=","=","=","=","=","=","=","=",2,L,"ʚEveɞ",190,84.82,0.479,5,153,W,Y,1,1360.086,241,105,92,101,97,,145,89,28.545,-17.152,-0.491,0.501,-22.127,1,0,0.479,-215.794,-197.708,-109.784,1362.707,24.082,-90.11,1364.492,6,28.59,0.246,-101.036,1,0,,1365.443,,,,1366.308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.051,-37.923,-0.042,-17.106,-20.201,-45.075,-12.743,-61.294,17.904,-47.218,7.735,-62.968,49.908,-110.697,1.7,-119.561,-44.126,-92.144,-0.239,-36.907,,"mungjungh",-0.326,-17.299,,"CAT tourniquet",-19.876,-46.808,,"HANA_ARASHI",-12.332,-61.439,79,"Kr_Luna",18.661,-47.261,,"Yaksok~",8.271,-62.852,,"가앤슬_",49.912,-110.703,113,"k@ster",1.701,-119.562,,"SUGUN",-43.95,-92.195,,1373.564,0.386,-37.715,,,,,,,1369.062,0.274,-60.323,,,,,,,1366.184,28.778,-101.606,,,,,,,,,,,,,,,,1372.217,-2.768,-58.503,,,,,,,1367.118,24.253,-97.104,,,,,,,"",2,-13.659,-13.659,15.108,0,0,1,52.302,52.302,31.598,52.302,0,-131.823,0,"가앤슬_",1366.308,,,84,""
4,,1,1,0,0,0,0,0,1,1,0,2,8,255,3,1394.165,"Penguin_iDOL",R,14,82,119,1.475,0.056,0.218,2.072,0.138,1.996,-36.493,47.92,80,20,0,1,"",353.456,353.65,12.417,0.511,-14.649,2,"=","=","=","=","=","=","=","=","=",7,R,"カズティー",175.4,84.645,0.33,,48,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,1408.391,1413.581,,,,,,,,,,,,,,,,,,,,,,,,,0,-37.675,0.011,-17.009,-19.668,-45.689,-11.117,-61.221,19.75,-44.665,11.3,-59.567,43.962,-99.528,0.405,-109.101,-44.34,-92.572,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1398.797,0.215,-36.732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",1396.288,,,0,""
5,,1,1,0,0,1,0,0,1,1,0,2,8,255,4,1415.046,"Penguin_iDOL",R,29,92,140,-2.21,-1.427,0.047,1.659,-0.71,0.58,-36.493,25.183,83,17,0,1,"",-201.318,-200,36.232,0,0,2,"=","=","=","=","=","=","=","=","=",7,R,"カズティー",175.4,84.645,0.33,,48,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,1431.96,1417.574,,,,,,,,,,,,,,,,,,,,,,,,,-0.042,-37.728,-0.045,-16.98,-19.476,-46.215,-12.612,-61.19,19.829,-47.287,7.134,-62.273,42.151,-98.19,-0.123,-109.143,-46.819,-94.884,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1419.188,0.058,-37.068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",1417.435,,,0,""
6,,1,1,0,0,2,0,0,1,1,0,2,8,255,5,1432.997,"Penguin_iDOL",R,10,87,128,0.953,-0.151,0.28,1.847,0.374,1.942,-36.493,29.837,70,30,0,2,"BA+",22.698,400,39.4,0,0,2,"=","=","=","=","=","=","=","=","=",7,R,"カズティー",175.4,84.645,0.33,5,48,W,Y,1,1433.986,255,130,103,131,47,,145,103,-85.866,42.444,0.175,0.849,-20.135,-0.04,0,0.654,-560.926,-148.132,153.032,1431.853,0.137,-20.176,1435.45,1,-3.266,3.146,-23.773,0,0,,1440.434,,,,1439.612,,,1438.604,,,,,,1439.855,2,,147,8,,,,,,,,,,,,,1441.736,5,,,,,0.102,-37.756,0.062,-16.984,-19.743,-46.118,-13.95,-60.358,18.885,-45.594,10.267,-60.228,42.161,-98.123,-0.132,-109.142,-47.41,-93.149,0.067,-37.033,,"mungjungh",0.077,-17.103,130,"CAT tourniquet",-19.538,-45.821,96,"HANA_ARASHI",-12.966,-59.845,,"Kr_Luna",18.864,-45.584,,"Yaksok~",10.379,-60.032,85,"가앤슬_",43.521,-97.257,,"k@ster",-0.131,-109.121,,"SUGUN",-46.369,-92.768,,1445.065,0.509,-39.336,1437.553,-3.24,-23.698,1439.227,-18.627,-39.469,,,,,,,1441.431,-0.476,-58.125,,,,,,,,,,,,,1438.469,-5.687,-27.617,1440.176,-17.895,-40.835,,,,,,,1443.983,2.818,-56.541,,,,,,,,,,"",2,42.697,42.697,16,0,2,0.227,-87.406,-85.866,-9.49,-83.016,0.073,70.076,0,"mungjungh",1439.612,1438.604,,312,""
7,,1,1,0,0,0,0,1,0,1,1,255,2,8,6,1465.728,"Penguin_iDOL",R,26,88,140,0.437,0.186,0.238,1.734,0.177,1.551,-36.493,23.639,71,29,0,2,"BA+|BA-",7.7,-200,37.898,0,0,3,"=","=","=","=","=","=","=","=","=",0,R,"P0TA0",190,96.215,0.525,5,149,W,Y,1,1466.578,120,70,190,72,41,,138,117,-30,40.344,0.071,1.03,-19.395,0.89,0,0.283,46.287,5.562,-52.973,1464.471,-1.009,-20.668,1465.95,2,-18.855,2.568,-41.673,0,0,,,,,,,,,1475.829,,1474.446,,1465.852,1466.105,1469.425,3,,147,0,,,,,,,,,,,1468.814,2,,,,,1474.541,1,0.111,-37.803,0.074,-17.159,-18.962,-45.085,-13.543,-62.036,19.312,-43.581,9.418,-62.046,41.237,-94.131,-0.735,-111.723,-48.009,-94.082,0.038,-36.98,,"mungjungh",0.079,-17.27,120,"CAT tourniquet",-18.927,-45.035,100,"HANA_ARASHI",-13.537,-62.011,,"Kr_Luna",19.15,-44.068,119,"Yaksok~",9.163,-62.116,,"가앤슬_",41.226,-94.111,,"k@ster",-0.74,-111.717,,"SUGUN",-48.025,-94.066,,1482.496,0.024,-37.653,1470.586,0.041,-20.205,1468.083,-19.071,-42.383,,,,1472.768,16.551,-36.529,,,,,,,,,,,,,,,,1471.948,3.672,-22.788,1469.36,-16.843,-37.518,,,,1473.321,14.062,-34.085,,,,,,,,,,,,,"",2,40.875,40.602,1.722,0,2,0.573,-47.769,-31.902,-51.456,-54.949,0.046,98.765,0,"CAT tourniquet",,1475.829,1474.446,58,""
8,,1,1,1,0,0,0,2,0,0,1,255,255,2,7,1502.04,"Penguin_iDOL",R,26,83,135,2.132,1.242,0.41,1.956,0.92,2.206,-36.493,45.023,71,29,0,1,"",-3.274,-198.647,20.678,0,0,4,"=","=","=","=","=","=","=","=","=",4,R,"인생최패망자",190,86,0.35,,148,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,1502.141,,,,,,,,,,,,,,,,,,,,,,,,0.031,-37.582,0.035,-17.106,-19.859,-46.21,-13.67,-62.383,19.874,-43.336,12.352,-65.519,39.236,-90.463,-0.051,-110.932,-42.512,-95.292,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1505.973,0.079,-37.303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,1504.847,,0,""
9,,1,1,1,0,1,0,2,0,0,1,255,255,2,8,1516.649,"Penguin_iDOL",R,10,76,117,1.573,0.066,0.36,2.063,0.672,2.11,-36.493,53.394,71,29,0,1,"",1.555,400,4.697,0,0,4,"=","=","=","=","=","=","=","=","=",4,R,"인생최패망자",190,86,0.35,,148,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.115,-37.947,-0.019,-17.131,-20.045,-46.179,-13.91,-61.431,19.507,-43.84,13.71,-63.961,41.148,-93.74,-0.048,-110.942,-42.45,-95.471,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1559.604,0.205,-38.269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,1,"",,1519.285,,0,""
10,,1,1,2,0,1,0,2,0,0,0,255,255,255,8,1563.653,"Penguin_iDOL",R,13,70,110,-0.826,-0.33,0.329,1.968,0.32,1.822,-36.493,46.178,97,3,0,2,"",-377.132,328.286,9.194,0,0,4,"=","=","=","=","=","=","=","=","=",4,R,"인생최패망자",190,86,0.35,0,147,W,Y,1,1564.764,255,118,125,124,73,,145,133,25.589,-0.289,-0.128,0.948,-20.816,0.67,0,0.417,165.825,219.981,139.472,1567.985,-6.338,-141.219,,,,,,0,0,,1570.454,1574.954,1580.057,1585.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031,-37.847,-0.019,-17.184,-20.083,-46.337,-13.28,-61.336,18.009,-51.316,10.548,-65.676,42.218,-93.714,0.057,-110.84,-42.582,-95.249,-0.021,-36.773,,"mungjungh",-0.121,-17.253,,"CAT tourniquet",-20.018,-46.404,,"HANA_ARASHI",-13.434,-61.052,,"Kr_Luna",17.954,-51.274,,"Yaksok~",10.824,-66.619,,"가앤슬_",42.271,-94.035,,"k@ster",-0.03,-110.856,,"SUGUN",-42.492,-95.218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",4,,,,,,,,,,,,,0,"",1574.954,1580.057,,0,""
