id,type,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,manual,sH,sV,gyro,plx,plz,bIdx,order1Name,order2Name,order3Name,order4Name,order5Name,order6Name,order7Name,order8Name,order9Name,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,bSwing,hSec,rotS,rotL,shS,lgS,prepS,gripPen,batSpd,ev,ldeg,sdeg,launchPosX,launchPosY,launchPosZ,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,ltSec,lx,lz,cSec,cPos,cx,cy,cz,1BSafe,tag,cpSec,bTo1Sec,bTo2Sec,bTo3Sec,bToHSec,r1To2Sec,r1To3Sec,r1ToHSec,r2To3Sec,r2ToHSec,r3ToHSec,r1LeaveSec,r2LeaveSec,r3LeaveSec,out1Sec,out1BatterIndex,out1PrevBase,out1Code,out1Ass,out2Sec,out2BatterIndex,out2PrevBase,out2Code,out2Ass,out3Sec,out3BatterIndex,out3PrevBase,out3Code,out3Ass,ball1Sec,ball1Pos,ball2Sec,ball2Pos,ball3Sec,ball3Pos,ballHSec,ballHPos,PitchPPosX,PitchPPosZ,PitchCPosX,PitchCPosZ,Pitch1BPosX,Pitch1BPosZ,Pitch2BPosX,Pitch2BPosZ,Pitch3BPosX,Pitch3BPosZ,PitchSSPosX,PitchSSPosZ,PitchLFPosX,PitchLFPosZ,PitchCFPosX,PitchCFPosZ,PitchRFPosX,PitchRFPosZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,PGetSec,PGetX,PGetZ,CGetSec,CGetX,CGetZ,1BGetSec,1BGetX,1BGetZ,2BGetSec,2BGetX,2BGetZ,3BGetSec,3BGetX,3BGetZ,SSGetSec,SSGetX,SSGetZ,LFGetSec,LFGetX,LFGetZ,CFGetSec,CFGetX,CFGetZ,RFGetSec,RFGetX,RFGetZ,PThrSec,PThrX,PThrZ,CThrSec,CThrX,CThrZ,1BThrSec,1BThrX,1BThrZ,2BThrSec,2BThrX,2BThrZ,3BThrSec,3BThrX,3BThrZ,SSThrSec,SSThrX,SSThrZ,LFThrSec,LFThrX,LFThrZ,CFThrSec,CFThrX,CFThrZ,RFThrSec,RFThrX,RFThrZ,errPosDelta,result,swPreDeg,swTargetDeg,swApproachDeg,swCorr,swSource,swProximity,swVRawDeg,swVAdjustedDeg,swVMotionDeg,swVClosestDeg,swVYShrink,swGeometryDeg,balk,cPlr,sb2Sec,sb3Sec,sbhSec,ass,remarks
1,,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1110.04,"눈꽃",R,14,67,96,1.536,-2.662,-0.034,1.814,-0.739,1.443,-36.64,13.643,60,40,0,2,"",308.524,353.59,0,0.255,-21.78,0,"SUGUN","Kr_Luna","mungjungh","Penguin_iDOL","CAT tourniquet","CVPileMaki","k@ster","crani","",8,R,"SUGUN",179.9,82.092,0.496,3,113,W,Y,1,1111.246,255,100,181,82,101,,145,83,-25.214,-15.112,0.041,0.51,-21.549,-1,0,0.391,136.414,-146.926,184.062,1111.426,0.299,-22.499,1113.893,5,9.395,0.055,-58.382,0,0,,1116.719,,,,,,,,,,,,,1116.814,0,,147,1,,,,,,,,,,,,,,,,,,,-0.28,-37.71,0.003,-17.441,-21.411,-48.77,-15.776,-61.114,20.988,-48.476,10.882,-65.876,47.927,-100.932,-3.606,-118.811,-48.137,-94.36,0.263,-37.634,,"SFIDA",0.018,-17.469,,"559：広告",-21.38,-48.742,87,"YukihiroD",-15.767,-61.09,,"Azuner",20.957,-48.474,,"coder_",10.968,-67.196,96,"きりん SR",47.773,-101.05,,"Amellaid",-4.527,-119.043,,"소솨소솨",-47.502,-93.032,,1119.433,-0.724,-38.729,,,,1116.181,-18.059,-40.279,,,,,,,1113.813,9.65,-59.73,,,,,,,,,,,,,,,,1118.428,-17.345,-39.394,,,,,,,1114.685,6.502,-56.418,,,,,,,,,,"",2,,,,,,,,,,,,,0,"coder_",,,,19,""
2,,1,1,0,0,0,0,1,0,0,0,255,255,255,1,1136.901,"눈꽃",R,39,54,96,1.494,-1.122,0.381,1.503,0.815,0.678,-36.64,29.562,44,56,0,1,"",-92.899,-200,0,0.192,-15.952,1,"=","=","=","=","=","=","=","=","",2,L,"Kr_Luna",190,95.163,0.504,,111,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,-37.557,-0.05,-17.468,-18.798,-48.893,-9.441,-64.546,25.934,-51.835,11.401,-65.179,54.118,-95.925,2.472,-119.066,-47.949,-90.324,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1141.394,-0.027,-37.914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
3,,1,1,0,0,1,0,1,0,0,0,255,255,255,2,1153.227,"눈꽃",R,39,54,97,1.165,-0.725,0.363,1.565,0.682,0.951,-36.64,23.999,49,51,0,0,"",-84.926,-182.409,0,0,0,1,"=","=","=","=","=","=","=","=","",2,L,"Kr_Luna",190,95.163,0.504,,111,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009,-37.568,-0.056,-17.49,-18.798,-48.891,-10.116,-64.757,25.977,-51.809,12.083,-65.598,53.97,-95.737,2.603,-119.139,-40.828,-96.19,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1157.559,-0.065,-37.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
4,,1,1,0,0,1,1,1,0,0,0,255,255,255,3,1169.996,"눈꽃",R,28,94,140,-1.777,0.086,-0.037,1.831,-0.84,1.588,-36.64,3.667,54,46,0,1,"",48.939,-78.15,0,0,0,1,"=","=","=","=","=","=","=","=","",2,L,"Kr_Luna",190,95.163,0.504,,111,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.148,-37.592,-0.064,-17.498,-19.477,-48.997,-10.032,-64.753,25.94,-51.807,11.848,-65.556,53.775,-96.301,-0.694,-121.673,-43.442,-100.323,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1174.358,-0.069,-37.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
5,,1,1,0,0,2,1,1,0,0,0,255,255,255,4,1186.869,"눈꽃",R,28,91,140,-1.062,0.063,0.021,1.903,-0.49,1.569,-36.64,6.327,51,49,0,2,"",19.495,-79.838,0,0,0,1,"=","=","=","=","=","=","=","=","",2,L,"Kr_Luna",190,95.163,0.504,5,104,W,Y,1,1187.684,174,144,184,76,30,,145,131,25.487,-17.254,-0.197,1.043,-20.407,0.34,0,0.143,256.225,-273.655,-72.338,1193.059,42.818,-131.325,,,,,,0,0,,1193.517,1197.963,1203.628,1212.458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.143,-37.531,-0.076,-17.479,-18.863,-48.761,-10.003,-64.761,25.979,-51.841,11.623,-65.715,53.649,-96.166,-0.798,-121.691,-43.005,-97.358,0.002,-37.441,,"SFIDA",-0.077,-17.477,,"559：広告",-18.851,-48.736,,"YukihiroD",-10.016,-64.764,,"Azuner",25.916,-51.859,,"coder_",11.806,-66.442,,"きりん SR",53.628,-96.137,,"Amellaid",-0.883,-121.73,,"소솨소솨",-43.008,-97.359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",4,-16.551,-16.551,-10.489,0,1,0.875,44.34,28.773,-0.374,80.089,0.046,-13.198,0,"",1197.963,1203.628,,0,""
6,,1,1,1,0,0,0,1,0,0,0,255,255,255,5,1269.859,"눈꽃",R,0,49,106,-3.985,2.058,-0.026,2.212,-1.801,2.922,-36.64,47.174,100,0,0,2,"",0,0,0,0,0,2,"=","=","=","=","=","=","=","=","Yaksok~",1,R,"mungjungh",190,89.696,0.403,5,59,W,Y,1,1270.978,165,77,123,105,43,,145,89,-30,-43.313,-0.758,1.833,-20.657,1,0,0.325,-41.953,398.579,428.301,1271.193,1.306,-22.854,1273.168,4,22.081,0.27,-45.071,0,0,,,,,,,,,,,,,,,1276.185,2,,147,32,,,,,,,,,,,,,,,,,,,-0.204,-37.653,-0.008,-17.382,-21.758,-49.301,-15.379,-61.739,21.381,-50.847,10.066,-65.999,39.707,-110.069,-8.015,-122.961,-51.291,-97.752,0.083,-37.511,,"SFIDA",-0.074,-17.256,,"559：広告",-21.619,-49.426,86,"YukihiroD",-15.33,-61.606,,"Azuner",20.841,-50.315,110,"coder_",10.104,-65.643,,"きりん SR",39.548,-110.067,,"Amellaid",-8.052,-122.967,,"소솨소솨",-49.686,-94.326,,1278.978,-0.583,-38.321,,,,1275.595,-18.592,-40.091,,,,1273.132,22.788,-45.811,,,,,,,,,,,,,,,,,,,1277.922,-17.94,-39.894,,,,1273.997,17.783,-45.789,,,,,,,,,,,,,"",2,-40.703,-40.703,-1.5,0,0,1,-68.349,-68.349,-34.353,-68.349,0,-56.555,0,"Azuner",,,,50,""
7,,1,1,1,0,0,0,2,0,0,0,255,255,255,6,1298.796,"눈꽃",R,27,96,140,1.422,-0.31,0.273,1.775,0.563,1.288,-36.64,7.15,49,51,0,2,"",40.286,-134.891,0,0,0,3,"=","=","=","=","=","=","=","=","=",4,R,"Penguin_iDOL",190,80,0.25,5,103,W,Y,1,1299.95,137,100,97,78,50,,141,92,32.22,41.878,0.265,0.837,-19.563,-0.77,0,0.275,193.158,143.432,-343.423,1305.105,-51.127,-74.353,1309.214,8,-64.911,0.057,-86.083,1,0,,1305.892,1310.702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.042,-37.617,0.02,-17.499,-21.559,-48.232,-16.519,-60.984,21.584,-50.114,11.816,-65.804,46.472,-108.969,-4.634,-121.948,-49.5,-94.673,0.281,-37.536,,"SFIDA",0.035,-17.492,,"559：広告",-21.555,-48.595,,"YukihiroD",-16.463,-60.883,85,"Azuner",21.8,-50.149,,"coder_",12.001,-66.975,,"きりん SR",46.378,-108.772,,"Amellaid",-4.64,-121.929,,"소솨소솨",-48.914,-94.235,117,1317.238,-0.495,-39.362,,,,,,,1312.066,-19.043,-69.119,,,,,,,,,,,,,1309.087,-64.611,-85.906,,,,,,,,,,1315.906,-12.976,-59.547,,,,,,,,,,,,,1310.234,-59.346,-85.704,"",2,41.783,40.515,2.651,0,1,0.489,80.044,32.22,-5.78,75.53,0.052,121.92,0,"소솨소솨",1310.702,,,70,""
8,,1,1,1,0,0,0,2,0,1,0,255,4,255,7,1334.427,"눈꽃",R,3,67,98,0.203,-0.01,0.434,1.762,0.722,1.621,-36.64,7.204,48,52,0,0,"",-349.717,0,0,0,0,4,"=","=","=","=","=","=","=","=","=",9,L,"CAT tourniquet",190,85,0.547,,101,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,1352.2,,,,,,,,,,,,,,,,,,,,,,,,,0.177,-37.645,-0.038,-17.417,-17.593,-48.562,-3.655,-64.604,24.402,-50.021,12.822,-64.599,56.487,-95.522,1.986,-122.622,-42.215,-92.235,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1338.782,-0.118,-37.749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",1337.235,,,0,""
9,,1,1,1,0,0,1,2,0,1,0,255,4,255,8,1353.598,"눈꽃",R,14,69,97,2.323,-1.385,0.312,1.649,0.272,1.266,-36.64,24.863,49,51,0,4,"",332.956,327.772,0,0.553,-17.988,4,"=","=","=","=","=","=","=","=","=",9,L,"CAT tourniquet",190,85,0.547,,101,W,Y,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,1383.547,,,,,,,,,,,,,,,,,,,,,,,,,-0.067,-37.617,-0.035,-17.453,-17.932,-48.186,-3.857,-63.963,24.357,-50.065,12.642,-65.229,56.247,-95.544,2.206,-122.721,-43.435,-93.326,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1358.282,-0.478,-37.558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",1356.495,,,0,""
10,,1,1,1,0,0,2,2,0,1,0,255,4,255,9,1383.952,"눈꽃",R,39,58,100,1.471,-0.57,0.407,1.696,0.751,1.073,-36.64,27.459,49,51,0,0,"",-54.874,-160.201,0,0,0,4,"=","=","=","=","=","=","=","=","=",9,L,"CAT tourniquet",190,85,0.547,,101,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,1388.039,,1386.883,4,,578,0,,,,,,,,,,,,,,,,,,,-0.015,-37.681,-0.009,-17.654,-18.678,-47.321,-3.267,-64.691,24.346,-50.055,13.118,-65.024,56.108,-95.68,4.526,-123.638,-42.625,-93.118,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",1386.954,,,0,""
11,SIDE,1,1,1,0,0,0,2,0,1,0,255,4,255,,1389.767,,,,,,,,,,,,,,,,,,,,,,,,5,"=","=","=","=","=","=","=","=","=",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
12,,1,0,1,0,0,0,0,0,0,0,255,255,255,0,1471.987,"HANA_ARASHI",R,14,78,116,1.559,0.594,0.397,2.235,-0.003,2.352,-36.701,40.117,84,16,0,1,"",384.102,320.103,-10.519,0,0,0,"coder_","눈꽃","소솨소솨","SFIDA","559：広告","Azuner","YukihiroD","きりん SR","Amellaid",5,R,"coder_",166,80,0.248,,97,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.081,-37.16,-0.045,-17.248,-20.81,-49.539,-7.972,-65.747,20.581,-50.158,14.64,-63.075,37.233,-86.091,0.022,-109.96,-45.024,-94.129,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
13,,1,0,1,0,1,0,0,0,0,0,255,255,255,1,1484.834,"HANA_ARASHI",R,10,86,128,2.788,1.248,0.652,2.342,1.185,2.749,-36.701,68.95,69,31,0,1,"",6.625,400,2.147,0.46,-13.166,0,"=","=","=","=","=","=","=","=","=",5,R,"coder_",166,80,0.248,,97,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.097,-37.102,-0.016,-17.244,-21.525,-49.554,-8.38,-65.452,20.655,-50.224,15.535,-62.759,37.236,-86.108,0.001,-109.958,-44.971,-94.26,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
14,,1,0,1,0,2,0,0,0,0,0,255,255,255,2,1498.494,"HANA_ARASHI",R,26,101,140,1.051,0.329,0.517,2.021,0.554,1.559,-36.701,28.833,74,26,0,0,"",-81.527,-200,6.239,0,0,0,"=","=","=","=","=","=","=","=","=",5,R,"coder_",166,80,0.248,,97,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.136,-37.078,-0.024,-17.325,-21.67,-49.437,-8.331,-65.345,20.748,-50.117,12.922,-64.115,37.244,-86.115,-0.168,-110.011,-44.974,-94.264,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
15,,1,0,1,0,2,1,0,0,0,0,255,255,255,3,1511.583,"HANA_ARASHI",R,10,91,128,1.456,-1.205,0.531,1.981,0.619,1.41,-36.701,29.114,85,15,0,1,"",0,400,0.243,0.221,-17.469,0,"=","=","=","=","=","=","=","=","=",5,R,"coder_",166,80,0.248,,97,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,-37.042,-0.042,-17.33,-21.775,-49.398,-9.469,-64.935,20.646,-50.386,15.043,-63.592,37.244,-86.124,-0.036,-109.962,-45.289,-94.096,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
16,,1,0,1,0,3,1,0,0,0,0,255,255,255,4,1522.64,"HANA_ARASHI",R,26,107,140,-0.565,-0.034,0.341,1.967,-0.265,1.36,-36.701,17.882,36,64,0,0,"",5.773,-200,19.252,0,0,0,"=","=","=","=","=","=","=","=","=",5,R,"coder_",166,80,0.248,,97,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.047,-37.057,-0.051,-17.362,-21.753,-47.977,-12.534,-63.778,20.765,-50.205,11.928,-64.903,36.947,-86.043,-0.066,-109.972,-45.102,-94.246,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
17,,1,0,1,0,3,2,0,0,0,0,255,255,255,5,1534.15,"HANA_ARASHI",R,14,92,126,12.575,20.667,0.425,2.149,0.127,2.035,-36.701,33.165,85,15,0,2,"",383.38,320.966,5.291,0,0,0,"=","=","=","=","=","=","=","=","=",5,R,"coder_",166,80,0.248,3,97,W,Y,1,1535.227,144,59,138,41,27,,145,94,-21.457,11.19,0.25,0.703,-20.295,-0.2,0,0.269,-416.777,-6.754,209.066,1535.289,-0.063,-21.878,1537.476,3,-9.541,0.095,-57.491,0,0,,1539.514,,,,,,,,,,,,,1539.871,0,,147,128,,,,,,,,,,,,,,,,,,,0.083,-37.084,0.026,-17.36,-21.848,-47.503,-10.61,-64.959,20.395,-50.821,13.02,-64.411,36.756,-86.199,-0.034,-109.955,-45.205,-94.146,0.184,-36.906,,"mungjungh",0.041,-17.443,,"Kr_Luna",-20.68,-48.532,85,"crani",-10.606,-64.871,99,"Penguin_iDOL",20.682,-50.432,,"CVPileMaki",13.597,-64.067,,"Yaksok~",36.116,-86.719,,"k@ster",-0.035,-109.974,,"SUGUN",-45.004,-94.124,,1542.134,-3.798,-36.839,,,,1539.256,-18.333,-40.682,1537.415,-10.031,-59.015,,,,,,,,,,,,,,,,,,,,,,1541.233,-17.488,-39.688,1538.405,-11.298,-53.661,,,,,,,,,,,,,,,,"",2,,,,,,,,,,,,,0,"crani",,,,130,""
