id,type,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,manual,sH,sV,gyro,plx,plz,bIdx,order1Name,order2Name,order3Name,order4Name,order5Name,order6Name,order7Name,order8Name,order9Name,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,bSwing,hSec,rotS,rotL,shS,lgS,prepS,gripPen,batSpd,ev,ldeg,sdeg,launchPosX,launchPosY,launchPosZ,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,ltSec,lx,lz,cSec,cPos,cx,cy,cz,1BSafe,tag,cpSec,bTo1Sec,bTo2Sec,bTo3Sec,bToHSec,r1To2Sec,r1To3Sec,r1ToHSec,r2To3Sec,r2ToHSec,r3ToHSec,r1LeaveSec,r2LeaveSec,r3LeaveSec,out1Sec,out1BatterIndex,out1PrevBase,out1Code,out1Ass,out2Sec,out2BatterIndex,out2PrevBase,out2Code,out2Ass,out3Sec,out3BatterIndex,out3PrevBase,out3Code,out3Ass,ball1Sec,ball1Pos,ball2Sec,ball2Pos,ball3Sec,ball3Pos,ballHSec,ballHPos,PitchPPosX,PitchPPosZ,PitchCPosX,PitchCPosZ,Pitch1BPosX,Pitch1BPosZ,Pitch2BPosX,Pitch2BPosZ,Pitch3BPosX,Pitch3BPosZ,PitchSSPosX,PitchSSPosZ,PitchLFPosX,PitchLFPosZ,PitchCFPosX,PitchCFPosZ,PitchRFPosX,PitchRFPosZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,PGetSec,PGetX,PGetZ,CGetSec,CGetX,CGetZ,1BGetSec,1BGetX,1BGetZ,2BGetSec,2BGetX,2BGetZ,3BGetSec,3BGetX,3BGetZ,SSGetSec,SSGetX,SSGetZ,LFGetSec,LFGetX,LFGetZ,CFGetSec,CFGetX,CFGetZ,RFGetSec,RFGetX,RFGetZ,PThrSec,PThrX,PThrZ,CThrSec,CThrX,CThrZ,1BThrSec,1BThrX,1BThrZ,2BThrSec,2BThrX,2BThrZ,3BThrSec,3BThrX,3BThrZ,SSThrSec,SSThrX,SSThrZ,LFThrSec,LFThrX,LFThrZ,CFThrSec,CFThrX,CFThrZ,RFThrSec,RFThrX,RFThrZ,errPosDelta,result,swPreDeg,swTargetDeg,swApproachDeg,swCorr,swSource,swProximity,swVRawDeg,swVAdjustedDeg,swVMotionDeg,swVClosestDeg,swVYShrink,swGeometryDeg,balk,cPlr,sb2Sec,sb3Sec,sbhSec,ass,remarks
1,,1,1,0,0,0,0,0,0,0,0,255,255,255,0,944.55,"DoYaGee",R,32,78,128,0.638,-0.256,0.211,1.056,0.051,1.512,-36.487,25.896,6,17,78,0,"",173.418,48.297,20.926,0,0,0,"Muna_328","Megu3568","Sabo_10","Fresh825","하루（Haru）","schmoneymikey","_AKASATA_","うよすま","Dοpi",4,R,"Muna_328",189.7,89.724,0.5,,38,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.001,-37.848,-0.003,-17.782,-23.048,-47.776,-16.712,-62.607,21.096,-48.791,13.307,-64.922,46.599,-95.441,-0.412,-112.305,-45.828,-96.074,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
2,,1,1,0,0,0,1,0,0,0,0,255,255,255,1,964.106,"DoYaGee",R,13,89,126,-3.531,-1.019,-0.004,0.997,-0.95,1.321,-36.487,28.12,7,16,76,1,"",-390.434,312.348,34.116,0,0,0,"=","=","=","=","=","=","=","=","=",4,R,"Muna_328",189.7,89.724,0.5,,38,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016,-37.824,-0.041,-17.782,-22.344,-48.322,-16.805,-62.681,20.973,-48.37,12.614,-65.17,46.604,-95.458,-0.281,-111.994,-45.874,-95.823,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
3,,1,1,0,0,1,1,0,0,0,0,255,255,255,2,984.026,"DoYaGee",R,32,77,127,1.657,-0.576,0.229,1.038,0.136,1.452,-36.487,23.424,7,12,81,2,"",156.146,-5.823,29.005,0,0,0,"=","=","=","=","=","=","=","=","=",4,R,"Muna_328",189.7,89.724,0.5,0,38,W,Y,1,984.886,232,129,100,0,0,,134,101,39.916,39.008,0.162,0.906,-20.195,-0.19,0,0.753,72.993,226.796,114.281,958.933,-55.34,-80.418,959.316,8,-53.439,2.437,-78.536,0,0,,991.191,,,,,,,,,,,,,989.954,0,,457,0,,,,,,,,,,,,,,,,,,,0.1,-37.639,0.001,-17.732,-22.317,-48.5,-16.812,-62.676,20.719,-48.726,12.576,-65.435,46.801,-95.393,-0.519,-111.94,-45.817,-95.825,-0.275,-36.519,,"encounter v",0.012,-17.775,,"쟈가리코",-22.261,-48.363,,"muyang_",-16.836,-62.624,,"わだ、、",20.56,-48.169,,"shimenawa",12.243,-65.389,,"yumi2012",46.581,-95.382,,"ByeolBam",-2.385,-112.031,,"ddil_ddil69",-45.744,-95.762,102,995.509,-0.361,-38.593,,,,,,,,,,,,,,,,,,,,,,989.966,-54.054,-78.864,,,,,,,,,,,,,,,,,,,,,,,,,993.158,-39.551,-66.447,"",1,,,,,,,,,,,,,0,"ddil_ddil69",,,,64,""
4,,1,1,0,0,0,0,1,0,0,0,255,255,255,3,1014.065,"DoYaGee",R,32,85,137,-1.395,0.778,0.036,1.2,-0.764,1.977,-36.487,10.248,6,73,21,0,"",225.391,-165.153,52.966,0,0,1,"=","=","=","=","=","=","=","=","=",9,R,"Megu3568",190,88.251,0.405,,37,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.003,-37.666,-0.015,-17.809,-23.853,-50.206,-17.265,-63.194,21.482,-48.955,12.818,-64.894,46.339,-94.361,-0.455,-115.995,-50.997,-99.503,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1019.056,-0.3,-36.897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
5,,1,1,0,0,0,1,1,0,0,0,255,255,255,4,1032.841,"DoYaGee",R,3,81,119,-3.589,0.272,0.021,1.146,-0.832,1.802,-36.487,20.137,9,14,77,1,"",-444.351,0,15.399,0,0,1,"=","=","=","=","=","=","=","=","=",9,R,"Megu3568",190,88.251,0.405,,37,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.057,-37.728,-0.418,-17.782,-22.825,-48.204,-16.806,-62.486,21.702,-48.476,12.724,-65.39,46.342,-94.538,-3.746,-120.272,-50.815,-99.447,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1036.586,-0.19,-36.819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
6,,1,1,0,0,1,1,1,0,0,0,255,255,255,5,1053.273,"DoYaGee",R,3,87,112,-6.264,0.734,-0.009,1.199,-0.649,1.867,-36.487,17.165,9,12,79,2,"",-448.811,-3.764,10.068,0,0,1,"=","=","=","=","=","=","=","=","=",9,R,"Megu3568",190,88.251,0.405,3,36,W,Y,1,1054.425,213,157,105,116,58,,145,87,11.477,43.87,-0.819,1.212,-20.387,1,0,0.53,-215.042,537.602,102.46,1024.083,-26.457,-44.261,1024.183,2,-23.287,0.934,-41.587,0,0,,,,,,,,,,,,,,,1056.224,1,,451,0,,,,,,,,,,,,,,,,,,,-0.085,-37.879,-0.015,-17.826,-22.661,-47.989,-16.817,-62.602,20.642,-48.516,12.76,-65.323,46.356,-94.469,-0.058,-116.634,-50.94,-99.622,-0.387,-36.987,,"encounter v",-0.108,-17.829,,"쟈가리코",-22.536,-47.899,85,"muyang_",-17.194,-64.528,,"わだ、、",20.184,-48.123,,"shimenawa",12.845,-65.111,,"yumi2012",46.327,-94.317,,"ByeolBam",-0.787,-116.664,,"ddil_ddil69",-50.923,-99.543,,1059.188,-0.762,-37.885,,,,1056.231,-23.81,-42.099,,,,,,,,,,,,,,,,,,,,,,,,,1058.042,-20.268,-39.686,,,,,,,,,,,,,,,,,,,"",1,,,,,,,,,,,,,0,"쟈가리코",,,,2,""
7,,1,1,0,0,0,0,2,0,0,0,255,255,255,6,1096.744,"DoYaGee",R,0,58,112,4.911,-2.046,0.484,0.895,2.146,0.384,-36.487,86.431,8,18,74,1,"",-13.891,0,-2.832,0.965,-18.181,2,"=","=","=","=","=","=","=","=","=",8,L,"Sabo_10",185.3,88,0.452,,36,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.111,-37.731,-0.088,-17.858,-21.047,-47.075,-16.564,-62.736,21.898,-48.439,14.604,-64.569,49.151,-96.282,2.247,-116.835,-46.81,-95.101,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1100.979,-0.001,-36.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
8,,1,1,0,0,1,0,2,0,0,0,255,255,255,7,1114.409,"DoYaGee",R,3,80,119,-2.846,0.501,0.091,1.185,-0.509,1.936,-36.487,11.09,6,52,42,1,"",-449.406,0,38.874,0,0,2,"=","=","=","=","=","=","=","=","=",8,L,"Sabo_10",185.3,88,0.452,,36,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.109,-37.786,-0.07,-17.847,-21.669,-47.057,-16.731,-62.374,21.79,-48.67,13.888,-64.649,49.173,-96.371,1.485,-116.572,-47.349,-95.702,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1118.993,-0.059,-36.824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
9,,1,1,0,0,2,0,2,0,0,0,255,255,255,8,1134.294,"DoYaGee",R,6,42,94,1.142,-0.411,0.177,1.026,-0.107,1.407,-36.487,30.533,0,12,88,0,"",267.91,0,8.76,0,0,2,"=","=","=","=","=","=","=","=","=",8,L,"Sabo_10",185.3,88,0.452,,36,W,Y,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087,-37.33,0.007,-17.82,-21.571,-46.8,-16.962,-62.685,21.568,-48.69,13.351,-64.969,49.178,-96.413,3.157,-117.277,-47.353,-95.716,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1138.937,-0.135,-36.886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
10,,1,1,0,0,2,1,2,0,0,0,255,255,255,9,1154.648,"DoYaGee",R,32,78,128,1.092,-0.515,0.342,1.021,0.198,1.391,-36.487,40.728,7,13,79,0,"",178.449,72.757,14.391,0,0,2,"=","=","=","=","=","=","=","=","=",8,L,"Sabo_10",185.3,88,0.452,,36,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.078,-37.656,-0.041,-17.817,-21.269,-46.887,-16.772,-62.59,21.45,-48.144,13.161,-65.083,49.166,-96.379,0.216,-119.338,-47.273,-95.522,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1159.089,-0.154,-36.943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
