id,type,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,manual,sH,sV,gyro,plx,plz,bIdx,order1Name,order2Name,order3Name,order4Name,order5Name,order6Name,order7Name,order8Name,order9Name,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,bSwing,hSec,rotS,rotL,shS,lgS,prepS,gripPen,batSpd,ev,ldeg,sdeg,launchPosX,launchPosY,launchPosZ,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,ltSec,lx,lz,cSec,cPos,cx,cy,cz,1BSafe,tag,cpSec,bTo1Sec,bTo2Sec,bTo3Sec,bToHSec,r1To2Sec,r1To3Sec,r1ToHSec,r2To3Sec,r2ToHSec,r3ToHSec,r1LeaveSec,r2LeaveSec,r3LeaveSec,out1Sec,out1BatterIndex,out1PrevBase,out1Code,out1Ass,out2Sec,out2BatterIndex,out2PrevBase,out2Code,out2Ass,out3Sec,out3BatterIndex,out3PrevBase,out3Code,out3Ass,ball1Sec,ball1Pos,ball2Sec,ball2Pos,ball3Sec,ball3Pos,ballHSec,ballHPos,PitchPPosX,PitchPPosZ,PitchCPosX,PitchCPosZ,Pitch1BPosX,Pitch1BPosZ,Pitch2BPosX,Pitch2BPosZ,Pitch3BPosX,Pitch3BPosZ,PitchSSPosX,PitchSSPosZ,PitchLFPosX,PitchLFPosZ,PitchCFPosX,PitchCFPosZ,PitchRFPosX,PitchRFPosZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,PGetSec,PGetX,PGetZ,CGetSec,CGetX,CGetZ,1BGetSec,1BGetX,1BGetZ,2BGetSec,2BGetX,2BGetZ,3BGetSec,3BGetX,3BGetZ,SSGetSec,SSGetX,SSGetZ,LFGetSec,LFGetX,LFGetZ,CFGetSec,CFGetX,CFGetZ,RFGetSec,RFGetX,RFGetZ,PThrSec,PThrX,PThrZ,CThrSec,CThrX,CThrZ,1BThrSec,1BThrX,1BThrZ,2BThrSec,2BThrX,2BThrZ,3BThrSec,3BThrX,3BThrZ,SSThrSec,SSThrX,SSThrZ,LFThrSec,LFThrX,LFThrZ,CFThrSec,CFThrX,CFThrZ,RFThrSec,RFThrX,RFThrZ,errPosDelta,result,swPreDeg,swTargetDeg,swApproachDeg,swCorr,swSource,swProximity,swVRawDeg,swVAdjustedDeg,swVMotionDeg,swVClosestDeg,swVYShrink,swGeometryDeg,balk,cPlr,sb2Sec,sb3Sec,sbhSec,ass,remarks
1,,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1043.364,"Espressο",R,26,119,140,-1.321,-1.1,0.236,1.685,-0.662,0.8,-36.608,15.555,50,50,0,1,"",57.633,-165.937,13.966,0,0,0,"ByeolBam","쟈가리코","shimenawa","_송글_","encounter v","わだ、、","DoYaGee","ddil_ddil69","muyang_",7,R,"ByeolBam",175.3,88,0.5,,55,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.034,-37.583,-0.013,-17.497,-21.85,-51.307,-12.672,-61.052,20.546,-45.607,10.466,-62.873,42.267,-94.926,-0.633,-108.237,-45.338,-92.553,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
2,,1,1,0,0,1,0,0,0,0,0,255,255,255,1,1060.101,"Espressο",R,26,113,140,1.724,0.291,0.565,1.936,0.669,1.57,-36.608,36.517,84,16,0,2,"",47.04,-200,10.27,0,0,0,"=","=","=","=","=","=","=","=","=",7,R,"ByeolBam",175.3,88,0.5,5,55,W,Y,1,1061.017,83,255,102,144,57,,130,80,35.365,-22.302,0.322,1.052,-20.648,-0.78,0,0.406,249.171,520.903,80.883,,,,1065.403,5,16.394,4.186,-76.002,0,0,,1066.66,,,,,,,,,,,,,1065.833,0,,454,0,,,,,,,,,,,,,,,,,,,0.089,-37.443,0.004,-17.39,-21.994,-51.059,-12.947,-60.945,20.523,-45.756,10.985,-62.107,42.457,-94.932,-0.583,-105.926,-45.535,-92.511,0.19,-37.149,,"kneesohime",0.03,-17.428,,"にゃんこ65K",-21.976,-51.015,,"vovopo 보보포",-12.91,-60.794,,"アリアル",20.549,-45.597,,"CoalCat",10.978,-62.105,85,"あくせる",42.185,-94.594,,"Roscosmos",-0.595,-105.938,,"Metalu",-45.343,-92.525,,1070.656,2.455,-42.152,,,,,,,,,,,,,1065.842,16.528,-76.153,,,,,,,,,,,,,,,,,,,,,,,,,1068.767,16.049,-71.951,,,,,,,,,,"",1,-21.574,-21.574,-10.345,0,2,0.306,77.857,35.365,-2.635,83.995,0.033,-3.304,0,"CoalCat",,,,32,""
3,,1,1,0,0,0,0,1,0,0,0,255,255,255,2,1091.085,"Espressο",R,26,113,140,-1.287,-0.211,0.231,1.881,-0.677,1.29,-36.608,25.179,82,18,0,2,"",91.373,-200,9.634,0,0,1,"=","=","=","=","=","=","=","=","=",0,L,"쟈가리코",190,82,0.45,5,74,W,Y,1,1092.188,243,147,96,101,23,,145,131,25.789,2.606,-0.238,0.941,-20.442,0.48,0,0.707,324.149,-257.66,-69.944,1097.187,1.539,-141.089,,,,,,1,0,,1097.782,1102.376,1107.534,1112.921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.109,-37.494,-0.079,-17.451,-20.845,-51.877,-8.472,-59.423,19.712,-46.132,13.791,-61.09,46.418,-97.105,-0.117,-109.072,-35.987,-94.59,-0.023,-37.065,,"kneesohime",-0.112,-17.535,,"にゃんこ65K",-20.847,-51.863,,"vovopo 보보포",-8.155,-59.462,,"アリアル",19.654,-46.133,,"CoalCat",13.815,-61.092,,"あくせる",46.137,-96.97,,"Roscosmos",-0.338,-108.923,,"Metalu",-37.397,-94.276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",4,4.027,4.027,4.483,0,1,0.784,50.543,34.376,-0.582,81.438,0.052,-0.631,0,"",1102.376,1107.534,,0,""
4,,1,1,1,0,0,0,1,0,0,0,255,255,255,3,1134.475,"Espressο",R,10,105,128,-5.431,1.056,0.279,1.964,-0.53,1.451,-36.608,29.843,91,9,0,2,"",0,400,1.108,0,0,2,"=","=","=","=","=","=","=","=","=",5,L,"shimenawa",174.8,94.576,0.295,3,55,W,Y,1,1135.534,97,116,121,87,61,,136,76,16.924,10.474,-0.231,0.64,-20.354,1,0,0.204,243.982,-532.302,-89.792,,,,1138.087,3,-4.957,2.443,-63.985,0,0,,,,,,,,,,,,,,,1138.461,2,,452,0,,,,,,,,,,,,,,,,,,,0.009,-37.553,-0.082,-17.183,-21.486,-50.342,-9.363,-59.102,20.257,-45.243,13.842,-60.357,43.871,-93.647,2.68,-111.557,-37.433,-96.794,0.023,-37.201,,"kneesohime",-0.11,-17.229,,"にゃんこ65K",-21.484,-50.335,,"vovopo 보보포",-9.496,-59.101,89,"アリアル",20.231,-45.191,,"CoalCat",13.628,-60.433,,"あくせる",43.5,-93.348,,"Roscosmos",2.685,-111.549,,"Metalu",-37.421,-96.247,,1141.315,-0.939,-43.391,,,,,,,1138.475,-5.119,-64.689,,,,,,,,,,,,,,,,,,,,,,,,,1140.51,-3.572,-54.256,,,,,,,,,,,,,,,,"",1,,,,,,,,,,,,,0,"vovopo 보보포",,,,128,""
5,,1,1,1,0,0,0,2,0,0,0,255,255,255,4,1159.541,"Espressο",R,10,112,128,1.174,-0.235,0.51,1.934,0.496,1.852,-36.608,32.514,87,13,0,0,"",0,400,7.732,0.117,-14.918,3,"=","=","=","=","=","=","=","=","=",6,R,"_송글_",174.9,90.478,0.316,,56,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.076,-37.411,0.024,-17.227,-21.642,-50.271,-12.549,-61,19.46,-44.622,12.097,-62.009,40.967,-90.373,-0.042,-109.415,-44.598,-91.613,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1163.538,0.324,-37.079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
6,,1,1,1,0,0,1,2,0,0,0,255,255,255,5,1174.399,"Espressο",R,13,112,129,-3.019,-1.889,0.164,1.671,-0.886,0.765,-36.608,12.564,42,58,0,1,"",-287.164,232.148,13.41,-0.697,-18.451,3,"=","=","=","=","=","=","=","=","=",6,R,"_송글_",174.9,90.478,0.316,,56,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.116,-37.392,-0.012,-17.281,-21.655,-50.28,-12.553,-61.018,19.4,-44.782,12.007,-62.003,40.967,-90.347,-0.578,-110.849,-43.758,-92.214,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1178.24,0.151,-37.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
7,,1,1,1,0,1,1,2,0,0,0,255,255,255,6,1190.41,"Espressο",R,26,114,140,1.39,0.066,0.548,1.957,0.615,1.437,-36.608,36.051,84,16,0,2,"",-19.836,-200,-6.919,0,0,3,"=","=","=","=","=","=","=","=","=",6,R,"_송글_",174.9,90.478,0.316,0,56,W,Y,1,1191.38,98,57,86,33,13,,132,92,-14.886,39.193,0.243,0.903,-19.713,-0.29,0,0.325,318.098,181,-469.4,1191.104,-2.207,-22.705,1192.754,2,-17.774,0.057,-44.616,0,0,,1196.578,,,,,,,,,,,,,1195.091,3,,147,0,,,,,,,,,,,1194.574,2,,,,,,,0.039,-37.402,-0.047,-17.292,-21.654,-50.284,-12.545,-61.028,20.188,-45.317,12.106,-62.126,40.991,-90.357,-0.746,-110.718,-44.558,-92.928,0.148,-37.115,,"kneesohime",0.004,-17.446,,"にゃんこ65K",-21.634,-50.233,,"vovopo 보보포",-12.547,-61.017,,"アリアル",20.015,-45.284,,"CoalCat",12.08,-62.102,,"あくせる",40.614,-90.094,,"Roscosmos",-0.752,-110.737,,"Metalu",-44.576,-92.888,,,,,,,,1193.183,-18.54,-45.687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",2,,,,,,,,,,,,,0,"にゃんこ65K",,,,8,""
8,SIDE,1,1,1,0,0,0,2,0,0,0,255,255,255,,1198.112,,,,,,,,,,,,,,,,,,,,,,,,4,"=","=","=","=","=","=","=","=","=",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
9,,1,0,1,0,0,0,0,0,0,0,255,255,255,0,1394.377,"쟈가리코",R,26,80,131,1.075,0.953,0.279,1.761,0.368,2.014,-36.843,21.488,42,58,0,2,"",69.059,-200,9.277,0,0,0,"アリアル","?fredo?","kneesohime","にゃんこ65K","あくせる","CoalCat","Roscosmos","vovopo 보보포","Metalu",4,R,"アリアル",190,95.151,0.5,3,55,W,Y,1,1395.418,147,65,92,55,26,,144,106,6.136,20.926,0.01,1.385,-19.857,-0.03,0,0.281,374.895,404.099,-230.396,,,,1397.154,3,-17.373,1.75,-60.773,0,0,,,,,,,,,,,,,,,1397.556,0,,452,0,,,,,,,,,,,,,,,,,,,-0.056,-37.576,-0.035,-17.693,-21.918,-47.84,-16.113,-62.298,20.525,-46.736,13.448,-65.073,45.117,-96.528,0.051,-111.969,-48.369,-95.932,0.052,-37.115,,"encounter v",-0.036,-17.704,,"DoYaGee",-21.967,-47.855,,"muyang_",-16.157,-62.235,90,"わだ、、",20.108,-46.865,,"shimenawa",12.962,-65.205,,"_송글_",45.023,-96.609,,"ByeolBam",0.057,-111.957,,"ddil_ddil69",-48.457,-96.057,,,,,,,,,,,1397.569,-18.173,-62.445,,,,,,,,,,,,,,,,,,,,,,,,,1399.275,-12.326,-55.714,,,,,,,,,,,,,,,,"",1,,,,,,,,,,,,,0,"muyang_",,,,256,""
10,,1,0,1,0,0,0,1,0,0,0,255,255,255,1,1459.068,"쟈가리코",R,14,77,115,1.915,-1.136,0.258,1.555,0.268,1.329,-36.843,18.508,48,52,0,1,"",362.055,344.842,21.04,0,0,1,"=","=","=","=","=","=","=","=","=",9,R,"?fredo?",179.8,83.536,0.353,,55,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.032,-37.552,-0.014,-17.797,-21.542,-47.24,-16.699,-62.152,20.79,-47.363,13.275,-65.044,40.342,-91.789,0.413,-113.811,-47.746,-99.129,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
