id,type,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,manual,sH,sV,gyro,plx,plz,bIdx,order1Name,order2Name,order3Name,order4Name,order5Name,order6Name,order7Name,order8Name,order9Name,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,bSwing,hSec,rotS,rotL,shS,lgS,prepS,gripPen,batSpd,ev,ldeg,sdeg,launchPosX,launchPosY,launchPosZ,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,ltSec,lx,lz,cSec,cPos,cx,cy,cz,1BSafe,tag,cpSec,bTo1Sec,bTo2Sec,bTo3Sec,bToHSec,r1To2Sec,r1To3Sec,r1ToHSec,r2To3Sec,r2ToHSec,r3ToHSec,r1LeaveSec,r2LeaveSec,r3LeaveSec,out1Sec,out1BatterIndex,out1PrevBase,out1Code,out1Ass,out2Sec,out2BatterIndex,out2PrevBase,out2Code,out2Ass,out3Sec,out3BatterIndex,out3PrevBase,out3Code,out3Ass,ball1Sec,ball1Pos,ball2Sec,ball2Pos,ball3Sec,ball3Pos,ballHSec,ballHPos,PitchPPosX,PitchPPosZ,PitchCPosX,PitchCPosZ,Pitch1BPosX,Pitch1BPosZ,Pitch2BPosX,Pitch2BPosZ,Pitch3BPosX,Pitch3BPosZ,PitchSSPosX,PitchSSPosZ,PitchLFPosX,PitchLFPosZ,PitchCFPosX,PitchCFPosZ,PitchRFPosX,PitchRFPosZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,PGetSec,PGetX,PGetZ,CGetSec,CGetX,CGetZ,1BGetSec,1BGetX,1BGetZ,2BGetSec,2BGetX,2BGetZ,3BGetSec,3BGetX,3BGetZ,SSGetSec,SSGetX,SSGetZ,LFGetSec,LFGetX,LFGetZ,CFGetSec,CFGetX,CFGetZ,RFGetSec,RFGetX,RFGetZ,PThrSec,PThrX,PThrZ,CThrSec,CThrX,CThrZ,1BThrSec,1BThrX,1BThrZ,2BThrSec,2BThrX,2BThrZ,3BThrSec,3BThrX,3BThrZ,SSThrSec,SSThrX,SSThrZ,LFThrSec,LFThrX,LFThrZ,CFThrSec,CFThrX,CFThrZ,RFThrSec,RFThrX,RFThrZ,errPosDelta,result,swPreDeg,swTargetDeg,swApproachDeg,swCorr,swSource,swProximity,swVRawDeg,swVAdjustedDeg,swVMotionDeg,swVClosestDeg,swVYShrink,swGeometryDeg,balk,cPlr,sb2Sec,sb3Sec,sbhSec,ass,remarks
1,,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1642.198,"-라후이-",R,26,97,140,-1.748,-1.029,-0.031,1.734,-0.746,0.815,-36.439,15.302,86,10,4,1,"",-16.39,-200,31.585,0,0,0,"Yaksok~","Kr_Luna","mungjungh","HANA_ARASHI","Penguin_iDOL","CAT tourniquet","CVPileMaki","k@ster","SUGUN",3,R,"Yaksok~",172.5,85.735,0.232,,125,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.13,-37.314,-0.039,-17.351,-16.474,-41.827,-13.042,-65.065,21.218,-49.496,12.071,-64.85,43.622,-95.307,-0.974,-112.642,-49.239,-97.325,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
2,,1,1,0,0,1,0,0,0,0,0,255,255,255,1,1656.654,"-라후이-",R,26,89,140,-1.583,-0.463,0.086,1.938,-0.665,1.139,-36.439,33.179,89,11,0,1,"",-21.178,-190.887,14.585,0,0,0,"=","=","=","=","=","=","=","=","=",3,R,"Yaksok~",172.5,85.735,0.232,,66,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.122,-37.205,-0.049,-17.325,-16.426,-41.937,-13.027,-65.061,21.178,-49.863,12.377,-64.786,43.589,-95.315,-1.406,-112.743,-49.93,-97.588,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
3,,1,1,0,0,2,0,0,0,0,0,255,255,255,2,1672.359,"-라후이-",R,10,86,128,-0.695,-2.213,0.151,1.837,-0.428,0.777,-36.439,31.75,86,12,1,1,"",81.938,400,22.98,-0.139,-19.4,0,"=","=","=","=","=","=","=","=","=",3,R,"Yaksok~",172.5,85.735,0.232,,66,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.086,-37.208,-0.047,-17.321,-16.414,-41.96,-13.151,-65.216,21.592,-49.506,12.376,-64.757,43.571,-95.606,-0.044,-113.776,-49.996,-97.005,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
4,,1,1,0,0,3,0,0,0,0,0,255,255,255,3,1689.151,"-라후이-",R,26,90,140,-0.591,-0.849,0.055,1.824,-0.204,0.921,-36.439,25.709,89,9,2,2,"",-42.042,-192.431,18.146,0,0,0,"=","=","=","=","=","=","=","=","=",3,R,"Yaksok~",172.5,85.735,0.232,5,123,W,Y,1,1690.023,98,133,86,55,4,,133,87,-30,38.846,-0.122,0.575,-19.511,0.99,0,0.166,142.266,21.092,-169.519,1690.316,-0.68,-20.204,1691.883,2,-14.837,1.182,-37.775,0,0,,,,,,,,,,,,,,,1693.353,0,,147,0,,,,,,,,,,,1692.705,2,,,,,,,-0.139,-37.342,-0.041,-17.308,-16.46,-41.904,-13.201,-65.077,21.148,-49.912,12.361,-64.731,43.115,-96.802,-0.418,-113.11,-50.01,-96.996,-0.029,-36.624,,"Ainy4／あいにゃ",-0.099,-17.395,,"Floră",-16.542,-42.092,85,"낑깡__",-13.364,-65.323,,"Slaris",21.36,-49.584,,"즉석카레",12.352,-64.598,,"ディシジョン",43.12,-96.778,,"아침땅_",-0.964,-112.385,,"Kenomo",-49.968,-96.92,,1696.016,-1.258,-38.608,,,,1691.618,-15.309,-38.3,,,,,,,,,,,,,,,,,,,,,,,,,1695.007,-17.892,-39.153,,,,,,,,,,,,,,,,,,,"",2,39.579,39.579,9.211,0,2,0.227,-55.172,-41.87,-59.98,-54.952,0.054,101.483,0,"Floră",,,,33,""
5,,1,1,0,0,0,0,1,0,0,0,255,255,255,4,1711.152,"-라후이-",R,26,88,140,1.16,-0.423,0.228,1.923,0.509,1.159,-36.439,31.625,92,8,0,0,"",-8.081,-200,14.928,0,0,1,"=","=","=","=","=","=","=","=","=",0,L,"Kr_Luna",190,95.163,0.504,,122,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.019,-37.269,-0.006,-17.264,-14.92,-43.435,-9.78,-66.616,22.664,-49.346,14.473,-63.427,54.058,-99.338,3.178,-118.702,-49.561,-103.55,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1715.389,-0.094,-37.444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
6,,1,1,0,0,0,1,1,0,0,0,255,255,255,5,1727.838,"-라후이-",R,26,90,140,2.149,-0.168,0.32,1.896,0.913,1.322,-36.439,32.16,88,12,0,1,"",9.802,-200,11.365,0,0,1,"=","=","=","=","=","=","=","=","=",0,L,"Kr_Luna",190,95.163,0.504,,122,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022,-37.425,-0.017,-17.281,-15.108,-43.378,-10.304,-66.25,22.74,-49.566,14.478,-63.951,52.706,-100.082,2.131,-118.694,-48.973,-104.78,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1731.123,0.193,-37.431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
7,,1,1,0,0,1,1,1,0,0,0,255,255,255,6,1742.637,"-라후이-",R,26,84,136,2.134,-0.289,0.358,1.991,0.845,1.273,-36.439,48.565,85,13,2,1,"",53.766,-156.431,9.173,0,0,1,"=","=","=","=","=","=","=","=","=",0,L,"Kr_Luna",190,95.163,0.504,,122,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,-37.487,-0.017,-17.251,-15.203,-43.31,-10.757,-66.086,22.588,-49.594,13.194,-63.432,52.195,-100.465,2.827,-118.757,-48.916,-104.696,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1747.174,-0.221,-37.289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
8,,1,1,0,0,2,1,1,0,0,0,255,255,255,7,1757.284,"-라후이-",R,26,93,140,0.122,-1.198,0.064,1.648,0.096,0.684,-36.439,11.235,63,37,0,1,"",-34.279,-195.212,21.877,-0.011,-15.044,1,"=","=","=","=","=","=","=","=","=",0,L,"Kr_Luna",190,95.163,0.504,,122,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.113,-37.173,-0.028,-17.272,-15.016,-43.169,-11.068,-65.96,22.63,-49.477,14.546,-63.787,52.211,-100.474,3.158,-119.007,-48.988,-104.775,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1762.327,-0.149,-37.361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
9,,1,1,0,0,3,1,1,0,0,0,255,255,255,8,1772.979,"-라후이-",R,10,66,98,0.614,-1.171,0.36,2.017,0.257,1.476,-36.439,45.571,100,0,0,2,"",0,400,-6.104,0,0,1,"=","=","=","=","=","=","=","=","=",0,L,"Kr_Luna",190,95.163,0.504,5,102,W,Y,1,1773.972,142,107,114,85,40,,145,123,109.983,-48.408,0.111,0.549,-20.297,0.76,0,0.168,332.661,-397.25,85.019,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.029,-37.287,-0.025,-17.287,-15.155,-43.368,-11.016,-65.962,22.533,-49.332,14.055,-63.22,52.207,-100.487,1.298,-118.682,-49.021,-104.443,0.046,-36.637,,"Ainy4／あいにゃ",0.01,-17.433,,"Floră",-15.2,-43.399,,"낑깡__",-11.057,-66.244,,"Slaris",22.653,-49.274,,"즉석카레",14.063,-63.107,,"ディシジョン",52.209,-100.483,,"아침땅_",0.275,-118.55,,"Kenomo",-48.953,-104.352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",3,-47.52,-47.52,-19.315,0,2,0.184,76.998,70.017,34.124,76.204,0.046,-122.518,0,"",,,,0,""
10,,1,1,0,0,3,2,1,0,0,0,255,255,255,9,1789.302,"-라후이-",R,26,91,140,1.013,-0.648,0.2,1.871,0.413,1.037,-36.439,32.11,90,10,0,0,"",16.775,-178.994,11.71,0,0,1,"=","=","=","=","=","=","=","=","=",0,L,"Kr_Luna",190,95.163,0.504,,102,W,Y,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,1791.748,1,,578,0,,,,,,,,,,,,,,,,,,,-0.067,-37.307,0.04,-17.325,-15.263,-43.114,-10.982,-65.86,23.091,-49.049,13.961,-63.445,51.42,-99.769,3.293,-118.482,-46.578,-106.189,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
