id,type,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,manual,sH,sV,gyro,plx,plz,bIdx,order1Name,order2Name,order3Name,order4Name,order5Name,order6Name,order7Name,order8Name,order9Name,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,bSwing,hSec,rotS,rotL,shS,lgS,prepS,gripPen,batSpd,ev,ldeg,sdeg,launchPosX,launchPosY,launchPosZ,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,ltSec,lx,lz,cSec,cPos,cx,cy,cz,1BSafe,tag,cpSec,bTo1Sec,bTo2Sec,bTo3Sec,bToHSec,r1To2Sec,r1To3Sec,r1ToHSec,r2To3Sec,r2ToHSec,r3ToHSec,r1LeaveSec,r2LeaveSec,r3LeaveSec,out1Sec,out1BatterIndex,out1PrevBase,out1Code,out1Ass,out2Sec,out2BatterIndex,out2PrevBase,out2Code,out2Ass,out3Sec,out3BatterIndex,out3PrevBase,out3Code,out3Ass,ball1Sec,ball1Pos,ball2Sec,ball2Pos,ball3Sec,ball3Pos,ballHSec,ballHPos,PitchPPosX,PitchPPosZ,PitchCPosX,PitchCPosZ,Pitch1BPosX,Pitch1BPosZ,Pitch2BPosX,Pitch2BPosZ,Pitch3BPosX,Pitch3BPosZ,PitchSSPosX,PitchSSPosZ,PitchLFPosX,PitchLFPosZ,PitchCFPosX,PitchCFPosZ,PitchRFPosX,PitchRFPosZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,PGetSec,PGetX,PGetZ,CGetSec,CGetX,CGetZ,1BGetSec,1BGetX,1BGetZ,2BGetSec,2BGetX,2BGetZ,3BGetSec,3BGetX,3BGetZ,SSGetSec,SSGetX,SSGetZ,LFGetSec,LFGetX,LFGetZ,CFGetSec,CFGetX,CFGetZ,RFGetSec,RFGetX,RFGetZ,PThrSec,PThrX,PThrZ,CThrSec,CThrX,CThrZ,1BThrSec,1BThrX,1BThrZ,2BThrSec,2BThrX,2BThrZ,3BThrSec,3BThrX,3BThrZ,SSThrSec,SSThrX,SSThrZ,LFThrSec,LFThrX,LFThrZ,CFThrSec,CFThrX,CFThrZ,RFThrSec,RFThrX,RFThrZ,errPosDelta,result,swPreDeg,swTargetDeg,swApproachDeg,swCorr,swSource,swProximity,swVRawDeg,swVAdjustedDeg,swVMotionDeg,swVClosestDeg,swVYShrink,swGeometryDeg,balk,cPlr,sb2Sec,sb3Sec,sbhSec,ass,remarks
1,,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1287.243,"559：広告",R,10,55,89,-0.621,-1.029,0.082,1.83,-0.273,1.647,-36.419,46.467,100,0,0,2,"",0,400,-1.097,0,0,0,"sano jpn","ʚEveɞ","인생최패망자","P0TA0","白霜らいふ","カズティー","NABIMan","IbikiKai_JP","ibqrqki",1,R,"sano jpn",190,87.118,0.631,0,83,W,Y,1,1288.512,91,101,95,115,87,,133,85,-30,53.683,-0.207,0.619,-20.7,1,0.476,0.361,102.973,256.469,518.123,1288.645,-1.493,-21.644,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.207,-37.365,0.013,-17.483,-19.402,-43.98,-14.515,-60.678,21.924,-49.275,10.867,-65.684,46.007,-102.768,-1.579,-121.753,-52.586,-101.749,0.134,-37.522,,"SFIDA",0.022,-17.505,,"甲斐野柊太",-19.179,-44.51,,"YukihiroD",-14.495,-60.619,,"Azuner",21.837,-49.307,,"coder_",10.916,-65.621,,"きりん SR",46.014,-102.739,,"Amellaid",-1.608,-121.542,,"소솨소솨",-51.22,-97.338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",3,,,,,,,,,,,,,0,"",,,,0,""
2,,1,1,0,0,0,1,0,0,0,0,255,255,255,1,1304.37,"559：広告",R,3,69,102,1.772,0,0.459,1.743,1.299,1.624,-36.419,76.904,78,22,0,1,"",-271.845,0,-3.085,0,0,0,"=","=","=","=","=","=","=","=","=",1,R,"sano jpn",190,87.118,0.631,,82,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.346,-36.944,0.02,-17.44,-19.397,-43.92,-16.579,-59.707,21.991,-49.101,10.935,-65.216,44.912,-103.462,-2.385,-122.359,-48.245,-95.164,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
3,,1,1,0,0,1,1,0,0,0,0,255,255,255,2,1318.88,"559：広告",R,11,80,113,-0.642,-1.377,0.16,1.467,-0.125,0.963,-36.419,27.271,42,58,0,1,"",-91.112,172.633,-0.325,0,0,0,"=","=","=","=","=","=","=","=","=",1,R,"sano jpn",190,87.118,0.631,,82,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.129,-37.752,0.012,-17.507,-19.212,-43.548,-16.416,-59.827,21.972,-49.172,11.541,-65.816,44.937,-103.506,-1.472,-120.746,-46.583,-97.483,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
4,,1,1,0,0,2,1,0,0,0,0,255,255,255,3,1332.187,"559：広告",R,27,84,136,3.146,-0.742,0.295,1.631,0.441,1.149,-36.419,19.747,51,49,0,2,"",54.004,-101.229,2.973,0,0,0,"=","=","=","=","=","=","=","=","=",1,R,"sano jpn",190,87.118,0.631,0,82,W,Y,1,1333.244,143,59,142,67,30,,145,124,14.092,36.289,0.222,0.769,-20.048,0.19,0.22,0.488,145.868,260.734,-87.127,,,,1336.895,8,-52.526,1.822,-86.002,0,0,,,,,,,,,,,,,,,1336.716,0,,457,0,,,,,,,,,,,,,,,,,,,-0.067,-36.998,0.014,-17.513,-18.595,-43.714,-16.425,-59.863,21.909,-49.088,10.818,-65.611,43.775,-102.213,-1.511,-120.813,-47.207,-100.138,0.118,-37.169,,"SFIDA",0.035,-17.52,,"甲斐野柊太",-18.3,-43.779,85,"YukihiroD",-16.432,-59.873,,"Azuner",21.888,-49.069,,"coder_",11.264,-68.845,,"きりん SR",43.726,-102.166,,"Amellaid",-1.698,-120.774,,"소솨소솨",-47.519,-97.642,90,1343.336,-1.775,-39.453,,,,1341.422,-19.381,-39.867,,,,,,,,,,,,,,,,1336.725,-52.945,-86.559,,,,,,,1342.369,-17.138,-39.738,,,,,,,,,,,,,,,,1338.769,-47.497,-79.854,"",1,,,,,,,,,,,,,0,"소솨소솨",,,,52,""
5,,1,1,0,0,0,0,1,0,0,0,255,255,255,4,1360.062,"559：広告",R,14,69,99,0.368,-0.962,0.161,1.723,-0.121,1.516,-36.419,25.197,100,0,0,2,"",157.584,400,-3.099,0,0,1,"=","=","=","=","=","=","=","=","=",2,L,"ʚEveɞ",190,95.003,0.405,5,59,W,Y,1,1361.216,206,91,113,61,16,,145,106,25.714,-14.571,0.063,0.761,-21.151,0.94,0,0.458,251.911,-233.014,-141.703,1366.179,28.384,-108.517,1369.412,6,37.774,0.057,-125.437,1,0,,1366.618,1371.174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.153,-37.514,-0.059,-17.62,-18.8,-44.753,-9.48,-64.601,25.705,-52.201,11.213,-65.962,53.273,-97.236,3.369,-121.906,-45.671,-96.105,0.125,-37.816,,"SFIDA",-0.032,-17.65,,"甲斐野柊太",-17.979,-44.342,,"YukihiroD",-9.469,-64.588,,"Azuner",25.637,-52.168,,"coder_",11.294,-65.848,76,"きりん SR",53.005,-97.235,93,"Amellaid",3.868,-121.419,89,"소솨소솨",-45.126,-95.146,,1379.175,0.515,-41.131,,,,,,,,,,,,,1373.655,11.922,-76.284,1369.305,38.218,-125.009,1369.314,37.233,-124.851,,,,,,,,,,,,,,,,,,,1377.333,9.246,-68.246,1370.124,37.09,-120.257,1371.355,35.237,-111.92,,,,"",2,-14.814,-14.814,-0.041,0,1,0.653,46.154,30.39,62.012,54.431,0.052,-32.235,0,"きりん SR",1371.174,,,135,""
6,,1,1,0,0,0,0,1,0,1,0,255,2,255,5,1397.008,"559：広告",R,3,71,104,-0.443,-0.604,0.326,1.675,0.228,1.245,-36.419,46.24,39,61,0,0,"",-261.088,2.49,-3.84,0,0,2,"=","=","=","=","=","=","=","=","=",4,R,"인생최패망자",190,90,0.35,,59,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,1413.804,,,,,,,,,,,,,,,,,,,,,,,,,-0.311,-37.108,0.063,-17.475,-18.652,-43.989,-15.901,-60.437,24.644,-51.92,4.875,-64.413,42.519,-102.989,-2.048,-116.184,-44.544,-96.879,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1401.484,-0.042,-37.245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",1399.449,,,0,""
7,,1,1,0,0,0,1,1,0,1,0,255,2,255,6,1414,"559：広告",R,13,86,110,-0.771,-1.743,0.258,1.497,0.179,1.028,-36.419,37.391,37,63,0,4,"",-288.869,394.702,-1.422,-0.242,-18.632,2,"=","=","=","=","=","=","=","=","=",4,R,"인생최패망자",190,90,0.35,,59,W,Y,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,1425.768,,,,,,,,,,,,,,,,,,,,,,,,,-0.326,-37.073,-0.002,-17.487,-18.693,-43.947,-15.957,-60.384,22.962,-53.366,3.95,-64.221,42.44,-102.544,-3.406,-116.329,-45.696,-97.744,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1418.576,-0.262,-37.523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",1416.717,,,0,""
8,,1,1,0,0,0,2,1,0,1,0,255,2,255,7,1431.256,"559：広告",R,0,68,108,1.59,-0.744,0.387,1.661,0.681,1.149,-36.419,61.648,91,9,0,2,"",0,0,-6.059,0,0,2,"=","=","=","=","=","=","=","=","=",4,R,"인생최패망자",190,90,0.35,0,59,W,Y,1,1432.423,185,138,118,111,73,,145,92,12.472,-30.811,0.297,0.787,-20.931,-1,0,0.428,-90.334,117.379,-40.305,,,,1434.512,4,18.851,1.889,-52.928,0,0,,,,,,,,,,,,,1455.782,,1434.436,2,,453,0,,,,,,,,,,,,,1436.866,3,,,,,-0.274,-37.306,0.013,-17.47,-18.666,-43.811,-15.955,-60.423,24.311,-52.025,5.433,-64.23,43.654,-102.286,-7.663,-119.455,-44.805,-95.702,-0.33,-37.103,,"SFIDA",0.038,-17.491,,"甲斐野柊太",-18.272,-43.866,,"YukihiroD",-15.954,-60.419,82,"Azuner",24.094,-51.982,120,"coder_",9.927,-63.957,,"きりん SR",43.631,-102.267,,"Amellaid",-7.576,-119.402,,"소솨소솨",-43.866,-96.139,,1439.961,0.07,-38.687,,,,,,,1436.057,-4.252,-60.14,1434.447,19.143,-53.384,,,,,,,,,,,,,,,,,,,,,,1439.058,2.828,-52.602,1435.153,15.269,-54.397,,,,,,,,,,,,,"",1,,,,,,,,,,,,,0,"Azuner",1436.616,,,324,""
9,,1,1,0,0,0,0,2,0,1,0,255,2,255,8,1457.985,"559：広告",R,10,83,111,-2.793,-1.989,-0.157,1.353,-1.108,0.717,-36.419,23.488,32,68,0,1,"",-68.014,322.578,-4.713,-0.558,-18.961,3,"=","=","=","=","=","=","=","=","=",9,R,"P0TA0",190,96.215,0.445,,47,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,1470.828,,,,,,,,,,,,,,,,,,,,,,,,,-0.527,-37.059,-0.001,-17.393,-19.227,-44.701,-14.833,-61.049,22.166,-49.926,5.561,-65.519,42.888,-101.919,-4.309,-114.311,-47.141,-97.033,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1463.175,-0.45,-37.116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",1460.528,,,0,""
10,,1,1,0,0,1,0,2,0,1,0,255,2,255,9,1474.592,"559：広告",R,0,79,115,-0.251,-0.75,0.183,1.559,-0.054,1.162,-36.419,36.859,46,54,0,0,"",-35.815,17.736,-3.164,0,0,3,"=","=","=","=","=","=","=","=","=",9,R,"P0TA0",190,96.215,0.445,,47,W,Y,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,1477.709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.377,-37.163,0.024,-17.361,-19.359,-44.713,-16.072,-59.673,21.151,-50.51,4.292,-65.332,42.25,-100.607,-5.528,-115.862,-46.817,-97.078,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1482.576,0.437,-38.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,1477.709,,0,""
11,,1,1,0,0,1,1,2,0,0,1,255,255,2,10,1497.689,"559：広告",R,0,79,116,-1.704,-1.106,-0.038,1.451,-0.737,0.929,-36.419,21.531,51,49,0,1,"",-2.619,9.608,0.739,0,0,3,"=","=","=","=","=","=","=","=","=",9,R,"P0TA0",190,96.215,0.445,,47,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,1512.705,,,,,,,,,,,,,,,,,,,,,,,,-0.459,-37.054,0.034,-17.436,-18.613,-43.744,-16.1,-59.685,19.039,-40.804,9.494,-65.175,41.754,-99.541,-3.349,-117.767,-45.912,-97.232,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1502.616,-0.388,-37.144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,1499.914,,0,""
12,,1,1,0,0,2,1,2,0,0,1,255,255,2,11,1514.236,"559：広告",R,3,74,103,-0.412,-0.784,0.387,1.708,0.536,1.344,-36.419,54.212,83,17,0,0,"",-369.348,154.204,-0.214,0,0,3,"=","=","=","=","=","=","=","=","=",9,R,"P0TA0",190,96.215,0.445,,47,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,1529.215,,,,,,,,,,,,,,,,,,,,,,,,-0.371,-37.075,0.019,-17.452,-18.27,-43.566,-16.34,-59.647,19.437,-42.49,11.016,-65.206,41.354,-99.173,-3.741,-117.873,-48.825,-96.958,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1519.074,-0.374,-37.451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,1516.564,,0,""
13,,1,1,0,0,2,2,2,0,0,1,255,255,2,12,1530.197,"559：広告",R,27,77,127,0.838,2.014,0.243,2.123,0.248,2.73,-36.419,56.539,77,23,0,1,"",73.1,-140.211,-0.162,0,0,3,"=","=","=","=","=","=","=","=","=",9,R,"P0TA0",190,96.215,0.445,,47,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,1545.781,,,,,,,,,,,,,,,,,,,,,,,,-0.428,-37.141,0.013,-17.312,-20.867,-46.185,-16.363,-59.509,19.97,-42.106,10.331,-65.011,42.39,-100.525,-3.679,-117.524,-48.836,-96.897,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1535.958,-0.341,-37.198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,1532.697,,0,""
14,,1,1,0,0,3,2,2,0,0,1,255,255,2,13,1547.331,"559：広告",R,3,64,98,0.789,-0.325,0.388,1.793,0.897,1.624,-36.419,74.632,85,15,0,0,"",-269.173,137.495,-4.224,0,0,3,"=","=","=","=","=","=","=","=","=",9,R,"P0TA0",190,96.215,0.445,,47,W,Y,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,,,,,,,,,,,,,,,1549.989,3,,578,0,1551.58,1,3,306,0,,,,,,,,,,,,,,-0.409,-37.194,0.028,-17.371,-19.334,-44.259,-16.309,-59.66,19.88,-42.193,10.243,-64.782,42.827,-100.672,-5.628,-118.193,-48.53,-96.932,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
15,SIDE,1,1,0,0,0,0,2,0,0,0,255,255,255,,1553.601,,,,,,,,,,,,,,,,,,,,,,,,4,"=","=","=","=","=","=","=","=","=",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
16,,1,0,0,0,0,0,0,0,0,0,255,255,255,0,1697.637,"siesta_aves",R,37,81,132,0.606,-1.251,0.436,0.77,0.168,1.025,-36.336,39.342,10,9,81,1,"",58.529,89.221,-5.389,0,0,0,"coder_","Amellaid","559：広告","SFIDA","소솨소솨","甲斐野柊太","YukihiroD","きりん SR","Azuner",5,R,"coder_",170.6,80,0.405,,58,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.255,-37.035,0.019,-17.999,-22.215,-48.197,-12.74,-63.619,16.155,-44.061,9.115,-64.411,38.599,-95.292,-0.47,-110.797,-44.516,-90.972,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
17,,1,0,0,0,1,0,0,0,0,0,255,255,255,1,1710.366,"siesta_aves",R,36,87,140,-0.511,0.303,0.235,1.08,-0.3,1.944,-36.336,8.064,9,49,42,0,"",53.155,140.52,-2.309,0,0,0,"=","=","=","=","=","=","=","=","=",5,R,"coder_",170.6,80,0.405,,58,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.185,-37.063,-0.004,-17.951,-22.272,-48.257,-13.025,-63.353,16.28,-44.283,8.988,-63.635,38.631,-95.28,-0.423,-110.777,-43.615,-90.38,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
18,,1,0,0,0,1,1,0,0,0,0,255,255,255,2,1724.425,"siesta_aves",R,17,84,135,1.277,-1.263,0.471,0.692,0.542,0.863,-36.336,48.069,7,13,80,1,"",0,-63.455,-1.416,0,0,0,"=","=","=","=","=","=","=","=","=",5,R,"coder_",170.6,80,0.405,,58,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.293,-37.142,0.012,-17.934,-22.342,-48.372,-12.884,-62.88,16.267,-44.264,8.956,-63.541,34.735,-89.944,-0.336,-108.192,-43.281,-92.883,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
19,,1,0,0,0,2,1,0,0,0,0,255,255,255,3,1739.776,"siesta_aves",R,3,91,114,-7.547,-0.295,0.072,0.921,-2.491,1.474,-36.336,16.454,3,56,41,1,"",-464.01,0,3.627,-3.201,-9.939,0,"=","=","=","=","=","=","=","=","=",5,R,"coder_",170.6,80,0.405,,58,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.191,-37.087,0.03,-17.957,-22.36,-48.377,-12.815,-62.944,16.242,-44.237,8.716,-62.474,33.386,-89.716,-0.339,-108.211,-44.024,-93.166,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
20,,1,0,0,0,3,1,0,0,0,0,255,255,255,4,1759.079,"siesta_aves",R,37,70,109,-0.388,-0.012,0.29,1.047,-0.029,1.767,-36.336,8.754,4,48,48,2,"",-82.357,93.983,-8.047,0,0,0,"=","=","=","=","=","=","=","=","=",5,R,"coder_",170.6,80,0.405,5,58,W,Y,1,1760.278,125,122,142,90,54,,139,128,-17.717,51.139,-0.153,0.932,-20.533,0.35,0,0.478,330.461,353.441,-274.254,1760.495,-2.266,-22.23,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.239,-37.057,0.033,-17.95,-21.82,-47.881,-13.068,-63.04,16.112,-44.304,8.861,-63.165,33.417,-89.674,-0.336,-108.2,-44.959,-91.061,0.347,-37.847,,"sano jpn",-0.006,-17.978,,"ʚEveɞ",-21.644,-47.777,,"白霜らいふ",-13.079,-63.02,,"인생최패망자",15.928,-43.989,,"ibqrqki",8.745,-62.848,,"IbikiKai_JP",33.426,-89.737,,"カズティー",-0.339,-108.2,,"NABIMan",-44.908,-91.123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",3,55.699,49.118,7.495,0.437,0,1,-23.487,-23.487,-39.98,-23.487,0,90.424,0,"",,,,0,""
21,,1,0,0,0,3,2,0,0,0,0,255,255,255,5,1777.844,"siesta_aves",R,3,86,115,1.471,0.056,0.754,0.96,1.16,1.669,-36.336,37.809,7,62,31,0,"",-302.306,0,3.72,0,0,0,"=","=","=","=","=","=","=","=","=",5,R,"coder_",170.6,80,0.405,,58,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,1780.652,0,,578,0,,,,,,,,,,,,,,,,,,,0.28,-37.05,0.054,-18.03,-21.675,-47.871,-13.647,-62.911,16.402,-43.798,9,-63.513,31.256,-92.045,-0.31,-108.464,-47.51,-90.996,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
