id,type,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,manual,sH,sV,gyro,plx,plz,bIdx,order1Name,order2Name,order3Name,order4Name,order5Name,order6Name,order7Name,order8Name,order9Name,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,bSwing,hSec,rotS,rotL,shS,lgS,prepS,gripPen,batSpd,ev,ldeg,sdeg,launchPosX,launchPosY,launchPosZ,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,ltSec,lx,lz,cSec,cPos,cx,cy,cz,1BSafe,tag,cpSec,bTo1Sec,bTo2Sec,bTo3Sec,bToHSec,r1To2Sec,r1To3Sec,r1ToHSec,r2To3Sec,r2ToHSec,r3ToHSec,r1LeaveSec,r2LeaveSec,r3LeaveSec,out1Sec,out1BatterIndex,out1PrevBase,out1Code,out1Ass,out2Sec,out2BatterIndex,out2PrevBase,out2Code,out2Ass,out3Sec,out3BatterIndex,out3PrevBase,out3Code,out3Ass,ball1Sec,ball1Pos,ball2Sec,ball2Pos,ball3Sec,ball3Pos,ballHSec,ballHPos,PitchPPosX,PitchPPosZ,PitchCPosX,PitchCPosZ,Pitch1BPosX,Pitch1BPosZ,Pitch2BPosX,Pitch2BPosZ,Pitch3BPosX,Pitch3BPosZ,PitchSSPosX,PitchSSPosZ,PitchLFPosX,PitchLFPosZ,PitchCFPosX,PitchCFPosZ,PitchRFPosX,PitchRFPosZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,PGetSec,PGetX,PGetZ,CGetSec,CGetX,CGetZ,1BGetSec,1BGetX,1BGetZ,2BGetSec,2BGetX,2BGetZ,3BGetSec,3BGetX,3BGetZ,SSGetSec,SSGetX,SSGetZ,LFGetSec,LFGetX,LFGetZ,CFGetSec,CFGetX,CFGetZ,RFGetSec,RFGetX,RFGetZ,PThrSec,PThrX,PThrZ,CThrSec,CThrX,CThrZ,1BThrSec,1BThrX,1BThrZ,2BThrSec,2BThrX,2BThrZ,3BThrSec,3BThrX,3BThrZ,SSThrSec,SSThrX,SSThrZ,LFThrSec,LFThrX,LFThrZ,CFThrSec,CFThrX,CFThrZ,RFThrSec,RFThrX,RFThrZ,errPosDelta,result,swPreDeg,swTargetDeg,swApproachDeg,swCorr,swSource,swProximity,swVRawDeg,swVAdjustedDeg,swVMotionDeg,swVClosestDeg,swVYShrink,swGeometryDeg,balk,cPlr,sb2Sec,sb3Sec,sbhSec,ass,remarks
1,,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1297.464,"_AKASATA_",R,26,97,140,-1.34,-0.087,0.264,1.333,-0.728,1.414,-36.193,14.476,26,74,0,0,"",122.683,-165.82,1.757,0,0,0,"Yaksok~","Kr_Luna","mungjungh","HANA_ARASHI","가앤슬_","_Gosomi","Penguin_iDOL","k@ster","SUGUN",5,R,"Yaksok~",172.5,85.735,0.232,,77,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-37.035,0.015,-17.936,-20.995,-46.597,-14.765,-63.878,24.886,-50.872,8.245,-65.592,47.354,-102.964,-1.262,-113.85,-46.666,-105.986,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
2,,1,1,0,0,0,1,0,0,0,0,255,255,255,1,1311.851,"_AKASATA_",R,26,93,140,1.141,1.17,0.478,1.531,0.268,2.122,-36.193,28.07,46,54,0,1,"",165.729,-174.138,5.378,0,0,0,"=","=","=","=","=","=","=","=","=",5,R,"Yaksok~",172.5,85.735,0.232,,76,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031,-37.059,0.006,-17.977,-21.056,-46.633,-15.011,-64.141,24.924,-50.843,8.483,-66.381,45.851,-103.137,-1.433,-113.858,-46.055,-104.799,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
3,,1,1,0,0,1,1,0,0,0,0,255,255,255,2,1330.834,"_AKASATA_",R,26,99,140,-0.037,0.983,0.383,1.506,-0.174,2.03,-36.193,19.983,55,45,0,0,"",112.614,-156.758,5.991,0,0,0,"=","=","=","=","=","=","=","=","=",5,R,"Yaksok~",172.5,85.735,0.232,,76,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.068,-37.259,0.018,-17.957,-21.003,-46.615,-14.866,-63.971,24.9,-50.843,8.803,-66.482,46.661,-102.74,-1.361,-112.841,-46.513,-103.31,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
4,,1,1,0,0,1,2,0,0,0,0,255,255,255,3,1350.083,"_AKASATA_",R,32,93,140,1.76,1.257,0.539,1.557,0.55,2.214,-36.193,29.339,40,60,0,1,"B>S",154.988,-125.62,2.044,0,0,0,"=","=","=","=","=","=","=","=","=",5,R,"Yaksok~",172.5,85.735,0.232,,76,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.114,-37.326,-0.005,-17.932,-20.909,-46.677,-14.814,-63.972,24.917,-50.868,8.331,-66.299,46.37,-103.377,-2.029,-110.719,-48.996,-100.7,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
5,,1,1,0,0,0,0,1,0,0,0,255,255,255,4,1376.359,"_AKASATA_",R,27,100,140,-2.186,-0.077,0.188,1.341,-1.082,1.463,-36.193,11.181,40,60,0,2,"",111.704,-134.708,4.268,0,0,1,"=","=","=","=","=","=","=","=","=",2,L,"Kr_Luna",190,95.163,0.504,0,75,W,Y,1,1377.161,144,75,72,45,26,,137,101,3.571,-39.343,-0.423,0.966,-19.826,-0.28,0,0.07,217.758,-135.767,301.979,1377.345,20.306,-44.659,1377.824,4,22.156,0.153,-46.984,0,0,,,,,,,,,,,,,,,1381.819,1,,147,32,,,,,,,,,,,,,,,,,,,-0.046,-36.94,-0.019,-17.907,-20.104,-49.251,-8.43,-66.263,25.139,-50.644,15.423,-63.044,53.648,-98.993,13.257,-122.98,-33.233,-106.3,-0.118,-36.182,,"Megu3568",-0.156,-18.075,,"Fresh825",-19.906,-49.132,85,"Dοpi",-8.392,-66.263,,"Muna_328",25.152,-50.595,114,"schmoneymikey",15.41,-63.045,,"하루（Haru）",53.632,-98.997,,"うよすま",12.998,-121.204,,"Sabo_10",-33.445,-105.572,,1384.092,0.27,-37.985,,,,1381.245,-18.652,-39.82,,,,1378.888,22.828,-47.401,,,,,,,,,,,,,,,,,,,1383.007,-17.834,-40.041,,,,1379.664,18.755,-46.865,,,,,,,,,,,,,"",2,,,,,,,,,,,,,0,"Muna_328",,,,36,""
6,,1,1,0,0,0,0,2,0,0,0,255,255,255,5,1402.716,"_AKASATA_",R,10,90,115,0.72,-1.006,0.517,1.472,0.298,1.377,-36.193,24.794,41,59,0,4,"",0,400,15.755,0.032,-16.301,2,"=","=","=","=","=","=","=","=","=",9,R,"mungjungh",190,88.465,0.403,,75,W,Y,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.065,-37.147,-0.007,-17.847,-24.506,-49.402,-13.252,-65.094,24.89,-51.09,8.321,-66.343,45.265,-105.427,-5.284,-112.166,-51.386,-103.436,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1407.479,-0.213,-37.709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
7,,1,1,0,0,0,1,2,0,0,0,255,255,255,6,1419.136,"_AKASATA_",R,13,82,107,1.322,-0.752,0.814,1.625,1.199,1.589,-36.193,57.961,85,15,0,0,"",-355.105,341.658,0.578,0,0,2,"=","=","=","=","=","=","=","=","=",9,R,"mungjungh",190,88.465,0.403,,75,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013,-37.037,0.003,-17.795,-24.27,-49.091,-13.649,-64.676,24.798,-51.221,8.344,-66.294,44.197,-105.966,-4.523,-112.815,-50.7,-103.817,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1424.483,-0.414,-37.511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
8,,1,1,0,0,0,2,2,0,0,0,255,255,255,7,1434.155,"_AKASATA_",R,13,93,115,-0.183,-1.151,0.578,1.439,0.489,1.307,-36.193,38.015,50,50,0,4,"",-353.836,353.27,2.268,0,0,2,"=","=","=","=","=","=","=","=","=",9,R,"mungjungh",190,88.465,0.403,,75,W,Y,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,,,,,,,,,,,,,,,1436.926,2,,578,0,,,,,,,,,,,,,,,,,,,0.022,-37.138,-0.011,-17.832,-24.366,-49.398,-14.063,-64.594,25.031,-51.249,8.95,-66.894,43.774,-107.584,-5.304,-112.376,-50.768,-102.484,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
9,SIDE,1,1,0,0,0,0,2,0,0,0,255,255,255,,1438.681,,,,,,,,,,,,,,,,,,,,,,,,3,"=","=","=","=","=","=","=","=","=",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
10,,1,0,0,0,0,0,0,0,0,0,255,255,255,0,1600.012,"si_ho",R,27,89,140,-1.309,1.198,0.168,1.853,-0.679,2.241,-36.372,35.15,84,16,0,4,"",78.338,-113.637,4.026,0,0,0,"Sabo_10","Megu3568","Fresh825","하루（Haru）","かめかめん","Muna_328","schmoneymikey","Dοpi","うよすま",8,L,"Sabo_10",185.3,88,0.452,,72,W,Y,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.025,-37.489,-0.076,-17.955,-15.835,-51.737,-8.275,-65.218,23.266,-50.405,16.201,-63.028,40.465,-95.282,-0.163,-107.722,-44.208,-95.861,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
