id,type,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,manual,sH,sV,gyro,plx,plz,bIdx,order1Name,order2Name,order3Name,order4Name,order5Name,order6Name,order7Name,order8Name,order9Name,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,bSwing,hSec,rotS,rotL,shS,lgS,prepS,gripPen,batSpd,ev,ldeg,sdeg,launchPosX,launchPosY,launchPosZ,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,ltSec,lx,lz,cSec,cPos,cx,cy,cz,1BSafe,tag,cpSec,bTo1Sec,bTo2Sec,bTo3Sec,bToHSec,r1To2Sec,r1To3Sec,r1ToHSec,r2To3Sec,r2ToHSec,r3ToHSec,r1LeaveSec,r2LeaveSec,r3LeaveSec,out1Sec,out1BatterIndex,out1PrevBase,out1Code,out1Ass,out2Sec,out2BatterIndex,out2PrevBase,out2Code,out2Ass,out3Sec,out3BatterIndex,out3PrevBase,out3Code,out3Ass,ball1Sec,ball1Pos,ball2Sec,ball2Pos,ball3Sec,ball3Pos,ballHSec,ballHPos,PitchPPosX,PitchPPosZ,PitchCPosX,PitchCPosZ,Pitch1BPosX,Pitch1BPosZ,Pitch2BPosX,Pitch2BPosZ,Pitch3BPosX,Pitch3BPosZ,PitchSSPosX,PitchSSPosZ,PitchLFPosX,PitchLFPosZ,PitchCFPosX,PitchCFPosZ,PitchRFPosX,PitchRFPosZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,PGetSec,PGetX,PGetZ,CGetSec,CGetX,CGetZ,1BGetSec,1BGetX,1BGetZ,2BGetSec,2BGetX,2BGetZ,3BGetSec,3BGetX,3BGetZ,SSGetSec,SSGetX,SSGetZ,LFGetSec,LFGetX,LFGetZ,CFGetSec,CFGetX,CFGetZ,RFGetSec,RFGetX,RFGetZ,PThrSec,PThrX,PThrZ,CThrSec,CThrX,CThrZ,1BThrSec,1BThrX,1BThrZ,2BThrSec,2BThrX,2BThrZ,3BThrSec,3BThrX,3BThrZ,SSThrSec,SSThrX,SSThrZ,LFThrSec,LFThrX,LFThrZ,CFThrSec,CFThrX,CFThrZ,RFThrSec,RFThrX,RFThrZ,errPosDelta,result,swPreDeg,swTargetDeg,swApproachDeg,swCorr,swSource,swProximity,swVRawDeg,swVAdjustedDeg,swVMotionDeg,swVClosestDeg,swVYShrink,swGeometryDeg,balk,cPlr,sb2Sec,sb3Sec,sbhSec,ass,remarks
1,,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1180.03,"-Alta-",L,26,92,140,1.578,-0.044,-0.308,1.771,0.895,1.382,-36.636,23.3,43,57,0,1,"",-165.362,-200,-12.794,0,0,0,"Sabo_10","Megu3568","Fresh825","하루（Haru）","かめかめん","Muna_328","schmoneymikey","うよすま","Dοpi",8,L,"Sabo_10",175.2,88,0.452,,56,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029,-37.224,0.136,-16.97,-23.521,-49.066,-14.959,-63.387,18.478,-44.808,13.12,-65.07,52.502,-96.483,0.711,-118.349,-45.124,-99.454,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
2,,1,1,0,0,1,0,0,0,0,0,255,255,255,1,1199.293,"-Alta-",L,26,84,137,-0.331,0.742,-0.474,1.899,0.121,1.831,-36.636,49.237,88,12,0,2,"",-178.355,-200,-2.24,0,0,0,"=","=","=","=","=","=","=","=","=",8,L,"Sabo_10",175.2,88,0.452,5,56,W,Y,1,1200.161,209,107,109,115,53,,145,97,34.809,6.817,-0.065,1.2,-20.698,-0.35,0,0.457,507.647,-225.402,-117.838,1205.383,-5.343,-100.411,1205.566,7,-5.298,1.925,-98.603,0,0,,1205.501,,,,,,,,,,,,,1205.748,0,,456,0,,,,,,,,,,,,,,,,,,,0.052,-37.311,0.141,-16.958,-23.05,-48.732,-14.804,-62.103,18.384,-44.687,12.862,-65.084,52.483,-96.522,0.717,-118.379,-45.12,-99.449,0.613,-37.146,,"HalF_HearteD",0.114,-16.977,,"Pring__",-22.914,-48.611,,"Rite_",-14.864,-62.645,85,"magimari",18.239,-44.712,,"alcohol500",13.826,-64.417,,"ame_3",52.473,-96.52,,"紅さかな",0.725,-118.391,110,"Pizzallaris",-45.117,-99.45,,1211.152,0.349,-38.287,,,,,,,1208.258,-0.058,-59.977,,,,,,,,,,1205.754,-5.452,-99.2,,,,,,,,,,,,,1210.009,-0.55,-57.49,,,,,,,,,,1206.743,-5.014,-94.387,,,,"",1,5.916,5.916,-0.614,0,1,0.479,82.423,34.809,-3.191,82.664,0.069,18.921,0,"紅さかな",,,,69,""
3,,1,1,0,0,0,0,1,0,0,0,255,255,255,2,1228.427,"-Alta-",L,13,82,107,-1.074,-0.512,-0.837,1.861,-1.044,1.679,-36.636,49.965,88,12,0,0,"",363.408,332.303,1.311,0,0,1,"=","=","=","=","=","=","=","=","=",1,R,"Megu3568",190,88.251,0.405,,56,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.212,-37.287,-0.11,-16.848,-22.553,-48.433,-14.473,-61.591,16.594,-44.73,10.861,-65.763,45.595,-100.979,-0.303,-120.677,-41.162,-96.394,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1232.589,-0.408,-37.405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
4,,1,1,0,0,0,1,1,0,0,0,255,255,255,3,1244.283,"-Alta-",L,32,84,137,-2.825,0.523,-0.692,1.879,-0.893,1.752,-36.636,45.854,78,22,0,4,"",-225.537,-200,4.821,0,0,1,"=","=","=","=","=","=","=","=","=",1,R,"Megu3568",190,88.251,0.405,,56,W,Y,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.127,-37.211,-0.251,-16.935,-22.223,-48.245,-14.651,-61.755,16.654,-44.885,8.734,-66.275,45.608,-100.955,0.001,-119.092,-41.186,-96.391,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1248.403,-0.451,-37.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
5,,1,1,0,0,0,2,1,0,0,0,255,255,255,4,1268.85,"-Alta-",L,13,82,107,-0.381,-0.618,-0.713,1.901,-0.66,1.767,-36.636,45.97,87,13,0,2,"",266.797,400,5.889,0,0,1,"=","=","=","=","=","=","=","=","=",1,R,"Megu3568",190,88.251,0.405,3,83,W,Y,1,1270.082,255,182,86,123,96,,145,111,23.901,12.425,-0.077,0.801,-20.537,0.08,0,0.472,185.59,51.745,138.666,1274.616,-22.64,-115.253,1274.933,7,-22.534,0.554,-114.814,1,0,,1275.893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.121,-37.299,-0.239,-16.97,-22.282,-48.3,-14.73,-61.276,16.73,-44.949,9.837,-67.719,45.14,-101.512,0.105,-119.08,-41.183,-96.376,-0.035,-37.014,,"HalF_HearteD",-0.32,-17.019,,"Pring__",-22.056,-48.117,,"Rite_",-14.736,-61.424,,"magimari",16.606,-44.808,,"alcohol500",9.564,-66.438,,"ame_3",45.135,-101.517,,"紅さかな",0.107,-119.104,94,"Pizzallaris",-41.177,-96.38,,1280.124,-8.094,-44.971,,,,,,,,,,,,,,,,,,,1275.191,-22.297,-115.405,,,,,,,,,,,,,,,,,,,,,,,,,1276.408,-25.228,-109.683,,,,"",2,,,,,,,,,,,,,0,"紅さかな",,,,5,""
6,,1,1,0,0,0,0,2,0,0,0,255,255,255,5,1339.149,"-Alta-",L,13,84,108,2.11,-0.809,-0.39,1.778,0.342,1.5,-36.636,34.494,38,62,0,1,"",359.12,340.899,-1.26,0,0,2,"=","=","=","=","=","=","=","=","=",2,L,"Fresh825",190,80,0.2,,57,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.116,-37.37,0.175,-16.634,-22.107,-47.746,-11.374,-64.996,17.735,-44.547,13.196,-64.309,50.747,-96.707,0.354,-118.821,-41.138,-98.487,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1343.548,0.012,-37.892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
7,,1,1,0,0,1,0,2,0,0,0,255,255,255,6,1357.268,"-Alta-",L,26,89,140,1.812,-0.67,-0.312,1.656,0.872,1.031,-36.636,29.736,42,58,0,1,"",-53.176,-175.555,5.999,0,0,2,"=","=","=","=","=","=","=","=","=",2,L,"Fresh825",190,80,0.2,,57,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.114,-37.266,0.146,-16.802,-22.048,-47.799,-11.186,-64.1,17.673,-44.509,14.262,-63.789,51.751,-98.833,0.174,-118.692,-41.121,-98.506,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1362.06,0.135,-37.822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
8,,1,1,0,0,2,0,2,0,0,0,255,255,255,7,1372.428,"-Alta-",L,5,79,114,1.496,-0.434,-0.331,1.725,0.523,1.387,-36.636,31.622,48,52,0,1,"",78.29,41.152,1.423,0,0,2,"=","=","=","=","=","=","=","=","=",2,L,"Fresh825",190,80,0.2,,57,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.139,-37.258,0.187,-16.749,-21.777,-47.636,-11.011,-64.082,17.696,-44.301,13.037,-65.195,52.249,-99.415,7.028,-121.453,-41.788,-98.973,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1377.35,-0.09,-37.678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
9,,1,1,0,0,3,0,2,0,0,0,255,255,255,8,1387.95,"-Alta-",L,28,82,134,1.894,-1.147,-0.308,1.586,0.893,0.803,-36.636,27.32,44,56,0,1,"",-40.131,-87.188,-0.357,0,0,2,"=","=","=","=","=","=","=","=","=",2,L,"Fresh825",190,80,0.2,,57,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1396.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.149,-37.07,0.165,-16.84,-21.83,-47.397,-11.001,-64.054,17.636,-44.402,11.799,-65.06,52.254,-99.475,4.235,-122.285,-42.209,-99.104,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1393,0.325,-37.613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",5,,,,,,,,,,,,,0,"",,,,0,""
10,,1,1,0,0,0,0,2,1,0,0,2,255,255,9,1411.743,"-Alta-",L,3,63,95,-1.582,1.099,-0.846,2.098,-1.328,2.252,-36.636,79.896,81,19,0,1,"",345.435,0,3.87,0,0,3,"=","=","=","=","=","=","=","=","=",6,L,"하루（Haru）",175.1,85.172,0.454,,57,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,1411.977,,,,,,,,,,,,,,,,,,,,,,,,,,-0.061,-37.332,-0.228,-16.825,-19.644,-40.275,-11.485,-64.435,17.778,-44.381,12.053,-63.571,53.294,-99.042,-0.181,-118.584,-42.22,-99.119,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1416.654,0.105,-37.414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
