id,type,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,manual,sH,sV,gyro,plx,plz,bIdx,order1Name,order2Name,order3Name,order4Name,order5Name,order6Name,order7Name,order8Name,order9Name,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,bSwing,hSec,rotS,rotL,shS,lgS,prepS,gripPen,batSpd,ev,ldeg,sdeg,launchPosX,launchPosY,launchPosZ,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,ltSec,lx,lz,cSec,cPos,cx,cy,cz,1BSafe,tag,cpSec,bTo1Sec,bTo2Sec,bTo3Sec,bToHSec,r1To2Sec,r1To3Sec,r1ToHSec,r2To3Sec,r2ToHSec,r3ToHSec,r1LeaveSec,r2LeaveSec,r3LeaveSec,out1Sec,out1BatterIndex,out1PrevBase,out1Code,out1Ass,out2Sec,out2BatterIndex,out2PrevBase,out2Code,out2Ass,out3Sec,out3BatterIndex,out3PrevBase,out3Code,out3Ass,ball1Sec,ball1Pos,ball2Sec,ball2Pos,ball3Sec,ball3Pos,ballHSec,ballHPos,PitchPPosX,PitchPPosZ,PitchCPosX,PitchCPosZ,Pitch1BPosX,Pitch1BPosZ,Pitch2BPosX,Pitch2BPosZ,Pitch3BPosX,Pitch3BPosZ,PitchSSPosX,PitchSSPosZ,PitchLFPosX,PitchLFPosZ,PitchCFPosX,PitchCFPosZ,PitchRFPosX,PitchRFPosZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,PGetSec,PGetX,PGetZ,CGetSec,CGetX,CGetZ,1BGetSec,1BGetX,1BGetZ,2BGetSec,2BGetX,2BGetZ,3BGetSec,3BGetX,3BGetZ,SSGetSec,SSGetX,SSGetZ,LFGetSec,LFGetX,LFGetZ,CFGetSec,CFGetX,CFGetZ,RFGetSec,RFGetX,RFGetZ,PThrSec,PThrX,PThrZ,CThrSec,CThrX,CThrZ,1BThrSec,1BThrX,1BThrZ,2BThrSec,2BThrX,2BThrZ,3BThrSec,3BThrX,3BThrZ,SSThrSec,SSThrX,SSThrZ,LFThrSec,LFThrX,LFThrZ,CFThrSec,CFThrX,CFThrZ,RFThrSec,RFThrX,RFThrZ,errPosDelta,result,swPreDeg,swTargetDeg,swApproachDeg,swCorr,swSource,swProximity,swVRawDeg,swVAdjustedDeg,swVMotionDeg,swVClosestDeg,swVYShrink,swGeometryDeg,balk,cPlr,sb2Sec,sb3Sec,sbhSec,ass,remarks
1,,1,1,0,0,0,0,0,0,0,0,255,255,255,0,886.319,"kneesohime",R,26,94,140,0.656,-0.772,0.281,1.601,0.203,0.988,-36.437,17.819,53,47,0,0,"",56.023,-187.369,15.245,0,0,0,"coder_","눈꽃","甲斐野柊太","소솨소솨","SFIDA","YukihiroD","Azuner","柴山犬吉","Amellaid",5,R,"coder_",166.1,80,0.2,,70,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.102,-37.723,0.062,-17.383,-18.513,-48.006,-12.901,-59.386,20.362,-48.033,11.638,-63.085,47.304,-94.27,-6.321,-113.751,-41.471,-89.23,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
2,,1,1,0,0,0,1,0,0,0,0,255,255,255,1,900.6,"kneesohime",R,10,85,127,0.712,-1.401,0.26,1.56,0.28,1.306,-36.437,19.966,60,40,0,1,"",14.784,400,4.743,0.112,-17.428,0,"=","=","=","=","=","=","=","=","=",5,R,"coder_",166.1,80,0.2,,70,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.139,-37.502,0.04,-17.391,-18.739,-47.244,-9.826,-59.152,19.397,-47.694,11.649,-63.162,47.572,-96.511,-6.322,-113.726,-41.466,-89.255,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
3,,1,1,0,0,1,1,0,0,0,0,255,255,255,2,914.207,"kneesohime",R,26,88,140,-0.163,-0.531,0.201,1.623,-0.23,1.142,-36.437,14.433,54,46,0,0,"",115.774,-165.12,21.564,0,0,0,"=","=","=","=","=","=","=","=","=",5,R,"coder_",166.1,80,0.2,,70,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.11,-37.636,0.049,-17.337,-19.239,-46.793,-9.839,-59.105,19.898,-48.226,12.277,-62.594,42.177,-92.518,-6.749,-112.808,-41.494,-89.243,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
4,,1,1,0,0,1,2,0,0,0,0,255,255,255,3,927.981,"kneesohime",R,13,80,105,-2.123,-0.783,0.219,1.684,-0.207,1.664,-36.437,25.943,54,46,0,2,"",-375.072,309.199,-14.02,0,0,0,"=","=","=","=","=","=","=","=","=",5,R,"coder_",166.1,80,0.2,5,70,W,Y,1,929.114,195,77,120,87,48,,145,126,-30,10.63,-0.348,0.748,-21.059,0.69,0,0.563,-437.186,-42.394,-69.254,927.645,-0.567,-22.225,931.208,,-13.821,0.057,-98.24,1,0,,933.714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.161,-37.683,0.003,-17.345,-20.156,-47.934,-9.839,-59.105,20.491,-48.806,11.538,-62.845,42.457,-92.496,-6.737,-112.82,-41.927,-88.9,-0.268,-37.071,,"あくせる",-0.303,-17.463,,"にゃんこ65K",-19.105,-48.14,,"Gonyong",-9.839,-59.105,,"Parottey",20.265,-48.976,,"CoalCat",11.62,-62.791,,"Espressο",42.461,-92.485,,"卯月満開",-7.347,-112.004,104,"Roscosmos",-41.918,-88.891,,986.796,0.252,-38.161,,,,935.551,-19.476,-41.239,,,,,,,,,,,,,932.652,-13.539,-96.557,,,,,,,,,,,,,,,,,,,,,,,,,933.102,-14.192,-92.88,,,,"",2,14.32,14.32,6.152,0,1,0.492,-76.872,-67.469,-17.44,-86.855,0.072,19.421,0,"장덕춘_",,,,28,""
5,,1,1,0,0,0,0,0,1,0,0,5,255,255,4,994.881,"kneesohime",R,26,90,140,0.349,-0.384,0.214,1.523,0.067,1.229,-36.437,18.549,58,42,0,0,"",76.746,-166.832,25.754,0,0,1,"=","=","=","=","=","=","=","=","=",0,L,"눈꽃",190,85,0.502,,86,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,1002.915,,,,,,,,,,,,,,,,,,,,,,,,,,-0.161,-37.502,-0.094,-17.335,-19.685,-40.983,-10.795,-64.204,21.198,-47.59,13.437,-61.02,50.224,-96.315,1.067,-124.308,-42.745,-95.262,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,998.109,-0.135,-37.205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
6,,1,1,0,0,0,1,0,1,0,0,5,255,255,5,1013.175,"kneesohime",R,26,72,123,1.691,0.385,0.436,1.682,0.791,1.681,-36.437,28.847,56,44,0,1,"",-43.086,-171.783,4.246,0,0,1,"=","=","=","=","=","=","=","=","=",0,L,"눈꽃",190,85,0.502,,86,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,1032.13,,,,,,1023.074,,,,,,,,,,,,,,,,,,,,1029.033,3,,,,,-0.045,-37.581,0.007,-17.432,-19.942,-41.625,-10.902,-64.032,21.249,-47.972,13.477,-61.025,50.084,-96.28,1.386,-123.681,-41.199,-94.142,,,120,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1016.34,-0.212,-37.706,,,,,,,,,,,,,,,,,,,,,,,,,1028.152,-1.278,-43.556,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,1,"",1032.13,,,0,""
7,,1,1,0,0,1,1,0,0,1,0,255,5,255,6,1055.561,"kneesohime",R,14,63,93,1.929,-1.341,0.265,1.531,0.201,1.389,-36.437,26.76,62,38,0,4,"",280.271,374.307,20.333,0.462,-18.044,1,"=","=","=","=","=","=","=","=","=",0,L,"눈꽃",190,85,0.502,,86,W,Y,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,1066.451,,,,,,,,,,,,,,,,,,,,,,,,,-0.142,-37.558,0.039,-17.576,-20.342,-49.314,-2.67,-62.268,21.657,-45.834,14.048,-57.567,48.725,-95.98,1.486,-120.358,-39.427,-92.885,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1059.884,-0.217,-37.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",1058.535,,,0,""
8,,1,1,0,0,1,2,0,0,1,0,255,5,255,7,1075.271,"kneesohime",R,27,77,128,1.259,-0.175,0.344,1.568,0.669,1.374,-36.437,30.115,54,46,0,0,"",-88.152,-132.991,19.456,0,0,1,"=","=","=","=","=","=","=","=","=",0,L,"눈꽃",190,85,0.502,,86,W,Y,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,1095.516,,1078.002,1,,578,0,,,,,,,,,,,,,,,,,,,-0.167,-37.459,0.019,-17.599,-19.174,-48.912,-1.755,-62.886,20.76,-44.366,14.328,-58.253,49.339,-95.857,1.419,-120.342,-39.822,-93.929,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1079.813,-0.307,-37.209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",1078.475,,,0,""
9,,1,1,0,0,0,0,1,0,1,0,255,5,255,8,1102.783,"kneesohime",R,26,92,140,-1.814,-0.698,0.012,1.453,-0.872,1.002,-36.437,12.874,52,48,0,1,"",110.539,-200,45.583,0,0,2,"=","=","=","=","=","=","=","=","=",2,R,"甲斐野柊太",190,80,0.2,,31,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,1111.439,,,,,,,,,,,,,,,,,,,,,,,,,-0.167,-37.497,-0.315,-17.498,-19.464,-47.169,-12.797,-63.942,18.468,-43.915,4.95,-60.925,50.811,-96.451,-5.525,-111.32,-42.218,-93.276,,,120,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1106.162,-0.247,-37.031,,,,,,,,,,,,,,,,,,,,,,,,,1119.592,-0.777,-41.959,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,1,"",1105.873,,,0,""
10,,1,1,0,0,1,0,1,0,1,0,255,5,255,9,1135.502,"kneesohime",R,10,80,120,-0.86,-0.331,0.074,1.715,-0.586,1.851,-36.437,20.871,52,48,0,0,"",129.818,400,14.757,0,0,2,"=","=","=","=","=","=","=","=","=",2,R,"甲斐野柊太",190,80,0.2,,31,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,1143.658,,,,,,,,,,,,,,,,,,,,,,,,,-0.219,-37.644,-0.074,-17.467,-19.022,-46.525,-11.674,-64.755,19.465,-44.57,3.264,-60.64,50.966,-96.373,-3.457,-114.375,-42.445,-93.297,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1138.955,-0.224,-37.269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",1138.617,,,0,""
