id,type,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,manual,sH,sV,gyro,plx,plz,bIdx,order1Name,order2Name,order3Name,order4Name,order5Name,order6Name,order7Name,order8Name,order9Name,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,bSwing,hSec,rotS,rotL,shS,lgS,prepS,gripPen,batSpd,ev,ldeg,sdeg,launchPosX,launchPosY,launchPosZ,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,ltSec,lx,lz,cSec,cPos,cx,cy,cz,1BSafe,tag,cpSec,bTo1Sec,bTo2Sec,bTo3Sec,bToHSec,r1To2Sec,r1To3Sec,r1ToHSec,r2To3Sec,r2ToHSec,r3ToHSec,r1LeaveSec,r2LeaveSec,r3LeaveSec,out1Sec,out1BatterIndex,out1PrevBase,out1Code,out1Ass,out2Sec,out2BatterIndex,out2PrevBase,out2Code,out2Ass,out3Sec,out3BatterIndex,out3PrevBase,out3Code,out3Ass,ball1Sec,ball1Pos,ball2Sec,ball2Pos,ball3Sec,ball3Pos,ballHSec,ballHPos,PitchPPosX,PitchPPosZ,PitchCPosX,PitchCPosZ,Pitch1BPosX,Pitch1BPosZ,Pitch2BPosX,Pitch2BPosZ,Pitch3BPosX,Pitch3BPosZ,PitchSSPosX,PitchSSPosZ,PitchLFPosX,PitchLFPosZ,PitchCFPosX,PitchCFPosZ,PitchRFPosX,PitchRFPosZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,PGetSec,PGetX,PGetZ,CGetSec,CGetX,CGetZ,1BGetSec,1BGetX,1BGetZ,2BGetSec,2BGetX,2BGetZ,3BGetSec,3BGetX,3BGetZ,SSGetSec,SSGetX,SSGetZ,LFGetSec,LFGetX,LFGetZ,CFGetSec,CFGetX,CFGetZ,RFGetSec,RFGetX,RFGetZ,PThrSec,PThrX,PThrZ,CThrSec,CThrX,CThrZ,1BThrSec,1BThrX,1BThrZ,2BThrSec,2BThrX,2BThrZ,3BThrSec,3BThrX,3BThrZ,SSThrSec,SSThrX,SSThrZ,LFThrSec,LFThrX,LFThrZ,CFThrSec,CFThrX,CFThrZ,RFThrSec,RFThrX,RFThrZ,errPosDelta,result,swPreDeg,swTargetDeg,swApproachDeg,swCorr,swSource,swProximity,swVRawDeg,swVAdjustedDeg,swVMotionDeg,swVClosestDeg,swVYShrink,swGeometryDeg,balk,cPlr,sb2Sec,sb3Sec,sbhSec,ass,remarks
1,,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1072.588,"Pugeuk",R,29,88,140,-1.212,0.199,0.394,1.738,-0.255,1.611,-36.563,28.101,94,6,0,0,"",-210.616,-109.424,5.933,0,0,0,"ByeolBam","쟈가리코","shimenawa","encounter v","_송글_","わだ、、","DoYaGee","yumi2012","muyang_",7,R,"ByeolBam",175.3,88,0.5,,130,W,Y,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007,-37.329,-0.02,-16.795,-19.69,-44.074,-16.487,-61.609,18.641,-51.617,10.069,-65.346,48.382,-103.071,-0.712,-117.217,-45.556,-99.98,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
2,,1,1,0,0,0,1,0,0,0,0,255,255,255,1,1092.623,"Pugeuk",R,6,85,109,0.859,0.49,0.28,1.851,-0.524,1.89,-36.563,23.74,92,8,0,2,"",477.854,0,14.341,0,0,0,"=","=","=","=","=","=","=","=","=",7,R,"ByeolBam",175.3,88,0.5,5,130,W,Y,1,1093.74,206,112,117,90,50,,145,84,93.279,-13.614,0.163,1.108,-20.385,-1,0,0.27,489.568,-47.088,-332.149,1100.229,2.501,-9.598,1100.354,1,2.512,3.263,-9.766,0,0,,,,,,,,,,,,,,,1100.132,0,,450,0,,,,,,,,,,,,,,,,,,,0.093,-37.405,-0.034,-16.851,-19.571,-44.15,-16.301,-60.841,20.095,-50.683,9.69,-65.701,48.406,-103.149,-0.976,-117.144,-45.553,-99.941,0.419,-37.122,,"HalF_HearteD",-0.081,-16.863,130,"magimari",-19.236,-44.072,,"Rite_",-16.232,-60.675,,"bdg06213",20.022,-50.641,,"Pring__",9.624,-65.516,,"ame_3",48.378,-103.163,,"alcohol500",-1.01,-116.994,,"Pizzallaris",-45.556,-99.948,,1103.445,0.339,-37.669,1100.143,2.594,-9.543,,,,,,,,,,,,,,,,,,,,,,,,,1102.384,2.407,-12.806,,,,,,,,,,,,,,,,,,,,,,"",1,-15.593,-15.593,-1.973,0,0,1,86.721,86.721,6.298,86.721,0,-17.555,0,"HalF_HearteD",,,,32,""
3,,1,1,0,0,0,0,1,0,0,0,255,255,255,2,1120.675,"Pugeuk",R,6,86,110,0.841,-0.459,0.319,1.599,-0.403,1.329,-36.563,18.477,58,42,0,0,"",482.641,0,4.509,0,0,1,"=","=","=","=","=","=","=","=","=",2,L,"쟈가리코",190,82,0.45,,128,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005,-37.252,0.118,-16.699,-19.828,-43.012,-11.826,-64.427,21.748,-50.555,12.309,-65.032,56.903,-100.081,10.667,-115.063,-45.55,-99.96,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1125.901,-0.511,-37.596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
4,,1,1,0,0,0,1,1,0,0,0,255,255,255,3,1142.079,"Pugeuk",R,30,81,131,3.247,-0.841,0.784,1.558,1.556,1.033,-36.563,29.762,60,40,0,1,"",-113.21,-47.179,8.005,0,0,1,"=","=","=","=","=","=","=","=","=",2,L,"쟈가리코",190,82,0.45,,128,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.266,-37.266,0.126,-16.809,-19.828,-43.04,-11.143,-64.347,21.895,-51.007,11.942,-65.521,56.328,-100.609,7.482,-115.989,-45.564,-99.964,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1146.361,-0.489,-37.896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
5,,1,1,0,0,1,1,1,0,0,0,255,255,255,4,1159.979,"Pugeuk",R,6,83,108,1.297,-0.279,0.341,1.652,-0.334,1.443,-36.563,18.451,92,8,0,2,"",471.869,0,13.628,0,0,1,"=","=","=","=","=","=","=","=","=",2,L,"쟈가리코",190,82,0.45,0,128,W,Y,1,1161.188,204,108,91,92,32,,145,92,27.328,-54.922,0.24,0.915,-20.432,1,0,0.592,297.585,-369.989,-33.27,1164.825,56.918,-54.464,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,-37.318,0.176,-16.799,-19.554,-43.253,-10.792,-64.121,22.483,-50.996,12.127,-64.627,56.314,-100.679,8.879,-116.543,-45.528,-99.905,0.462,-37.113,,"HalF_HearteD",0.127,-16.789,,"magimari",-19.461,-43.169,,"Rite_",-10.894,-63.985,,"bdg06213",23.024,-50.61,,"Pring__",12.029,-64.333,,"ame_3",56.284,-100.658,,"alcohol500",9.039,-116.536,,"Pizzallaris",-45.536,-99.898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",3,,,,,,,,,,,,,0,"",,,,0,""
6,,1,1,0,0,1,2,1,0,0,0,255,255,255,5,1178.872,"Pugeuk",R,14,72,100,1.131,-0.871,0.383,1.719,-0.203,1.586,-36.563,23.558,92,8,0,2,"",328.127,346.01,4.042,0,0,1,"=","=","=","=","=","=","=","=","=",2,L,"쟈가리코",190,82,0.45,5,128,W,Y,1,1180.141,162,193,92,71,56,,145,131,28.541,9.419,0.21,0.684,-20.398,0.62,0,0.55,463.267,-263.35,-65.079,1186.267,-12.546,-142.459,,,,,,0,0,,1185.834,1190.45,1195.617,1200.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.183,-37.21,0.332,-16.832,-19.745,-43.905,-10.482,-63.267,24.141,-49.035,12.579,-65.246,58.164,-98.359,8.349,-114.671,-45.542,-99.931,0.508,-37.213,,"HalF_HearteD",0.271,-16.846,,"magimari",-19.743,-43.731,,"Rite_",-10.509,-63.462,,"bdg06213",24.079,-49.019,,"Pring__",12.478,-65.017,,"ame_3",58.088,-98.408,,"alcohol500",8.511,-114.763,,"Pizzallaris",-45.537,-99.918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",4,8.389,8.389,-0.498,0,0,1,53.797,53.797,62.342,53.797,0,10.013,0,"",1190.45,1195.617,,0,""
7,,1,1,1,0,0,0,1,0,0,0,255,255,255,6,1224.579,"Pugeuk",R,29,75,126,-2.948,1.056,0.439,1.704,-0.049,1.493,-36.563,28.168,97,3,0,2,"",-163.72,-107.19,7.854,0,0,2,"=","=","=","=","=","=","=","=","=",5,L,"shimenawa",174.8,94.576,0.295,3,124,W,Y,1,1225.683,126,99,87,82,9,,138,114,12.933,3.475,-0.122,0.943,-20.269,0.76,0,0.34,262.232,-505.954,147.249,,,,1229.775,7,1.844,1.928,-103.5,0,0,,,,,,,,,,,,,,,1229.526,2,,456,0,,,,,,,,,,,,,,,,,,,0.053,-37.299,-0.178,-16.751,-20.244,-44.503,-10.402,-65.041,19.635,-48.15,12.716,-64.991,50.577,-98.063,1.549,-117.425,-42.337,-96.634,0.101,-37.233,,"HalF_HearteD",-0.188,-16.842,,"magimari",-19.712,-44.417,,"Rite_",-10.178,-64.852,,"bdg06213",19.698,-48.485,,"Pring__",12.654,-64.857,85,"ame_3",50.53,-98.02,,"alcohol500",1.921,-117.619,99,"Pizzallaris",-42.328,-96.645,,1235.421,-1.413,-42.364,,,,,,,,,,,,,1232.742,-0.161,-57.763,,,,1229.537,1.955,-104.789,,,,,,,,,,,,,,,,,,,1234.552,-0.374,-55.529,,,,1230.81,1.989,-98.395,,,,"",1,,,,,,,,,,,,,0,"alcohol500",,,,257,""
8,,1,1,1,0,0,0,2,0,0,0,255,255,255,7,1252.464,"Pugeuk",R,3,57,89,-1.594,0.095,0.596,1.766,0.06,1.697,-36.563,58.877,77,23,0,1,"",-380.582,0,18.028,0,0,3,"=","=","=","=","=","=","=","=","=",9,L,"encounter v",190,86.067,0.42,,123,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.062,-37.245,-0.168,-16.847,-19.759,-43.629,-8.997,-63.712,22.394,-49.554,11.949,-64.509,52.404,-97.037,2.206,-116.636,-41.933,-99.55,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1257.336,-0.672,-37.405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
9,,1,1,1,0,1,0,2,0,0,0,255,255,255,8,1269.102,"Pugeuk",R,29,82,134,1.567,-0.106,0.65,1.675,0.934,1.411,-36.563,30.263,94,6,0,2,"",-190.194,-141.437,6.285,0,0,3,"=","=","=","=","=","=","=","=","=",9,L,"encounter v",190,86.067,0.42,5,123,W,Y,1,1270.112,174,137,93,19,31,,137,101,29.122,-47.702,0.254,0.915,-19.459,0.94,0,0.267,480.725,-239.98,213.226,1275.508,68.045,-73.823,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.199,-37.279,0.304,-16.922,-19.695,-43.419,-12.347,-63.904,23.213,-48.923,11.576,-64.844,52.803,-97.354,4.426,-115.222,-41.946,-99.558,0.243,-37.147,,"HalF_HearteD",0.252,-16.909,,"magimari",-19.403,-43.519,,"Rite_",-12.276,-63.824,,"bdg06213",23.344,-49.672,,"Pring__",11.57,-64.825,,"ame_3",52.806,-97.348,,"alcohol500",4.294,-115.306,,"Pizzallaris",-41.944,-99.562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",3,-45.777,-45.777,-13.019,0,0,1,55.41,55.41,49.544,55.41,0,-49.383,0,"",,,,0,""
10,,1,1,1,0,1,1,2,0,0,0,255,255,255,9,1294.457,"Pugeuk",R,6,88,111,1.49,-0.781,0.369,1.506,-0.247,1.128,-36.563,16.284,54,46,0,4,"",487.28,0,11.006,0,0,3,"=","=","=","=","=","=","=","=","=",9,L,"encounter v",190,86.067,0.42,,123,W,Y,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.059,-37.281,0.217,-16.93,-19.996,-43.542,-12.573,-64.381,23.551,-49.642,14.094,-64.21,49.95,-94.04,3.539,-116.372,-41.933,-99.552,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
