id,type,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,manual,sH,sV,gyro,plx,plz,bIdx,order1Name,order2Name,order3Name,order4Name,order5Name,order6Name,order7Name,order8Name,order9Name,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,bSwing,hSec,rotS,rotL,shS,lgS,prepS,gripPen,batSpd,ev,ldeg,sdeg,launchPosX,launchPosY,launchPosZ,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,ltSec,lx,lz,cSec,cPos,cx,cy,cz,1BSafe,tag,cpSec,bTo1Sec,bTo2Sec,bTo3Sec,bToHSec,r1To2Sec,r1To3Sec,r1ToHSec,r2To3Sec,r2ToHSec,r3ToHSec,r1LeaveSec,r2LeaveSec,r3LeaveSec,out1Sec,out1BatterIndex,out1PrevBase,out1Code,out1Ass,out2Sec,out2BatterIndex,out2PrevBase,out2Code,out2Ass,out3Sec,out3BatterIndex,out3PrevBase,out3Code,out3Ass,ball1Sec,ball1Pos,ball2Sec,ball2Pos,ball3Sec,ball3Pos,ballHSec,ballHPos,PitchPPosX,PitchPPosZ,PitchCPosX,PitchCPosZ,Pitch1BPosX,Pitch1BPosZ,Pitch2BPosX,Pitch2BPosZ,Pitch3BPosX,Pitch3BPosZ,PitchSSPosX,PitchSSPosZ,PitchLFPosX,PitchLFPosZ,PitchCFPosX,PitchCFPosZ,PitchRFPosX,PitchRFPosZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,PGetSec,PGetX,PGetZ,CGetSec,CGetX,CGetZ,1BGetSec,1BGetX,1BGetZ,2BGetSec,2BGetX,2BGetZ,3BGetSec,3BGetX,3BGetZ,SSGetSec,SSGetX,SSGetZ,LFGetSec,LFGetX,LFGetZ,CFGetSec,CFGetX,CFGetZ,RFGetSec,RFGetX,RFGetZ,PThrSec,PThrX,PThrZ,CThrSec,CThrX,CThrZ,1BThrSec,1BThrX,1BThrZ,2BThrSec,2BThrX,2BThrZ,3BThrSec,3BThrX,3BThrZ,SSThrSec,SSThrX,SSThrZ,LFThrSec,LFThrX,LFThrZ,CFThrSec,CFThrX,CFThrZ,RFThrSec,RFThrX,RFThrZ,errPosDelta,result,swPreDeg,swTargetDeg,swApproachDeg,swCorr,swSource,swProximity,swVRawDeg,swVAdjustedDeg,swVMotionDeg,swVClosestDeg,swVYShrink,swGeometryDeg,balk,cPlr,sb2Sec,sb3Sec,sbhSec,ass,remarks
1,,1,1,0,0,0,0,0,0,0,0,255,255,255,0,791.77,"_AKASATA_",R,5,73,109,1.254,1.31,0.661,1.657,0.67,2.461,-36.213,32.22,44,56,0,1,"",-96.511,55.526,0.7,0,0,0,"卯月満開","あくせる","kneesohime","にゃんこ65K","Espressο","CoalCat","Roscosmos","vovopo 보보포","「yune」",8,L,"卯月満開",179.5,89.903,0.2,,58,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.157,-37.096,-0.016,-18.066,-19.959,-48.087,-11.1,-65.515,24.529,-53.126,14.565,-63.971,49.676,-106.601,4.139,-113.307,-39.792,-99.593,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
2,,1,1,0,0,1,0,0,0,0,0,255,255,255,1,805.753,"_AKASATA_",R,4,73,106,0.182,1.296,0.696,1.641,0.47,2.397,-36.213,31.578,28,72,0,1,"",-223.393,0,0.973,0,0,0,"=","=","=","=","=","=","=","=","=",8,L,"卯月満開",179.5,89.903,0.2,,58,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.194,-37.171,0.004,-18.031,-19.783,-48.39,-11.068,-65.508,24.47,-52.947,13.84,-63.935,49.882,-106.46,4.722,-113.063,-40.31,-99.56,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
3,,1,1,0,0,2,0,0,0,0,0,255,255,255,2,818.404,"_AKASATA_",R,34,85,137,0.737,0.525,0.487,1.362,0.193,1.855,-36.213,21.304,17,83,0,0,"",84.771,-84.347,1.188,0,0,0,"=","=","=","=","=","=","=","=","=",8,L,"卯月満開",179.5,89.903,0.2,,58,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.121,-37.125,-0.002,-18.185,-20.077,-48.113,-11.057,-65.54,24.406,-53.036,13.824,-63.832,49.603,-106.746,3.451,-114.281,-40.812,-99.839,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
4,,1,1,0,0,2,1,0,0,0,0,255,255,255,3,829.886,"_AKASATA_",R,26,90,140,-1.388,-0.329,0.266,1.192,-0.833,1.272,-36.213,18.825,41,59,0,0,"",170.454,-176.183,8.484,0,0,0,"=","=","=","=","=","=","=","=","=",8,L,"卯月満開",179.5,89.903,0.2,,58,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.191,-37.014,-0.004,-18.1,-19.872,-48.234,-11.036,-65.481,24.598,-53.086,13.814,-63.62,49.822,-106.36,3.936,-113.045,-40.484,-99.846,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
5,,1,1,0,0,2,2,0,0,0,0,255,255,255,4,843.447,"_AKASATA_",R,26,89,140,-0.645,-0.113,0.349,1.236,-0.449,1.42,-36.213,15.136,44,56,0,0,"",121.565,-152.285,6.723,0,0,0,"=","=","=","=","=","=","=","=","=",8,L,"卯月満開",179.5,89.903,0.2,,58,W,Y,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,845.897,0,,578,0,,,,,,,,,,,,,,,,,845.863,1,0.161,-37.042,0.007,-18.344,-19.978,-48.057,-10.879,-65.523,24.502,-53.217,14.213,-63.019,49.679,-106.849,2.708,-109.018,-39.852,-100.013,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
6,,1,1,0,0,0,0,1,0,0,0,255,255,255,5,863.969,"_AKASATA_",R,26,82,133,-1.512,-0.104,0.265,1.227,-0.837,1.406,-36.213,15.89,45,55,0,1,"",143.803,-175.323,6.419,0,0,1,"=","=","=","=","=","=","=","=","=",9,R,"あくせる",190,94.83,0.65,,58,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.134,-37.074,-0.003,-18.009,-24.795,-48.084,-15.134,-63.306,23.176,-53.535,8.585,-66.012,44.671,-109.464,-7.789,-116.67,-50.837,-103.987,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
7,,1,1,0,0,1,0,1,0,0,0,255,255,255,6,877.826,"_AKASATA_",R,33,88,140,1.286,0.829,0.525,1.426,0.369,2.049,-36.213,22.128,38,62,0,0,"",136.25,-114.71,2.472,0,0,1,"=","=","=","=","=","=","=","=","=",9,R,"あくせる",190,94.83,0.65,,58,W,Y,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,-37.07,-0.001,-18.094,-24.381,-48.473,-15.475,-63.633,23.087,-53.577,8.618,-66.025,44.47,-108.582,-7.087,-115.846,-50.966,-104.939,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
8,,1,1,0,0,1,1,1,0,0,0,255,255,255,7,892.214,"_AKASATA_",R,27,80,130,2.251,1.18,0.616,1.488,0.794,2.252,-36.213,26.593,35,65,0,1,"",118.146,-121.872,0.805,0,0,1,"=","=","=","=","=","=","=","=","=",9,R,"あくせる",190,94.83,0.65,,58,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.144,-37.121,-0.008,-18.109,-24.403,-48.524,-15.717,-63.485,23.158,-53.48,8.611,-66.021,44.19,-108.199,-6.455,-115.133,-49.757,-105.241,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
9,,1,1,0,0,2,1,1,0,0,0,255,255,255,8,906.979,"_AKASATA_",R,0,75,112,-0.049,0.678,0.457,1.492,0.037,2.061,-36.213,13.013,57,43,0,2,"",-42.048,5.772,4.696,0,0,1,"=","=","=","=","=","=","=","=","=",9,R,"あくせる",190,94.83,0.65,3,58,W,Y,1,908.181,255,67,99,70,52,,145,97,93.675,-86.17,-0.04,1.254,-19.893,-0.49,0,0.543,523.712,284.534,-69.038,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.165,-37.077,-0.014,-18.135,-24.438,-48.473,-15.75,-63.4,23.112,-53.58,8.599,-66.007,44.33,-108.099,-5.521,-113.645,-49.736,-105.227,0.326,-36.496,,"Megu3568",-0.032,-18.257,,"Muna_328",-24.405,-48.443,,"Dοpi",-16.47,-65.181,,"kotatu_yowai",23.118,-53.514,,"schmoneymikey",8.571,-65.97,,"하루（Haru）",44.329,-108.103,,"うよすま",-5.495,-113.589,,"Sabo_10",-49.729,-105.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",3,,,,,,,,,,,,,0,"",,,,0,""
10,,1,1,0,0,2,2,1,0,0,0,255,255,255,9,922.559,"_AKASATA_",R,3,78,108,0.442,1.898,0.757,1.822,0.747,2.818,-36.213,46.685,74,26,0,1,"",-320.545,0,9.496,0,0,1,"=","=","=","=","=","=","=","=","=",9,R,"あくせる",190,94.83,0.65,,58,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.148,-37.102,-0.041,-18.068,-24.31,-48.233,-16.517,-62.934,23.121,-53.663,8.597,-66.351,41.724,-106.351,-6.776,-113.666,-51.126,-104.879,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
