id,type,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,manual,sH,sV,gyro,plx,plz,bIdx,order1Name,order2Name,order3Name,order4Name,order5Name,order6Name,order7Name,order8Name,order9Name,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,bSwing,hSec,rotS,rotL,shS,lgS,prepS,gripPen,batSpd,ev,ldeg,sdeg,launchPosX,launchPosY,launchPosZ,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,ltSec,lx,lz,cSec,cPos,cx,cy,cz,1BSafe,tag,cpSec,bTo1Sec,bTo2Sec,bTo3Sec,bToHSec,r1To2Sec,r1To3Sec,r1ToHSec,r2To3Sec,r2ToHSec,r3ToHSec,r1LeaveSec,r2LeaveSec,r3LeaveSec,out1Sec,out1BatterIndex,out1PrevBase,out1Code,out1Ass,out2Sec,out2BatterIndex,out2PrevBase,out2Code,out2Ass,out3Sec,out3BatterIndex,out3PrevBase,out3Code,out3Ass,ball1Sec,ball1Pos,ball2Sec,ball2Pos,ball3Sec,ball3Pos,ballHSec,ballHPos,PitchPPosX,PitchPPosZ,PitchCPosX,PitchCPosZ,Pitch1BPosX,Pitch1BPosZ,Pitch2BPosX,Pitch2BPosZ,Pitch3BPosX,Pitch3BPosZ,PitchSSPosX,PitchSSPosZ,PitchLFPosX,PitchLFPosZ,PitchCFPosX,PitchCFPosZ,PitchRFPosX,PitchRFPosZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,PGetSec,PGetX,PGetZ,CGetSec,CGetX,CGetZ,1BGetSec,1BGetX,1BGetZ,2BGetSec,2BGetX,2BGetZ,3BGetSec,3BGetX,3BGetZ,SSGetSec,SSGetX,SSGetZ,LFGetSec,LFGetX,LFGetZ,CFGetSec,CFGetX,CFGetZ,RFGetSec,RFGetX,RFGetZ,PThrSec,PThrX,PThrZ,CThrSec,CThrX,CThrZ,1BThrSec,1BThrX,1BThrZ,2BThrSec,2BThrX,2BThrZ,3BThrSec,3BThrX,3BThrZ,SSThrSec,SSThrX,SSThrZ,LFThrSec,LFThrX,LFThrZ,CFThrSec,CFThrX,CFThrZ,RFThrSec,RFThrX,RFThrZ,errPosDelta,result,swPreDeg,swTargetDeg,swApproachDeg,swCorr,swSource,swProximity,swVRawDeg,swVAdjustedDeg,swVMotionDeg,swVClosestDeg,swVYShrink,swGeometryDeg,balk,cPlr,sb2Sec,sb3Sec,sbhSec,ass,remarks
1,,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1547.293,"白霜らいふ",R,26,94,140,1.735,0.033,0.241,1.342,0.804,1.481,-36.599,13.503,52,48,0,2,"",-41.756,-185.236,24.463,0,0,0,"しろくま。","Megu3568","Sabo_10","","kotatu_yowai","Muna_328","かめかめん","schmoneymikey","うよすま",2,R,"しろくま。",188.6,96,0.304,5,121,W,Y,1,1548.222,171,16,127,45,15,,145,91,99.612,60.612,0.321,1.014,-20.131,-0.89,0,0.279,-3.19,200.326,-529.156,1554.762,22.539,-12.403,,,,,,0,0,,1554.041,,,1561.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.039,-37.086,0.032,-17.789,-22.015,-48.507,-17.102,-62.624,20.788,-50.191,9.817,-65.546,32.579,-88.328,-7.301,-120.841,-49.049,-90.93,0.302,-36.858,,"あおいぬ",0.105,-17.831,,"ʚEveɞ",-22.084,-48.485,,"Ѕeyeon",-17.161,-63.037,,"인생최패망자",20.679,-50.087,,"ibqrqki",9.66,-65.319,,"IbikiKai_JP",32.673,-88.241,,"sano jpn",-7.301,-120.832,,"カズティー",-48.999,-90.852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",3,60.493,60.493,22.968,0,0,1,80.388,80.388,4.554,80.388,0,51.205,0,"",,,,0,""
2,,1,1,0,0,0,1,0,0,0,0,255,255,255,1,1578.733,"白霜らいふ",R,10,89,115,1.818,-1.206,0.334,1.538,0.782,1.357,-36.599,17.746,36,64,0,4,"",0,400,26.627,0.337,-17.373,0,"=","=","=","","=","=","=","=","=",2,R,"しろくま。",188.6,96,0.304,,119,W,Y,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,-37.137,0.049,-17.899,-21.913,-47.495,-16.77,-62.826,21.852,-50.693,10.048,-65.93,34.61,-86.756,-6.647,-121.031,-49.015,-90.896,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
3,,1,1,0,0,0,2,0,0,0,0,255,255,255,2,1594.459,"白霜らいふ",R,13,84,108,-1.176,-1.526,0.165,1.265,0.131,1.162,-36.599,9.188,49,51,0,1,"",-342.063,358.635,-12.8,-0.386,-17.767,0,"=","=","=","","=","=","=","=","=",2,R,"しろくま。",188.6,96,0.304,,119,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.123,-37.021,0.033,-17.891,-21.746,-48.425,-16.477,-63.115,21.211,-49.967,10.027,-65.897,34.616,-86.912,-7.809,-120.781,-49.06,-90.933,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
4,,1,1,0,0,1,2,0,0,0,0,255,255,255,3,1609.658,"白霜らいふ",R,13,81,106,-0.892,0.071,0.258,1.606,0.281,2.148,-36.599,15.219,70,30,0,2,"",-348.371,345.406,-7.918,0,0,0,"=","=","=","","=","=","=","=","=",2,R,"しろくま。",188.6,96,0.304,5,119,W,Y,1,1610.7,234,79,102,104,53,,145,130,20.148,-36.453,-0.119,1.128,-21.236,0.67,0,0.482,333.596,460.39,83.69,1615.828,61.483,-124.224,,,,,,0,0,,1616.423,1620.945,1626.092,1631.192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029,-37.116,0.018,-17.884,-21.825,-48.428,-16.544,-62.978,21.867,-50.407,10.016,-65.693,35.925,-87.315,-8.261,-119.484,-48.668,-91.434,0.031,-36.537,,"あおいぬ",-0.058,-17.861,,"ʚEveɞ",-21.901,-48.484,,"Ѕeyeon",-16.756,-63.648,,"인생최패망자",21.605,-50.087,,"ibqrqki",9.914,-65.382,,"IbikiKai_JP",35.904,-87.304,,"sano jpn",-8.562,-119.579,,"カズティー",-48.656,-91.409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",4,-33.375,-33.375,7.33,0,0,1,20.148,20.148,32.255,20.148,0,-57.821,0,"",1620.945,1626.092,1631.192,0,""
5,,1,1,1,0,0,0,0,0,0,0,255,255,255,4,1646.056,"白霜らいふ",R,27,72,124,4.932,1.946,0.632,1.78,2.111,2.698,-36.599,58.448,83,17,0,1,"",13.38,-137.811,1.464,0,0,1,"=","=","=","","=","=","=","=","=",1,R,"Megu3568",190,88.251,0.405,,80,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.046,-37.205,0.032,-17.821,-22.268,-47.431,-11.099,-66.214,18.158,-51.165,8.762,-66.413,33.385,-86.269,-7.283,-119.613,-47.7,-92.797,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
6,,1,1,1,0,1,0,0,0,0,0,255,255,255,5,1680.162,"白霜らいふ",R,26,80,130,1.619,-0.457,0.245,1.397,0.754,1.181,-36.599,9.577,45,55,0,2,"",-37.567,-157.357,15.123,0,0,1,"=","=","=","","=","=","=","=","=",1,R,"Megu3568",190,88.251,0.405,5,80,W,Y,1,1681.273,255,78,191,103,47,,145,89,4.884,40.253,0.273,0.871,-20.376,-1,0,0.299,442.457,329.793,5.242,1682.757,-22.028,-45.296,1682.991,2,-19.829,0.497,-42.95,0,0,,,,,,,,,,,,,,,1682.929,1,,451,0,,,,,,,,,,,1683.821,2,,,,,,,0.012,-37.152,0.061,-17.641,-21.888,-47.64,-15.6,-62.611,17.999,-50.872,9.193,-65.874,33.335,-86.393,-7.26,-119.603,-47.797,-92.818,0.575,-36.861,,"あおいぬ",0.106,-17.66,,"ʚEveɞ",-21.933,-47.61,88,"Ѕeyeon",-15.781,-64.545,,"인생최패망자",17.933,-50.804,,"ibqrqki",9.188,-65.537,,"IbikiKai_JP",33.352,-86.277,,"sano jpn",-7.262,-119.601,,"カズティー",-47.795,-92.809,,1687.033,-0.442,-37.545,,,,1682.939,-20.409,-43.548,,,,,,,,,,,,,,,,,,,,,,,,,1686.074,-16.163,-39.351,,,,,,,,,,,,,,,,,,,"",1,40.2,28.439,-14.321,0,1,0.897,8.262,4.884,-4.236,62.563,0.005,82.297,0,"ʚEveɞ",,,,34,""
7,,1,1,1,0,0,0,1,0,0,0,255,255,255,6,1703.791,"白霜らいふ",R,3,78,105,0.78,0.011,0.611,1.562,1.049,1.699,-36.599,41.859,97,3,0,0,"",-432.612,53.744,-12.54,0,0,2,"=","=","=","","=","=","=","=","=",8,L,"Sabo_10",185.3,88,0.452,,113,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.107,-37.054,0.025,-17.695,-21.977,-48.115,-12.733,-65.012,22.026,-48.39,12.894,-64.108,45.45,-88.971,9.917,-118.661,-47.855,-92.789,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1707.489,0.241,-37.572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
8,,1,1,1,0,0,1,1,0,0,0,255,255,255,7,1717.371,"白霜らいふ",R,26,87,140,-0.225,-0.121,0.195,1.633,-0.061,1.369,-36.599,16.011,92,8,0,0,"",-32.701,-186.134,24.656,0,0,2,"=","=","=","","=","=","=","=","=",8,L,"Sabo_10",185.3,88,0.452,,113,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.036,-37.061,0.003,-17.717,-22.243,-48.772,-12.977,-65.116,22.383,-48.807,12.877,-64.032,45.426,-88.997,10.029,-118.734,-47.855,-92.788,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1720.963,0.213,-37.201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
9,,1,1,1,0,0,2,1,0,0,0,255,255,255,8,1732.651,"白霜らいふ",R,32,64,104,3.477,-0.14,0.614,1.491,1.128,1.417,-36.599,33.861,64,36,0,1,"",185.094,-108.058,-14.527,0,0,2,"=","=","=","","=","=","=","=","=",8,L,"Sabo_10",185.3,88,0.452,,113,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.165,-37.042,0.041,-17.69,-22.304,-48.891,-12.973,-65.012,22.261,-48.657,13.014,-64.035,45.459,-89.028,9.969,-118.62,-47.86,-92.796,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1736.386,0.109,-37.615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
10,,1,1,1,0,1,2,1,0,0,0,255,255,255,9,1748.249,"白霜らいふ",R,13,82,107,-1.736,-0.458,0.384,1.567,-0.106,1.835,-36.599,19.064,99,1,0,2,"",-343.687,353.784,-5.639,0,0,2,"=","=","=","","=","=","=","=","=",8,L,"Sabo_10",185.3,88,0.452,0,113,W,Y,1,1749.253,200,86,115,124,61,,145,105,14.718,12.573,-0.27,0.911,-21.114,-0.26,0,0.462,-150.77,-78.438,13.829,1752.216,-14.247,-88.036,1755.983,7,-20.693,0.054,-122.702,1,0,,1754.777,1759.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1760.727,5,,,,,0.094,-37.009,0.012,-17.704,-22.319,-48.893,-13.013,-65.03,22.085,-49.009,13.067,-63.944,45.471,-89.028,9.726,-118.673,-47.847,-92.773,0.524,-37.018,,"あおいぬ",-0.052,-17.707,,"ʚEveɞ",-22.362,-48.779,,"Ѕeyeon",-13.393,-66.096,,"인생최패망자",21.831,-48.717,,"ibqrqki",13.056,-63.606,,"IbikiKai_JP",45.46,-89.017,,"sano jpn",9.725,-118.674,90,"カズティー",-47.848,-92.772,,,,,,,,,,,,,,,,,1760.119,-0.253,-61.98,,,,1755.952,-20.244,-124.025,,,,,,,,,,,,,,,,,,,,,,,,,1756.847,-18.854,-118.625,,,,"",2,,,,,,,,,,,,,0,"sano jpn",1759.06,,,257,""
