id,type,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,manual,sH,sV,gyro,plx,plz,bIdx,order1Name,order2Name,order3Name,order4Name,order5Name,order6Name,order7Name,order8Name,order9Name,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,bSwing,hSec,rotS,rotL,shS,lgS,prepS,gripPen,batSpd,ev,ldeg,sdeg,launchPosX,launchPosY,launchPosZ,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,ltSec,lx,lz,cSec,cPos,cx,cy,cz,1BSafe,tag,cpSec,bTo1Sec,bTo2Sec,bTo3Sec,bToHSec,r1To2Sec,r1To3Sec,r1ToHSec,r2To3Sec,r2ToHSec,r3ToHSec,r1LeaveSec,r2LeaveSec,r3LeaveSec,out1Sec,out1BatterIndex,out1PrevBase,out1Code,out1Ass,out2Sec,out2BatterIndex,out2PrevBase,out2Code,out2Ass,out3Sec,out3BatterIndex,out3PrevBase,out3Code,out3Ass,ball1Sec,ball1Pos,ball2Sec,ball2Pos,ball3Sec,ball3Pos,ballHSec,ballHPos,PitchPPosX,PitchPPosZ,PitchCPosX,PitchCPosZ,Pitch1BPosX,Pitch1BPosZ,Pitch2BPosX,Pitch2BPosZ,Pitch3BPosX,Pitch3BPosZ,PitchSSPosX,PitchSSPosZ,PitchLFPosX,PitchLFPosZ,PitchCFPosX,PitchCFPosZ,PitchRFPosX,PitchRFPosZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,PGetSec,PGetX,PGetZ,CGetSec,CGetX,CGetZ,1BGetSec,1BGetX,1BGetZ,2BGetSec,2BGetX,2BGetZ,3BGetSec,3BGetX,3BGetZ,SSGetSec,SSGetX,SSGetZ,LFGetSec,LFGetX,LFGetZ,CFGetSec,CFGetX,CFGetZ,RFGetSec,RFGetX,RFGetZ,PThrSec,PThrX,PThrZ,CThrSec,CThrX,CThrZ,1BThrSec,1BThrX,1BThrZ,2BThrSec,2BThrX,2BThrZ,3BThrSec,3BThrX,3BThrZ,SSThrSec,SSThrX,SSThrZ,LFThrSec,LFThrX,LFThrZ,CFThrSec,CFThrX,CFThrZ,RFThrSec,RFThrX,RFThrZ,errPosDelta,result,swPreDeg,swTargetDeg,swApproachDeg,swCorr,swSource,swProximity,swVRawDeg,swVAdjustedDeg,swVMotionDeg,swVClosestDeg,swVYShrink,swGeometryDeg,balk,cPlr,sb2Sec,sb3Sec,sbhSec,ass,remarks
1,,1,1,0,0,0,0,0,0,0,0,255,255,255,0,632.579,"Pring__",R,13,74,101,-0.766,-0.864,0.409,1.59,0.337,1.681,-36.216,37.828,56,44,0,2,"",-345.626,329.096,-2.715,0,0,0,"coder_","눈꽃","甲斐野柊太","소솨소솨","SFIDA","Azuner","YukihiroD","柴山犬吉","Amellaid",5,R,"coder_",164.3,80,0.2,5,158,W,Y,1,633.799,255,152,74,114,81,,145,80,-20.186,-42.152,-0.026,0.875,-22.258,-1,0,0.796,92.431,-224.746,272.684,633.378,1.432,-23.862,634.975,4,16.356,0.121,-40.301,0,0,,638.608,,,,,,,,,,,,,638.794,0,,147,64,,,,,,,,,,,,,,,,,,,0.049,-37.319,-0.28,-17.001,-21.589,-46.293,-14.059,-62.144,16.538,-44.312,11.482,-62.921,44.66,-102.719,-0.019,-116.675,-45.809,-94.224,0.117,-36.92,,"HalF_HearteD",-0.331,-17.014,,"-Alta-",-21.584,-46.285,99,"Rite_",-13.952,-61.996,,"magimari",16.518,-44.303,86,"InamuraRio",11.139,-62.828,,"ame_3",44.664,-102.682,,"紅さかな",-0.017,-116.68,,"alcohol500",-45.549,-93.95,,642.022,-0.044,-38.205,,,,638.2,-17.656,-39.948,,,,635.48,16.943,-41.354,,,,,,,,,,,,,,,,,,,641.133,-17.604,-40.382,,,,636.564,11.977,-40.826,,,,,,,,,,,,,"",2,-38.92,-38.92,-31.13,0,1,0.49,-33.177,-20.186,-26.261,-33.466,0.028,44.356,0,"magimari",,,,70,""
2,,1,1,0,0,0,0,1,0,0,0,255,255,255,1,660.828,"Pring__",R,13,78,104,0.548,-0.531,0.46,1.378,0.808,1.65,-36.216,29.168,4,96,0,2,"",-369.138,312.348,20.546,0,0,1,"=","=","=","=","=","=","=","=","=",1,L,"눈꽃",190,85,0.502,5,154,W,Y,1,662.098,255,123,130,91,48,,145,119,28.875,1.733,0.099,0.814,-20.386,0.16,0,0.419,-50.105,3.962,-25.2,666.447,-2.916,-121.596,666.642,7,-2.829,2.08,-118.877,0,0,,667.899,,,,,,,,,,,,,667.183,1,,456,0,,,,,,,,,,,,,,,,,,,0.191,-37.455,0.177,-16.998,-21.727,-46.547,-10.213,-64.499,17.328,-44.264,14.188,-63.689,52.722,-99.277,2.149,-120.736,-45.546,-98.25,0.19,-37.113,,"HalF_HearteD",0.088,-17.013,,"-Alta-",-21.149,-46.836,,"Rite_",-10.455,-64.394,,"magimari",17.234,-44.202,,"InamuraRio",14.354,-64.219,91,"ame_3",52.299,-99.492,,"紅さかな",2.164,-120.725,92,"alcohol500",-45.622,-97.897,,674.667,0.164,-38.446,,,,,,,,,,,,,670.818,-0.529,-70.477,,,,667.19,-2.88,-119.617,,,,,,,,,,,,,,,,,,,673.342,3.991,-64.208,,,,668.592,-2.855,-112.755,,,,"",1,4.554,4.554,-0.376,0,0,1,55.17,55.17,66.565,55.17,0,5.485,0,"紅さかな",,,,146,""
3,,1,1,0,0,0,0,2,0,0,0,255,255,255,2,691.661,"Pring__",R,32,70,122,4.8,0.088,0.478,1.54,1.879,1.624,-36.216,57.368,0,100,0,3,"",182.185,-111.284,-6.326,1.921,-20.512,2,"=","=","=","=","=","=","=","=","=",2,R,"甲斐野柊太",190,80,0.2,,152,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,713.551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.034,-37.651,0.166,-16.916,-19.652,-44.313,-14.305,-62.598,16.56,-43.082,11.639,-64.981,45.117,-98.499,-1.384,-119.425,-45.007,-93.789,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,717.489,0.033,-37.973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",6,,,,,,,,,,,,,0,"",,,,0,""
4,,1,1,0,0,0,0,2,1,0,0,2,255,255,6,722.574,"Pring__",R,13,68,98,0.388,-0.606,0.452,1.633,0.473,1.777,-36.216,50.986,86,14,0,0,"TW+",-184.689,400,-3.095,0,0,3,"=","=","=","=","=","=","=","=","=",8,R,"소솨소솨",180.6,80,0.503,,53,W,Y,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,722.791,,,,,,,,,,,,,,,,,,,,,,,,,,-0.013,-37.456,-0.216,-16.853,-20.24,-41.02,-15.307,-62.499,17.062,-44.039,9.31,-65.637,43.566,-99.193,-1.287,-119.389,-48.664,-92.244,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,727.217,-0.184,-37.518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
5,,1,1,0,0,0,1,2,1,0,0,2,255,255,7,740.503,"Pring__",R,32,76,127,0.377,0.133,0.269,1.533,-0.146,1.495,-36.216,36.221,38,62,0,2,"",206.682,-200,10.604,0,0,3,"=","=","=","=","=","=","=","=","=",8,R,"소솨소솨",180.6,80,0.503,5,53,W,Y,1,741.533,162,161,59,51,24,,137,100,25.886,8.167,0.071,0.999,-20.14,0,0,0.64,563.397,109.942,-44.15,745.795,-14.539,-106.953,746.01,7,-14.086,1.943,-104.547,0,0,,747.48,,,,747.845,,,,,,,,,746.819,3,,456,0,,,,,,,,,,,,,,,,,,,-0.052,-37.606,-0.302,-17.057,-20.285,-40.642,-14.91,-62.258,16.901,-44.03,9.482,-66.176,43.557,-99.215,-1.299,-119.419,-50.043,-93.171,0.072,-36.982,,"HalF_HearteD",-0.335,-17.012,,"-Alta-",-19.626,-43.348,,"Rite_",-14.799,-62.053,,"magimari",16.634,-44.073,,"InamuraRio",9.454,-66.116,,"ame_3",43.543,-99.21,,"紅さかな",-1.044,-119.386,101,"alcohol500",-50.07,-93.139,,,,,,,,,,,,,,,,,,,,,,,746.828,-14.266,-105.183,,,,,,,,,,,,,,,,,,,,,,,,,748.068,-12.28,-99.028,,,,"",1,8.221,8.221,1.338,0,2,0.21,86.328,34.98,-3.02,85.607,0.073,27.73,0,"紅さかな",747.845,,,16,""
6,SIDE,1,1,0,0,0,0,2,0,1,0,255,2,255,,749.575,,,,,,,,,,,,,,,,,,,,,,,,4,"=","=","=","=","=","=","=","=","=",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
7,,1,0,0,0,0,0,0,0,0,0,255,255,255,0,955.621,"SFIDA",L,28,85,138,-2.215,1.515,-0.451,2.006,-0.874,2.37,-36.949,31.137,83,16,1,1,"",-60.285,-95.516,0,0,0,0,"alcohol500","Pring__","-Alta-","ame_3","紅さかな","HalF_HearteD","magimari","InamuraRio","Rite_",8,L,"alcohol500",174.3,85.415,0.3,,140,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.011,-37.82,-0.05,-17.677,-18.625,-45.791,-13.743,-64.214,22.446,-48.787,11.731,-65.613,40.838,-91.724,2.229,-120.88,-45.908,-107.093,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
8,,1,0,0,0,1,0,0,0,0,0,255,255,255,1,972.485,"SFIDA",L,27,98,140,-0.59,0.101,-0.298,1.771,-0.161,1.541,-36.949,12.977,57,41,2,0,"",-61.529,-114.21,0,0,0,0,"=","=","=","=","=","=","=","=","=",8,L,"alcohol500",174.3,85.415,0.3,,140,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.011,-37.887,-0.062,-17.669,-18.469,-45.663,-13.881,-64.241,22.471,-48.688,11.898,-65.772,41.395,-92.134,2.206,-120.941,-46.885,-101.867,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
9,,1,0,0,0,1,1,0,0,0,0,255,255,255,2,988.292,"SFIDA",L,13,73,100,-0.497,-1.195,-0.547,1.757,-0.88,1.545,-36.949,31.875,49,51,0,1,"",309.784,365.897,0,0.092,-17.722,0,"=","=","=","=","=","=","=","=","=",8,L,"alcohol500",174.3,85.415,0.3,,140,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.029,-37.805,-0.08,-17.765,-17.932,-45.25,-13.792,-64.21,22.514,-48.709,12.074,-65.565,41.232,-92.258,1.91,-120.929,-40.7,-99.694,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
10,,1,0,0,0,2,1,0,0,0,0,255,255,255,3,1007.424,"SFIDA",L,28,88,140,-1.154,0.137,-0.354,1.793,-0.421,1.617,-36.949,26.814,91,9,0,2,"",-50.042,-57.187,0,0,0,0,"=","=","=","=","=","=","=","=","=",8,L,"alcohol500",174.3,85.415,0.3,5,140,W,Y,1,1008.312,126,95,127,100,51,,139,107,25.773,6.033,-0.212,0.96,-20.167,0.09,0,0.217,569.873,-144.057,6.755,,,,1011.836,7,-7.561,2.328,-112.865,0,0,,1013.551,,,,,,,,,,,,,1013.664,0,,456,0,,,,,,,,,,,,,,,,,,,0.087,-37.866,-0.064,-17.717,-17.752,-45.294,-13.72,-64.221,22.48,-48.749,11.702,-65.188,41.344,-92.224,1.937,-120.781,-38.876,-97.149,-0.105,-37.585,,"눈꽃",-0.067,-17.723,,"甲斐野柊太",-17.673,-45.283,,"柴山犬吉",-13.654,-64.128,,"Azuner",22.441,-48.763,,"coder_",11.681,-65.129,,"YukihiroD",41.242,-92.297,,"Amellaid",1.763,-120.773,92,"소솨소솨",-38.158,-95.708,,1018.981,2.513,-42.23,,,,,,,,,,,,,,,,,,,1013.676,-7.749,-113.54,,,,,,,,,,,,,,,,,,,,,,,,,1015.142,-7.332,-108.705,,,,"",1,5.698,5.698,7.008,0,2,0.252,77.168,34.13,-3.87,86.259,0.071,-28.454,0,"Amellaid",,,,272,""
