id,type,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,manual,sH,sV,gyro,plx,plz,bIdx,order1Name,order2Name,order3Name,order4Name,order5Name,order6Name,order7Name,order8Name,order9Name,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,bSwing,hSec,rotS,rotL,shS,lgS,prepS,gripPen,batSpd,ev,ldeg,sdeg,launchPosX,launchPosY,launchPosZ,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,ltSec,lx,lz,cSec,cPos,cx,cy,cz,1BSafe,tag,cpSec,bTo1Sec,bTo2Sec,bTo3Sec,bToHSec,r1To2Sec,r1To3Sec,r1ToHSec,r2To3Sec,r2ToHSec,r3ToHSec,r1LeaveSec,r2LeaveSec,r3LeaveSec,out1Sec,out1BatterIndex,out1PrevBase,out1Code,out1Ass,out2Sec,out2BatterIndex,out2PrevBase,out2Code,out2Ass,out3Sec,out3BatterIndex,out3PrevBase,out3Code,out3Ass,ball1Sec,ball1Pos,ball2Sec,ball2Pos,ball3Sec,ball3Pos,ballHSec,ballHPos,PitchPPosX,PitchPPosZ,PitchCPosX,PitchCPosZ,Pitch1BPosX,Pitch1BPosZ,Pitch2BPosX,Pitch2BPosZ,Pitch3BPosX,Pitch3BPosZ,PitchSSPosX,PitchSSPosZ,PitchLFPosX,PitchLFPosZ,PitchCFPosX,PitchCFPosZ,PitchRFPosX,PitchRFPosZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,PGetSec,PGetX,PGetZ,CGetSec,CGetX,CGetZ,1BGetSec,1BGetX,1BGetZ,2BGetSec,2BGetX,2BGetZ,3BGetSec,3BGetX,3BGetZ,SSGetSec,SSGetX,SSGetZ,LFGetSec,LFGetX,LFGetZ,CFGetSec,CFGetX,CFGetZ,RFGetSec,RFGetX,RFGetZ,PThrSec,PThrX,PThrZ,CThrSec,CThrX,CThrZ,1BThrSec,1BThrX,1BThrZ,2BThrSec,2BThrX,2BThrZ,3BThrSec,3BThrX,3BThrZ,SSThrSec,SSThrX,SSThrZ,LFThrSec,LFThrX,LFThrZ,CFThrSec,CFThrX,CFThrZ,RFThrSec,RFThrX,RFThrZ,errPosDelta,result,swPreDeg,swTargetDeg,swApproachDeg,swCorr,swSource,swProximity,swVRawDeg,swVAdjustedDeg,swVMotionDeg,swVClosestDeg,swVYShrink,swGeometryDeg,balk,cPlr,sb2Sec,sb3Sec,sbhSec,ass,remarks
1,,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1130.607,"Kr_Luna",L,10,70,100,0.344,-1.201,-0.637,1.948,-0.115,1.689,-36.788,43.395,92,8,0,1,"",131.189,400,0,0,0,0,"わかなで","ゆっち一","_Chun","MODECO","「론구」","shuwaYNZ","まととまと","Mr․D VRC","별이__",3,L,"わかなで",160,94.208,0.2,,49,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.106,-37.618,0.056,-17.278,-19.958,-43.137,-9.272,-64.256,19.32,-46.383,10.635,-56.947,39.501,-83.9,0.113,-102.879,-31.376,-74.965,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
2,,1,1,0,0,1,0,0,0,0,0,255,255,255,1,1221.152,"Kr_Luna",L,26,86,139,0.865,-0.385,-0.382,1.717,0.547,1.196,-36.788,37.451,85,14,1,0,"",-112.504,-175.398,0,0,0,0,"=","=","=","=","=","=","=","=","=",3,L,"わかなで",160,94.208,0.2,,48,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028,-37.884,0.06,-17.387,-21.123,-44.716,-10.293,-65.828,20.705,-47.495,11.862,-57.407,38.163,-86.345,-0.235,-105.759,-40.579,-87.197,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
3,,1,1,0,0,1,1,0,0,0,0,255,255,255,2,1242.385,"Kr_Luna",L,3,73,101,1.427,-0.64,-0.67,1.975,-0.164,1.672,-36.788,54.868,84,16,0,0,"",378.04,228.349,0,0,0,0,"=","=","=","=","=","=","=","=","=",3,L,"わかなで",160,94.208,0.2,,48,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.031,-37.734,0.044,-17.204,-21.085,-44.572,-10.377,-65.555,20.729,-47.609,9.473,-58.285,38.119,-85.525,-0.229,-105.762,-40.049,-86.706,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
4,,1,1,0,0,1,2,0,0,0,0,255,255,255,3,1262.481,"Kr_Luna",L,3,83,111,1.906,-0.67,-0.506,1.874,0.293,1.501,-36.788,40.59,85,15,0,2,"",294.421,167.65,0,0,0,0,"=","=","=","=","=","=","=","=","=",3,L,"わかなで",160,94.208,0.2,3,48,W,Y,1,1263.629,201,147,107,95,50,,145,76,33.828,-53.637,0.306,0.756,-21.033,1,0,0.501,71.144,-278.825,-217.85,1259.722,41.709,-49.068,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019,-37.824,0.035,-17.224,-20.96,-44.55,-9.974,-65.586,21.42,-48.699,10.54,-57.372,40.651,-87.07,0.115,-102,-40.135,-86.816,-0.038,-37.911,,"mungjungh",0.111,-17.242,,"가앤슬_",-20.969,-44.527,,"_Gosomi",-6.933,-66.219,,"Penguin_iDOL",21.2,-47.748,,"Yaksok~",10.531,-57.59,,"HANA_ARASHI",40.295,-86.447,,"k@ster",0.179,-102.027,,"SUGUN",-40.121,-86.617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",3,,,,,,,,,,,,,0,"",,,,0,""
5,,1,1,0,0,1,2,0,0,0,0,255,255,255,4,1283.714,"Kr_Luna",L,13,77,114,2.593,-1.544,-0.494,1.843,0.493,1.302,-36.788,45.043,83,17,0,4,"",357.576,349.485,0,0,0,0,"=","=","=","=","=","=","=","=","=",3,L,"わかなで",160,94.208,0.2,,47,W,Y,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,1286.493,0,,578,0,,,,,,,,,,,,,,,,,,,0.014,-37.805,0.034,-17.253,-21.236,-44.109,-10.475,-65.681,20.943,-48.741,13.16,-59.327,40.939,-85.339,-0.001,-102.201,-40.412,-88.699,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
6,,1,1,0,0,0,0,1,0,0,0,255,255,255,5,1310.232,"Kr_Luna",L,13,81,120,1.063,-1.207,-0.546,1.83,0.25,1.3,-36.788,31.814,90,10,0,1,"",155.386,400,0,0.381,-17.34,1,"=","=","=","=","=","=","=","=","=",8,L,"ゆっち一",181.4,84,0.401,,47,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.064,-37.858,0.006,-17.198,-20.953,-44.397,-11.116,-65.121,21.001,-48.898,13.542,-64.275,40.324,-84.567,0.078,-108.773,-44.952,-92.665,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
7,,1,1,0,0,1,0,1,0,0,0,255,255,255,6,1328.449,"Kr_Luna",L,5,65,103,-0.837,0.628,-0.759,2.116,-0.526,1.99,-36.788,71.332,84,16,0,2,"",89.192,4.995,0,0,0,1,"=","=","=","=","=","=","=","=","=",8,L,"ゆっち一",181.4,84,0.401,5,47,W,Y,1,1329.698,212,116,119,94,58,,145,130,23.116,21.919,-0.168,1.223,-20.716,0.44,0,0.494,63.186,-91.648,-53.651,1327.189,-38.144,-122.765,1328.756,8,-33.458,0.06,-116.275,1,0,,1335.006,1339.642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1341.844,5,,,,,-0.04,-37.684,0.049,-17.153,-20.878,-45.236,-10.495,-65.686,21.017,-48.978,14.857,-63.963,39.175,-83.15,0.062,-108.777,-44.539,-92.162,0.12,-37.906,,"mungjungh",0.065,-17.21,,"가앤슬_",-20.862,-45.219,,"_Gosomi",-5.772,-65.964,,"Penguin_iDOL",20.977,-48.978,,"Yaksok~",15.81,-65.873,85,"HANA_ARASHI",39.172,-83.149,,"k@ster",0.038,-108.738,,"SUGUN",-44.516,-92.175,119,1344.956,0.236,-38.591,,,,,,,,,,,,,1339.367,-0.024,-60.417,,,,,,,1336.283,-33.801,-115.597,,,,,,,,,,,,,,,,1343.848,0.285,-57.876,,,,,,,1336.875,-31.549,-112.668,"",2,19.368,19.368,12.63,0,0,1,23.116,23.116,32.819,23.116,0,18.766,0,"SUGUN",1339.642,,,259,""
8,,1,1,0,0,0,0,1,0,1,0,255,8,255,7,1366.272,"Kr_Luna",L,32,82,118,-0.211,-0.086,-0.535,1.825,0.202,1.418,-36.788,60.764,86,13,2,0,"",-184.722,-122.667,0,0,0,2,"=","=","=","=","=","=","=","=","=",0,L,"_Chun",190,80,0.455,,47,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,1370.857,,,,,,,,,,,,,,,,,,,,,,,,,0.123,-37.727,0.059,-17.23,-20.309,-43.241,-5.903,-64.823,22.644,-49.669,13.672,-61.649,46.895,-92.113,-0.185,-109.371,-37.366,-86.746,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1371.729,-0.134,-37.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",1368.872,,,0,""
9,,1,1,0,0,0,1,1,0,1,0,255,8,255,8,1388.586,"Kr_Luna",L,13,83,107,2.646,-1.53,-0.452,1.691,0.46,1.128,-36.788,29.218,90,10,0,4,"",357.381,339.141,0,0.713,-18.166,2,"=","=","=","=","=","=","=","=","=",0,L,"_Chun",190,80,0.455,,47,W,Y,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,1400.044,,,,,,,,,,,,,,,,,,,,,,,,,0.057,-37.654,0.058,-17.258,-19.097,-45.817,-8.853,-66.638,21.97,-49.409,13.493,-60.462,45.786,-93.879,-0.484,-111.888,-36.474,-85.933,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1392.902,0.062,-37.642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",1391.675,,,0,""
10,,1,1,0,0,0,2,1,0,1,0,255,8,255,9,1411.158,"Kr_Luna",L,10,68,99,0.647,-1.083,-0.406,1.888,0.292,1.554,-36.788,44.373,92,8,0,2,"",0,400,0,0,0,2,"=","=","=","=","=","=","=","=","=",0,L,"_Chun",190,80,0.455,0,47,W,Y,1,1412.254,225,196,95,94,67,,145,130,26.14,-21.666,0.102,0.702,-20.981,0.26,0,0.659,327.948,-460.915,-200.019,1409.739,56.842,-124.657,,,,,,0,0,,1418.116,1422.982,1428.365,1433.541,,,,1418.283,1423.62,,,1411.192,,,,,,,,,,,,,,,,,,,,,,,,,-0.017,-37.735,0.035,-17.203,-19.807,-46.783,-6.175,-63.688,22.558,-48.343,13.592,-61.113,40.494,-84.243,-0.448,-111.884,-36.877,-85.174,-0.184,-37.847,,"mungjungh",0.055,-17.463,,"가앤슬_",-19.822,-46.04,,"_Gosomi",-7.784,-63.592,,"Penguin_iDOL",22.56,-48.313,,"Yaksok~",13.954,-60.659,,"HANA_ARASHI",40.605,-84.498,,"k@ster",-0.451,-111.886,,"SUGUN",-36.859,-85.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",4,,,,,,,,,,,,,0,"",1422.982,1418.283,1423.62,0,""
