id,type,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,manual,sH,sV,gyro,plx,plz,bIdx,order1Name,order2Name,order3Name,order4Name,order5Name,order6Name,order7Name,order8Name,order9Name,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,bSwing,hSec,rotS,rotL,shS,lgS,prepS,gripPen,batSpd,ev,ldeg,sdeg,launchPosX,launchPosY,launchPosZ,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,ltSec,lx,lz,cSec,cPos,cx,cy,cz,1BSafe,tag,cpSec,bTo1Sec,bTo2Sec,bTo3Sec,bToHSec,r1To2Sec,r1To3Sec,r1ToHSec,r2To3Sec,r2ToHSec,r3ToHSec,r1LeaveSec,r2LeaveSec,r3LeaveSec,out1Sec,out1BatterIndex,out1PrevBase,out1Code,out1Ass,out2Sec,out2BatterIndex,out2PrevBase,out2Code,out2Ass,out3Sec,out3BatterIndex,out3PrevBase,out3Code,out3Ass,ball1Sec,ball1Pos,ball2Sec,ball2Pos,ball3Sec,ball3Pos,ballHSec,ballHPos,PitchPPosX,PitchPPosZ,PitchCPosX,PitchCPosZ,Pitch1BPosX,Pitch1BPosZ,Pitch2BPosX,Pitch2BPosZ,Pitch3BPosX,Pitch3BPosZ,PitchSSPosX,PitchSSPosZ,PitchLFPosX,PitchLFPosZ,PitchCFPosX,PitchCFPosZ,PitchRFPosX,PitchRFPosZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,PGetSec,PGetX,PGetZ,CGetSec,CGetX,CGetZ,1BGetSec,1BGetX,1BGetZ,2BGetSec,2BGetX,2BGetZ,3BGetSec,3BGetX,3BGetZ,SSGetSec,SSGetX,SSGetZ,LFGetSec,LFGetX,LFGetZ,CFGetSec,CFGetX,CFGetZ,RFGetSec,RFGetX,RFGetZ,PThrSec,PThrX,PThrZ,CThrSec,CThrX,CThrZ,1BThrSec,1BThrX,1BThrZ,2BThrSec,2BThrX,2BThrZ,3BThrSec,3BThrX,3BThrZ,SSThrSec,SSThrX,SSThrZ,LFThrSec,LFThrX,LFThrZ,CFThrSec,CFThrX,CFThrZ,RFThrSec,RFThrX,RFThrZ,errPosDelta,result,swPreDeg,swTargetDeg,swApproachDeg,swCorr,swSource,swProximity,swVRawDeg,swVAdjustedDeg,swVMotionDeg,swVClosestDeg,swVYShrink,swGeometryDeg,balk,cPlr,sb2Sec,sb3Sec,sbhSec,ass,remarks
1,,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1024.248,"가앤슬_",L,27,83,135,-1.785,0.843,-0.612,1.566,-0.656,1.985,-36.508,41.505,85,15,0,1,"",-84.358,-112.209,1.142,0,0,0,"alcohol500","Pring__","-Alta-","紅さかな","HalF_HearteD","magimari","Pugeuk","InamuraRio","Rite_",8,L,"alcohol500",174.4,85.415,0.3,,58,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.089,-37.128,-0.082,-17.864,-19.621,-47.168,-6.242,-67.132,20.169,-48.869,14.397,-62.728,37.482,-96.826,-0.071,-105.653,-45.096,-94.498,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
2,,1,1,0,0,1,0,0,0,0,0,255,255,255,1,1038.774,"가앤슬_",L,3,71,113,1.092,-0.96,-0.703,1.368,-0.232,1.064,-36.508,5.103,13,87,0,0,"",413.262,0,-17.283,0,0,0,"=","=","=","=","=","=","=","=","=",8,L,"alcohol500",174.4,85.415,0.3,,58,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.316,-37.171,-0.045,-17.786,-18.561,-48.755,-6.184,-67.123,20.224,-48.892,14.36,-62.893,39.577,-98.415,-0.21,-105.682,-44.316,-94.226,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
3,,1,1,0,0,1,1,0,0,0,0,255,255,255,2,1054.949,"가앤슬_",L,3,69,113,0.384,-0.184,-0.609,1.431,-0.421,1.511,-36.508,11.409,9,91,0,0,"",344.174,0,-12.074,0,0,0,"=","=","=","=","=","=","=","=","=",8,L,"alcohol500",174.4,85.415,0.3,,58,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.186,-37.23,0.065,-17.778,-18.109,-48.958,-5.848,-67.206,20.641,-48.233,14.219,-63.722,39.591,-98.462,-0.252,-105.713,-45.537,-94.686,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
4,,1,1,0,0,1,2,0,0,0,0,255,255,255,3,1072.193,"가앤슬_",L,26,79,129,-2.18,2.688,-0.632,1.802,-0.751,2.996,-36.508,49.171,76,24,0,1,"",-120.837,-156.162,-11.708,0,0,0,"=","=","=","=","=","=","=","=","=",8,L,"alcohol500",174.4,85.415,0.3,,58,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,-37.093,-0.086,-17.755,-19.741,-51.04,-5.886,-67.213,19.974,-49.152,14.012,-63.145,39.589,-98.456,-0.226,-105.693,-45.867,-96.076,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
5,,1,1,0,0,2,2,0,0,0,0,255,255,255,4,1089.581,"가앤슬_",L,10,78,106,-0.699,0.108,-0.568,1.816,-0.285,2.229,-36.508,19.601,66,34,0,2,"",0,400,-3.1,0,0,0,"=","=","=","=","=","=","=","=","=",8,L,"alcohol500",174.4,85.415,0.3,0,58,W,Y,1,1090.625,176,88,72,78,39,,145,120,-30,-1.33,-0.128,0.95,-20.411,0.13,0,0.218,-575.552,-33.941,16.287,1090.674,-0.092,-21.935,1094.174,7,1.393,0.059,-93.467,1,0,,1095.812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.078,-37.269,-0.143,-18.067,-16.96,-45.321,-5.578,-67.268,18.609,-49.47,13.522,-63.276,39.499,-98.536,-0.228,-106.29,-45.477,-95.34,-0.292,-37.116,,"HANA_ARASHI",-0.147,-18.098,,"Kr_Luna",-16.872,-45.407,80,"_Gosomi",-8.24,-65.578,,"si_ho",18.501,-49.653,,"crani",13.535,-63.272,,"CAT tourniquet",38.494,-99.136,,"k@ster",-0.11,-106.21,101,"SUGUN",-40.405,-90.773,,1101.452,-0.54,-38.273,,,,1097.488,-18.787,-41.002,,,,,,,,,,,,,1094.162,1.495,-94.616,,,,,,,,,,1100.287,-18.227,-39.661,,,,,,,,,,,,,1095.11,-0.42,-88.723,,,,"",2,,,,,,,,,,,,,0,"k@ster",,,,74,""
6,,1,1,0,0,0,0,0,1,0,0,8,255,255,5,1117.14,"가앤슬_",L,3,79,106,2.75,-0.696,-0.54,1.309,0.43,1.199,-36.508,1.874,23,77,0,1,"",407.672,0,-11.225,0,0,1,"=","=","=","=","=","=","=","=","=",4,L,"Pring__",190,93.476,0.448,,57,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,1136.946,,,,,,1126.542,,,,,,,,,,,,,,,,,,,,,,,,,,-0.253,-37.226,0.074,-18.043,-19.623,-43.241,-5.313,-66.214,18.794,-47.336,13.919,-63.139,41.081,-96.358,0.153,-114.741,-43.619,-95.551,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1121.985,0.068,-37.605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",1136.946,,,0,""
7,,1,1,0,0,1,0,0,0,1,0,255,8,255,6,1201.552,"가앤슬_",L,26,74,126,-1.809,1.119,-0.585,1.622,-0.533,2.149,-36.508,37.552,72,28,0,1,"",-154.718,-175.087,-9.14,0,0,1,"=","=","=","=","=","=","=","=","=",4,L,"Pring__",190,93.476,0.448,,57,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,1217.437,,,,,,,,,,,,,,,,,,,,,,,,,0.019,-37.392,-0.026,-18.059,-18.507,-47.074,-4.512,-65.633,20.204,-48.324,14.666,-62.044,41.623,-96.87,0.257,-108.469,-44.467,-93.791,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1205.983,-0.034,-37.617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",1204.982,,,0,""
8,,1,1,0,0,2,0,0,0,1,0,255,8,255,7,1220.913,"가앤슬_",L,10,80,120,-0.377,-1.034,-0.549,1.492,-0.159,1.42,-36.508,14.667,50,50,0,2,"",6.341,400,-7.344,0,0,1,"=","=","=","=","=","=","=","=","=",4,L,"Pring__",190,93.476,0.448,5,57,W,Y,1,1221.919,192,181,120,102,68,,145,131,7.791,-3.2,-0.068,0.619,-20.368,0.51,0,0.53,173.899,-130.706,22.245,1224.574,5.554,-97.83,1225.107,7,5.884,0.24,-101.55,1,0,,1227.891,,,,,,,1227.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.036,-37.346,-0.036,-17.988,-18.552,-47.437,-3.989,-65.188,19.518,-48.185,15.337,-62.843,41.683,-96.802,0.199,-110.832,-44.535,-94.081,-0.341,-37.127,,"HANA_ARASHI",0.056,-17.98,,"Kr_Luna",-18.315,-47.425,,"_Gosomi",-5.24,-65.894,99,"si_ho",19.569,-48.098,85,"crani",15.281,-62.745,,"CAT tourniquet",41.679,-96.802,,"k@ster",0.186,-110.811,107,"SUGUN",-44.388,-94.092,,1234.017,0.662,-38.199,,,,,,,1227.564,0.268,-59.898,1229.725,18.706,-40.848,,,,,,,1225.089,6.005,-102.403,,,,,,,,,,,,,1228.481,1.514,-57.636,1232.969,17.012,-41.269,,,,,,,1226.003,5.538,-95.157,,,,"",2,-4.937,-4.937,2.795,0,1,0.647,7.791,7.791,12.462,10.714,0.01,-17.036,0,"k@ster",,1227.38,,105,""
9,,1,1,0,0,0,0,0,1,0,1,4,255,8,8,1250.592,"가앤슬_",L,3,69,111,2.621,-0.735,-0.533,1.381,0.505,1.165,-36.508,2.1,28,72,0,1,"",421.608,0,-9,0,0,2,"=","=","=","=","=","=","=","=","=",2,L,"-Alta-",190,86,0.499,,57,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,1269.156,,1267.123,,,,,,,,,,,,,,,,,,,,,,,,-0.197,-37.206,0.025,-17.93,-19.303,-43.657,-2.396,-64.857,18.495,-42.846,14.012,-60.834,40.027,-98.11,-0.455,-105.309,-44.901,-93.384,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1255.112,-0.255,-37.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,1252.77,,0,""
10,,1,1,0,0,1,0,0,1,0,1,4,255,8,9,1269.486,"가앤슬_",L,28,88,140,-0.495,0.769,-0.487,1.582,-0.074,2.018,-36.508,35.569,47,53,0,0,"",-93.932,-94.261,0.306,0,0,2,"=","=","=","=","=","=","=","=","=",2,L,"-Alta-",190,86,0.499,,57,W,Y,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,1287.4,,1287.396,,,,,,,,,,,,,,,,,,,,,,,,0.078,-37.249,-0.076,-17.878,-19.588,-43.431,-1.484,-63.806,18.332,-41.11,14.596,-61.21,40.38,-96.481,0.541,-104.043,-42.471,-90.958,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1274.319,-0.453,-37.089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,1271.801,,0,""
