id,type,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,manual,sH,sV,gyro,plx,plz,bIdx,order1Name,order2Name,order3Name,order4Name,order5Name,order6Name,order7Name,order8Name,order9Name,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,bSwing,hSec,rotS,rotL,shS,lgS,prepS,gripPen,batSpd,ev,ldeg,sdeg,launchPosX,launchPosY,launchPosZ,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,ltSec,lx,lz,cSec,cPos,cx,cy,cz,1BSafe,tag,cpSec,bTo1Sec,bTo2Sec,bTo3Sec,bToHSec,r1To2Sec,r1To3Sec,r1ToHSec,r2To3Sec,r2ToHSec,r3ToHSec,r1LeaveSec,r2LeaveSec,r3LeaveSec,out1Sec,out1BatterIndex,out1PrevBase,out1Code,out1Ass,out2Sec,out2BatterIndex,out2PrevBase,out2Code,out2Ass,out3Sec,out3BatterIndex,out3PrevBase,out3Code,out3Ass,ball1Sec,ball1Pos,ball2Sec,ball2Pos,ball3Sec,ball3Pos,ballHSec,ballHPos,PitchPPosX,PitchPPosZ,PitchCPosX,PitchCPosZ,Pitch1BPosX,Pitch1BPosZ,Pitch2BPosX,Pitch2BPosZ,Pitch3BPosX,Pitch3BPosZ,PitchSSPosX,PitchSSPosZ,PitchLFPosX,PitchLFPosZ,PitchCFPosX,PitchCFPosZ,PitchRFPosX,PitchRFPosZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,PGetSec,PGetX,PGetZ,CGetSec,CGetX,CGetZ,1BGetSec,1BGetX,1BGetZ,2BGetSec,2BGetX,2BGetZ,3BGetSec,3BGetX,3BGetZ,SSGetSec,SSGetX,SSGetZ,LFGetSec,LFGetX,LFGetZ,CFGetSec,CFGetX,CFGetZ,RFGetSec,RFGetX,RFGetZ,PThrSec,PThrX,PThrZ,CThrSec,CThrX,CThrZ,1BThrSec,1BThrX,1BThrZ,2BThrSec,2BThrX,2BThrZ,3BThrSec,3BThrX,3BThrZ,SSThrSec,SSThrX,SSThrZ,LFThrSec,LFThrX,LFThrZ,CFThrSec,CFThrX,CFThrZ,RFThrSec,RFThrX,RFThrZ,errPosDelta,result,swPreDeg,swTargetDeg,swApproachDeg,swCorr,swSource,swProximity,swVRawDeg,swVAdjustedDeg,swVMotionDeg,swVClosestDeg,swVYShrink,swGeometryDeg,balk,cPlr,sb2Sec,sb3Sec,sbhSec,ass,remarks
1,,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1773.365,"쟈가리코",R,0,86,139,-1.27,-0.724,0.08,1.474,-0.556,1.157,-36.84,14.768,43,57,0,0,"",0,0,0,0,0,0,"-라후이-","Slaris","Ainy4／あいにゃ","なおｐ--","メリニット","Kenomo","낑깡__","즉석카레","아침땅_",1,R,"-라후이-",190,87,0.504,,86,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.067,-38.087,-0.077,-17.691,-20.941,-46.669,-16.822,-62.606,20.697,-46.815,13.865,-64.344,44.382,-92.803,-0.287,-114.31,-50.464,-99.641,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
2,,1,1,0,0,0,1,0,0,0,0,255,255,255,1,1789.344,"쟈가리코",R,10,84,111,-0.39,-2.13,0.144,1.308,-0.174,0.817,-36.84,23.221,45,55,0,1,"",0,400,15.598,-0.084,-19.502,0,"=","=","=","=","=","=","=","=","=",1,R,"-라후이-",190,87,0.504,,86,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,-38.109,-0.026,-17.688,-20.869,-46.411,-16.914,-62.69,20.197,-46.344,13.51,-64.619,44.263,-92.928,0.881,-116.977,-49.809,-98.908,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
3,,1,1,0,0,1,1,0,0,0,0,255,255,255,2,1805.406,"쟈가리코",R,10,75,104,0.96,-1.166,0.332,1.611,0.409,1.469,-36.84,20.264,48,52,0,1,"",0,400,3.595,0,0,0,"=","=","=","=","=","=","=","=","=",1,R,"-라후이-",190,87,0.504,,86,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.091,-38.073,-0.005,-17.694,-20.882,-46.396,-16.792,-62.423,19.96,-46.248,13.271,-64.798,44.226,-92.965,0.729,-114.884,-50.044,-98.907,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
4,,1,1,0,0,2,1,0,0,0,0,255,255,255,3,1822.682,"쟈가리코",R,26,88,140,-1.665,-1.078,0.02,1.31,-0.837,0.78,-36.84,22.829,42,58,0,1,"",79.045,-179.647,7.35,0,0,0,"=","=","=","=","=","=","=","=","=",1,R,"-라후이-",190,87,0.504,,86,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.056,-38.053,-0.028,-17.675,-20.831,-46.332,-16.68,-62.536,20.271,-45.832,12.866,-65.134,44.246,-92.91,-2.204,-116.941,-49.701,-98.548,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
5,,1,1,0,0,3,1,0,0,0,0,255,255,255,4,1851.505,"쟈가리코",R,26,83,135,1.07,0.228,0.298,1.612,0.458,1.57,-36.84,17.053,43,57,0,2,"",-0.299,-200,6.522,0,0,0,"=","=","=","=","=","=","=","=","=",1,R,"-라후이-",190,87,0.504,5,86,W,Y,1,1852.342,208,79,103,55,25,,145,96,47.23,-10.71,0.154,1.052,-19.722,-0.67,0,0.256,216.612,421.462,-278.294,,,,1847.634,5,8.178,2.684,-86.51,0,0,,1858.518,,,,,,,,,,,,,1858.244,0,,454,0,,,,,,,,,,,,,,,,,,,0.108,-38.106,-0.021,-17.713,-20.172,-46.243,-16.808,-62.472,19.455,-46.155,13.583,-64.579,44.354,-92.845,0.514,-116.429,-50.845,-99.655,0.083,-37.375,,"encounter v",-0.023,-17.712,,"Riyaj",-20.249,-46.043,,"muyang_",-16.812,-62.476,,"わだ、、",19.301,-46.222,,"shimenawa",13.537,-64.544,85,"_송글_",44.384,-92.788,,"ByeolBam",0.267,-117.745,,"ddil_ddil69",-50.855,-99.631,,1862.162,1.378,-42.652,,,,,,,,,,,,,1858.25,8.298,-86.59,,,,,,,,,,,,,,,,,,,,,,,,,1859.951,6.408,-81.772,,,,,,,,,,"",1,-10.358,-10.358,16.571,0,0,1,47.23,47.23,29.064,47.23,0,-84.696,0,"shimenawa",,,,9,""
6,,1,1,0,0,0,0,1,0,0,0,255,255,255,5,1880.349,"쟈가리코",R,26,81,132,1.587,0.24,0.333,1.615,0.621,1.578,-36.84,21.513,47,53,0,2,"",46.052,-193.361,4.77,0,0,1,"=","=","=","=","=","=","=","=","=",4,R,"Slaris",190,85.704,0.452,0,49,W,Y,1,1881.186,186,76,81,123,65,,145,104,59.815,11.166,0.293,1.129,-20.74,-0.4,0,0.142,374.585,133.409,155.032,1877.034,-15.847,-77.959,1877.184,3,-15.497,3.377,-76.661,0,0,,1886.867,,,,,,,,,,,,,1888.185,1,,452,0,,,,,,,,,,,,,,,,,,,0.043,-38.141,0.018,-17.751,-20.074,-45.052,-16.081,-62.919,20.433,-46.262,12.432,-65.704,47.65,-97.507,0.869,-111.021,-48.788,-96.996,0.113,-37.267,,"encounter v",0.021,-17.747,,"Riyaj",-19.524,-44.808,,"muyang_",-16.096,-62.896,105,"わだ、、",19.595,-46.217,,"shimenawa",13.355,-64.877,,"_송글_",47.565,-97.603,,"ByeolBam",0.791,-111.4,,"ddil_ddil69",-48.996,-97.043,,1891.729,-0.457,-39.252,,,,,,,1888.196,-15.742,-77.035,,,,,,,,,,,,,,,,,,,,,,,,,1889.973,-14.542,-73.783,,,,,,,,,,,,,,,,"",1,,,,,,,,,,,,,0,"muyang_",,,,129,""
7,,1,1,0,0,0,0,2,0,0,0,255,255,255,6,1910.031,"쟈가리코",R,3,67,96,-0.327,0.098,0.41,1.77,0.65,1.938,-36.84,37.538,61,39,0,0,"",-408.292,176.438,-1.179,0,0,2,"=","=","=","=","=","=","=","=","=",2,L,"Ainy4／あいにゃ",190,85,0.512,,49,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029,-38.145,-0.044,-17.657,-20.293,-45.745,-15.481,-63.652,21.422,-47.294,15.208,-64.006,56.712,-104.037,4.286,-111.437,-45.521,-94.232,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1915.035,-0.291,-37.857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
8,,1,1,0,0,0,1,2,0,0,0,255,255,255,7,1928.698,"쟈가리코",R,14,80,118,1.926,-0.411,0.285,1.695,0.395,1.839,-36.84,22.42,59,41,0,4,"",250.136,400,15.914,0,0,2,"=","=","=","=","=","=","=","=","=",2,L,"Ainy4／あいにゃ",190,85,0.512,,49,W,Y,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.061,-38.19,0.02,-17.726,-20.004,-45.571,-15.326,-63.482,21.031,-46.659,15.235,-64.146,56.812,-103.995,1.406,-112.832,-45.589,-94.235,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1932.514,0.037,-37.648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
9,,1,1,0,0,0,2,2,0,0,0,255,255,255,8,1949.358,"쟈가리코",R,29,82,133,-1.418,-0.625,0.147,1.533,-0.248,1.141,-36.84,20.871,51,49,0,4,"",-246.979,-200,50.921,-0.346,-21.335,2,"=","=","=","=","=","=","=","=","=",2,L,"Ainy4／あいにゃ",190,85,0.512,,49,W,Y,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,1952.019,2,,578,0,,,,,,,,,,,,,,,,,,,0.026,-38.072,-0.028,-17.739,-19.884,-45.563,-15.334,-63.457,21.442,-46.928,14.898,-64.188,56.771,-104.059,0.965,-112.831,-45.549,-94.161,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
10,,1,0,0,0,0,0,0,0,0,0,255,255,255,0,2112.406,"なおｐ--",R,27,92,140,4.985,0.364,0.634,1.684,2.02,1.737,-36.612,30.99,92,8,0,1,"",97.663,-116.758,0,0,0,0,"쟈가리코","ByeolBam","わだ、、","shimenawa","encounter v","_송글_","Riyaj","muyang_","ddil_ddil69",0,L,"쟈가리코",190,81.978,0.45,,71,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.108,-37.854,0.184,-17.844,-21.313,-48.618,-11.99,-65.62,22.132,-49.853,12.176,-64.55,54.109,-100.498,3.246,-117.152,-48.781,-99.041,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
