id,type,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,manual,sH,sV,gyro,plx,plz,bIdx,order1Name,order2Name,order3Name,order4Name,order5Name,order6Name,order7Name,order8Name,order9Name,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,bSwing,hSec,rotS,rotL,shS,lgS,prepS,gripPen,batSpd,ev,ldeg,sdeg,launchPosX,launchPosY,launchPosZ,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,ltSec,lx,lz,cSec,cPos,cx,cy,cz,1BSafe,tag,cpSec,bTo1Sec,bTo2Sec,bTo3Sec,bToHSec,r1To2Sec,r1To3Sec,r1ToHSec,r2To3Sec,r2ToHSec,r3ToHSec,r1LeaveSec,r2LeaveSec,r3LeaveSec,out1Sec,out1BatterIndex,out1PrevBase,out1Code,out1Ass,out2Sec,out2BatterIndex,out2PrevBase,out2Code,out2Ass,out3Sec,out3BatterIndex,out3PrevBase,out3Code,out3Ass,ball1Sec,ball1Pos,ball2Sec,ball2Pos,ball3Sec,ball3Pos,ballHSec,ballHPos,PitchPPosX,PitchPPosZ,PitchCPosX,PitchCPosZ,Pitch1BPosX,Pitch1BPosZ,Pitch2BPosX,Pitch2BPosZ,Pitch3BPosX,Pitch3BPosZ,PitchSSPosX,PitchSSPosZ,PitchLFPosX,PitchLFPosZ,PitchCFPosX,PitchCFPosZ,PitchRFPosX,PitchRFPosZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,PGetSec,PGetX,PGetZ,CGetSec,CGetX,CGetZ,1BGetSec,1BGetX,1BGetZ,2BGetSec,2BGetX,2BGetZ,3BGetSec,3BGetX,3BGetZ,SSGetSec,SSGetX,SSGetZ,LFGetSec,LFGetX,LFGetZ,CFGetSec,CFGetX,CFGetZ,RFGetSec,RFGetX,RFGetZ,PThrSec,PThrX,PThrZ,CThrSec,CThrX,CThrZ,1BThrSec,1BThrX,1BThrZ,2BThrSec,2BThrX,2BThrZ,3BThrSec,3BThrX,3BThrZ,SSThrSec,SSThrX,SSThrZ,LFThrSec,LFThrX,LFThrZ,CFThrSec,CFThrX,CFThrZ,RFThrSec,RFThrX,RFThrZ,errPosDelta,result,swPreDeg,swTargetDeg,swApproachDeg,swCorr,swSource,swProximity,swVRawDeg,swVAdjustedDeg,swVMotionDeg,swVClosestDeg,swVYShrink,swGeometryDeg,balk,cPlr,sb2Sec,sb3Sec,sbhSec,ass,remarks
1,,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1776.895,"ddil_ddil69",R,13,66,107,0.617,-0.438,0.405,1.978,0.816,1.799,-36.295,40.726,100,0,0,0,"",-359.432,336.842,12.495,0,0,0,"わかなで","ゆっち一","MODECO","_Chun","「론구」","まととまと","Mr․D VRC","檸檬の残骸","3Ducks",3,L,"わかなで",160,80,0.2,,117,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.082,-37.046,0.147,-17.755,-17.817,-44.566,-9.23,-54.324,16.925,-43.156,14.197,-63.921,41.355,-85.179,0.369,-108.945,-43.834,-96.939,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
2,,1,1,0,0,0,1,0,0,0,0,255,255,255,1,1795.309,"ddil_ddil69",R,13,61,104,-2.306,-0.629,0.167,1.983,-0.155,1.987,-36.295,24.762,100,0,0,2,"",-332.831,355.067,32.521,0,0,0,"=","=","=","=","=","=","=","=","=",3,L,"わかなで",160,80,0.2,5,117,W,Y,1,1796.566,245,255,92,96,61,,145,122,-30,73.635,-0.305,0.862,-21.124,0.71,0,0.382,91.995,-268.298,403.246,1796.781,-1.627,-21.515,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.188,-36.999,-0.196,-17.864,-17.5,-44.409,-8.655,-56.317,16.254,-43.127,12.706,-63.525,41.451,-85.046,0.875,-107.994,-43.037,-95.726,0.04,-36.795,,"DoYaGee",-0.243,-17.876,,"쟈가리코",-17.351,-44.256,,"encounter v",-8.63,-56.28,,"わだ、、",16.442,-42.705,,"shimenawa",14.295,-62.784,,"_송글_",41.472,-85.048,,"ByeolBam",0.871,-107.985,,"유미입니당",-43,-95.682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",3,97.727,77.726,35.108,1,1,0.885,-56.931,-40.839,-29.535,-85.021,0.053,121.236,0,"",,,,0,""
3,,1,1,0,0,0,2,0,0,0,0,255,255,255,2,1812.226,"ddil_ddil69",R,29,79,129,-0.316,2.942,0.247,2.323,0.216,3.367,-36.295,51.986,81,19,0,1,"",-250,200,2.25,0,0,0,"=","=","=","=","=","=","=","=","=",3,L,"わかなで",160,80,0.2,,115,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.186,-36.985,-0.038,-17.728,-19.434,-44.758,-10.138,-57.528,17.827,-43.425,13.509,-63.478,38.267,-83.099,-0.613,-107.086,-41.148,-94.606,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
4,,1,1,0,0,1,2,0,0,0,0,255,255,255,3,1827.261,"ddil_ddil69",R,10,59,105,-1.817,-2.97,0.047,1.695,-0.792,0.784,-36.295,10.016,58,42,0,1,"",0,400,14.547,0,0,0,"=","=","=","=","=","=","=","=","=",3,L,"わかなで",160,80,0.2,,115,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.176,-36.955,-0.134,-17.792,-18.808,-44.674,-9.441,-57.273,17.074,-42.348,13.211,-63.739,38.358,-83.133,-0.578,-107.092,-41.22,-94.628,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
5,,1,1,0,0,2,2,0,0,0,0,255,255,255,4,1845.616,"ddil_ddil69",R,26,71,123,1.431,-0.906,0.325,1.697,0.58,0.89,-36.295,20.602,55,45,0,2,"",21.632,-185.103,3.834,0,0,0,"=","=","=","=","=","=","=","=","=",3,L,"わかなで",160,80,0.2,5,115,W,Y,1,1846.904,255,157,71,52,17,,139,112,-30,-18.563,0.263,0.543,-19.688,0.82,0,0.29,-521.194,-20.099,178.209,1847.093,0.529,-20.479,1849.023,5,12.779,1.568,-56.844,0,0,,1851.535,,,,,,,,,,,,,1851.31,0,,147,16,,,,,,,,,,,,,,,,,,,-0.036,-36.842,0.161,-17.718,-18.053,-43.926,-8.546,-56.959,16.63,-43.315,13.401,-63.721,38.352,-83.044,-0.555,-108.035,-41.23,-94.591,0.301,-36.66,,"DoYaGee",0.128,-17.871,,"쟈가리코",-17.672,-43.836,85,"encounter v",-8.516,-56.853,,"わだ、、",16.414,-43.424,,"shimenawa",13.714,-63.694,107,"_송글_",38.326,-83.073,,"ByeolBam",-0.407,-108.504,,"유미입니당",-41.239,-94.597,,1854.69,-0.821,-38.446,,,,1850.752,-17.746,-40.157,,,,,,,1848.868,13.036,-57.674,,,,,,,,,,,,,,,,1853.673,-16.955,-40.072,,,,,,,1849.329,10.533,-56.017,,,,,,,,,,"",2,-18.441,-18.441,-5.901,0,1,0.524,-67.114,-53.113,-9.593,-86.17,0.069,-27.861,0,"shimenawa",,,,145,""
6,,1,1,0,0,0,0,1,0,0,0,255,255,255,5,1869.776,"ddil_ddil69",R,10,70,112,-1.408,-1.241,0.067,1.79,-0.617,1.293,-36.295,13.681,57,43,0,1,"",1.456,400,12.496,0,0,1,"=","=","=","=","=","=","=","=","=",8,L,"ゆっち一",181.2,84,0.401,,114,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.184,-36.864,-0.126,-17.544,-21.856,-49.553,-9.627,-59.744,19.576,-46.434,14.164,-64.203,57.435,-101.598,0.148,-115.434,-44.148,-96.306,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1874.5,-0.083,-37.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
7,,1,1,0,0,1,0,1,0,0,0,255,255,255,6,1887.078,"ddil_ddil69",R,13,69,109,-3.485,-0.927,0.02,1.848,-0.837,1.49,-36.295,3.269,59,41,0,1,"",-375.127,326.628,24.374,0,0,1,"=","=","=","=","=","=","=","=","=",8,L,"ゆっち一",181.2,84,0.401,,114,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.085,-36.9,-0.261,-17.645,-20.849,-49.367,-10.216,-61.17,19.635,-47.329,14.051,-64.233,56.508,-100.67,0.448,-114.921,-43.783,-97.641,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1891.018,-0.115,-37.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
8,,1,1,0,0,2,0,1,0,0,0,255,255,255,7,1904.558,"ddil_ddil69",R,26,81,131,1.272,-1.159,0.331,1.619,0.608,0.714,-36.295,26.778,56,44,0,1,"",-45.563,-200,21.794,0,0,1,"=","=","=","=","=","=","=","=","=",8,L,"ゆっち一",181.2,84,0.401,,114,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.108,-36.843,0.139,-17.571,-20.858,-49.344,-10.486,-62.251,19.369,-46.785,14.087,-64.428,56.561,-100.587,-0.045,-114.897,-43.911,-97.606,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,1909.035,0.045,-37.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
9,,1,1,0,0,3,0,1,0,0,0,255,255,255,8,1922.224,"ddil_ddil69",R,29,71,123,-1.911,-0.408,0.101,1.715,-0.463,1.15,-36.295,22.509,59,41,0,2,"",-250,-200,41.414,0,0,1,"=","=","=","=","=","=","=","=","=",8,L,"ゆっち一",181.2,84,0.401,5,114,W,Y,1,1923.426,255,106,101,76,62,,145,116,113.634,1.444,-0.351,0.835,-20.468,0.14,0,0.389,520.185,-215.089,-207.712,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.246,-36.925,-0.091,-17.481,-20.33,-49.596,-10.743,-65.912,19.642,-47.179,14.097,-64.326,56.667,-100.448,-0.016,-115.549,-43.872,-97.617,0.128,-36.552,,"DoYaGee",-0.114,-17.507,,"쟈가리코",-20.221,-49.468,,"encounter v",-10.676,-65.701,,"わだ、、",19.697,-46.743,,"shimenawa",14.042,-64.238,,"_송글_",56.536,-100.596,,"ByeolBam",-0.008,-115.529,,"유미입니당",-43.863,-97.631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",3,4.437,4.437,-4.371,0,2,0.263,74.92,66.366,34.897,74.312,0.069,49.514,0,"",,,,0,""
10,,1,1,0,0,3,1,1,0,0,0,255,255,255,9,1941.833,"ddil_ddil69",R,26,80,130,-0.321,0.263,0.146,1.838,-0.061,1.563,-36.295,24.123,55,45,0,2,"",-58.619,-200,12.134,0,0,1,"=","=","=","=","=","=","=","=","=",8,L,"ゆっち一",181.2,84,0.401,5,114,W,Y,1,1943.015,255,116,109,70,32,,145,115,27.095,-26.46,-0.067,1.035,-20.009,0.13,0,0.336,578.324,-142.065,73.202,1948.702,49.944,-111.134,1948.873,6,48.333,2.559,-108.327,0,0,,1948.576,,,,,,,,,,,,,1948.658,1,,455,0,,,,,,,,,,,,,,,,,,,-0.252,-36.897,-0.082,-17.598,-21.043,-49.392,-10.852,-65.151,20.094,-46.816,13.29,-64.375,56.892,-100.647,-1.583,-116.636,-44.109,-96.358,0.149,-36.557,,"DoYaGee",-0.11,-17.631,,"쟈가리코",-20.738,-49.325,,"encounter v",-10.948,-64.986,,"わだ、、",19.991,-46.753,,"shimenawa",13.771,-64.229,96,"_송글_",56.898,-100.648,92,"ByeolBam",-1.623,-119.011,,"유미입니당",-44.112,-96.367,,1954.806,0.597,-38.503,,,,,,,,,,,,,1952.281,13.646,-72.141,1948.667,48.677,-109.033,,,,,,,,,,,,,,,,,,,,,,1953.22,11.153,-68.815,1950.132,43.625,-101.502,,,,,,,"",1,-25.514,-25.514,-15.594,0,1,0.468,79.54,45.714,7.714,89.318,0.071,-12.934,0,"_송글_",,,,176,""
