id,inn,half,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bName,bHCm,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,result,scoreA,scoreB,hMoveX,hMoveY,tag
1,1,1,0,0,0,0,0,0,255,255,255,0,391.187,-라후이-,3,115,0.503,0.848,0,-315.207,83.96,-0.625,-10.62,0,0,2,D_arling,190,0,0,0,0,0,0,0,0,0,0,-0.53,-38.194,3.1,-15.861,-23.809,-49.15,-12.162,-64.667,18.672,-45.168,16.49,-62.748,38.802,-81.855,13.508,-17.007,-36.59,-85.157,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,1,1,0,0,0,0,0,0,255,255,255,1,417.596,-라후이-,0,140,0.882,1.094,4,-51.012,-159.693,0.574,-17.674,1,0,2,D_arling,190,67,0,0,0,0,0,0,0,0,0,0.23,-36.815,-0.065,-17.283,-23.839,-48.809,-11.961,-64.754,18.523,-46.699,16.739,-62.566,46.461,-81.22,5.312,-10.822,-38.247,-83.595,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
3,1,1,0,1,0,0,0,0,255,255,255,2,437.437,-라후이-,0,140,-1.603,1.097,1,-45.991,-172.134,0,0,0,0,2,D_arling,190,67,0,0,0,0,0,0,0,0,0,-0.263,-36.998,-0.347,-17.359,-24.132,-49.642,-11.719,-64.823,19.045,-47.444,17.611,-62.25,48.047,-75.455,5.342,-10.806,-38.467,-83.556,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
4,1,1,1,1,0,0,0,0,255,255,255,3,453.978,-라후이-,10,121,0.454,-1.238,2,0,400,0,0,1,0,2,D_arling,190,67,454.847,147,236,0,145,97,-5.242,11.238,0.906,-0.005,-36.571,0.146,-17.445,-24.517,-49.753,-12.105,-64.858,18.691,-47.34,17.615,-62.154,48.162,-77.109,5.335,-10.84,-38.272,-83.62,464.38,-16.57,-133.385,464.38,-1,AI,-16.641,-133.396,1,0,0,0,0,0,0
5,1,1,0,0,0,0,1,0,255,2,255,4,501.11,-라후이-,0,126,-0.919,0.8,0,-250,-106.08,-0.73,-17.622,0,1,1,IllilliIIIIllil,174.5,66,0,0,0,0,0,0,0,0,0,0.107,-37.151,-0.133,-17.195,-21.943,-47.143,-12.429,-65.18,23.829,-48.235,12.078,-61.98,46.64,-85.665,-8.552,-6.033,-37.163,-80.1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
6,1,1,0,1,0,0,1,0,255,2,255,5,520.734,-라후이-,6,119,1.689,0.31,1,500,0,1.509,-9.171,0,1,1,IllilliIIIIllil,174.5,66,0,0,0,0,0,0,0,0,0,0.209,-37.212,0.565,-15.932,-21.727,-47.469,-12.766,-64.927,23.621,-48.207,8.812,-60.875,51.894,-91.565,3.173,-11.027,-40.272,-84.604,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
7,1,1,1,1,0,0,1,0,255,2,255,6,535.268,-라후이-,6,119,-0.147,0.206,2,471.666,0,1.509,-9.171,1,1,1,IllilliIIIIllil,174.5,66,536.437,96,140,186,152,92,37.814,-8.041,-0.097,0.032,-36.82,0.143,-17.39,-22.153,-47.771,-12.77,-64.981,23.406,-48.409,9.879,-61.94,50.534,-85.075,5.428,-10.273,-35.969,-87.536,541.53,15.037,-89.834,545.43,5,Multeinn,1.198,-61.933,0,1,0,0,0,0,0
8,1,1,0,0,1,0,1,0,255,2,255,7,575.448,-라후이-,0,139,1,0.824,0,-6.669,-126.535,0,0,1,2,3,Penguin_iDOL,179.5,65,0,0,0,0,0,0,0,0,0,0.096,-37.263,0.579,-17.648,-22.277,-47.287,-13.102,-63.874,19.539,-49.028,6.719,-61.104,32.207,-87.987,-11.881,-17.178,-42.131,-88.461,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
9,1,1,0,1,1,0,1,0,255,2,255,8,593.797,-라후이-,0,140,1.12,0.609,2,-21.269,-146.012,0,0,1,2,3,Penguin_iDOL,179.5,65,594.867,103,162,77,152,60,40.531,27.227,-0.485,0.024,-36.692,0.154,-17.277,-22.767,-47.806,-13.118,-63.925,19.568,-48.974,7.049,-61.967,28.992,-88.037,5.607,-10.815,-42.229,-88.451,0,0,0,599.264,3,아침땅_,-18.429,-56.634,0,1,0,0,0,0,0
10,1,1,0,0,2,0,1,0,255,2,255,9,671.937,-라후이-,6,113,-0.667,0.52,2,489.217,0,0,0,1,3,7,encounter v,185.1,64,673.064,109,188,8,143,130,-87.904,-68.393,0.609,-0.038,-36.823,0.021,-17.422,-22.155,-48.069,-3.923,-63.697,23.748,-49.999,12.932,-60.766,34.677,-85.56,-0.99,-20.022,-40.538,-83.475,673.014,-0.049,-20.58,678.163,1,NABIMan,11.332,-25.016,0,2,0,0,0,0,0
11,1,1,0,1,2,0,1,0,255,2,255,10,740.594,-라후이-,0,140,-0.545,0.545,2,-4.64,-125.569,0,0,1,3,7,encounter v,185.1,46,741.633,77,126,6,106,63,30.827,7.99,-0.392,0.119,-36.883,0.018,-17.237,-22.881,-48.535,-9.576,-63.895,20.571,-44.872,14.632,-62.5,35.952,-80.761,-0.911,-20.065,-44.249,-88.096,745.547,-7.275,-64.481,745.847,2,-Alta-,-7.06,-63.119,0,1,0,0,0,0,0
12,1,0,0,0,0,0,0,0,255,255,255,0,896.171,Riyaj,13,109,-0.371,-0.121,0,-343.52,360.304,0,0,0,0,8,ʚmingɞ,177,63,0,0,0,0,0,0,0,0,0,-0.278,-36.946,-0.14,-17.192,-19.908,-45.806,-12.194,-62.714,20.426,-49.336,14.934,-63.846,42.075,-89.071,-11.68,-106.167,11.955,-17.18,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
13,1,0,0,1,0,0,0,0,255,255,255,1,911.993,Riyaj,3,112,2.445,0.919,1,-453.319,4.775,-0.098,-10.306,0,0,8,ʚmingɞ,177,63,0,0,0,0,0,0,0,0,0,0.225,-37.218,0.128,-17.208,-19.922,-45.788,-12.147,-62.571,20.024,-49.019,14.944,-63.814,42.041,-89.026,-11.903,-107.262,12.25,-17.395,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
14,1,0,1,1,0,0,0,0,255,255,255,2,926.546,Riyaj,0,140,0.14,-1.105,1,135.589,-179.627,0.459,-17.693,0,0,8,ʚmingɞ,177,63,0,0,0,0,0,0,0,0,0,-0.066,-37.064,-0.058,-17.18,-19.908,-45.8,-12.193,-62.669,20.11,-48.98,15.006,-63.777,42.036,-89.036,-11.885,-105.645,12.419,-17.33,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
15,1,0,2,1,0,0,0,0,255,255,255,3,942.032,Riyaj,1,87,2.606,-1.068,4,0,0,0.986,-18.183,1,0,8,ʚmingɞ,177,63,0,0,0,0,0,0,0,0,0,-0.282,-37.264,0.196,-17.366,-20.474,-45.644,-12.18,-62.633,20.138,-48.992,14.069,-63.231,42.048,-89.032,-9.787,-103.617,9.353,-11.746,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
16,1,0,2,2,0,0,0,0,255,255,255,4,960.63,Riyaj,0,139,0.124,0.53,0,33.616,-119.409,0.084,-9.274,0,0,8,ʚmingɞ,177,63,0,0,0,0,0,0,0,0,0,-0.069,-37.005,-0.028,-17.028,-20.671,-46.088,-12.171,-62.584,20.165,-48.981,13.445,-62.51,42.062,-89.034,-11.189,-104.283,9.387,-11.659,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
17,1,0,0,0,1,0,0,0,255,255,255,5,1004.821,Riyaj,13,112,0.449,-0.081,0,-332.303,373.597,0.151,-17.52,0,1,3,아침땅_,175.3,62,0,0,0,0,0,0,0,0,0,0.154,-36.919,-0.062,-17.111,-20.725,-46.904,-11.781,-60.176,20.095,-49.038,11.995,-64.051,42.236,-89.051,-13.122,-104.463,5.923,-10.572,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
18,1,0,0,1,1,0,0,0,255,255,255,6,1021.233,Riyaj,10,125,-1.372,-0.591,4,-3.236,400,-0.37,-18.019,1,1,3,아침땅_,175.3,62,0,0,0,0,0,0,0,0,0,-0.051,-37.145,-0.287,-17.144,-20.732,-46.974,-11.864,-60.433,20.084,-48.995,12.156,-63.994,42.213,-89.04,-12.629,-105.032,5.77,-10.647,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
