id,inn,half,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bName,bHCm,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,result,scoreA,scoreB,hMoveX,hMoveY,tag
1,1,1,0,0,0,0,0,0,255,255,255,0,454.496,Apple_Sherbet,13,93,1.067,0.259,0,-330.095,312.348,0,0,0,0,5,아침땅_,175.3,38,0,0,0,0,0,0,0,0,0,0.157,-37.277,0.061,-17.606,-21.032,-49.582,-7.469,-64.552,19.626,-54.001,12.506,-63.866,0.944,-19.912,0.944,-19.912,0.944,-19.912,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,1,1,0,1,0,0,0,0,255,255,255,1,472.031,Apple_Sherbet,0,160,1.173,0.747,2,250,-200,0,0,1,0,5,아침땅_,175.3,38,472.901,91,41,3,16,51,17.052,44.027,-0.634,-0.288,-36.972,0.059,-17.453,-20.848,-48.933,-7.435,-64.59,20.785,-53.104,12.288,-64.135,0.796,-19.903,0.796,-19.903,0.796,-19.903,474.649,-14.061,-33.97,475.924,2,눈꽃,-20.883,-42.67,0,2,0,0,0,0,0
3,1,1,0,0,1,0,0,0,255,255,255,2,507.955,Apple_Sherbet,0,157,1.557,0.932,2,250,-200,0,0,1,1,1,Dοpi,190,67,508.644,101,100,0,135,67,48.352,-18.411,-0.908,-0.167,-36.81,-0.016,-17.502,-21.281,-49.44,-8.921,-62.869,18.809,-53.666,16.479,-63.279,-17.697,-22.614,-17.697,-22.614,-17.697,-22.614,0,0,0,513.564,5,ke ro,13.127,-58.089,0,1,0,0,0,0,0
4,1,1,0,0,2,0,0,0,255,255,255,3,536.887,Apple_Sherbet,13,105,-1.37,-0.702,2,-372.687,312.348,0,0,1,2,2,Riyaj,190,67,537.88,111,39,255,28,34,-32.253,30.915,0.936,-0.2,-36.813,-0.655,-17.254,-20.741,-51.269,-8.211,-65.478,20.942,-52.036,12.809,-64.801,-13.9,-20.419,-13.9,-20.419,-13.9,-20.419,538.171,-0.966,-22.352,542.621,0,Apple_Sherbet,-13.582,-39.918,0,2,0,0,0,0,0
5,1,0,0,0,0,0,0,0,255,255,255,0,743.917,_이누_,3,117,-0.649,-0.157,2,-393.871,0,0,0,1,0,3,D_arling,160,65,744.862,131,105,45,145,110,-25.572,26.142,0.1,-0.258,-37.049,-0.16,-17.522,-22.676,-48.788,-13.984,-59.865,22.663,-54.75,10.583,-63.874,10.583,-63.874,10.583,-63.874,-13.984,-59.865,745.046,-0.966,-22.263,746.838,3,Roscosmos,-17.746,-56.03,0,2,0,0,0,0,0
6,1,0,0,0,1,0,0,0,255,255,255,1,774.358,_이누_,3,118,0.134,0.387,0,-283.811,0,0,0,1,1,1,NABIMan,190,65,0,0,0,0,0,0,0,0,0,-0.457,-36.987,-0.155,-17.475,-20.465,-44.85,-13.026,-57.735,20.493,-50.911,10.23,-63.829,10.23,-63.829,10.23,-63.829,-13.026,-57.735,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
7,1,0,0,1,1,0,0,0,255,255,255,2,793.646,_이누_,0,152,-0.121,-0.736,2,0,0,0,0,1,1,1,NABIMan,190,65,794.516,122,159,127,157,67,-17.536,-37.557,-0.946,-0.392,-36.842,-0.016,-17.408,-20.565,-44.786,-11.637,-58.699,20.463,-51.027,10.259,-63.771,10.259,-63.771,10.259,-63.771,-11.637,-58.699,794.661,1.654,-21.2,796.836,4,Kr_Luna,19.247,-44.431,0,2,0,0,0,0,0
8,1,0,0,0,2,0,0,0,255,255,255,3,826.271,_이누_,0,145,-2.144,-0.281,1,0,0,0,0,0,2,4,IllilliIIIIllil,174.5,64,0,0,0,0,0,0,0,0,0,-0.608,-36.911,-0.623,-17.513,-21.472,-47.866,-14.165,-60.007,20.498,-52.432,9.926,-64.345,9.926,-64.345,9.926,-64.345,-14.165,-60.007,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
9,1,0,1,0,2,0,0,0,255,255,255,4,844.516,_이누_,14,103,1.098,-1.107,4,334.414,349.929,0.607,-17.949,1,2,4,IllilliIIIIllil,174.5,64,0,0,0,0,0,0,0,0,0,-0.333,-37.47,0.078,-17.493,-21.498,-47.503,-12.454,-58.361,20.488,-52.198,10.088,-64.786,10.088,-64.786,10.088,-64.786,-12.454,-58.361,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
10,1,0,1,1,2,0,0,0,255,255,255,5,864.423,_이누_,0,157,-1.134,-1.376,1,0,0,-0.33,-15.122,0,2,4,IllilliIIIIllil,174.5,64,0,0,0,0,0,0,0,0,0,-0.31,-37.412,-0.275,-17.679,-21.528,-47.437,-12.089,-59.344,20.234,-52.712,9.963,-64.604,9.963,-64.604,9.963,-64.604,-12.089,-59.344,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
11,1,0,2,1,2,0,0,0,255,255,255,6,884.811,_이누_,0,150,-0.677,-0.799,2,0,0,0,0,1,2,4,IllilliIIIIllil,174.5,64,885.708,121,147,9,143,64,20.372,23.135,-0.51,-0.358,-36.962,-0.191,-17.55,-21.418,-47.56,-12.645,-60.943,20.223,-52.812,10.017,-64.558,10.017,-64.558,10.017,-64.558,-12.645,-60.943,888.416,-14.902,-54.893,888.574,3,Roscosmos,-14.145,-53.112,0,1,0,0,0,0,0
12,2,1,0,0,0,0,0,0,255,255,255,4,922.751,Apple_Sherbet,0,160,-2.924,-1.378,1,-250,-200,-0.987,-17.17,0,3,3,Roscosmos,174.9,58,0,0,0,0,0,0,0,0,0,0.22,-37.086,-1.083,-17.35,-22.099,-49.641,-9.964,-66.103,20.174,-48.53,12.416,-65.008,-18.21,-23.005,-18.21,-23.005,-18.21,-23.005,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
13,2,1,1,0,0,0,0,0,255,255,255,5,942.738,Apple_Sherbet,10,95,0.51,-0.201,2,20.364,400,0,0,1,3,3,Roscosmos,174.9,58,943.694,107,157,43,147,64,36.016,35.948,-0.61,-0.202,-36.784,-0.244,-17.262,-21.45,-50.268,-9.995,-66.153,21.267,-49.613,12.398,-64.962,-18.295,-22.95,-18.295,-22.95,-18.295,-22.95,0,0,0,947.705,2,눈꽃,-25.458,-55.31,0,1,0,0,0,0,0
