id,inn,half,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bName,bHCm,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,result,scoreA,scoreB,hMoveX,hMoveY,tag
1,1,1,0,0,0,0,0,0,255,255,255,0,573.072,encounter v,0,136,-1.303,0.322,2,120.519,-3.753,0,0,1,0,9,-Alta-,180.4,47,574.12,94,113,0,135,65,31.39,9.568,-0.705,-0.388,-36.763,0.006,-17.408,-17.949,-46.178,-9.6,-65.166,22.406,-48.687,14.828,-63.934,43.537,-82.876,11.327,-103.305,-38.535,-86.843,0,0,0,541.817,3,Slaris,-7.88,-65.462,0,1,0,0,0,0,0
2,1,1,0,0,1,0,0,0,255,255,255,1,610.024,encounter v,3,118,-6.205,0.065,1,-436.736,0,0,0,0,1,4,Dοpi,190,47,0,0,0,0,0,0,0,0,0,-0.078,-37.32,-0.439,-17.3,-20.249,-48.914,-11.886,-65.161,22.429,-48.708,13.893,-64.367,44.422,-87.915,-0.284,-100.772,-48.561,-84.408,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
3,1,1,1,0,1,0,0,0,255,255,255,2,625.445,encounter v,5,107,3.294,-0.101,1,-134.218,0,0.5,-10.871,0,1,4,Dοpi,190,47,0,0,0,0,0,0,0,0,0,0.336,-37.467,0.287,-16.905,-19.162,-47.377,-12.394,-65.473,22.479,-48.747,13.891,-64.4,44.403,-87.933,0.51,-102.984,-44.475,-88.147,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
4,1,1,2,0,1,0,0,0,255,255,255,3,644.585,encounter v,0,138,2.21,0.745,4,95.823,9.267,0,0,1,1,4,Dοpi,190,47,0,0,0,0,0,0,0,0,0,0.184,-37.501,0.031,-17.226,-19.457,-46.433,-12.487,-65.451,22.517,-48.737,14.066,-64.181,44.277,-87.68,0.985,-108.014,-44.477,-87.233,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
5,1,1,2,1,1,0,0,0,255,255,255,4,660.624,encounter v,10,95,0.282,0.121,0,0,400,0,0,0,1,4,Dοpi,190,47,0,0,0,0,0,0,0,0,0,-0.067,-37.577,0.029,-17.185,-19.279,-46.082,-12.429,-65.464,22.543,-48.764,14.091,-64.214,44.126,-87.768,-0.743,-108.487,-44.13,-88.016,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
6,1,1,2,2,1,0,0,0,255,255,255,5,675.467,encounter v,10,117,0.411,-2.03,4,0,400,0,0,1,1,4,Dοpi,190,47,0,0,0,0,0,0,0,0,0,-0.168,-37.429,0.043,-17.269,-19.437,-45.776,-12.159,-65.542,22.516,-48.751,14.094,-64.186,44.88,-87.802,-0.356,-108.439,-44.527,-88.222,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
7,1,1,0,0,2,0,0,0,255,255,255,6,706.878,encounter v,0,132,-1.438,0.629,2,105.957,2.032,0,0,1,2,2,하루（Haru）,190,39,707.859,127,125,43,146,67,-24.909,-37.945,-1,-0.201,-37.999,0.021,-17.267,-17.151,-47.662,-11.964,-65.375,23.069,-49.201,15.662,-65.486,46.378,-80.59,10.915,-103.628,-46.135,-88.538,662.659,1.707,-21.849,662.659,4,なおｐ--,18.702,-43.443,0,2,0,0,0,0,0
8,1,0,0,0,0,0,0,0,255,255,255,0,840.277,_Chun,10,87,0.059,0.896,2,0,400,0,0,0,0,6,ゆっち一,179.6,46,841.539,115,137,72,150,130,-68.141,-18.945,0.542,0.082,-36.764,-0.008,-16.824,-19.432,-46.387,-14.415,-64.387,19.375,-46.942,15.128,-63.964,44.086,-97.314,-2.194,-115.086,-41.565,-91.65,787.134,0.183,-20.951,791.267,5,coder_,13.166,-58.999,1,2,0,0,0,0,0
9,1,0,0,0,0,1,0,0,15,255,255,1,947.502,_Chun,6,112,-1.554,-0.614,2,-500,0,0,0,1,1,1,Kr_Luna,190,46,948.343,117,123,46,146,130,-61.936,47.442,0.274,0.16,-36.84,-0.101,-16.796,-18.942,-40.418,-12.138,-61.718,20.066,-46.766,12.589,-65.157,45.345,-96.686,-3.97,-113.341,-39.847,-95.574,893.9,-0.711,-20.909,0,0,,0,0,0,3,0,0,0,0,0
10,1,0,0,1,0,1,0,0,15,255,255,2,966.826,_Chun,13,113,0.283,-0.518,0,260.468,400,0,0,1,1,1,Kr_Luna,190,79,0,0,0,0,0,0,0,0,0,0.115,-37.597,0.128,-16.982,-17.646,-42.132,-7.218,-58.918,22.445,-49.483,13.125,-64.182,43.429,-96.954,2.878,-113.459,-41.334,-94.197,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
