id,inn,half,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bName,bHCm,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,result,scoreA,scoreB,hMoveX,hMoveY,tag
1,2,1,0,0,0,0,0,0,255,255,255,0,204.171,_Chun,0,139,-1.012,1.263,1,-80.714,-86.333,0,0,0,4,5,Pugeuk,160,54,0,0,0,0,0,0,0,0,0,0.022,-37.288,0.065,-16.945,-19.649,-48.002,-13.068,-62.887,21.932,-47.67,10.648,-64.3,35.7,-81.8,1.053,-110.291,-50.855,-90.586,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,2,1,1,0,0,0,0,0,255,255,255,1,220.08,_Chun,6,89,0.795,0.311,0,-400.028,0,0,0,1,4,5,Pugeuk,160,54,0,0,0,0,0,0,0,0,0,0.195,-37.561,0,-16.823,-19.349,-45.987,-13.033,-62.93,21.315,-46.892,10.747,-64.848,35.7,-81.8,1.027,-110.538,-50.839,-90.59,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
3,2,1,1,1,0,0,0,0,255,255,255,2,236.736,_Chun,3,121,0.375,0.288,2,440.9,0,0,0,1,4,5,Pugeuk,160,54,237.732,68,102,34,80,62,-53.738,37.213,0.001,0.255,-36.548,0.136,-17.185,-19.889,-47.3,-13.023,-62.951,22.088,-47.722,10.728,-64.708,35.7,-81.8,0.946,-110.508,-50.859,-90.646,237.144,-0.398,-20.895,239.835,2,눈꽃,-14.434,-40.168,0,2,0,0,-0.03,-0.123,0
4,2,1,0,0,1,0,0,0,255,255,255,3,266.745,_Chun,6,114,0.131,1.772,4,-442.332,0,0,0,1,5,0,TaeGeuk_,177.3,54,0,0,0,0,0,0,0,0,0,-0.226,-37.504,-0.026,-17.204,-20.145,-49.387,-11.904,-65.282,21.109,-47.582,10.437,-65.473,35.7,-81.8,-9.243,-110.825,-56.391,-95.135,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
5,2,1,0,1,1,0,0,0,255,255,255,4,284.062,_Chun,10,113,0.466,0.636,0,0,400,0,0,0,5,0,TaeGeuk_,177.3,54,0,0,0,0,0,0,0,0,0,0.061,-37.325,0.094,-17.322,-20.066,-49.129,-11.917,-65.293,21.916,-49.831,11.26,-65.106,35.7,-81.8,-9.315,-110.877,-56.297,-95.303,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
6,2,1,0,2,1,0,0,0,255,255,255,5,301.738,_Chun,0,140,-0.763,-2.005,1,-68.051,-82.274,-0.192,-17.585,0,5,0,TaeGeuk_,177.3,41,0,0,0,0,0,0,0,0,0,0.07,-37.208,-0.097,-17.912,-19.741,-48.511,-12.161,-64.67,22.176,-48.384,10.395,-65.343,35.7,-81.8,-9.374,-110.855,-51.343,-89.526,0,0,0,0,0,,0,0,0,0,0,0,0,0,32
7,2,1,1,2,1,0,0,0,255,255,255,6,319.924,_Chun,10,103,1.852,-2.697,2,0,400,0.085,-20.361,1,5,0,TaeGeuk_,177.3,41,320.891,100,175,29,162,95,-11.097,28.261,0.914,0.415,-36.848,0.007,-17.345,-19.142,-48.481,-11.409,-65.784,23.444,-49.762,10.608,-65.309,35.7,-81.8,-9.458,-110.827,-50.878,-89.767,320.31,-0.369,-20.547,321.91,2,눈꽃,-15.948,-45.684,0,2,0,0,-0.174,-0.334,0
8,2,1,0,0,2,0,0,0,255,255,255,7,351.49,_Chun,6,98,-3.033,-0.001,4,-426.34,0,-1.281,-17.088,0,6,8,Multeinn,160,54,0,0,0,0,0,0,0,0,0,0.055,-37.501,-1.219,-17.243,-20.522,-50.547,-11.737,-65.064,20.014,-47.277,9.1,-66.048,35.7,-81.8,-11.359,-114.086,-49.919,-88.086,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
9,2,1,0,1,2,0,0,0,255,255,255,8,376.343,_Chun,14,113,-2.247,-0.237,4,-340.787,365.874,0,0,0,6,8,Multeinn,160,54,0,0,0,0,0,0,0,0,0,0.129,-37.594,-0.418,-17.387,-20.409,-50.002,-11.733,-65.084,20.646,-47.204,8.58,-66.03,35.7,-81.8,-12.305,-114.466,-49.903,-88.103,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
10,2,1,0,2,2,0,0,0,255,255,255,9,414.193,_Chun,13,92,1.903,1.181,2,319.728,322.272,0,0,0,6,8,Multeinn,160,54,415.258,87,51,24,29,32,8.453,23.072,-0.925,0.152,-36.947,-0.022,-17.244,-20.695,-49.775,-11.876,-64.921,21.066,-46.444,11.057,-65.451,35.704,-81.804,-13.584,-117.288,-49.965,-88.178,415.585,-3.23,-28.772,417.202,0,_Chun,-4.871,-35.266,0,2,0,0,-0.044,-0.027,0
