id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,747.296,-Alta-,L,0,135,2.314,0.415,1,-22.947,-137.115,0,0,0,0,4,R,인생최패망자,190,55,0,0,0,0,0,0,0,0,0,0,0,-0.047,-37.374,0.241,-16.961,-22.233,-47.547,-14.529,-59.752,20.248,-52.071,8.825,-66.164,40.787,-96.099,-2.124,-112.638,-44.885,-80.628,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,1,0,0,0,0,0,255,255,255,1,766.939,-Alta-,L,6,111,-4.079,-0.914,1,-468.444,0.813,-1.287,-16.827,0,0,4,R,인생최패망자,190,55,0,0,0,0,0,0,0,0,0,0,0,0.054,-37.198,-0.913,-16.774,-22.583,-47.359,-14.565,-59.725,19.81,-52.37,9.5,-66.28,41.25,-96.895,-2.079,-112.738,-46.417,-79.781,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,2,0,0,0,0,0,255,255,255,2,782.311,-Alta-,L,0,137,0.989,1.025,2,-17.131,-129.24,0,0,1,0,4,R,인생최패망자,190,55,783.301,131,160,0,135,119,38.745,-33.995,0.186,-0.054,-0.079,0.427,-36.924,0.143,-16.885,-22.054,-48.006,-14.518,-59.668,19.333,-52.227,9.5,-65.434,43.39,-96.217,-2.065,-112.723,-44.882,-79.723,788.843,57.545,-108.813,0,0,,0,0,0,0,0,0,0,0,0,4
4,1,1,1,0,0,0,0,0,0,0,255,255,255,3,835.359,-Alta-,L,0,140,1.384,-0.972,1,-5.697,-45.657,0,0,0,1,1,L,Kr_Luna,190,86,0,0,0,0,0,0,0,0,0,0,0,0.049,-37.019,0.261,-16.796,-21.496,-46.715,-14.948,-61.441,23.65,-50.88,15.383,-63.495,41.405,-96.551,3.493,-110.3,-45.107,-89.087,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
5,1,1,1,0,1,0,0,0,0,0,255,255,255,4,851.52,-Alta-,L,6,99,-3.146,0.4,2,-418.511,0,0,0,1,1,1,L,Kr_Luna,190,86,852.441,158,143,28,139,103,10.746,32.549,-0.047,-0.012,-0.003,0.415,-36.703,-0.184,-16.714,-21.232,-46.928,-13.51,-62.228,23.068,-51.143,15.395,-63.514,41.587,-96.459,3.55,-110.404,-42.131,-91.975,854.087,-33.357,-65.525,855.487,8,Dοpi,-44.615,-78.566,1,0,0,0,0,0,0,2
6,1,1,1,0,0,0,0,1,0,0,1,255,255,5,882.842,-Alta-,L,0,123,1.12,0.715,0,75.562,-88.397,0,0,0,2,6,R,なおｐ--,190,86,0,0,0,0,0,0,0,0,0,0,0,0.234,-36.986,0.078,-16.92,-19.475,-40.245,-13.718,-59.84,20.621,-48.792,7.887,-66.302,37.512,-91.316,1.647,-116.082,-46.351,-86.995,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
7,1,1,1,0,0,1,0,1,0,0,1,255,255,6,904.951,-Alta-,L,0,114,-28.929,163.739,1,10.662,-51.861,-24.65,57.659,0,2,6,R,なおｐ--,190,86,0,0,0,0,0,0,0,0,0,0,0,-0.568,-38.895,-0.112,-16.506,-19.742,-41.961,-14.388,-60.049,18.982,-40.187,9.786,-65.942,34.553,-98.255,-0.646,-114.509,-41.893,-82.702,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
8,1,1,1,0,1,1,0,0,1,0,255,255,255,7,927.099,-Alta-,L,0,102,0.853,-0.337,2,-5.057,-46.712,0,0,1,2,6,R,なおｐ--,190,86,928.254,140,144,31,138,77,104.431,-73.918,0.982,-0.091,-0.089,0.437,-37.12,0.15,-16.774,-20.887,-45.702,-12.635,-60.111,21.34,-51.461,9.979,-65.929,34.32,-98.707,-0.507,-114.446,-42.042,-82.904,932.643,-48.863,-7.141,0,0,,0,0,0,0,0,0,0,0,0,3
9,1,1,1,0,1,2,0,0,1,0,255,255,255,8,947.26,-Alta-,L,0,130,0.491,0.492,2,-22.414,-75.17,0,0,1,2,6,R,なおｐ--,190,86,948.339,104,104,13,124,90,22.091,32.746,-0.16,-0.11,-0.117,0.472,-37.011,0.029,-16.694,-21.59,-45.444,-12.65,-60.016,20.468,-51.098,8.692,-65.392,38.416,-95.203,0.858,-111.661,-43.471,-81.703,0,0,0,951.643,8,Dοpi,-41.071,-73.316,0,0,0,0,0,0,0,1
10,1,1,1,0,0,0,1,0,1,0,255,255,255,9,984.677,-Alta-,L,0,127,0.85,-0.235,2,4.947,0,0,0,1,3,8,L,Sabo_10,185.1,86,985.838,94,193,39,135,66,1.568,-13.769,1,0.044,-0.104,0.392,-36.993,0.28,-16.854,-21.191,-47.585,-12.201,-59.539,23.354,-49.769,15.258,-64.037,43.195,-94.141,1.459,-105.845,-43.589,-84.023,985.909,2.778,-30.648,988.465,5,CAT tourniquet,6.529,-57.585,0,0,0,0,0,0,0,2
