id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1000.959,Riyaj,R,0,137,-1.003,-0.056,2,24.581,-150.619,0,0,1,0,7,R,mungjungh,160,77,1001.909,190,102,0,136,100,41.008,27.023,-0.09,-0.063,-0.066,0.177,-0.491,-36.89,0.019,-17.055,-22.096,-47.417,-13.712,-61.235,18.836,-45.985,11.219,-65.351,40.174,-74.58,0,-100.6,-38.994,-84.943,1010.579,-50.557,-104.058,1010.773,8,별이__,-50.529,-104.044,1,0,0,0,0,0,0,0
2,1,1,0,0,0,0,0,0,0,1,255,255,7,1,1170.666,Riyaj,R,10,109,0.251,-0.915,0,0,400,0.09,-17.738,0,1,4,L,-Alta-,179.7,54,0,0,0,0,0,0,0,0,0,0,0,0,-0.099,-37.15,0.049,-17.33,-24,-51.216,-8.166,-64.127,18.476,-41.795,15.123,-63.942,42.79,-77.558,0,-100.6,-44.63,-87.995,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,0,1,0,0,0,1,255,255,7,2,1190.685,Riyaj,R,0,136,-1.268,0.315,2,47.699,-124.375,0,0,1,1,4,L,-Alta-,179.7,54,1191.703,185,175,0,144,95,41.691,20.239,-0.61,0.033,-0.12,0.413,-0.411,-36.848,0.022,-17.114,-24.786,-51.681,-8.357,-64.153,18.53,-44.756,14.848,-63.921,42.855,-77.607,0,-100.6,-44.779,-87.919,1195.303,-17.948,-89.778,1199.15,5,아침땅_,-1.083,-61.167,1,0,0,0,0,0,0,0
4,1,1,1,0,0,0,0,1,0,0,4,255,255,3,1227.372,Riyaj,R,10,111,-1.419,-0.761,0,0,400,0,0,0,2,8,R,Dοpi,180.3,53,0,0,0,0,0,0,0,0,0,0,0,0,-0.257,-37.07,-0.055,-17.265,-22.147,-47.714,-9.874,-62.805,18.811,-43.329,11.948,-65.234,42.19,-74.922,0,-100.6,-40.384,-81.167,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
5,1,1,1,0,0,1,0,0,1,0,255,4,255,4,1261.592,Riyaj,R,10,106,-0.96,-0.46,0,0,400,-0.209,-17.649,1,2,8,R,Dοpi,180.3,53,0,0,0,0,0,0,0,0,0,0,0,0,-0.126,-37.07,0.027,-17.246,-21.959,-49.875,-13.423,-61.949,18.544,-45.009,5.54,-63.756,43.221,-74.732,0,-100.6,-41.232,-80.594,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
6,1,1,1,0,0,2,0,0,1,0,255,4,255,5,1278.196,Riyaj,R,0,134,-2.631,-0.192,4,27.218,-129.737,-0.925,-17.253,1,2,8,R,Dοpi,180.3,53,0,0,0,0,0,0,0,0,0,0,0,0,-0.422,-36.822,-0.273,-17.134,-22.077,-50.481,-13.408,-61.965,19.351,-43.576,3.67,-63.164,43.203,-74.74,0,-100.6,-41.029,-81.505,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
7,1,1,1,0,0,0,1,0,1,0,255,4,255,0,1530.866,ʚEveɞ,R,0,140,0.214,0.873,2,86.517,-136.693,0,0,1,3,3,R,Multeinn,169.7,53,1531.777,94,216,16,139,48,97.635,-76.669,-0.38,-0.127,-0.084,0.517,-0.173,-36.98,0.008,-17.178,-18.961,-47.25,-13.732,-60.924,22.829,-48.608,2.125,-60.802,35.7,-81.8,0,-100.6,-43.927,-75.23,1534.754,-22.354,-14.523,0,0,,0,0,0,0,0,0,0,0,0,0
8,1,1,1,0,0,1,1,0,1,0,255,4,255,1,1554.832,ʚEveɞ,R,0,138,-0.102,0.704,2,108.454,-184.021,0,0,1,3,3,R,Multeinn,169.7,52,1555.719,203,255,0,154,110,42.428,-22.608,-0.11,-0.149,-0.199,0.167,-0.234,-37.112,0.022,-17.168,-20.667,-47.756,-14.487,-61.333,23.264,-48.554,3.268,-62.825,35.7,-81.8,0,-100.6,-44.651,-74.14,1567.64,3.882,-68.447,1567.724,2,Megu3568,5.234,-71.695,1,0,0,0,0,0,0,0
9,1,1,2,0,0,0,1,0,1,0,255,0,255,2,1601.627,ʚEveɞ,R,0,135,0.545,0.921,0,81.787,-190.957,0,0,0,4,2,L,하루（Haru）,179.9,48,0,0,0,0,0,0,0,0,0,0,0,0,-0.166,-37.238,0.014,-17.207,-20.746,-48.348,-5.765,-63.938,23.393,-47.162,14.044,-64.256,35.7,-81.8,0,-100.6,-39.338,-72.692,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
10,1,1,2,0,0,1,1,0,1,0,255,0,255,3,1620.3,ʚEveɞ,R,6,91,-1.769,-1.204,1,407.099,-88.542,0,0,0,4,2,L,하루（Haru）,179.9,48,0,0,0,0,0,0,0,0,0,0,0,0,-0.091,-37.343,-0.068,-17.258,-20.666,-48.458,-2.404,-61.736,22.898,-46.303,14.451,-63.992,35.7,-81.8,0,-100.6,-41.755,-70.961,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
11,1,1,2,0,1,1,1,0,1,0,255,0,255,4,1643.741,ʚEveɞ,R,6,93,0.141,0.749,0,422.727,0,0,0,0,4,2,L,하루（Haru）,179.9,48,0,0,0,0,0,0,0,0,0,0,0,0,-0.021,-37.545,0.006,-17.269,-20.687,-48.418,-0.762,-59.497,22.356,-48.259,14.735,-63.753,35.7,-81.8,0,-100.6,-40.005,-70.2,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
12,1,1,2,0,1,2,1,0,1,0,255,0,255,5,1663.241,ʚEveɞ,R,0,136,-0.781,-0.604,0,118.507,-161.349,0,0,1,4,2,L,하루（Haru）,179.9,48,0,0,0,0,0,0,0,0,0,0,0,0,-0.089,-37.399,-0.005,-17.297,-20.421,-47.247,-1.411,-60.979,22.388,-48.263,14.65,-63.688,35.7,-81.8,0,-100.6,-45.177,-74.05,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
13,1,1,2,0,0,0,2,0,1,0,255,3,255,6,1698.344,ʚEveɞ,R,3,112,1.511,0.678,2,-426.176,0,0,0,1,5,0,R,Gonyong,190,52,1699.385,127,161,15,136,101,5.629,-7.685,-0.05,-0.048,-0.009,0.21,-0.082,-37.154,0.027,-17.266,-21.589,-48.85,-13.937,-62.01,23.326,-48.875,4.888,-62.908,35.7,-81.8,0,-100.6,-44.574,-73.613,1698.701,3.642,-48.029,1699.646,5,아침땅_,4.653,-57.186,0,0,0,0,0,0,0,2
14,1,0,2,0,0,0,0,0,0,0,255,255,255,0,1989.987,Gonyong,R,0,124,3.064,0.452,2,119.368,-9.474,0,0,1,0,0,L,ʚEveɞ,175.4,52,1990.802,255,179,9,152,91,95.61,84.012,-1,0.079,-0.089,0.531,-0.198,-37.018,0.16,-16.783,-21.035,-47.306,-13.596,-63.496,20.863,-45.148,13.644,-64.425,38.9,-81.095,0.51,-107.61,-44.238,-86.649,1994.405,65.27,-12.583,0,0,,0,0,0,0,0,0,0,0,0,0
15,1,0,2,0,0,1,0,0,0,0,255,255,255,1,2013.202,Gonyong,R,13,118,-1.647,-0.777,2,-357.651,349.407,0,0,1,0,0,L,ʚEveɞ,175.4,52,2014.086,205,151,20,147,110,-53.49,9.306,-0.01,0.057,-0.047,0.526,-0.255,-37.046,-0.075,-16.866,-21.39,-47.687,-15.07,-61.852,20.509,-45.834,11.177,-66.274,38.549,-77.825,0.038,-106.294,-43.554,-87.167,2012.348,-0.409,-20.082,2015.542,3,Multeinn,-7.178,-61.39,0,0,0,0,0,0,0,2
16,1,0,2,0,0,0,1,0,0,0,255,255,255,2,2048.478,Gonyong,R,0,133,1.031,0.669,0,174.812,-182.471,0,0,0,1,2,R,Megu3568,175.2,52,0,0,0,0,0,0,0,0,0,0,0,0,0.131,-37.848,0.101,-16.769,-20.345,-47.038,-14.453,-62.588,22.867,-49.021,11.711,-65.469,36.626,-76.621,0.531,-105.366,-46.517,-77.873,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
17,1,0,2,0,0,1,1,0,0,0,255,255,255,3,2069.16,Gonyong,R,0,123,-0.891,-0.113,0,30.929,-186.901,0,0,0,1,2,R,Megu3568,175.2,52,0,0,0,0,0,0,0,0,0,0,0,0,-0.016,-37.735,-0.209,-16.987,-20.561,-47.225,-14.706,-62.676,22.88,-49.02,11.9,-65.353,35.654,-78.319,0.757,-104.471,-43.398,-82.613,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
18,1,0,2,0,0,2,1,0,0,0,255,255,255,4,2088.31,Gonyong,R,10,114,-0.138,-2.728,2,0,400,-0.023,-21.443,1,1,2,R,Megu3568,175.2,52,2089.439,216,153,9,147,118,-5.557,-3.699,0.9,-0.052,-0.063,0.319,-0.088,-37.139,0.098,-17.14,-21.123,-47.537,-15.003,-61.76,22.776,-48.969,11.809,-65.395,35.491,-79.033,0.697,-104.539,-42.744,-80.15,2087.635,0.081,-22.665,2090.843,7,mungjungh,7.689,-97.345,1,0,0,0,0,0,0,2
