id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,235.913,Dοpi,R,0,137,2.39,1.187,4,64.293,-106.004,0.838,-5.541,1,0,5,R,장덕춘_,170,57,0,0,0,0,0,0,0,0,0,0,0,0,-0.183,-36.94,0.096,-17.363,-20.133,-47.373,-12.242,-65.027,17.509,-46.858,11.431,-60.102,45.66,-88.764,7.158,-118.621,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,255.542,Dοpi,R,3,113,0.796,1.666,2,-428.357,39.362,0,0,0,0,5,R,장덕춘_,170,57,256.415,45,36,75,22,38,30.195,40.345,-0.39,-0.043,-0.019,0,-0.193,-36.637,0.072,-17.356,-19.94,-47.225,-12.647,-65.087,15.957,-48.895,11.592,-61.641,45.695,-88.756,-6.946,-117.207,-35.7,-81.8,258.691,-11.647,-33.195,260.042,2,하루（Haru）,-16.449,-36.994,0,0,0,0,0,0,0,2
3,1,1,0,0,0,0,1,0,0,0,255,255,255,2,402.198,Dοpi,R,0,129,1.457,1.385,2,48.955,-93.741,0,0,0,1,4,R,Yaksok~,172.8,72,403.155,24,24,41,4,41,43.589,52.494,-0.42,-0.056,-0.069,0,-0.181,-36.622,0.06,-17.399,-20.084,-47.099,-10.707,-64.757,16.969,-50.217,12.045,-62.504,33.779,-77.884,-6.598,-110.968,-35.7,-81.8,406.025,-17.837,-33.496,406.642,2,하루（Haru）,-19.396,-34.692,0,0,0,0,0,0,0,2
4,1,1,0,0,0,1,1,0,0,0,255,255,255,3,428.461,Dοpi,R,10,119,-0.474,-0.862,0,-110.005,270.262,0,0,1,1,4,R,Yaksok~,172.8,72,0,0,0,0,0,0,0,0,0,0,0,0,-0.092,-37.024,0.058,-17.388,-20.46,-46.263,-12.653,-64.486,16.406,-47.11,12.262,-60.251,37.434,-77.453,-6.673,-111.994,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
5,1,1,0,0,0,2,1,0,0,0,255,255,255,4,446.156,Dοpi,R,13,113,-1.921,-0.832,4,-365.297,341.406,-0.618,-16.925,1,1,4,R,Yaksok~,172.8,72,0,0,0,0,0,0,0,0,0,0,0,0,-0.137,-37.198,-0.488,-16.957,-21.065,-46.771,-12.531,-64.076,16.612,-47.388,11.608,-58.608,37.417,-77.289,-8.509,-106.265,-35.7,-81.8,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0
6,1,1,0,0,0,0,1,1,0,0,4,255,255,5,482.357,Dοpi,R,0,127,0.222,0.094,2,39.588,-94.442,0,0,1,2,1,R,Pugeuk,190,57,483.116,167,113,7,138,111,-12.183,17.607,0.07,-0.115,-0.155,0.359,-0.425,-36.748,0.019,-17.274,-19.319,-40.209,-6.135,-61.556,18.962,-49.072,11.825,-61.896,35.554,-71.36,-8.621,-112.475,-35.7,-81.8,491.309,-22.469,-121.856,491.976,6,아침땅_,-22.286,-120.452,1,0,0,0,0,0,0,0
7,1,1,0,0,0,0,1,0,0,1,255,255,4,6,531.338,Dοpi,R,0,133,-0.567,-0.959,1,34.591,-156.92,0,0,0,3,2,R,Gonyong,190,46,0,0,0,0,0,0,0,0,0,0,0,0,-0.099,-37.398,0.075,-17.283,-19.446,-45.073,-11.496,-64.462,19.05,-45.993,9.388,-61.887,43.007,-83.086,-6.966,-108.218,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
8,1,1,0,0,1,0,1,0,0,1,255,255,4,7,549.027,Dοpi,R,0,125,1.021,1.518,2,0,0,0,0,1,3,2,R,Gonyong,190,57,550.219,110,65,25,96,67,50.154,-0.664,-0.44,-0.041,0.008,0.001,-0.275,-36.537,0.032,-17.281,-18.847,-45.393,-11.586,-64.328,16.784,-48.254,11.272,-62.518,39.519,-82.1,-7.976,-107.36,-35.7,-81.8,0,0,0,555.208,5,NABIMan,-0.603,-58.929,0,0,0,0,0,0,0,1
9,1,1,0,0,0,0,2,0,0,1,255,255,4,8,578.346,Dοpi,R,3,116,-1.399,-0.358,0,-433.636,248.917,0,0,0,4,3,R,ByeolBam,175.2,56,0,0,0,0,0,0,0,0,0,0,0,0,-0.03,-37.329,0.06,-17.454,-20.042,-45.283,-13.748,-63.728,19.341,-44.434,9.307,-59.981,34.779,-78.772,-8.504,-106.557,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
10,1,1,0,0,0,1,2,0,0,1,255,255,4,9,596.057,Dοpi,R,0,132,-0.726,1.075,1,68.863,-96.028,0,0,0,4,3,R,ByeolBam,175.2,56,0,0,0,0,0,0,0,0,0,0,0,0,-0.11,-37.007,0.078,-17.386,-19.691,-46.709,-13.385,-63.317,17.088,-46.389,10.87,-61.177,33.991,-79.484,-8.939,-104.975,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
