id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,637.649,하루（Haru）,R,0,0,0,0,0,0,0,0,0,0,0,5,L,べるちゃそ,174.2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
2,1,1,0,0,0,0,0,0,0,0,255,255,255,0,917.792,하루（Haru）,R,0,124,0.17,0.361,2,0,0,0,0,1,0,5,L,べるちゃそ,174.2,51,918.903,122,221,50,150,64,20.764,-28.883,-0.615,0.025,-0.059,-0.305,-36.798,-0.046,-16.859,-20.709,-46.276,-10.419,-62.612,21.234,-48.106,13.879,-66.421,47.752,-87.731,0.196,-106.915,-39.42,-90.513,0,0,0,918.073,4,_이누_,15.044,-48.513,0,0,1
3,1,1,0,0,0,0,1,0,0,0,255,255,255,1,946.112,하루（Haru）,R,0,116,0.311,-0.946,0,0,0,-0.082,-17.678,0,1,6,R,Pizzallaris,164.5,51,0,0,0,0,0,0,0,0,0,0,0,-0.024,-37.578,0.022,-17.35,-20.515,-45.641,-12.953,-61.454,21.426,-47.692,13.651,-64.468,47.431,-89.355,0.13,-104.594,-40.389,-88.537,0,0,0,0,0,,0,0,0,0,0
4,1,1,0,0,0,1,1,0,0,0,255,255,255,2,963.325,하루（Haru）,R,0,92,0.03,1.996,2,0,0,0,0,1,1,6,R,Pizzallaris,164.5,51,964.494,14,11,0,0,30,35.491,-42.092,0.593,-0.03,0.017,-0.198,-37.123,0.19,-16.837,-20.556,-45.547,-12.902,-61.502,20.807,-47.848,13.548,-64.479,48.403,-89.714,0.142,-104.626,-40.387,-88.57,963.115,9.218,-29.916,964.823,4,_이누_,13.347,-34.081,1,0,2
5,1,1,0,0,0,0,1,0,1,0,255,6,255,3,1025.722,하루（Haru）,R,0,140,-0.058,0.454,0,0,0,0,0,0,2,9,R,白霜らいふ,190,51,0,0,0,0,0,0,0,0,0,0,0,-0.288,-37.354,-0.207,-17.086,-20.361,-45.832,-11.023,-60.614,19.224,-42.886,10.476,-64.996,45.004,-80.454,-0.575,-98.401,-36.977,-88.772,0,0,0,0,0,,0,0,0,0,0
6,1,1,0,0,0,1,1,0,0,1,255,255,6,4,1070.358,하루（Haru）,R,1,118,-1.219,0.773,2,0,0,0,0,1,2,9,R,白霜らいふ,190,45,1071.527,116,140,38,140,67,-1.456,28.609,-1,-0.09,-0.095,-0.336,-36.721,0.209,-16.815,-20.152,-45.373,-14.129,-62.563,20.129,-47.832,9.912,-66.391,46.788,-90.567,0.256,-100.039,-36.971,-88.871,1068.79,-5.975,-29.797,1071.181,7,紅さかな,-15.876,-46.455,0,0,2
7,1,1,0,0,0,0,2,0,0,1,255,255,6,5,1102.343,하루（Haru）,R,0,140,0.363,-0.2,2,0,0,0,0,1,3,2,R,甲斐野柊太,190,50,1103.423,105,210,60,147,67,8.522,28.884,-0.614,-0.023,-0.108,-0.218,-37.085,-0.005,-16.818,-20.41,-45.392,-14.751,-62.566,19.875,-47.395,11.881,-65.675,39.937,-98.319,0.311,-100.863,-39.414,-89.321,1101.306,-12.071,-38.773,1102.189,2,_Chun,-16.122,-45.443,0,0,2
8,1,0,0,0,0,0,0,0,0,0,255,255,255,0,1227.06,Kenomo,R,0,132,-0.797,0.653,0,73.708,-109.809,0,0,0,0,6,L,IbikiKai_JP,176.4,50,0,0,0,0,0,0,0,0,0,0,0,-0.224,-37.275,0.036,-16.753,-16.943,-42.673,-11.904,-54.126,19.852,-46.76,11.735,-64.457,41.524,-80.437,3.656,-113.636,-36.926,-83.661,0,0,0,0,0,,0,0,0,0,0
9,1,0,0,0,0,1,0,0,0,0,255,255,255,1,1242.935,Kenomo,R,0,138,-0.825,-0.371,0,79.884,-108.721,0,0,1,0,6,L,IbikiKai_JP,176.4,50,0,0,0,0,0,0,0,0,0,0,0,-0.255,-37.113,0.026,-16.679,-16.894,-42.625,-11.907,-53.92,19.888,-46.805,11.732,-64.627,41.529,-80.44,3.481,-113.615,-36.839,-83.684,0,0,0,0,0,,0,0,0,0,0
10,1,0,0,0,0,2,0,0,0,0,255,255,255,2,1259.641,Kenomo,R,0,130,-0.428,0.841,0,52.874,-52.371,0,0,1,0,6,L,IbikiKai_JP,176.4,50,0,0,0,0,0,0,0,0,0,0,0,-0.176,-36.941,-0.097,-16.787,-17.22,-42.088,-10.981,-55.32,19.876,-46.832,11.629,-65.171,41.524,-80.45,3.935,-114.282,-36.876,-83.704,0,0,0,0,0,,0,0,0,0,0
