id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1291.23,アリアル,R,0,134,-2.714,0.513,4,0,0,-1.016,-17.473,1,2,9,R,sano jpn,170.9,67,0,0,0,0,0,0,0,0,0,0,0,0,-0.02,-37.53,-1.464,-17.583,-20.079,-46.577,-10.119,-64.111,21.6,-48.362,13.94,-64.415,35.7,-81.8,0.092,-114.349,-40.352,-85.907,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,1312.007,アリアル,R,0,140,-0.632,0.622,2,0,0,0,0,1,2,9,R,sano jpn,170.9,67,1313.04,152,75,20,133,108,27.909,34.581,0.2,-0.054,-0.001,0.259,-0.045,-37.457,-0.01,-17.177,-20.1,-46.459,-10.134,-64.737,21.567,-48.294,13.99,-64.471,35.7,-81.8,-0.667,-115.474,-40.372,-85.902,1317.861,-66.172,-89.032,1320.117,8,shuwaYNZ,-65.3,-85.327,1,0,0,0,0,0,0,2
3,1,1,0,0,0,0,0,0,1,0,255,0,255,2,1351.23,アリアル,R,0,134,2.021,0.052,1,0,0,0,0,0,2,7,R,Pizzallaris,164.5,64,0,0,0,0,0,0,0,0,0,0,0,0,0.077,-37.838,0.465,-17.462,-19.158,-41.76,-7.963,-57.633,19.367,-40.78,1.812,-60.703,35.7,-81.8,4.058,-113.433,-41.865,-83.611,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,1,0,0,0,0,1,255,255,0,3,1376.279,アリアル,R,10,90,0.519,-2.286,4,0,400,-0.918,-20.165,1,2,7,R,Pizzallaris,164.5,64,0,0,0,0,0,0,0,0,0,0,0,0,0.119,-37.866,-1.072,-17.936,-17.653,-39.704,-11.617,-57.689,18.592,-42.455,6.089,-60.273,35.7,-81.8,1.239,-113.477,-39.938,-83.635,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
5,1,1,0,0,1,1,0,0,0,1,255,255,0,4,1401.333,アリアル,R,10,89,-0.391,-1.76,4,0,400,0,0,1,2,7,R,Pizzallaris,164.5,64,0,0,0,0,0,0,0,0,0,0,0,0,-0.006,-37.513,-0.176,-17.32,-19.275,-41.995,-12.509,-60.367,18.318,-39.659,7.231,-61.59,35.7,-81.8,-0.606,-113.948,-40.172,-83.454,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
6,1,1,0,0,1,2,0,0,0,1,255,255,0,5,1427.047,アリアル,R,10,89,-1.401,-2.893,1,0,400,-0.246,-21.295,0,2,7,R,Pizzallaris,164.5,63,0,0,0,0,0,0,0,0,0,0,0,0,-0.041,-37.564,0.085,-16.918,-19.203,-41.415,-12.475,-59.5,18.211,-40.439,8.114,-62.335,35.7,-81.8,-0.025,-114.539,-39.93,-83.83,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
7,1,1,0,0,2,2,0,0,0,1,255,255,0,6,1443.742,アリアル,R,0,140,-0.922,1.37,2,0,0,0,0,1,2,7,R,Pizzallaris,164.5,63,1444.647,131,78,0,130,75,30.784,36.536,-0.2,-0.033,0.015,0.324,-0.122,-37.317,0.028,-17.188,-18.213,-43.74,-13.519,-61.803,18.803,-42.532,9.638,-64.31,35.7,-81.8,-0.719,-111.732,-40.449,-84.01,1448.671,-38.404,-63.918,1449.271,8,shuwaYNZ,-39.77,-66.23,1,0,0,0,0,0,0,2
8,1,1,1,0,0,0,0,0,1,0,255,255,255,7,1516.209,アリアル,R,0,140,-4.759,2.563,1,0,0,0,0,0,2,2,R,甲斐野柊太,190,32,0,0,0,0,0,0,0,0,0,0,0,0,0.006,-38.01,-0.164,-16.913,-18.779,-41.235,-8.295,-61.331,19.03,-42.63,2.896,-62.242,35.7,-81.8,-0.656,-115.117,-40.351,-81.174,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
9,1,1,1,0,1,0,0,0,1,0,255,255,255,8,1598.786,アリアル,R,10,94,0.34,-1.82,4,149.995,400,0,0,1,2,2,R,甲斐野柊太,190,59,0,0,0,0,0,0,0,0,0,0,0,0,-0.107,-38.121,0.233,-17.501,-17.876,-41.022,-13.016,-61.83,19.276,-40.367,2.237,-60.726,35.7,-81.8,2.1,-117.569,-39.749,-80.41,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
10,1,1,1,0,1,1,0,0,0,1,255,255,7,9,1625.103,アリアル,R,10,78,8.816,-2.529,1,0,400,0.816,-28.974,0,2,2,R,甲斐野柊太,190,59,0,0,0,0,0,0,0,0,0,0,0,0,0.073,-37.458,0.906,-18.366,-14.947,-38.4,-14.087,-61.318,18.048,-41.044,6.912,-63.347,35.7,-81.8,0.125,-116.883,-39.661,-80.864,0,0,0,0,0,,0,0,0,2,0,0,0,0,0,0
