id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,790.119,レビノア,R,0,140,0.386,0.671,0,2.566,-109.431,0,0,0,0,7,R,오띵__,170.5,89,0,0,0,0,0,0,0,0,0,0,0,0,-0.077,-37.617,0.033,-17.186,-21.329,-46.587,-13.41,-63.917,18.79,-46.908,12.696,-65.277,42.378,-91.683,1.67,-116.188,-46.19,-91.503,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,811.337,レビノア,R,14,120,-0.09,0.051,2,206.862,400,0,0,1,0,7,R,오띵__,170.5,89,812.471,69,102,46,110,65,-43.995,-42.57,-0.1,0.051,-0.062,0.168,-0.333,-36.87,0.032,-17.341,-21.263,-46.82,-14.442,-62.91,18.578,-47.372,12.706,-65.272,42.302,-91.678,1.688,-116.203,-46.168,-91.565,809.389,0.442,-21.318,811.845,4,Megu3568,12.617,-43.599,0,0,0,0,0,0,0,2
3,1,1,0,0,0,0,1,0,0,0,255,255,255,2,845.243,レビノア,R,0,133,0.102,0.91,0,5.004,-93.612,0,0,0,1,6,L,-Alta-,180.1,88,0,0,0,0,0,0,0,0,0,0,0,0,0.007,-37.556,0.025,-17.376,-21.333,-46.558,-12.444,-64.152,19.597,-48.217,14.711,-63.909,41.816,-91.324,0.428,-103.682,-46.047,-90.26,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,0,1,1,0,0,0,255,255,255,3,860.267,レビノア,R,0,140,-0.643,0.94,2,-3.067,-50.531,0,0,1,1,6,L,-Alta-,180.1,88,861.226,165,93,12,136,81,33.797,-15.234,-0.54,0.025,-0.092,0.296,-0.422,-36.938,0.031,-17.343,-21.372,-46.568,-12.429,-64.176,19.43,-48.145,14.742,-63.916,43.574,-90.054,0.83,-106.935,-46.052,-90.25,862.767,18.119,-80.027,864.912,7,IbikiKai_JP,17.335,-90.62,1,0,0,0,0,0,0,2
5,1,1,0,0,0,0,1,1,0,0,6,255,255,4,900.312,レビノア,R,0,122,-0.026,1.132,1,11.531,-91.858,0,0,0,2,2,R,Dοpi,179.7,88,0,0,0,0,0,0,0,0,0,0,0,0,-0.18,-37.512,0.045,-17.322,-18.656,-40.069,-12.636,-64.825,17.988,-46.727,11.358,-64.861,43.91,-93.071,5.983,-112.938,-45.149,-90.279,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
6,1,1,0,0,1,0,1,1,0,0,6,255,255,5,951.917,レビノア,R,0,128,0.778,1.382,1,5.625,-66.961,0,0,0,2,2,R,Dοpi,179.7,88,0,0,0,0,0,0,0,0,0,0,0,0,0.242,-37.153,0.052,-17.342,-18.168,-39.036,-13.303,-64.356,18.081,-46.669,8.92,-64.113,42.507,-94.281,6.113,-112.902,-45.205,-90.242,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
7,1,1,0,0,2,0,1,1,0,0,6,255,255,6,969.95,レビノア,R,10,128,0.596,-1.866,4,0,400,0.081,-17.374,1,2,2,R,Dοpi,179.7,88,0,0,0,0,0,0,0,0,0,0,0,0,-0.03,-37.585,0.076,-17.415,-18.341,-39.56,-13.108,-64.695,18.076,-46.676,10.601,-64.785,42.479,-94.228,6.107,-110.853,-45.044,-90.386,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
8,1,1,0,0,2,1,1,1,0,0,6,255,255,7,995.6,レビノア,R,10,121,0.39,-0.922,0,0,312.457,0.011,-17.648,0,2,2,R,Dοpi,179.7,88,0,0,0,0,0,0,0,0,0,0,0,0,0.136,-37.252,0.063,-17.306,-17.943,-39.785,-12.456,-65.267,17.912,-47.342,11.34,-64.566,42.766,-94.166,6.131,-110.905,-45.01,-90.812,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
9,1,1,0,0,2,2,1,1,0,0,6,255,255,8,1013.923,レビノア,R,0,129,1.109,0.393,0,43.174,-165.555,0,0,1,2,2,R,Dοpi,179.7,88,0,0,0,0,0,0,0,0,0,0,0,0,-0.108,-37.283,0.057,-17.244,-18.878,-39.242,-12.887,-64.846,17.861,-47.316,9.148,-64.186,42.809,-94.116,6.026,-110.818,-45,-90.804,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
10,1,1,0,0,0,0,2,1,0,0,6,255,255,9,1051.073,レビノア,R,0,129,1.225,1.439,1,50.67,-78.637,0,0,0,3,1,L,Pring__,179.6,87,0,0,0,0,0,0,0,0,0,0,0,0,0.219,-37.18,0.027,-17.218,-18.162,-38.888,-12.342,-64.78,19.316,-48.323,14.502,-64.167,42.764,-94.143,3.528,-110.134,-45.014,-90.865,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
11,1,1,0,0,1,0,2,1,0,0,6,255,255,10,1072.383,レビノア,R,14,124,1.277,-1.496,4,358.862,348.164,0,0,1,3,1,L,Pring__,179.6,87,0,0,0,0,0,0,0,0,0,0,0,0,-0.058,-37.675,0.083,-17.025,-18.083,-38.903,-10.812,-64.997,19.299,-48.263,14.467,-64.134,44.207,-93.219,3.371,-110.175,-45.011,-90.833,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
12,1,1,0,0,1,1,2,1,0,0,6,255,255,11,1092.985,レビノア,R,11,122,-3.681,0.974,4,56.095,150.635,-0.134,-20.441,1,3,1,L,Pring__,179.6,80,0,0,0,0,0,0,0,0,0,0,0,0,-0.081,-37.538,0.045,-17.031,-18.276,-39.375,-12.296,-64.998,19.324,-48.235,14.484,-64.107,44.193,-93.203,2.036,-107.939,-44.994,-90.841,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
13,1,1,0,0,1,2,2,1,0,0,6,255,255,12,1116.703,レビノア,R,0,131,1.327,0.775,0,21.32,-98.47,0.572,-17.569,0,3,1,L,Pring__,179.6,80,0,0,0,0,0,0,0,0,0,0,0,0,0.096,-37.5,0.027,-17.168,-18.026,-39.431,-11.881,-63.856,19.246,-48.243,14.455,-64.078,44.597,-93.437,1.762,-110.589,-44.866,-90.914,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
14,1,0,0,0,0,0,0,0,0,0,255,255,255,0,1281.68,Roscosmos,L,0,140,-1.266,-0.496,2,0,0,0,0,1,0,3,L,ʚEveɞ,160,86,1282.443,112,86,4,131,108,-68.686,-54.698,0.26,0.058,-0.083,0.222,0.047,-37.116,-0.152,-16.999,-21.572,-46.251,-15.223,-60.103,20.919,-48.757,14.055,-64.006,36.958,-86.579,-0.021,-104.898,-35.961,-95.724,1278.534,0.046,-19.148,1281.667,4,_이누_,27.723,-41.233,0,0,0,0,0,0,0,2
