id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,impMv,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,376.027,"それいゆ るな",R,37,59,116,-0.62,-0.478,-0.095,1.09,-37.334,2,0,46.913,72.724,6.039,0,0,1,2,5,L,"ʚneul_ɞ",174.3,95,0.53,3,83,376.842,255,5,50,75,29,182,134,94,25.467,-30.457,0.01,0.025,-0.048,0.082,0,-0.221,-37.978,0,"AI",0,-17.512,0,"소솨소솨",-20.53,-45.941,0,"눈꽃",-12.262,-64.69,0,"인생최패망자",20.324,-45.974,0,"CVPileMaki",13.561,-64.813,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,386.465,3.237,-43.444,387.143,0,"それいゆ るな",1.062,-40.031,0,0,0,0,0,0,0,1
2,1,1,0,0,0,0,1,0,0,0,255,255,255,1,413.814,"それいゆ るな",R,37,55,113,-1.591,0.412,-0.11,1.145,-37.248,1,0,37.188,63.156,6.246,0,0,0,2,4,R,"-라후이-",190,84,0.352,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.197,-38.395,0,"AI",0,-17.512,0,"소솨소솨",-20.526,-46.541,0,"눈꽃",-15.108,-63.655,0,"인생최패망자",14.734,-48.011,0,"CVPileMaki",11.363,-65.498,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,1,0,1,0,0,0,255,255,255,2,429.604,"それいゆ るな",R,6,53,100,1.293,0.091,-0.148,1.125,-37.15,0,0,454.546,0,-58.786,2.216,-10.025,1,2,4,R,"-라후이-",190,84,0.352,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.277,-38.302,0,"AI",0.009,-17.517,0,"소솨소솨",-19.056,-46.862,0,"눈꽃",-13.317,-64.487,0,"인생최패망자",15.737,-47.958,0,"CVPileMaki",10.637,-65.668,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,1,1,1,0,0,0,255,255,255,3,443.161,"それいゆ るな",R,3,63,107,-2.573,0.039,0.019,1.176,-37.397,4,0,-486.364,0,10.06,-1.821,-9.505,1,2,4,R,"-라후이-",190,84,0.352,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.432,-38.231,0,"AI",-0.073,-17.524,0,"소솨소솨",-20.419,-43.914,0,"눈꽃",-13.873,-64.287,0,"인생최패망자",16.89,-45.911,0,"CVPileMaki",9.845,-66.132,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
5,1,1,0,0,1,2,1,0,0,0,255,255,255,4,456.983,"それいゆ るな",R,1,52,111,-0.079,-1.206,-0.066,0.877,-37.076,2,0,0,0,-24.881,0,0,1,2,4,R,"-라후이-",190,84,0.352,3,82,457.977,163,16,76,55,34,248,139,96,-52.584,46.905,-0.12,-0.07,-0.167,0.162,0,-0.41,-38.051,0,"AI",0,-17.512,0,"소솨소솨",-20.324,-47.896,0,"눈꽃",-13.871,-64.289,0,"인생최패망자",15.852,-46.902,0,"CVPileMaki",10.072,-65.769,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,457.854,-0.37,-19.74,460.165,2,"소솨소솨",-24.878,-42.561,0,0,0,0,0,0,0,2
6,1,1,0,0,1,2,1,0,0,0,255,255,255,5,472.518,"それいゆ るな",R,36,61,118,-1.029,-1.585,-0.141,0.835,-37.388,1,0,51.773,120.149,8.597,-0.177,-16.369,0,2,4,R,"-라후이-",190,84,0.352,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.548,-38.279,0,"AI",0.039,-17.434,0,"소솨소솨",-19.841,-45.272,0,"눈꽃",-14.108,-63.924,0,"인생최패망자",17.978,-44.489,0,"CVPileMaki",9.833,-65.112,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
7,1,1,0,0,2,2,1,0,0,0,255,255,255,6,485.256,"それいゆ るな",R,6,47,97,1.744,0.145,-0.027,0.93,-37.162,2,0,400.227,0,-50.736,0,0,1,2,4,R,"-라후이-",190,84,0.352,3,82,486.341,255,23,76,69,43,149,141,101,30.644,-34.416,-0.21,-0.027,-0.075,0.171,0,-0.432,-38.031,0,"AI",0,-17.512,0,"소솨소솨",-21.452,-48.399,0,"눈꽃",-14.11,-63.908,0,"인생최패망자",16.327,-48.254,0,"CVPileMaki",9.796,-65.123,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,490.198,35.442,-89.687,494.565,3,"눈꽃",1.2,-60.148,0,0,0,0,0,0,0,1
8,1,1,0,0,0,0,2,0,0,0,255,255,255,7,512.287,"それいゆ るな",R,34,64,120,-0.703,1.11,-0.061,1.194,-37.255,2,0,65.28,47.185,6.594,0,0,0,2,3,R,"별이__",175.2,95,0.5,2,79,513.503,77,7,51,54,2,255,104,71,39.195,48.479,-0.14,0.009,0.003,0.116,0,-0.365,-38.093,0,"AI",0,-17.512,0,"소솨소솨",-19.193,-45.992,0,"눈꽃",-12.925,-64.678,0,"인생최패망자",17.271,-47.462,0,"CVPileMaki",12.701,-64.298,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,517.343,-40.802,-53.365,0,0,"",0,0,0,0,0,0,0,0,0,3
9,1,1,0,0,0,1,2,0,0,0,255,255,255,8,532.489,"それいゆ るな",R,6,44,94,1.554,0.352,-0.16,1.128,-37.093,1,0,399.762,0,-60.165,1.968,-10.935,0,2,3,R,"별이__",175.2,95,0.5,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.281,-38.329,0,"AI",0.01,-17.517,0,"소솨소솨",-21.421,-47.633,0,"눈꽃",-14.151,-64.053,0,"인생최패망자",17.791,-45.266,0,"CVPileMaki",11.016,-64.729,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
10,1,1,0,0,1,1,2,0,0,0,255,255,255,9,546.691,"それいゆ るな",R,26,55,113,-3.993,-0.699,-0.199,1.205,-37.134,1,0,139.152,-179.74,1.619,-0.826,-12.191,0,2,3,R,"별이__",175.2,95,0.5,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.317,-38.238,0,"AI",0.039,-17.433,0,"소솨소솨",-21.402,-47.663,0,"눈꽃",-14.147,-64.079,0,"인생최패망자",17.315,-45.7,0,"CVPileMaki",11.978,-65.004,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
