id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,handDist,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,354.247,"_Chun",L,26,85,139,-0.797,-1.116,-0.034,1.342,-36.536,0,0,-41.845,-200,0,0,0,0,0,5,L,"vovopo 보보포",159.5,80,0.599,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,-37.4,0,"Pring__",0.039,-16.768,0,"Dοpi",-21.85,-47.041,0,"장덕춘_",-13.901,-64.082,0,"あいくんだよー『아이 군』",19.005,-43.494,0,"coder_",12.963,-60.941,0,"IbikiKai_JP",41.533,-93.442,0,"하루（Haru）",10.438,-121.77,0,"あおいぬ",-43.058,-85.053,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,373.166,"_Chun",L,6,76,116,-1.32,0.079,0.043,1.493,-36.537,2,0,-466.256,0,0,0,0,1,0,5,L,"vovopo 보보포",159.5,80,0.599,3,66,374.269,255,15,24,105,21,75,62,-30,-39.57,1,0.015,-0.087,0.082,0,0.867,0.004,-37.039,0,"Pring__",-0.044,-16.904,0,"Dοpi",-21.784,-47.018,0,"장덕춘_",-13.823,-64.053,0,"あいくんだよー『아이 군』",19.572,-42.553,0,"coder_",14.29,-63.881,0,"IbikiKai_JP",38.825,-91.342,0,"하루（Haru）",8.397,-118.791,0,"あおいぬ",-43.079,-85.024,0,374.343,0.919,-22.114,376.41,4,"あいくんだよー『아이 군』",14.609,-39.659,0,0,0,0,0,0,0,2
3,1,1,0,0,0,0,1,0,0,0,255,255,255,2,402.305,"_Chun",L,26,85,138,-1.041,0.11,-0.087,1.455,-36.513,2,0,-32.074,-200,0,0,0,1,1,8,R,"Yaksok~",168.2,89.935,0.301,3,69,403.091,14,1,0,0,0,0,35,-64.314,29.524,0.94,-0.029,-0.046,0.002,1,0.505,0.141,-37.253,120,"Pring__",-0.132,-17.299,0,"Dοpi",-21.973,-46.601,85,"장덕춘_",-13.829,-63.445,0,"あいくんだよー『아이 군』",20.302,-47.974,0,"coder_",11.168,-65.931,0,"IbikiKai_JP",36.564,-98.462,0,"하루（Haru）",3.234,-116.633,0,"あおいぬ",-42.148,-85.876,0,403.121,-0.417,-20.209,406.477,0,"_Chun",-6,-27.578,1,0,0,0,0,0,0,2
4,1,1,0,0,0,0,1,1,0,0,8,255,255,3,437.97,"_Chun",L,14,75,115,-1.916,-0.501,-0.09,1.747,-36.696,1,0,-306.115,395.34,0,-0.475,-17.051,0,2,0,R,"HANA_ARASHI",190,85,0.254,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.302,-37.333,0,"Pring__",-0.224,-17.663,111,"Dοpi",-19.724,-41.226,0,"장덕춘_",-12.931,-61.877,0,"あいくんだよー『아이 군』",18.447,-48.62,0,"coder_",8.818,-62.946,0,"IbikiKai_JP",40.376,-92.881,0,"하루（Haru）",-6.484,-114.174,0,"あおいぬ",-44.147,-86.089,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
5,1,1,0,0,1,0,1,0,1,0,255,8,255,4,462.089,"_Chun",L,26,71,124,-0.389,-0.042,-0.087,1.604,-36.907,2,0,-68.731,-160.514,0,0,0,1,2,0,R,"HANA_ARASHI",190,85,0.254,3,70,463.121,240,12,162,74,0,150,92,19.545,26.887,-0.67,-0.067,-0.128,0.218,0,0.647,0.204,-37.502,0,"Pring__",0.096,-16.97,0,"Dοpi",-21.683,-45.751,0,"장덕춘_",-13.949,-63.784,0,"あいくんだよー『아이 군』",18.289,-45.65,0,"coder_",6.205,-63.162,86,"IbikiKai_JP",38.845,-95.887,0,"하루（Haru）",-5.22,-113.6,0,"あおいぬ",-44.873,-87.53,106,466.677,-39.812,-76.542,466.866,8,"あおいぬ",-38.76,-75.303,0,0,0,0,0,0,0,1
6,1,1,0,0,0,0,2,0,1,0,255,8,255,5,527.078,"_Chun",L,26,83,135,0.849,0.801,0.093,1.585,-36.504,2,0,-55.022,-199.068,0,0,0,1,3,1,R,"NABIMan",190,90.361,0.376,3,70,527.926,255,20,71,80,25,150,88,-4.206,-20.882,-0.92,-0.038,-0.023,0.338,0,0.436,-0.072,-36.909,0,"Pring__",0.074,-16.933,0,"Dοpi",-22.031,-46.511,0,"장덕춘_",-14.09,-63.483,0,"あいくんだよー『아이 군』",19.693,-44.012,0,"coder_",4.97,-61.039,98,"IbikiKai_JP",39.526,-95.925,0,"하루（Haru）",-3.358,-117.338,0,"あおいぬ",-44.195,-87.873,0,528.299,3.895,-30.324,530.377,5,"coder_",15.189,-61.707,0,0,0,0,0,0,0,2
7,1,0,0,0,0,0,0,0,0,0,255,255,255,0,681.058,"HANA_ARASHI",R,10,84,126,0.211,-0.146,0.02,1.824,-36.448,2,0,0,400,0,0,0,1,0,5,R,"coder_",164.3,95.716,0.2,3,72,682.142,2,0,9,7,7,1,32,-77.798,-62.222,0.7,-0.023,-0.028,0.021,1,0.767,-0.218,-36.847,0,"NABIMan",0.174,-17.39,0,"WhiteMountain",-21.713,-46.668,0,"Oort__Cloud",-12.995,-64.358,0,"SOM_candy",13.843,-37.512,85,"vovopo 보보포",13.236,-64.724,0,"CVPileMaki",39.049,-88.26,0,"버블붐_Bubbleboom",1.511,-109.56,0,"Yaksok~",-41.78,-85.663,0,682.165,0.333,-20.134,685.877,4,"SOM_candy",9.06,-26.714,0,0,0,0,0,0,0,2
8,1,0,0,0,0,1,0,0,0,0,255,255,255,1,702.813,"HANA_ARASHI",R,13,82,121,-1.235,-0.452,0.007,1.786,-36.373,0,0,-359.099,347.92,0,0,0,1,0,5,R,"coder_",164.3,95.716,0.2,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.399,-31.55,0,"NABIMan",0.078,-17.646,119,"WhiteMountain",-21.199,-45.13,0,"Oort__Cloud",-12.595,-63.213,0,"SOM_candy",16.078,-42.545,0,"vovopo 보보포",9.248,-61.142,0,"CVPileMaki",38.013,-89.986,0,"버블붐_Bubbleboom",3.176,-104.36,0,"Yaksok~",-39.144,-83.04,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
9,1,0,0,0,0,2,0,0,0,0,255,255,255,2,719.655,"HANA_ARASHI",R,13,75,114,-2.146,-0.077,-0.069,1.855,-36.385,1,0,-356,351.09,0,0,0,0,0,5,R,"coder_",164.3,95.716,0.2,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.941,-32.913,0,"NABIMan",-0.665,-17.377,0,"WhiteMountain",-21.225,-45.846,0,"Oort__Cloud",-12.99,-64.218,0,"SOM_candy",14.295,-39.774,0,"vovopo 보보포",9.056,-63.586,0,"CVPileMaki",39.417,-90.019,0,"버블붐_Bubbleboom",3.172,-104.378,0,"Yaksok~",-40.636,-85.193,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
10,1,0,0,0,0,0,1,0,0,0,255,255,255,3,748.515,"HANA_ARASHI",R,10,60,107,1.224,1.884,0.182,2.071,-36.57,1,0,-65.935,400,0,0,0,0,1,1,L,"Pring__",180.117,95.172,0.477,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.307,-37.371,0,"NABIMan",0.205,-17.523,0,"WhiteMountain",-22.594,-48.642,0,"Oort__Cloud",-12.759,-64.403,0,"SOM_candy",18.266,-45.05,0,"vovopo 보보포",17.313,-61.354,0,"CVPileMaki",45.504,-88.689,0,"버블붐_Bubbleboom",3.101,-104.272,0,"Yaksok~",-38.082,-91.832,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
