id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,578.913,"하루（Haru）",R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,"ᵏᵘʳᵘᵘ",167,99.746,0.2,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,0,0,0,0,0,"",0,0,0,0,603.904,,,,0,0
2,1,1,0,0,0,0,0,0,0,0,255,255,255,1,616.186,"하루（Haru）",R,27,85,139,-1.24,-0.654,-0.136,1.792,-0.633,1.089,-36.487,10.493,0,0,72.451,-141.703,9.872,0,0,0,0,0,R,"ᵏᵘʳᵘᵘ",167,99.746,0.2,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.144,-37.341,0,"-라후이-",-0.076,-17.431,0,"Ayu_Yua",-21.177,-48.178,0,"ke ro",-10.488,-63.783,0,"Gonyong",20.885,-47.08,0,"Rite_",17.416,-62.663,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,617.716,,,,0,0
3,1,1,0,0,0,1,0,0,0,0,255,255,255,1,629.769,"하루（Haru）",R,12,72,123,-0.494,-0.063,0.031,1.973,-0.216,1.616,-36.566,31.77,0,0,0,57.815,1.534,0,0,0,0,0,R,"ᵏᵘʳᵘᵘ",167,99.746,0.2,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.093,-37.311,0,"-라후이-",-0.047,-17.42,0,"Ayu_Yua",-21.19,-48.191,0,"ke ro",-10.492,-63.776,0,"Gonyong",20.943,-47.084,0,"Rite_",15.069,-61.8,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,631.382,,,,0,0
4,1,1,0,0,0,2,0,0,0,0,255,255,255,2,643.951,"하루（Haru）",R,1,33,96,-2.605,-1.284,0.023,1.84,-0.13,1.23,-36.605,13.48,1,0,0,0,1.594,0,0,0,0,0,R,"ᵏᵘʳᵘᵘ",167,99.746,0.2,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.074,-37.327,0,"-라후이-",-0.285,-17.734,0,"Ayu_Yua",-21.19,-47.965,0,"ke ro",-10.498,-63.83,0,"Gonyong",20.964,-47.058,0,"Rite_",14.312,-63.245,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,1,645.716,,,,0,0
5,1,1,0,0,0,0,1,0,0,0,255,255,255,3,666.708,"하루（Haru）",R,10,81,122,-0.473,-1.713,-0.044,1.712,-0.205,0.897,-36.432,15.213,2,0,0,400,3.008,0,0,1,1,1,R,"소솨소솨",190,80,0.404,3,82,667.699,255,252,193,100,0,145,126,-30,22.345,0.73,0,0.537,103.112,-484.166,-84.497,-0.304,-36.75,0,"-라후이-",-0.048,-17.76,0,"Ayu_Yua",-20.314,-48.364,0,"ke ro",-10.856,-64.304,79,"Gonyong",20.841,-46.982,0,"Rite_",14.575,-63.279,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,667.627,-0.244,-20.181,678.56,3,"ke ro",-9.797,-74.428,0,0,,678.16,,,9,2
6,1,1,0,0,0,0,1,0,1,0,255,1,255,4,703.401,"하루（Haru）",R,27,78,129,-0.002,0.757,-0.012,2.033,-0.058,1.939,-36.576,36.609,2,0,44.459,-138.503,9.965,0,0,0,2,2,L,"Pring__",190,94.841,0.484,3,82,704.228,203,114,125,95,62,145,126,23.382,5.184,0.26,0,0.57,103.112,-484.166,-84.497,-0.499,-36.839,0,"-라후이-",0.01,-17.579,0,"Ayu_Yua",-20.805,-48.969,0,"ke ro",-7.052,-64.988,99,"Gonyong",25.222,-50.26,0,"Rite_",18.53,-62.972,68,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,709.349,1.508,-134.103,714.36,3,"ke ro",0.356,-75.657,1,0,,714.525,712.408,717.413,41,2
7,1,1,1,0,0,0,1,0,1,0,255,2,255,5,738.847,"하루（Haru）",R,0,69,123,0.632,0.178,0.089,2.046,0.272,1.707,-36.531,32.648,2,0,0,19.03,7.795,0,0,0,3,4,R,"아침땅_",179.9,95.405,0.5,2,83,739.866,60,48,127,72,46,107,77,106.822,-59.631,0.02,0.048,0.339,-298.589,319.343,-20.124,-0.045,-37.293,0,"-라후이-",-0.01,-17.574,0,"Ayu_Yua",-20.504,-47.812,0,"ke ro",-10.971,-64.022,0,"Gonyong",21.321,-46.525,0,"Rite_",14.4,-62.642,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,,741.975,,,1,3
8,1,1,1,0,0,1,1,0,1,0,255,2,255,6,756.367,"하루（Haru）",R,7,42,97,0.128,0.398,-0.114,2.062,-0.453,1.852,-36.701,24.332,2,0,229.93,0,3.172,0,0,1,3,4,R,"아침땅_",179.9,95.405,0.5,2,35,757.461,119,54,111,109,62,138,95,100.341,-71.937,-0.19,0.048,0.285,0,0,0,-0.083,-37.32,0,"-라후이-",-0.027,-17.467,0,"Ayu_Yua",-21.146,-48.197,0,"ke ro",-12.125,-64.918,0,"Gonyong",21.42,-46.547,0,"Rite_",17.29,-62.277,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,,759.438,,,1,3
9,1,1,1,0,0,2,1,0,1,0,255,2,255,7,773.205,"하루（Haru）",R,26,80,132,0.471,1.317,0.015,2.165,0.129,2.207,-36.686,41.574,1,0,51.431,-166.356,9.911,0,0,0,3,4,R,"아침땅_",179.9,95.405,0.5,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.478,-37.757,0,"-라후이-",-0.061,-17.444,0,"Ayu_Yua",-21.68,-48.248,0,"ke ro",-11.236,-64.493,0,"Gonyong",21.308,-46.426,0,"Rite_",17.066,-62.281,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,774.382,776.307,,,0,0
10,1,1,1,0,1,2,1,0,1,0,255,2,255,8,788.161,"하루（Haru）",R,26,85,138,-0.803,0.382,-0.089,1.951,-0.414,1.672,-36.514,22.477,2,0,49.243,-159.807,11.177,0,0,1,3,4,R,"아침땅_",179.9,95.405,0.5,2,35,789.102,97,52,99,83,21,135,88,110.546,-70.655,0.95,0,0.316,-286.608,526.644,-22.402,-0.172,-37.151,0,"-라후이-",0,-17.507,0,"Ayu_Yua",-20.869,-47.956,0,"ke ro",-9.818,-61.838,0,"Gonyong",21.282,-46.448,0,"Rite_",13.343,-61.112,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,,791.652,,,1,3
11,1,1,1,0,1,2,1,0,1,0,255,2,255,9,823.751,"하루（Haru）",R,3,48,99,-0.137,-0.445,0.215,1.848,0.78,1.355,-36.821,50.509,2,0,-378.038,0,21.623,0,0,1,3,4,R,"아침땅_",179.9,95.405,0.5,2,35,824.827,90,52,96,84,55,132,129,27.691,38.838,0.45,0.009,0.289,258.635,539.049,50.344,-0.227,-37.212,0,"-라후이-",0.016,-17.519,0,"Ayu_Yua",-21.144,-48.035,0,"ke ro",-11.156,-65.524,0,"Gonyong",21.278,-46.465,0,"ByeolBam",15.774,-63.556,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,829.66,-84.157,-99.598,0,0,"",0,0,0,0,,836.258,829.921,,1,3
12,1,1,1,0,1,2,1,0,1,0,255,2,255,10,847.334,"하루（Haru）",R,3,51,98,-4.32,-0.743,-0.171,1.854,-0.909,1.179,-36.617,14.559,1,0,-445.455,0,23.704,0,0,0,3,4,R,"아침땅_",179.9,95.405,0.5,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.541,-37.519,0,"-라후이-",-0.23,-18.04,0,"Ayu_Yua",-21.237,-47.986,0,"ke ro",-12.316,-63.882,0,"Gonyong",21.215,-46.398,0,"ByeolBam",15.106,-63.765,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,848.682,850.058,,,0,0
13,1,1,1,0,2,2,1,0,1,0,255,2,255,11,862.348,"하루（Haru）",R,28,67,122,1.024,0.96,0.094,2.124,0.369,2.05,-36.664,47.893,2,0,45.4,-98.982,7.388,0,0,1,3,4,R,"아침땅_",179.9,95.405,0.5,2,81,863.368,110,55,130,74,45,137,106,30.947,13.414,0.06,0,0.288,309.699,513.876,-4.226,-0.309,-37.112,0,"-라후이-",-0.019,-17.377,0,"Ayu_Yua",-21.369,-48.085,0,"ke ro",-12.723,-63.608,0,"Gonyong",21.238,-46.51,0,"ByeolBam",13.552,-64.816,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,868.449,-31.244,-103.773,873.804,5,"ByeolBam",5.959,-57.511,0,0,,869.439,,,33,1
14,1,1,1,0,0,0,2,0,1,0,255,2,255,12,894.786,"하루（Haru）",R,10,74,116,0.428,-0.217,0.075,2.113,0.184,1.946,-36.58,36.899,2,0,0,392.438,9.655,0,0,0,4,3,R,"Multeinn",160,89.555,0.501,3,81,895.749,255,180,110,92,51,145,119,31.927,25.389,0.68,0,0.358,247.32,-539.459,-77.582,-0.049,-37.397,0,"-라후이-",0.067,-17.759,0,"Ayu_Yua",-21.377,-47.932,0,"ke ro",-11.609,-64.927,76,"Gonyong",21.381,-46.89,0,"ByeolBam",14.634,-63.831,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,901.104,-32.849,-119.149,907.782,3,"ke ro",-7.831,-75.656,1,0,,905.913,900.937,906.153,9,2
15,1,1,2,0,0,0,2,0,1,0,255,3,255,13,939.805,"하루（Haru）",R,28,77,128,-1.749,-1.602,-0.164,1.641,-0.764,0.583,-36.416,16.023,1,0,5.321,-82.852,11.343,0,0,0,5,5,L,"눈꽃",174.6,89.959,0.496,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.566,-37.549,0,"-라후이-",0.194,-17.964,111,"Ayu_Yua",-20.131,-49.199,0,"ke ro",-8.602,-65.442,0,"Gonyong",21.48,-42.556,0,"ByeolBam",7.231,-61.63,0,"AI",40.902,-90.652,0,"AI",0,-109.842,0,"AI",-40.802,-90.552,0,0,0,0,0,0,"",0,0,0,0,941.204,943.884,,,0,0
16,1,1,2,0,1,0,2,0,1,0,255,3,255,14,957.581,"하루（Haru）",R,27,82,134,-0.246,0.667,-0.026,2.073,-0.166,1.866,-36.607,34.775,2,0,41.024,-105.883,8.554,0,0,1,5,5,L,"눈꽃",174.6,89.959,0.496,3,80,958.784,168,33,71,73,14,142,91,-62.124,-6.948,-0.44,0,0.286,-580.688,-94.837,-112.287,-0.426,-37.552,0,"-라후이-",-0.012,-17.625,0,"Ayu_Yua",-20.182,-49.281,86,"ke ro",-9.058,-64.546,0,"Gonyong",20.954,-45.319,0,"ByeolBam",8.638,-60.817,0,"AI",40.903,-90.653,0,"AI",0,-109.843,0,"AI",-40.803,-90.552,0,958.682,0.02,-19.599,962.36,5,"ByeolBam",3.712,-49.873,1,0,,,962.466,,51,2
17,1,1,2,0,0,0,2,1,0,1,5,255,3,15,997.643,"하루（Haru）",R,27,82,135,0.766,0.516,0.048,1.993,0.223,1.809,-36.539,31.67,0,0,77.466,-126.575,9.731,0,0,0,0,0,R,"ᵏᵘʳᵘᵘ",190,99.746,0.2,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.136,-37.159,0,"-라후이-",-0.062,-17.506,0,"Ayu_Yua",-19.064,-42.105,0,"ke ro",-9.96,-63.114,0,"Gonyong",20.379,-43.978,0,"Rite_",16.329,-61.275,0,"AI",40.902,-90.652,0,"AI",0,-109.842,0,"AI",-40.802,-90.552,0,0,0,0,0,0,"",0,0,0,0,999.238,,1000.601,,0,0
18,1,1,2,0,0,1,2,1,0,1,5,255,3,16,1013.117,"하루（Haru）",R,10,13,69,-0.036,-0.579,0.02,2.117,-0.016,2.208,-36.649,51.901,0,0,0,400,-46.393,0,0,0,0,0,R,"ᵏᵘʳᵘᵘ",190,99.746,0.2,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.569,-37.439,0,"-라후이-",-0.126,-17.884,0,"Ayu_Yua",-18.899,-43.175,0,"ke ro",-10.261,-63.455,0,"Gonyong",20.337,-44.01,0,"Rite_",17.293,-63.042,0,"AI",40.902,-90.652,0,"AI",0,-109.842,0,"AI",-40.802,-90.552,0,0,0,0,0,0,"",0,0,0,0,1015.215,,1016.55,,0,0
