id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,buntGrip,handDist,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,245.857,"Sabo_10",L,32,81,133,-0.879,0.596,-0.678,1.356,-0.128,1.978,-37.045,39.105,2,0,-153.219,-19.78,-14.31,0,0,1,0,4,R,"SUGUN",190,90.072,0.225,2,67,246.858,80,38,31,35,26,68,67,109.115,-61.659,0.96,-0.003,0.001,0,0.233,-0.17,-37.094,0,"Pring__",-0.032,-17.163,0,"소솨소솨",-20.27,-46.025,0,"Cospra",-8.492,-62.441,0,"눈꽃",18.78,-47.707,0,"편하비_",12.345,-62.303,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,251.553,-33.392,-1.432,0,0,"",0,0,0,0,,,,,16,3
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,261.064,"Sabo_10",L,33,85,138,1.563,0.412,-0.527,1.381,0.842,1.842,-36.861,16.631,2,0,-106.647,-43.313,-27.1,0,0,1,0,4,R,"SUGUN",190,90.072,0.225,2,55,262.053,201,45,80,57,34,145,91,40.644,-33.261,-0.8,-0.007,-0.011,0,0.408,-0.28,-37.251,0,"Pring__",0.018,-17.207,0,"소솨소솨",-21.251,-46.176,0,"Cospra",-9.442,-61.094,0,"눈꽃",18.84,-47.251,0,"편하비_",13.845,-63.629,0,"AI",40.9,-90.65,0,"AI",0,-109.85,0,"AI",-40.8,-90.55,0,271.375,0.947,-40.052,271.709,0,"Sabo_10",0.343,-39.436,0,0,,,,,16,1
3,1,1,0,0,0,1,1,0,0,0,255,255,255,2,302.76,"Sabo_10",L,32,86,139,0.873,0.299,-0.613,1.361,0.565,1.712,-36.904,28.172,2,0,-156.208,-60.154,-29.509,0,0,1,1,5,R,"ke ro",165.2,85.254,0.401,3,66,303.743,156,100,77,69,28,144,81,44.783,5.798,-0.85,-0.054,-0.098,0,0.426,-0.112,-37.228,0,"Pring__",-0.059,-17.214,108,"소솨소솨",-20.332,-46.756,0,"Cospra",-9.715,-60.02,0,"눈꽃",17.398,-47.883,0,"편하비_",12.607,-64.841,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,313.242,2.7,-47.762,317.487,1,"Pring__",9.815,-7.343,1,0,317.487,318.782,,,48,2
4,1,1,0,0,0,0,1,0,1,0,255,5,255,3,340.955,"Sabo_10",L,33,90,140,1.625,0.036,-0.465,1.353,0.83,1.562,-36.827,16.847,2,0,-106.527,-82.308,-30.415,0,0,1,2,3,R,"-라후이-",179.9,87,0.496,3,67,341.83,175,87,130,87,54,145,87,114.9,-11.532,-0.81,-0.022,-0.103,0,0.045,0.058,-37.459,0,"Pring__",0.03,-17.276,0,"소솨소솨",-18.411,-46.336,0,"Cospra",-3.963,-60.069,0,"눈꽃",17.572,-47.351,0,"편하비_",13.158,-64.222,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,347.453,-3.486,23.796,0,0,"",0,0,0,0,,344.383,,,16,3
5,1,1,0,0,0,1,1,0,1,0,255,5,255,4,358.431,"Sabo_10",L,32,85,138,-2.724,0.661,-0.67,1.407,-0.899,1.955,-36.942,32.568,4,0,-189.916,-57.832,-28.803,-0.817,-17.896,1,2,3,R,"-라후이-",179.9,87,0.496,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.287,-37.639,0,"Pring__",-0.723,-17.943,0,"소솨소솨",-20.295,-45.234,0,"Cospra",-6.957,-60.563,0,"눈꽃",19.022,-44.326,0,"편하비_",12.155,-65.106,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,360.366,360.953,,,0,0
6,1,1,0,0,0,2,1,0,1,0,255,5,255,5,374.31,"Sabo_10",L,4,77,123,-1.13,0.208,-0.889,1.259,-0.866,1.741,-37.058,49.833,0,0,233.595,0,-7.555,0,0,0,2,3,R,"-라후이-",179.9,87,0.496,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.436,-37.781,0,"Pring__",-0.067,-17.342,0,"소솨소솨",-20.076,-45.181,0,"Cospra",-6.994,-61.523,0,"눈꽃",18.11,-43.997,0,"편하비_",12.357,-64.816,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,375.109,378.001,,,0,0
7,1,1,0,0,0,0,2,0,1,0,255,5,255,6,397.159,"Sabo_10",L,27,91,140,0.953,0.563,-0.467,1.376,0.525,1.812,-36.773,13.002,2,0,-136.003,-138.172,-54.565,0,0,1,3,1,R,"Ipwn64g",174.7,100.134,0.6,0,67,398.276,62,54,61,63,29,84,70,-30,43.243,0.94,0.014,-0.048,0,0.157,-0.059,-37.38,0,"Pring__",0.009,-17.385,0,"소솨소솨",-18.65,-44.717,0,"Cospra",-6.148,-60.113,0,"눈꽃",17.481,-45.846,0,"편하비_",11.859,-64.483,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,398.087,-1.387,-20.916,402.176,2,"소솨소솨",-14.753,-36.626,0,0,462.987,,402.552,,44,2
8,1,0,0,0,0,0,0,0,0,0,255,255,255,0,498.723,"Roslynn",R,6,68,97,-0.435,-0.004,-0.439,1.961,-1.118,1.611,-36.544,28.932,0,0,434.204,0,0,-0.092,-17.46,1,0,5,L,"편하비_",170,86,0.455,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.574,-37.171,0,"Ipwn64g",0.046,-17.435,0,"encounter v",-22.86,-51.603,0,"-라후이-",-15.067,-61.603,0,"SUGUN",21.052,-49.403,0,"ke ro",9.405,-65.284,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,501.42,,,,0,0
9,1,0,0,0,0,1,0,0,0,0,255,255,255,1,512.689,"Roslynn",R,26,71,125,-0.238,-0.285,-0.058,1.836,-0.269,1.251,-36.396,42.566,2,0,110.45,-162.572,0,0,0,1,0,5,L,"편하비_",170,86,0.455,2,67,513.643,255,145,140,90,41,145,81,7.382,-32.239,-0.92,0.013,-0.037,0,0.247,-0.41,-36.751,0,"Ipwn64g",0.007,-17.335,0,"encounter v",-20.233,-47.888,92,"-라후이-",-15.134,-61.848,0,"SUGUN",20.773,-48.623,95,"ke ro",9.376,-65.703,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,514.864,16.84,-49.551,515.276,4,"SUGUN",15.256,-46.329,0,0,,,,,49,1
10,1,0,0,0,0,0,1,0,0,0,255,255,255,2,535.365,"Roslynn",R,10,73,116,0.05,-2.094,-0.033,1.796,0.023,0.875,-36.51,36.309,4,0,0,400,0,0.012,-19.183,1,1,3,R,"Cospra",170.2,95,0.5,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045,-37.179,0,"Ipwn64g",-0.035,-17.187,107,"encounter v",-20.779,-47.326,0,"-라후이-",-13.154,-62.497,0,"SUGUN",21.357,-49.58,0,"ke ro",9.969,-65.547,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,536.742,,,,0,0
