id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,755.563,"Pugeuk",R,28,86,140,0.895,0.686,0.075,1.626,0.349,1.917,-36.442,17.899,0,0,33.329,-99.989,13.306,0,0,0,0,8,R,"편하비_",176.7,94.705,0.605,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048,-37.259,0,"encounter v",-0.079,-17.374,0,"mochi_2929",-20.579,-48.556,0,"Yaksok~",-15.994,-62.549,0,"bdg06213",20.058,-49.68,0,"Penguin_iDOL",12.946,-63.478,0,"si_ho",39.771,-91.286,0,"아침땅_",-3.7,-107.488,0,"소솨소솨",-38.758,-83.371,0,0,0,0,0,0,"",0,0,0,0,756.571,,,,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,766.933,"Pugeuk",R,3,82,121,1.702,1.298,0.371,1.684,1.416,2.315,-36.623,27.341,1,0,-498.018,-44.476,72.225,0,0,0,0,8,R,"편하비_",176.7,94.705,0.605,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.136,-37.875,0,"encounter v",-0.045,-17.511,0,"mochi_2929",-20.73,-50.062,0,"Yaksok~",-16.304,-59.783,0,"bdg06213",20.573,-50.548,0,"Penguin_iDOL",12.441,-63.802,0,"si_ho",42.508,-91.766,0,"아침땅_",-3.643,-107.44,0,"소솨소솨",-38.016,-80.084,0,0,0,0,0,0,"",0,0,0,0,768.116,,,,0,0
3,1,1,0,0,1,1,0,0,0,0,255,255,255,2,779.322,"Pugeuk",R,6,78,105,-0.164,-0.844,-0.316,1.328,-0.978,1.139,-36.384,7.751,2,0,477.273,0,28.77,0,0,0,0,8,R,"편하비_",176.7,94.705,0.605,2,78,780.261,224,131,53,91,25,137,80,-42.35,-11.443,-0.88,0,0.317,170.998,-563.66,-114.223,-0.265,-37.128,0,"encounter v",-0.086,-17.576,0,"mochi_2929",-19.978,-48.255,79,"Yaksok~",-15.94,-60.035,0,"bdg06213",19.756,-47.426,0,"Penguin_iDOL",12.875,-63.603,107,"si_ho",43.003,-91.36,0,"아침땅_",-3.637,-107.466,0,"소솨소솨",-36.905,-79.697,0,780.138,0.15,-20.354,783.16,5,"Penguin_iDOL",7.805,-54.553,0,0,,,,,66,0
4,1,1,0,0,0,0,1,0,0,0,255,255,255,3,809.908,"Pugeuk",R,26,79,130,-0.779,1.025,-0.061,1.65,-0.286,2.008,-36.468,16.221,0,0,-56.83,-188.515,40.354,0,0,0,1,7,L,"Kr_Luna",174.4,92.714,0.497,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023,-37.737,0,"encounter v",-0.074,-17.648,0,"mochi_2929",-18.553,-43.937,0,"Yaksok~",-16.096,-63.158,0,"bdg06213",21.99,-50.451,0,"Penguin_iDOL",11.87,-63.779,0,"si_ho",42.648,-92.141,0,"아침땅_",7.582,-111.774,0,"소솨소솨",-33.581,-81.979,0,0,0,0,0,0,"",0,0,0,0,810.993,,,,0,0
5,1,1,0,0,0,1,1,0,0,0,255,255,255,4,822.301,"Pugeuk",R,6,80,118,2.02,-0.359,0.031,1.561,0.144,1.691,-36.442,17.24,4,0,444.295,229.352,35.84,0,0,1,1,7,L,"Kr_Luna",174.4,92.714,0.497,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.086,-37.706,0,"encounter v",-0.02,-17.459,0,"mochi_2929",-18.183,-46.73,0,"Yaksok~",-16.153,-63.147,0,"bdg06213",21.565,-51.558,0,"Penguin_iDOL",11.894,-63.77,0,"si_ho",42.645,-92.145,0,"아침땅_",7.796,-112.933,0,"소솨소솨",-29.892,-73.249,0,0,0,0,0,0,"",0,0,0,0,823.471,,,,0,0
6,1,1,0,0,0,2,1,0,0,0,255,255,255,5,835.326,"Pugeuk",R,29,76,128,-0.906,1.496,-0.007,1.776,-0.033,2.45,-36.273,24.994,1,0,-250,-13.213,16.328,0,0,0,1,7,L,"Kr_Luna",174.4,92.714,0.497,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.111,-37.459,0,"encounter v",-0.081,-17.588,0,"mochi_2929",-17.866,-48.589,0,"Yaksok~",-18.774,-58.413,0,"bdg06213",22.194,-51.387,0,"Penguin_iDOL",11.977,-63.813,0,"si_ho",42.71,-92.206,0,"아침땅_",7.77,-112.885,0,"소솨소솨",-30.108,-73.813,0,0,0,0,0,0,"",0,0,0,0,836.482,,,,0,0
7,1,1,0,0,1,2,1,0,0,0,255,255,255,6,852.084,"Pugeuk",R,13,88,112,-0.359,-0.916,0.172,1.505,0.534,1.548,-36.593,17.961,0,0,-378.67,326.511,-0.384,0,0,0,1,7,L,"Kr_Luna",174.4,92.714,0.497,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.155,-37.958,0,"encounter v",-0.085,-17.706,0,"mochi_2929",-9.227,-63.707,0,"Yaksok~",-17.12,-47.605,0,"bdg06213",23.054,-49.153,0,"Penguin_iDOL",12.903,-61.986,0,"si_ho",42.676,-92.204,0,"아침땅_",7.738,-112.878,0,"소솨소솨",-28.913,-74.586,0,0,0,0,0,0,"",0,0,0,2,853.293,,,,0,0
8,1,1,0,0,0,0,2,0,0,0,255,255,255,7,870.651,"Pugeuk",R,29,80,132,-1.697,1.33,-0.088,1.733,-0.41,2.278,-36.382,20.004,2,0,-250,-125.895,29.164,0,0,1,2,9,L,"눈꽃",180,89.959,0.496,3,77,871.797,221,119,106,97,34,145,105,28.441,28.402,0.04,0,0.443,429.44,143.909,-388.956,-0.131,-37.374,0,"encounter v",0.043,-17.615,0,"mochi_2929",-11.193,-62.371,0,"Yaksok~",-18.26,-46.313,0,"bdg06213",21.382,-50.398,76,"Penguin_iDOL",14.163,-62.141,0,"si_ho",42.69,-92.254,0,"아침땅_",7.064,-108.349,0,"소솨소솨",-33.366,-78.851,91,876.882,-46.613,-101.197,880.927,8,"소솨소솨",-49.702,-114.377,1,0,,881.099,885.549,,134,2
9,1,1,0,0,0,0,2,0,0,1,255,255,9,8,914.218,"Pugeuk",R,26,81,132,-0.395,1.06,-0.015,1.696,-0.069,2.127,-36.396,18.771,4,0,-112.666,-169.302,37.648,0,0,1,3,4,L,"NABIMan",190,81.885,0.496,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002,-37.698,0,"encounter v",-0.002,-17.355,120,"mochi_2929",-19.582,-45.979,0,"Yaksok~",-18.815,-61.185,0,"bdg06213",18.997,-40.014,0,"Penguin_iDOL",12.872,-55.402,0,"si_ho",42.814,-86.801,0,"아침땅_",7.339,-106.873,0,"소솨소솨",-40.373,-85.687,0,0,0,0,0,0,"",0,0,0,0,915.393,,917.265,,0,0
10,1,1,0,0,0,1,2,0,0,1,255,255,9,9,939.814,"Pugeuk",R,14,84,109,2.199,-1.69,0.07,1.243,0.217,0.992,-36.457,23.352,4,0,386.885,312.348,33.985,0.583,-18.351,1,3,4,L,"NABIMan",190,81.885,0.496,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,-37.759,0,"encounter v",-0.009,-17.558,0,"mochi_2929",-19.247,-46.308,0,"Yaksok~",-17.657,-62.113,0,"bdg06213",19.605,-41.567,0,"Penguin_iDOL",13.171,-55.703,0,"si_ho",42.951,-87.005,0,"아침땅_",7.109,-106,0,"소솨소솨",-37.346,-82.082,0,0,0,0,0,0,"",0,0,0,0,941.293,,,,0,0
