id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,366.89,"Muna_328",R,29,88,140,-2.913,2.034,-0.159,1.909,-0.957,2.803,-36.448,24.218,4,0,-230.003,-99.604,-6.006,0,0,1,0,2,L,"ًً미소",190,80,0.4,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,-37.514,0,"소솨소솨",-0.534,-15.983,0,"Pring__",-22.04,-47.896,0,"Cospra",-13.592,-62.465,0,"schmoneymikey",23.248,-52.54,0,"Rite_",16.399,-61.422,0,"muyang_",43.512,-95.787,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,370.058,,,,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,384.805,"Muna_328",R,6,86,126,1.232,-0.145,0.003,1.616,-0.205,1.516,-36.35,7.933,0,0,500,0,23.112,0,0,0,0,2,L,"ًً미소",190,80,0.4,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.175,-37.665,0,"소솨소솨",0.026,-17.087,0,"Pring__",-21.993,-47.845,0,"Cospra",-11.767,-61.82,0,"schmoneymikey",22.42,-51.817,0,"Rite_",16.469,-61.415,0,"muyang_",43.526,-95.853,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,386.125,,,,0,0
3,1,1,0,0,0,2,0,0,0,0,255,255,255,2,397.234,"Muna_328",R,30,73,125,-3.925,1.885,-0.246,2.009,-1.362,2.791,-36.472,33.835,3,0,-107.639,-19.836,10.518,0.832,-20.13,0,0,2,L,"ًً미소",190,80,0.4,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.029,-37.057,0,"소솨소솨",-0.254,-16.822,0,"Pring__",-21.952,-47.857,0,"Cospra",-12.254,-61.424,0,"schmoneymikey",22.401,-51.804,0,"Rite_",16.356,-61.561,0,"muyang_",43.227,-95.954,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,401.258,,,,0,6
4,1,1,0,0,2,2,0,0,0,0,255,255,255,3,428.148,"Muna_328",R,0,72,112,2.977,1.278,0.404,1.909,1.284,2.417,-36.839,59.828,1,0,0,0,-20.177,0,0,0,0,2,L,"ًً미소",190,80,0.4,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,-37.503,0,"소솨소솨",0.098,-17.056,0,"Pring__",-20.698,-45.026,0,"Cospra",-9.417,-62.316,0,"schmoneymikey",22.588,-50.274,0,"Rite_",16.385,-61.695,0,"muyang_",44.273,-97.481,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,429.447,,,,0,0
5,1,1,0,0,3,2,0,0,0,0,255,255,255,4,442.088,"Muna_328",R,26,90,140,-0.774,-0.98,0.021,1.404,-0.119,0.83,-36.341,19.46,2,0,-170.874,-200,-1.96,0,0,1,0,2,L,"ًً미소",190,80,0.4,2,65,443.224,172,107,104,74,47,145,95,-20.076,14.219,0.96,0,0.243,-581.647,-142.554,-36.953,-0.146,-36.767,0,"소솨소솨",-0.076,-17.247,0,"Pring__",-21.289,-47.329,0,"Cospra",-12.288,-62.396,0,"schmoneymikey",23.227,-51.793,0,"Rite_",16.385,-61.523,0,"muyang_",44.069,-97.753,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,443.069,-0.502,-19.891,445.991,4,"schmoneymikey",-10.595,-62.404,1,0,,492.659,,,33,2
6,1,1,0,0,0,0,0,0,1,0,255,255,255,5,504.984,"Muna_328",R,37,91,140,-1.335,0.162,-0.131,1.691,-0.61,1.771,-36.206,23.014,0,0,29.399,89.359,1.84,0,0,0,1,4,R,"k@ster",174.9,90.371,0.2,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.148,-37.488,0,"소솨소솨",-0.386,-17.139,0,"Pring__",-20.836,-46.333,0,"Cospra",-6.527,-61.305,0,"schmoneymikey",21.074,-50.315,0,"Rite_",9.203,-65.265,0,"muyang_",36.928,-86.647,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,505.914,506.819,,,0,0
7,1,1,0,0,0,1,0,0,1,0,255,255,255,6,518.192,"Muna_328",R,37,90,140,1.646,-0.38,0.153,1.608,0.711,1.475,-36.252,10.671,4,0,1.211,92.482,-3.296,0,0,1,1,4,R,"k@ster",174.9,90.371,0.2,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.028,-37.608,0,"소솨소솨",-0.034,-17.183,0,"Pring__",-20.797,-46.376,0,"Cospra",-7.217,-61.278,0,"schmoneymikey",21.875,-50.888,0,"Rite_",8.766,-65.324,0,"muyang_",39.109,-88.747,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,519.136,,,,0,0
8,1,1,0,0,0,2,0,0,1,0,255,255,255,7,531.652,"Muna_328",R,14,77,115,0.434,-1.254,-0.092,1.554,-0.426,1.288,-36.228,10.832,2,0,377.089,328.335,3.216,0,0,1,1,4,R,"k@ster",174.9,90.371,0.2,2,53,532.511,163,121,67,65,46,139,89,-53.803,-41.04,-0.41,0,0.122,-209.753,-442.623,-346.538,-0.028,-36.683,0,"소솨소솨",-0.2,-17.275,0,"Pring__",-20.778,-46.367,85,"Cospra",-2.43,-61.646,0,"schmoneymikey",21.857,-50.884,104,"Rite_",8.862,-65.23,0,"muyang_",39.312,-88.895,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,532.28,0.403,-20.896,534.636,4,"schmoneymikey",19.606,-42.872,1,1,,,537.187,,38,2
9,1,1,0,0,0,0,1,1,0,0,4,255,255,8,556.148,"Muna_328",R,27,92,140,0.561,-1.233,0.06,1.377,0.28,0.741,-36.244,17.75,1,0,-33.288,-119.235,0.266,0,0,0,2,1,R,"SUGUN",190,80,0.224,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089,-37.309,0,"소솨소솨",-0.097,-17.159,107,"Pring__",-20.623,-42.238,0,"Cospra",-9.034,-62.543,0,"schmoneymikey",22.004,-50.447,0,"Rite_",8.008,-65.887,0,"muyang_",44.347,-93.126,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,557.202,,,,0,0
10,1,1,0,0,1,0,1,1,0,0,4,255,255,9,570.435,"Muna_328",R,26,93,140,-1.528,-0.583,-0.126,1.502,-0.588,1.149,-36.197,6.035,2,0,-95.527,-200,-6.97,0,0,1,2,1,R,"SUGUN",190,80,0.224,3,61,571.259,92,41,45,67,16,120,105,106.891,-56.53,0.8,0,0.289,561.264,141.412,154.23,-0.268,-36.681,0,"소솨소솨",-0.181,-17.159,0,"Pring__",-20.088,-43.573,0,"Cospra",-11.872,-61.058,0,"schmoneymikey",22.566,-50.913,0,"Rite_",8.004,-65.926,0,"muyang_",43.631,-93.543,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,,,,,32,3
