id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,205.593,"_Chun",L,14,72,99,-0.312,-0.694,-0.057,1.744,0.444,1.645,-36.523,23.583,2,0,-317.234,354.621,-23.999,0,0,1,0,2,R,"SUGUN",190,81.662,0.502,3,98,W,Y,206.779,255,176,54,120,90,137,130,114.334,-66.293,0.5,0,0.47,87.86,-352.848,-87.959,-0.012,-37.18,0,"べるちゃそ",-0.072,-17.768,0,"Luckƴ",-20.142,-44.244,0,"seikka",-12.993,-64.476,0,"Salmon247",19.679,-43.332,0,"YukihiroD",9.013,-62.35,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,,,,,8,3
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,221.944,"_Chun",L,26,88,140,2.408,0.623,0.01,1.882,0.979,1.816,-36.523,28.017,2,0,49.741,-200,-4.735,0,0,1,0,2,R,"SUGUN",190,81.662,0.502,3,98,W,Y,223.002,111,4,35,0,0,24,44,-51.715,40.031,-0.83,0,0.153,-360.801,-89.92,-468.865,-0.231,-37.454,83,"べるちゃそ",-0.075,-17.836,0,"Luckƴ",-20.037,-43.392,81,"seikka",-13.427,-62.821,0,"Salmon247",19.649,-43.295,0,"YukihiroD",9.013,-62.35,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,223.357,-0.266,-20.188,227.724,-1,"YukiDvR",-11.856,-36.207,0,1,,,,,40,2
3,1,1,0,0,0,0,1,0,0,0,255,255,255,2,264.366,"_Chun",L,26,88,140,0.858,0.581,-0.126,1.879,0.233,1.797,-36.523,34.45,2,0,124.498,-200,-18.598,0,0,1,1,4,R,"BegForMercy",190,93.353,0.575,3,73,W,Y,265.479,102,94,40,107,72,120,75,62.631,33.851,-0.79,0,0.313,-188.443,-139.322,7.03,-0.058,-37.182,0,"べるちゃそ",-0.02,-17.916,0,"Luckƴ",-19.742,-43.776,77,"seikka",-15.153,-63.704,0,"Salmon247",20.798,-44.832,0,"YukihiroD",13.639,-64.286,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,270.802,-20.977,-55.416,271.057,2,"Luckƴ",-20.312,-54.255,0,0,,,,,40,1
4,1,1,0,0,0,0,2,0,0,0,255,255,255,3,291.019,"_Chun",L,6,66,95,0.913,-0.017,0.201,1.776,1.144,1.618,-36.523,21.415,0,0,-431.818,0,-29.501,0,0,1,2,1,R,"소솨소솨",190,80,0.405,0,96,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.277,-37.82,0,"べるちゃそ",-0.203,-17.974,0,"Luckƴ",-19.008,-43.73,0,"seikka",-12.879,-63.686,0,"Salmon247",20.067,-43.95,0,"YukihiroD",12.935,-63.708,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,293.402,,,,0,0
5,1,1,0,0,0,1,2,0,0,0,255,255,255,4,304.538,"_Chun",L,26,87,140,1.732,0.91,-0.044,1.915,0.545,2.018,-36.523,35.161,2,0,156.281,-181.371,-17.626,0,0,1,2,1,R,"소솨소솨",190,80,0.405,3,96,W,Y,305.744,255,174,161,56,18,145,93,25.217,-33.373,-0.67,0.095,0.682,-496.009,-281.994,27.841,-0.104,-37.422,0,"べるちゃそ",-0.136,-17.857,0,"Luckƴ",-20.011,-44.313,0,"seikka",-11.772,-63.804,83,"Salmon247",20.073,-43.966,0,"YukihiroD",13.494,-63.165,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,309.424,39.438,-72.965,310.713,6,"AI",46.969,-82.017,1,0,,,,,10,2
6,1,1,0,0,0,0,2,1,0,0,1,255,255,5,333.77,"_Chun",L,29,93,140,3.249,-0.403,0.104,1.678,1.209,1.234,-36.523,18.131,2,0,176.791,-142.37,-14.411,0,0,1,3,5,L,"schmoneymikey",174.8,80,0.351,3,95,W,Y,334.875,255,109,98,67,0,145,95,25.177,15.439,0.94,0,0.19,105.055,-111.704,-61.398,-0.085,-37.44,0,"べるちゃそ",-0.106,-17.772,0,"Luckƴ",-18.418,-44.154,0,"seikka",-10.741,-60.964,0,"Salmon247",20.415,-44.191,0,"YukihiroD",15.716,-58.327,78,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,339.913,-19.421,-99.921,341.279,7,"AI",-20.888,-107.323,1,0,,339.692,344.705,,9,2
7,1,1,0,0,0,0,2,0,1,1,255,5,1,6,367.446,"_Chun",L,29,87,140,1.783,-0.449,-0.023,1.682,0.576,1.184,-36.523,25.937,1,0,178.47,-165.13,-17.02,0.722,-10.935,0,4,3,R,"Roslynn",190,95.819,0.656,0,94,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.08,-37.975,0,"べるちゃそ",-0.084,-17.923,0,"Luckƴ",-19.828,-44.322,0,"seikka",-11.048,-61.579,0,"Salmon247",19.271,-40.398,0,"YukihiroD",6.05,-63.553,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,372.146,372.449,370.56,,0,0
8,1,1,0,0,1,0,2,0,1,1,255,5,1,7,389.985,"_Chun",L,14,88,126,1.132,-0.697,0.081,1.718,1.061,1.489,-36.523,16.781,0,0,-387.39,316.115,-33.699,0,0,0,4,3,R,"Roslynn",190,95.819,0.656,0,94,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.166,-37.646,0,"べるちゃそ",-0.169,-17.666,0,"Luckƴ",-19.611,-42.998,0,"seikka",-10.784,-61.415,0,"Salmon247",20.094,-42.257,0,"YukihiroD",2.319,-61.966,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,392.024,392.836,393.095,,0,0
9,1,1,0,0,1,1,2,0,1,1,255,5,1,8,405.223,"_Chun",L,26,83,135,0.919,0.578,-0.109,1.872,0.22,1.815,-36.523,37.619,0,0,133.837,-171.854,-14.302,0,0,1,4,3,R,"Roslynn",190,95.819,0.656,0,94,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.139,-37.7,0,"べるちゃそ",-0.084,-17.657,0,"Luckƴ",-18.543,-44.367,0,"seikka",-10.647,-62.856,0,"Salmon247",19.795,-40.957,0,"YukihiroD",6.166,-64.245,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,407.179,409.501,408.554,,0,0
10,1,1,0,0,1,2,2,0,1,1,255,5,1,9,422.31,"_Chun",L,14,90,126,-2.61,-1.569,-0.277,1.622,-0.603,0.992,-36.523,26.46,4,0,-349.311,357.745,-19.905,0,0,1,4,3,R,"Roslynn",190,95.819,0.656,0,68,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099,-38.107,0,"べるちゃそ",-0.53,-17.745,0,"Luckƴ",-18.348,-45.367,0,"seikka",-10.605,-62.741,0,"Salmon247",20.186,-40.392,0,"YukihiroD",10.452,-63.422,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,424.313,425.479,,,0,0
11,1,0,0,0,0,0,0,0,0,0,255,255,255,0,520.758,"3Ducks",R,14,78,115,1.849,-0.984,0.164,1.706,0.259,1.336,-36.542,17.262,2,0,369.881,336.434,22.701,0,0,1,0,1,L,"べるちゃそ",190,89.553,0.398,3,93,W,Y,521.973,197,77,55,90,80,137,108,-6.977,-41.465,0.91,0,0.29,-56.621,-308.2,59.893,0.097,-37.047,0,"소솨소솨",-0.072,-17.201,0,"SUGUN",-18.571,-44.431,81,"Roslynn",-12.327,-61.32,0,"BegForMercy",24.574,-48.925,120,"schmoneymikey",12.844,-64.314,0,"AI",40.904,-90.653,0,"AI",0,-109.844,0,"AI",-40.804,-90.553,0,522.368,4.497,-25.871,523.624,4,"BegForMercy",20.155,-44.651,0,0,,,,,35,2
12,1,0,0,0,0,0,1,0,0,0,255,255,255,1,544.108,"3Ducks",R,14,81,118,0.915,-2.745,0.056,1.57,-0.07,0.17,-36.542,19.913,1,0,382.867,321.579,28.471,0.199,-20.313,0,1,5,R,"YukihiroD",174,87.01,0.349,0,93,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016,-37.752,0,"소솨소솨",0.04,-17.546,0,"SUGUN",-18.385,-44.306,0,"Roslynn",-12.235,-59.732,0,"BegForMercy",24.804,-49.402,0,"schmoneymikey",11.306,-64.704,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,548.313,,,,0,0
13,1,0,0,0,1,0,1,0,0,0,255,255,255,2,561.187,"3Ducks",R,6,76,115,1.665,-0.198,0.138,1.786,-0.059,1.546,-36.542,21.717,2,0,457.906,0,18.754,0,0,1,1,5,R,"YukihiroD",174,87.01,0.349,3,93,W,Y,562.428,207,160,90,88,21,145,91,-11.469,-19.503,-0.52,0,0.346,-454.762,33.311,-388.437,-0.061,-36.994,0,"소솨소솨",-0.175,-17.452,0,"SUGUN",-18.287,-44.218,72,"Roslynn",-12.621,-58.565,0,"BegForMercy",24.834,-49.867,0,"schmoneymikey",11.641,-63.919,107,"AI",40.904,-90.653,0,"AI",0,-109.844,0,"AI",-40.804,-90.553,0,562.691,1.385,-23.57,564.802,5,"schmoneymikey",13.828,-57.495,0,2,,,,,41,2
14,1,0,0,0,0,0,2,0,0,0,255,255,255,3,590.014,"3Ducks",R,26,80,131,0.763,0.017,0.195,1.86,0.233,1.444,-36.542,36.024,2,0,81.041,-171.531,9.785,0,0,1,2,2,R,"Luckƴ",178.4,82,0.415,2,50,W,Y,591.107,133,76,38,86,26,117,67,35.462,1.836,1,0,0.199,-147.94,404.501,-36.533,-0.29,-37.13,0,"소솨소솨",-0.076,-17.225,0,"SUGUN",-18.531,-44.799,0,"Roslynn",-11.417,-60.31,94,"BegForMercy",24.564,-51.585,0,"schmoneymikey",10.667,-65.36,0,"AI",40.903,-90.653,0,"AI",0,-109.844,0,"AI",-40.803,-90.553,0,0,0,0,595.835,3,"Roslynn",-5.224,-65.356,0,0,,,,,48,1
15,2,1,0,0,0,0,0,0,0,0,255,255,255,10,624.237,"_Chun",L,26,95,140,1.723,0.454,-0.036,1.83,0.587,1.716,-36.523,30.391,1,0,128.632,-200,-23.469,0,0,0,5,0,R,"3Ducks",190,80,0.496,0,93,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071,-37.895,0,"べるちゃそ",-0.058,-17.599,0,"Luckƴ",-18.76,-44.77,0,"seikka",-13.339,-64.814,0,"Salmon247",19.582,-43.886,0,"YukihiroD",13.789,-61.98,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,626.246,,,,0,0
16,2,1,0,0,1,0,0,0,0,0,255,255,255,11,637.01,"_Chun",L,14,80,117,-0.006,0.354,-0.033,1.987,0.638,2.212,-36.523,41.075,2,0,-377.872,327.433,-15.689,0,0,1,5,0,R,"3Ducks",190,80,0.496,3,93,W,Y,638.273,214,88,135,92,63,145,124,28.524,-19.68,0.24,0.143,0.326,362.344,66.881,92.336,-0.201,-37.419,0,"べるちゃそ",-0.049,-17.724,0,"Luckƴ",-19.664,-46.141,0,"seikka",-13.348,-64.847,85,"Salmon247",19.547,-43.77,0,"YukihiroD",13.785,-61.967,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,643.879,36.372,-126.423,645.913,6,"AI",32.796,-119.662,1,0,,648.522,,,40,2
17,2,1,0,0,0,0,0,0,1,0,255,0,255,12,673.015,"_Chun",L,26,89,140,0.357,0.233,-0.163,1.809,-0.046,1.587,-36.523,34.416,2,0,147.246,-182.906,-10.899,0,0,1,0,2,R,"SUGUN",190,81.662,0.502,3,92,W,Y,674.034,204,13,93,14,0,137,102,-30,12.249,0.01,0,0.18,-249.051,279.985,-109.314,-0.159,-37.35,0,"べるちゃそ",-0.177,-17.82,0,"Luckƴ",-18.249,-46.085,82,"seikka",-10.968,-62.887,86,"Salmon247",20.296,-44.112,0,"YukihiroD",3.493,-60.231,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,674.279,-0.292,-21.647,676.402,3,"seikka",-8.131,-57.199,0,0,,677.094,,,44,2
18,2,1,0,0,0,0,1,0,1,0,255,0,255,13,698.705,"_Chun",L,10,94,128,1.828,-1.574,-0.029,1.558,0.797,1.04,-36.523,11.906,2,0,0,400,-13.502,0,0,1,1,4,R,"BegForMercy",190,93.353,0.575,3,64,W,Y,699.845,160,92,83,103,82,145,130,13.406,0.862,0.66,0,0.279,-49.472,110.476,81.667,-0.072,-37.247,0,"べるちゃそ",0.035,-17.731,0,"Luckƴ",-18.319,-45.297,0,"seikka",-11.375,-63.187,85,"Salmon247",19.361,-45.029,0,"YukihiroD",1.225,-59.448,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,703.435,-3.272,-117.069,708.068,3,"seikka",-0.295,-64.943,0,0,,704.418,,,40,1
