id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,488.843,"Slaris",R,26,95,140,-3.401,0.327,-0.189,1.697,-1.284,1.605,-36.586,11.143,40,60,0,1,0,-183.189,-183.922,26.092,0,0,0,0,5,R,"CVPileMaki",170.4,94.088,0.399,0,65,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.239,-36.688,0,"-라후이-",-0.101,-17.705,0,"즉석카레",-21.863,-48.628,0,"낑깡__",-14.645,-67.751,0,"~kawasaaaki~",22.814,-49.352,0,"ぐだもん",14.161,-62.379,0,"メリニット",39.006,-95.588,0,"아침땅_",-4.856,-107.108,0,"ディシジョン",-43.791,-91.729,0,0,0,0,0,0,"",0,0,0,0,490.365,,,,0,0
2,1,1,0,0,1,0,0,0,0,0,255,255,255,1,504.471,"Slaris",R,33,83,134,1.197,1.48,0.274,1.999,0.358,2.365,-36.586,58.09,73,22,5,4,0,108.521,-55.354,12.202,0,0,1,0,5,R,"CVPileMaki",170.4,94.088,0.399,0,65,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.194,-37.385,0,"-라후이-",0.175,-17.648,0,"즉석카레",-21.566,-48.434,0,"낑깡__",-14.164,-67.344,0,"~kawasaaaki~",22.817,-49.366,0,"ぐだもん",15.075,-63.132,0,"メリニット",37.506,-96.542,0,"아침땅_",-4.4,-107.133,0,"ディシジョン",-44.252,-90.714,0,0,0,0,0,0,"",0,0,0,0,506.057,,,,0,0
3,1,1,0,0,1,1,0,0,0,0,255,255,255,2,523.456,"Slaris",R,13,66,107,-2.479,-0.531,0.002,1.853,-0.353,1.776,-36.586,43.642,62,38,0,1,0,-379.786,312.348,-16.93,0,0,0,0,5,R,"CVPileMaki",170.4,94.088,0.399,0,65,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.096,-36.691,0,"-라후이-",-0.36,-17.714,0,"즉석카레",-21.764,-47.761,0,"낑깡__",-14.501,-67.532,0,"~kawasaaaki~",22.944,-49.954,0,"ぐだもん",14.936,-63.114,0,"メリニット",37.48,-96.551,0,"아침땅_",-8.771,-106.829,0,"ディシジョン",-43.834,-90.619,0,0,0,0,0,0,"",0,0,0,0,525.182,,,,0,0
4,1,1,0,0,2,1,0,0,0,0,255,255,255,3,539.813,"Slaris",R,34,85,138,-1.022,0.241,0.073,1.952,-0.565,1.687,-36.586,40.039,69,29,2,2,0,85.638,-33.131,13.693,0,0,1,0,5,R,"CVPileMaki",170.4,94.088,0.399,3,65,W,Y,540.98,145,128,91,44,30,141,95,91.978,-78.779,0.92,0,0.218,74.646,-56.911,-1.23,-0.15,-36.31,0,"-라후이-",-0.182,-17.711,0,"즉석카레",-21.385,-48.145,0,"낑깡__",-13.518,-65.904,0,"~kawasaaaki~",22.672,-49.343,0,"ぐだもん",15.01,-62.955,0,"メリニット",37.894,-96.305,0,"아침땅_",-9.269,-106.333,0,"ディシジョン",-43.481,-91.161,0,547.707,-19.724,-13.973,0,0,"",0,0,0,0,,,,,8,3
5,1,1,0,0,2,2,0,0,0,0,255,255,255,4,573.124,"Slaris",R,14,84,123,0.163,0.39,0.023,2.03,-0.535,2.196,-36.586,51.221,74,21,5,2,0,383.324,321.034,30.588,0,0,1,0,5,R,"CVPileMaki",170.4,94.088,0.399,3,65,W,Y,574.293,186,71,60,73,31,138,79,38.242,-38.465,-0.85,0,0.143,128.141,-352.309,-11.671,-0.217,-36.388,0,"-라후이-",-0.014,-17.792,0,"즉석카레",-22.537,-49.743,0,"낑깡__",-14.028,-67.147,86,"~kawasaaaki~",22.762,-48.202,0,"ぐだもん",14.559,-63.037,0,"メリニット",42.039,-97.308,110,"아침땅_",-4.368,-107.081,0,"ディシジョン",-43.817,-91.072,0,579.074,44.337,-66.005,581.34,6,"メリニット",54.714,-75.087,1,0,,584.019,,,56,2
6,1,1,0,0,0,0,0,0,1,0,255,5,255,5,606.992,"Slaris",R,33,89,140,0.386,0.953,0.155,1.986,0.041,2.08,-36.586,40.506,75,21,4,2,0,103.597,-91.159,19.944,0,0,1,1,8,R,"SUGUN",180.5,82,0.5,3,65,W,Y,608.007,176,21,71,26,7,136,114,26.613,40.044,0.19,0,0.172,328.505,485.752,-38.086,-0.224,-36.336,0,"-라후이-",-0.04,-17.834,0,"즉석카레",-21.742,-49.27,0,"낑깡__",-9.899,-59.457,0,"~kawasaaaki~",21.133,-47.084,0,"ぐだもん",6.213,-61.761,0,"メリニット",39.566,-88.158,0,"아침땅_",-6.353,-107.48,0,"ディシジョン",-43.952,-92.558,0,612.849,-73.931,-89.38,0,0,"",0,0,0,0,,619.394,613.841,,8,3
7,1,1,0,0,0,1,0,0,1,0,255,5,255,6,635.033,"Slaris",R,27,81,131,1.587,1.127,0.274,1.944,0.822,2.165,-36.586,57.129,75,22,4,1,0,-94.643,-104.711,14.863,0,0,0,1,8,R,"SUGUN",180.5,82,0.5,0,65,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.335,-37.909,0,"-라후이-",0.251,-17.835,0,"즉석카레",-21.971,-49.127,0,"낑깡__",-10.631,-59.022,0,"~kawasaaaki~",21.942,-47.157,0,"ぐだもん",6.507,-59.44,0,"メリニット",38.466,-88.811,0,"아침땅_",-2.173,-109.783,0,"ディシジョン",-48.056,-88.635,0,0,0,0,0,0,"",0,0,0,0,636.715,638.119,,,0,0
8,1,1,0,0,1,1,0,0,1,0,255,5,255,7,655.905,"Slaris",R,12,88,137,-10.522,-2.653,-0.028,1.897,-0.794,0.868,-36.586,38.949,78,21,1,2,0,3.413,72.066,23.342,0,0,1,1,8,R,"SUGUN",180.5,82,0.5,3,65,W,Y,657.037,251,96,91,67,18,145,128,-16.894,36.04,0.59,0,0.356,-143.956,236.004,-76.921,-0.192,-36.753,0,"-라후이-",-0.248,-17.839,0,"즉석카레",-21.919,-49.135,97,"낑깡__",-10.305,-58.599,0,"~kawasaaaki~",21.648,-46.281,85,"ぐだもん",7.91,-60.038,0,"メリニット",38.821,-89.577,0,"아침땅_",-6.542,-108.787,0,"ディシジョン",-47.338,-90.268,0,656.974,-1.26,-20.937,658.657,2,"즉석카레",-17.789,-46.908,1,0,,,661.653,,392,2
9,1,1,0,0,0,0,0,1,0,1,8,255,5,8,687.355,"Slaris",R,34,62,116,2.491,2.954,0.263,2.068,1.003,3.452,-36.586,81.295,71,23,6,1,0,50.017,-13.184,12.418,0,0,0,2,1,L,"Kr_Luna",190,95.297,0.498,0,67,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.371,-36.992,0,"-라후이-",-0.934,-19.173,0,"즉석카레",-20.309,-46.228,0,"낑깡__",-6.956,-60.745,0,"~kawasaaaki~",20.276,-41.945,0,"ぐだもん",12.78,-60.925,0,"メリニット",43.208,-93.872,0,"아침땅_",2.691,-113.078,0,"ディシジョン",-44.386,-90.393,0,0,0,0,0,0,"",0,0,0,0,688.732,,690.349,,0,0
10,1,1,0,0,1,0,0,1,0,1,8,255,5,9,711.771,"Slaris",R,29,92,140,-2.788,-0.669,-0.177,1.885,-0.966,1.046,-36.586,33.459,81,17,2,1,0,-179.499,-149.628,11.246,0,0,0,2,1,L,"Kr_Luna",190,95.297,0.498,0,67,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.13,-36.979,0,"-라후이-",-0.262,-17.885,0,"즉석카레",-19.087,-46.105,0,"낑깡__",-5.777,-60.241,0,"~kawasaaaki~",19.231,-41.756,0,"ぐだもん",14.916,-60.375,0,"メリニット",43.172,-93.899,0,"아침땅_",3.229,-112.305,0,"ディシジョン",-42.76,-91.764,0,0,0,0,0,0,"",0,0,0,0,713.107,,714.218,,0,0
