id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,338.343,"_Chun",L,26,86,139,1.529,0.2,-0.268,2.042,0.565,1.544,-36.623,40.371,79,19,2,1,0,107.732,-200,-28.535,0,0,0,0,8,R,"-라후이-",190,87.311,0.496,0,93,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.141,-37.487,0,"Kr_Luna",-0.012,-17.782,0,"소솨소솨",-19.845,-45.338,0,"mochi_2929",-13.051,-60.421,0,"인생최패망자",22.871,-52.682,0,"ke ro",10.628,-65.37,0,"なおｐ--",42.052,-94.17,0,"「론구」",-8.264,-108.79,0,"Sabo_10",-42.98,-107.138,0,0,0,0,0,0,"",0,0,0,0,339.114,,,,0,0
2,1,1,0,0,1,0,0,0,0,0,255,255,255,1,350.396,"_Chun",L,26,91,140,1.129,0.658,-0.325,2.135,0.406,1.832,-36.623,47.264,77,23,0,2,0,72.884,-200,-25.192,0,0,1,0,8,R,"-라후이-",190,87.311,0.496,3,93,W,Y,351.181,219,113,114,52,34,145,95,37.444,-24.037,-0.57,0,0.268,149.321,275.74,-16.971,-0.328,-36.632,0,"Kr_Luna",0.057,-17.761,0,"소솨소솨",-19.871,-45.346,0,"mochi_2929",-12.738,-61.36,0,"인생최패망자",22.637,-52.488,0,"ke ro",8.725,-65.985,0,"なおｐ--",42.419,-94.243,91,"「론구」",-12.45,-112.203,0,"Sabo_10",-45.157,-106.675,0,0,0,0,356.197,6,"なおｐ--",26.414,-88.905,0,0,,,,,6,1
3,1,1,0,0,0,0,1,0,0,0,255,255,255,2,375.81,"_Chun",L,10,76,117,-1.105,0.855,-0.509,2.25,-0.466,2.544,-36.623,67.399,76,22,2,2,0,0,400,-12.306,0,0,1,1,0,L,"Ainy4／あいにゃ",189.4,85,0.512,3,78,W,Y,376.897,255,71,110,87,64,145,129,-30,-38.485,0.54,0,0.668,149.977,400.013,208.123,-0.24,-37.09,0,"Kr_Luna",0.04,-17.754,0,"소솨소솨",-19.391,-45.975,75,"mochi_2929",-10.694,-63.728,0,"인생최패망자",21.965,-49.541,120,"ke ro",13.759,-63.079,0,"なおｐ--",39.713,-92.998,0,"「론구」",16.688,-113.08,0,"Sabo_10",-47.427,-102.649,0,376.797,1.587,-23.012,378.181,4,"인생최패망자",19.186,-45.358,0,0,,,,,69,2
4,1,1,0,0,0,0,2,0,0,0,255,255,255,3,401.012,"_Chun",L,10,83,124,-1.548,0.517,-0.536,2.188,-0.658,2.297,-36.623,63.668,69,31,0,1,0,0,400,0,0,0,0,2,4,R,"Slaris",190,85.704,0.452,0,78,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.29,-37.389,0,"Kr_Luna",-0.106,-17.653,0,"소솨소솨",-19.096,-47.064,0,"mochi_2929",-10.861,-62.001,0,"인생최패망자",22.128,-52.371,0,"ke ro",11.209,-65.22,0,"なおｐ--",37.121,-98.039,0,"「론구」",-12.068,-109.156,0,"Sabo_10",-48.458,-104.345,0,0,0,0,0,0,"",0,0,0,0,401.889,,,,0,0
5,1,1,0,0,1,0,2,0,0,0,255,255,255,4,413.972,"_Chun",L,14,85,124,-2.717,-0.498,-0.506,2.067,-0.573,1.644,-36.623,54.082,75,25,0,1,0,-374.688,331.072,0,0,0,0,2,4,R,"Slaris",190,85.704,0.452,0,78,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.152,-37.252,0,"Kr_Luna",-0.004,-17.696,0,"소솨소솨",-20.088,-45.06,0,"mochi_2929",-12.362,-62.69,0,"인생최패망자",22.342,-52.037,0,"ke ro",11.229,-65.254,0,"なおｐ--",37.136,-98.041,0,"「론구」",-12.032,-109.084,0,"Sabo_10",-46.069,-101.965,0,0,0,0,0,0,"",0,0,0,0,414.814,,,,0,0
6,1,1,0,0,1,1,2,0,0,0,255,255,255,5,429.036,"_Chun",L,26,87,140,0.583,1.393,-0.368,2.157,0.041,2.393,-36.623,50.722,77,23,0,2,0,105.589,-200,0,0,0,0,2,4,R,"Slaris",190,85.704,0.452,3,78,W,Y,429.885,152,95,97,70,42,145,113,39.163,1.983,0.11,0,0.121,368,262.679,41.458,-0.236,-36.829,0,"Kr_Luna",-0.006,-17.804,0,"소솨소솨",-18.482,-46.188,0,"mochi_2929",-12.528,-62.646,0,"인생최패망자",22.137,-52.218,0,"ke ro",11.223,-65.207,0,"なおｐ--",37.115,-98.061,0,"「론구」",-11.908,-109.082,88,"Sabo_10",-46.962,-101.814,0,435.839,-9.657,-114.133,436.039,7,"「론구」",-9.276,-111.696,0,0,461.614,,,,42,1
7,1,0,0,0,0,0,0,0,0,0,255,255,255,0,582.928,"Ainy4／あいにゃ",R,3,85,109,-1.28,-0.432,0.327,1.613,0.394,1.35,-36.896,23.327,55,45,0,0,0,-495.455,0,-14.517,0,0,0,0,4,R,"인생최패망자",190,80,0.351,0,75,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.13,-38.19,0,"Kenomo",-0.42,-17.729,0,"Pring__",-20.367,-46.489,0,"낑깡__",-13.855,-67.555,0,"Slaris",21.134,-50.195,0,"즉석카레",11.114,-66.948,0,"メリニット",45.099,-93.904,0,"아침땅_",-0.618,-114.979,0,"-라후이-",-34.403,-80.144,0,0,0,0,0,0,"",0,0,0,0,584.247,,,,0,0
8,1,0,0,0,0,1,0,0,0,0,255,255,255,1,599.166,"Ainy4／あいにゃ",R,3,87,126,-2.416,-1.021,0.135,1.602,-0.303,1.164,-36.896,11.448,54,46,0,1,0,-467.373,177.657,-10.462,0,0,0,0,4,R,"인생최패망자",190,80,0.351,0,75,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.084,-38.136,0,"Kenomo",-0.488,-17.755,0,"Pring__",-20.394,-46.493,0,"낑깡__",-14.005,-67.89,0,"Slaris",21.034,-50.114,0,"즉석카레",10.797,-66.088,0,"メリニット",44.488,-93.036,0,"아침땅_",-1.429,-114.748,0,"-라후이-",-34.656,-80.65,0,0,0,0,0,0,"",0,0,0,0,600.439,,,,0,0
9,1,0,0,0,1,1,0,0,0,0,255,255,255,2,614.262,"Ainy4／あいにゃ",R,10,72,101,1.171,-0.142,0.285,1.976,0.262,2.134,-36.896,45.342,86,14,0,2,0,111.508,400,2.57,0,0,1,0,4,R,"인생최패망자",190,80,0.351,3,75,W,Y,615.466,255,113,118,106,67,145,128,-14.923,-38.509,0.27,0,0.421,43.903,-210.936,-391.742,0.139,-37.792,0,"Kenomo",0.078,-17.703,0,"Pring__",-20.329,-46.362,90,"낑깡__",-13.936,-67.801,0,"Slaris",20.926,-50.012,117,"즉석카레",12.494,-67.104,0,"メリニット",44.223,-92.319,0,"아침땅_",-0.696,-114.696,0,"-라후이-",-35.23,-80.974,0,615.414,2.544,-23.529,616.822,4,"Slaris",22.932,-46.012,0,0,,,,,22,2
10,1,0,0,0,0,0,1,0,0,0,255,255,255,3,639.796,"Ainy4／あいにゃ",R,29,90,140,15.431,-0.959,0.302,1.756,0.475,1.661,-36.896,24.813,87,13,0,2,0,-245.831,-200,20.123,0,0,1,1,6,R,"なおｐ--",190,90.37,0.405,3,54,W,Y,640.92,255,119,161,94,48,145,116,-17.088,-18.642,0.08,0,0.396,30.556,-77.212,90.355,0.157,-37.778,0,"Kenomo",-0.006,-17.487,0,"Pring__",-20.846,-47.187,89,"낑깡__",-13.751,-66.673,0,"Slaris",20.866,-49.594,0,"즉석카레",10.912,-68.287,103,"メリニット",45.899,-96.094,0,"아침땅_",-7.146,-113.286,0,"-라후이-",-48.288,-88.735,0,640.881,0.779,-23.635,643.072,0,"Ainy4／あいにゃ",14.367,-68.651,0,0,,,,,50,2
