id,inn,half,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bName,bHCm,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,result
1,1,1,0,0,0,0,0,0,255,255,255,0,170.266,Slaris,0,0,0,0,0,0,0,0,0,0,0,6,_Chun,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
2,1,1,0,0,0,0,0,0,255,255,255,0,259.3,Slaris,0,137,-1.156,0.401,0,-28.825,-139.227,-0.515,-14.801,0,0,2,Yaksok~,173.4,55,0,0,0,0,0,0,0,0,0,-0.188,-36.78,-0.129,-17.169,-21.027,-45.515,-19.151,-54.482,23.576,-49.268,13.66,-64.541,42.639,-82.747,42.639,-82.747,23.576,-49.268,0,0,0,0,0,,0,0,0,0
3,1,1,0,1,0,0,0,0,255,255,255,1,273.436,Slaris,0,135,0.255,0.29,2,-19.999,-155.347,0,0,1,0,2,Yaksok~,173.4,55,274.311,90,98,8,129,64,-6.528,-13.887,-1,-0.432,-36.829,-0.083,-17.231,-22.077,-46.367,-18.821,-58.156,25.558,-51.084,13.809,-64.562,42.252,-80.433,42.252,-80.433,25.558,-51.084,272.145,1.451,-25.114,275.087,5,CVPileMaki,5.878,-56.63,0,2
4,1,1,0,0,1,0,0,0,255,255,255,2,306.453,Slaris,4,117,1.107,0.65,0,-178.789,0,0,0,0,1,1,하루（Haru）,190,55,0,0,0,0,0,0,0,0,0,0.04,-37.126,0.051,-17.362,-19.826,-45.05,-10.987,-57.939,22.576,-47.434,15.129,-63.739,46.525,-86.671,46.525,-86.671,22.576,-47.434,0,0,0,0,0,,0,0,0,0
5,1,1,0,1,1,0,0,0,255,255,255,3,318.28,Slaris,0,135,-0.208,1.631,1,-67.25,-191.279,0,0,0,1,1,하루（Haru）,190,55,0,0,0,0,0,0,0,0,0,-0.174,-36.833,-0.08,-17.377,-20.424,-46.455,-14.001,-58.037,23.518,-48.082,15.116,-63.746,46.467,-85.403,46.467,-85.403,23.518,-48.082,0,0,0,0,0,,0,0,0,0
6,1,1,1,1,1,0,0,0,255,255,255,4,332.624,Slaris,0,140,-0.187,1.22,1,16.33,-122.884,0,0,0,1,1,하루（Haru）,190,55,0,0,0,0,0,0,0,0,0,-0.171,-37.011,-0.082,-17.371,-20.984,-45.671,-14.057,-57.7,24.62,-48.968,15.174,-63.738,46.42,-85.479,46.42,-85.479,24.62,-48.968,0,0,0,0,0,,0,0,0,0
7,1,1,2,1,1,0,0,0,255,255,255,5,345.119,Slaris,13,117,-1.02,-1.042,1,-267.517,400,-0.369,-17.62,0,1,1,하루（Haru）,190,55,0,0,0,0,0,0,0,0,0,-0.189,-37.23,-0.134,-17.429,-20.306,-45.727,-13.576,-57.37,25.906,-49.833,15.566,-63.571,45.266,-84.679,45.266,-84.679,25.906,-49.833,0,0,0,0,0,,0,0,0,0
8,1,1,3,1,1,0,0,0,255,255,255,6,356.85,Slaris,0,128,-0.569,0.167,0,-20.06,-89.654,0,0,0,1,1,하루（Haru）,190,55,0,0,0,0,0,0,0,0,0,-0.416,-37.278,-0.085,-17.249,-19.746,-44.327,-13.129,-56.861,25.659,-51.768,15.071,-64.035,45.699,-84.589,45.699,-84.589,25.659,-51.768,0,0,0,0,0,,0,0,0,0
9,1,1,3,2,1,0,0,0,255,255,255,7,372.774,Slaris,0,137,0.692,0.35,0,14.205,-146.749,0,0,1,1,1,하루（Haru）,190,55,0,0,0,0,0,0,0,0,0,-0.405,-37.418,-0.106,-17.439,-21.013,-43.578,-13.232,-57.838,25.837,-51.701,15.059,-64.02,45.72,-84.536,45.72,-84.536,25.837,-51.701,0,0,0,0,0,,0,0,0,0
10,1,1,0,0,2,0,0,0,255,255,255,8,395.62,Slaris,13,113,0.274,-0.12,0,-390.434,312.348,-0.34,-14.7,0,2,4,마렘_Marem,190,56,0,0,0,0,0,0,0,0,0,-0.058,-37.021,-0.092,-17.334,-20.786,-45.426,-13.455,-57.26,25.827,-51.763,14.805,-64.162,45.816,-84.505,45.816,-84.505,25.827,-51.763,0,0,0,0,0,,0,0,0,0
