id,inn,half,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bName,bHCm,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,result
1,1,1,0,0,0,0,0,0,255,255,255,0,394.767,Penguin_iDOL,0,133,-0.265,1.554,1,34.173,-32.38,0,0,0,0,2,coder_,160,48,0,0,0,0,0,0,0,0,0,-0.118,-37.81,-0.054,-16.598,-21.137,-47.513,-12.415,-64.884,15.992,-43.075,9.359,-64.101,8.677,-9.897,8.677,-9.897,-38.382,-85.26,0,0,0,0,0,,0,0,0,0
2,1,1,1,0,0,0,0,0,255,255,255,1,410.589,Penguin_iDOL,0,132,2.6,3.582,1,55.66,-77.265,1.06,-6.653,0,0,2,coder_,160,48,0,0,0,0,0,0,0,0,0,0.191,-37.747,0.152,-16.523,-21.139,-47.515,-12.418,-64.904,14.325,-41.638,10.949,-63.489,8.677,-9.897,8.677,-9.897,-39.958,-86.248,0,0,0,0,0,,0,0,0,0
3,1,1,2,0,0,0,0,0,255,255,255,2,428.916,Penguin_iDOL,0,126,-0.068,0.645,2,46.837,-29.375,0,0,1,0,2,coder_,160,48,429.972,5,24,13,2,30,-55.908,52.804,-0.035,0.194,-36.927,0.041,-16.955,-20.537,-47.022,-13.173,-64.649,11.295,-38.085,9.392,-65.008,8.677,-9.897,8.677,-9.897,-39.973,-86.296,429.727,-0.829,-21.017,434.194,2,ByeolBam,-11.443,-30.04,0,2
4,1,1,2,1,0,0,0,0,255,255,255,3,449.814,Penguin_iDOL,0,130,1.022,0.84,0,84.95,15.803,0,0,0,0,2,coder_,160,46,0,0,0,0,0,0,0,0,0,-0.125,-37.92,-0.003,-17.004,-19.533,-45.773,-11.428,-64.147,9.332,-36.202,9.974,-63.508,8.677,-9.897,8.677,-9.897,-39.918,-85.523,0,0,0,0,0,,0,0,0,0
5,1,1,2,2,0,0,0,0,255,255,255,4,464.051,Penguin_iDOL,3,93,-2.335,-0.245,2,-359.198,0,0,0,1,0,2,coder_,160,46,465.293,102,154,103,154,117,41.598,17.877,0.87,-0.048,-36.764,-0.508,-16.989,-19.588,-45.711,-11.435,-64.168,19.106,-46.824,10.194,-65.832,8.677,-9.897,8.677,-9.897,-39.928,-85.361,474.567,-0.584,-61.572,474.981,5,소솨소솨,-0.236,-60.107,0,1
6,1,1,0,0,1,0,0,0,255,255,255,5,499.377,Penguin_iDOL,0,126,-0.054,-1.152,1,67.797,9.204,0,0,0,1,8,ゆっち一,179.5,46,0,0,0,0,0,0,0,0,0,0.058,-37.839,0.119,-16.892,-19.337,-46.035,-12.023,-65.121,18.716,-47.58,8.791,-64.455,8.77,-12.674,8.77,-12.674,-39.687,-86.695,0,0,0,0,0,,0,0,0,0
7,1,1,1,0,1,0,0,0,255,255,255,6,522.263,Penguin_iDOL,0,110,-2.094,0.038,1,28.295,-29.832,0,0,0,1,8,ゆっち一,179.5,46,0,0,0,0,0,0,0,0,0,-0.219,-38.083,-0.385,-16.712,-19.329,-46.054,-12.04,-65.109,18.651,-47.532,8.788,-64.473,9.399,-12.023,9.399,-12.023,-45.312,-86.939,0,0,0,0,0,,0,0,0,0
8,1,1,2,0,1,0,0,0,255,255,255,7,536.972,Penguin_iDOL,6,101,-0.071,-0.302,2,366.109,0,0,0,1,1,8,ゆっち一,179.5,46,538.122,97,120,63,146,86,41.436,31.25,-0.109,-0.061,-36.816,-0.226,-16.696,-19.374,-46.079,-11.939,-64.712,18.133,-47.777,8.519,-66.009,9.675,-12.498,9.675,-12.498,-44.837,-84.478,542.594,-35.678,-74.95,548.981,8,_앰프_,-47.765,-97.441,1,2
9,1,1,0,0,1,0,0,1,255,255,8,8,604.493,Penguin_iDOL,0,127,0.623,0.836,0,36.387,-41.34,0,0,0,2,5,NABIMan,190,44,0,0,0,0,0,0,0,0,0,-0.131,-37.713,0.117,-16.964,-19.526,-45.476,-15.484,-63.242,19.668,-41.223,14.125,-63.602,9.843,-13.088,9.843,-13.088,-43.45,-80.024,0,0,0,0,0,,0,0,0,0
10,1,1,0,1,1,0,0,1,255,255,8,9,622.721,Penguin_iDOL,6,117,1.415,0.506,2,420.745,0,0,0,1,2,5,NABIMan,190,44,623.65,64,255,87,91,66,-58.958,-61.38,1,0.33,-36.961,0.289,-16.975,-19.581,-45.339,-13.305,-56.185,18.491,-45.163,13.723,-63.928,10.097,-13.258,10.097,-13.258,-42.877,-79.403,623.607,1.621,-21.503,0,0,,0,0,0,3
11,1,1,0,2,1,0,0,1,255,255,8,10,645.071,Penguin_iDOL,0,132,-1.469,1.223,2,8.76,-93.589,0,0,1,2,5,NABIMan,190,44,645.954,99,135,13,140,66,39.688,6.394,-0.951,0.105,-36.832,-0.034,-17.298,-19.552,-45.515,-15.115,-61.879,19.556,-42.571,14.716,-64.55,10.109,-13.26,10.109,-13.26,-39.493,-78.472,0,0,0,650.221,3,CAT tourniquet,-6.625,-63.906,0,1
12,1,1,0,0,2,0,0,1,255,255,8,11,680.635,Penguin_iDOL,0,140,1.025,1.28,1,67.346,-9.22,0,0,0,3,3,Gonyong,174.8,44,0,0,0,0,0,0,0,0,0,-0.047,-37.496,0.097,-16.977,-20.055,-47.608,-11.011,-65.754,19.182,-43.499,9.428,-65.886,9.706,-13.112,9.706,-13.112,-45.355,-81.683,0,0,0,0,0,,0,0,0,0
13,1,1,1,0,2,0,0,1,255,255,8,12,695.558,Penguin_iDOL,0,131,1.554,0.658,2,86.814,-29.445,0,0,1,3,3,Gonyong,174.8,44,696.567,95,125,65,146,64,-13.956,-37.117,-0.952,0.091,-36.941,0.129,-17.077,-20.107,-47.012,-11.004,-65.743,18.48,-47.284,9.949,-65.88,10.005,-13.442,10.005,-13.442,-43.707,-81.084,696.327,3.279,-24.605,698.247,4,눈꽃,17.012,-42.807,0,2
14,1,0,0,0,0,0,0,0,255,255,255,0,808.609,인생최패망자,0,140,-1.499,-0.094,2,-29.336,-126.925,0,0,1,0,4,눈꽃,182.3,43,809.621,91,207,49,147,127,62.397,-48.213,0.211,-0.169,-37.192,0.009,-17.056,-22.596,-51.119,-16.565,-62.281,18.686,-45.761,11.831,-61.93,40.601,-86.725,0.39,-108.328,-37.877,-91.142,816.301,74.874,-78.299,0,0,,0,0,0,3
15,1,0,0,1,0,0,0,0,255,255,255,1,836.15,인생최패망자,10,93,-1.103,-2.628,4,0,400,-0.272,-20.889,1,0,4,눈꽃,182.3,42,0,0,0,0,0,0,0,0,0,0.022,-37.797,-0.152,-17.207,-21.365,-49.761,-15.304,-61.534,19.777,-45.657,11.908,-61.896,45.14,-86.619,-1.542,-102.331,-37.369,-90.602,0,0,0,0,0,,0,0,0,0
16,1,0,0,2,0,0,0,0,255,255,255,2,853.767,인생최패망자,3,88,0.847,-0.019,0,-344.402,0,0,0,0,0,4,눈꽃,182.3,42,0,0,0,0,0,0,0,0,0,0.135,-37.825,-0.013,-17.297,-20.058,-48.101,-15.129,-61.331,19.78,-45.719,11.716,-62.235,45.06,-86.543,-1.545,-102.325,-37.477,-89.711,0,0,0,0,0,,0,0,0,0
17,1,0,0,0,1,0,0,0,255,255,255,3,1142.118,Oort__Cloud,3,95,0.53,-0.017,0,-330.39,0,0,0,0,1,2,ByeolBam,174.8,74,0,0,0,0,0,0,0,0,0,-0.004,-37.52,0.043,-17.106,-21.556,-50.375,-14.984,-61.641,20.496,-50.009,11.533,-62.517,-0.004,-37.52,-0.961,-107.54,-39.551,-84.042,0,0,0,0,0,,0,0,0,0
18,1,0,0,1,1,0,0,0,255,255,255,4,1157.779,Oort__Cloud,0,103,1.256,1.589,2,0,0,0,0,1,1,2,ByeolBam,174.8,74,1158.83,110,202,146,158,126,43.346,29.604,0.27,0.051,-36.93,-0.056,-16.911,-21.334,-50.356,-14.922,-61.346,20.515,-50.005,11.619,-62.905,0.051,-36.93,-0.969,-107.543,-39.543,-85.926,1163.607,-40.239,-115.297,1165.581,8,ゆっち一,-35.12,-112.546,1,2
19,1,0,0,0,1,0,1,0,255,11,255,5,1192.861,Oort__Cloud,0,98,-1.003,0.374,0,0,0,0,0,0,2,5,소솨소솨,170.3,40,0,0,0,0,0,0,0,0,0,-0.47,-37.438,-0.224,-16.868,-19.315,-47.995,-14.994,-61.179,17.095,-47.194,7.737,-61.56,-0.47,-37.438,1.528,-109.102,-39.992,-83.774,0,0,0,0,0,,0,0,0,0
20,1,0,0,1,1,0,1,0,255,11,255,6,1212.539,Oort__Cloud,0,97,-2.085,-0.299,4,0,0,0,0,1,2,5,소솨소솨,170.3,40,0,0,0,0,0,0,0,0,0,-0.447,-37.442,-0.422,-17.356,-17.16,-41.227,-15.015,-61.187,18.663,-46.718,1.402,-59.44,-0.447,-37.442,1.529,-109.097,-38.94,-84.731,0,0,0,0,0,,0,0,0,0
21,1,0,0,2,1,0,1,0,255,11,255,7,1234.078,Oort__Cloud,0,93,0.138,-0.55,2,0,0,0,0,1,2,5,소솨소솨,170.3,40,1235.145,80,52,19,29,29,-19.735,25.412,-0.129,-0.391,-37.263,-0.042,-17.151,-15.84,-44.808,-14.797,-61.161,18.665,-46.737,10.234,-61.187,-0.391,-37.263,1.515,-109.109,-39.793,-86.436,1234.847,-0.712,-21.893,1237.074,0,Oort__Cloud,-5.164,-33.98,0,2
22,1,0,0,0,2,0,0,1,255,255,11,8,1268.706,Oort__Cloud,0,101,-0.092,0.967,0,0,0,0,0,0,3,1,Pring__,180.3,82,0,0,0,0,0,0,0,0,0,0.01,-37.35,-0.15,-17.449,-21.404,-52.232,-9.003,-61.128,17.247,-44.187,12.302,-61.74,0.01,-37.35,-4.317,-103.231,-34.821,-92.275,0,0,0,0,0,,0,0,0,0
23,1,0,0,1,2,0,0,1,255,255,11,9,1290.067,Oort__Cloud,3,89,0.347,-0.366,2,-303.738,0,0,0,1,3,1,Pring__,180.3,82,1291.072,96,169,163,154,129,40.924,-3.233,0.744,0.114,-36.893,0.283,-17.074,-20.532,-51.358,-9.458,-61.008,18.996,-41.06,12.019,-62.822,0.114,-36.893,-4.31,-103.236,-35.535,-90.937,1297.167,9.363,-131.613,1298.447,7,Kr_Luna,10.079,-131.536,1,2
24,1,0,0,0,2,0,1,0,255,10,255,10,1336.233,Oort__Cloud,0,108,0.348,-1.308,1,0,0,0,0,0,4,7,ke ro,160,40,0,0,0,0,0,0,0,0,0,-0.31,-37.213,0.057,-17.209,-18.914,-46.443,-13.897,-60.168,19.877,-46.525,8.232,-63.263,-0.31,-37.213,4.86,-105.636,-34.893,-88.279,0,0,0,0,0,,0,0,0,0
25,1,0,1,0,2,0,1,0,255,10,255,11,1353.818,Oort__Cloud,0,100,1.684,-0.244,4,0,0,0,0,1,4,7,ke ro,160,40,0,0,0,0,0,0,0,0,0,-0.079,-37.243,0.121,-17.181,-18.201,-46.972,-13.295,-60.643,19.87,-46.516,11.551,-62.796,-0.079,-37.243,4.559,-107.611,-35.269,-88.517,0,0,0,0,0,,0,0,0,0
26,1,0,1,1,2,0,1,0,255,10,255,12,1372.687,Oort__Cloud,0,106,0.852,1.027,0,0,0,0,0,0,4,7,ke ro,160,40,0,0,0,0,0,0,0,0,0,-0.102,-37.324,0.061,-17.597,-18.21,-47.412,-13.313,-60.552,19.751,-46.435,10.508,-63.375,-0.102,-37.324,-8.308,-111.127,-35.44,-88.301,0,0,0,0,0,,0,0,0,0
27,1,0,1,2,2,0,1,0,255,10,255,13,1389.278,Oort__Cloud,0,98,-0.018,1.29,1,0,0,0,0,0,4,7,ke ro,160,40,0,0,0,0,0,0,0,0,0,-0.163,-37.145,-0.047,-17.519,-18.427,-47.049,-13.242,-60.601,19.567,-46.73,11.367,-61.482,-0.163,-37.145,-8.406,-111.016,-35.031,-88.84,0,0,0,0,0,,0,0,0,0
28,1,0,2,2,2,0,1,0,255,10,255,14,1410.085,Oort__Cloud,0,106,0.324,1.602,2,0,0,0,0,1,4,7,ke ro,160,40,1411.129,81,102,0,108,62,-81.973,-8.858,-0.516,-0.347,-37.217,-0.043,-17.57,-18.411,-47.03,-13.206,-60.505,19.621,-46.984,11.361,-63.587,-0.347,-37.217,-8.443,-110.999,-37.212,-88.325,1410.527,0.107,-19.276,1412.781,1,Riyaj,1.984,-15.788,0,2
29,1,0,2,2,2,0,1,0,255,10,255,15,1430.373,Oort__Cloud,5,94,-0.862,0.781,2,-127.047,0,0,0,1,4,7,ke ro,160,81,1431.438,90,128,0,136,78,4.759,-35.848,0.974,-0.406,-37.135,-0.329,-17.168,-19.102,-48.13,-14.401,-63.531,19.989,-47.981,11.605,-62.57,-0.406,-37.135,-8.976,-110.663,-36.592,-89.333,1431.661,10.248,-35.285,1432.647,4,하루（Haru）,16.643,-45.007,0,2
30,2,1,0,0,0,0,0,0,255,255,255,13,1507.216,Penguin_iDOL,0,136,-0.904,-0.678,0,52.347,-36.227,0,0,0,4,1,Riyaj,190,37,0,0,0,0,0,0,0,0,0,-0.099,-37.686,-0.112,-16.889,-20.581,-48.065,-11.032,-65.923,16.532,-46.243,6.335,-65.606,-0.257,-114.656,-0.257,-114.656,-36.582,-86.01,0,0,0,0,0,,0,0,0,0
