id,inn,half,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bName,bHCm,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,result
1,1,1,0,0,0,0,0,0,255,255,255,0,315.041,Pugeuk,4,121,0.992,1.288,1,-164.735,0,0.455,-17.628,0,0,5,버블붐_Bubbleboom,174.9,58,0,0,0,0,0,0,0,0,0,-0.021,-37.983,0.042,-16.685,-21.339,-47.22,-12.149,-61.47,20.486,-55.331,11.795,-65.695,-15.398,-20.316,-15.398,-20.316,-15.398,-20.316,0,0,0,0,0,,0,0,0,0
2,1,1,1,0,0,0,0,0,255,255,255,1,331.936,Pugeuk,0,129,0.82,-0.56,0,-25.534,-158.188,0,0,0,0,5,버블붐_Bubbleboom,174.9,58,0,0,0,0,0,0,0,0,0,0.097,-37.655,0.023,-17.143,-21.356,-47.232,-12.14,-59.498,20.493,-55.326,12.125,-65.214,-15.228,-20.847,-15.228,-20.847,-15.228,-20.847,0,0,0,0,0,,0,0,0,0
3,1,1,1,1,0,0,0,0,255,255,255,2,346.646,Pugeuk,0,126,1.172,1.59,1,161.245,-176.409,0,0,0,0,5,버블붐_Bubbleboom,174.9,58,0,0,0,0,0,0,0,0,0,0.017,-37.898,-0.112,-17.023,-21.266,-47.245,-11.757,-59.403,20.528,-55.367,12.147,-65.228,-15.231,-20.541,-15.231,-20.541,-15.231,-20.541,0,0,0,0,0,,0,0,0,0
4,1,1,2,1,0,0,0,0,255,255,255,3,364.322,Pugeuk,10,111,-1.645,-0.453,1,141.668,398.052,0,0,0,0,5,버블붐_Bubbleboom,174.9,58,0,0,0,0,0,0,0,0,0,-0.144,-37.815,-0.257,-17.237,-20.099,-46.809,-11.62,-59.844,20.505,-55.399,12.147,-65.238,-14.871,-20.003,-14.871,-20.003,-14.871,-20.003,0,0,0,0,0,,0,0,0,0
5,1,1,3,1,0,0,0,0,255,255,255,4,375.324,Pugeuk,0,127,0.224,0.616,0,-11.741,-191.977,0,0,0,0,5,버블붐_Bubbleboom,174.9,58,0,0,0,0,0,0,0,0,0,-0.005,-37.987,-0.049,-16.684,-20.632,-45.499,-10.771,-57.715,20.554,-55.35,12.145,-65.229,-14.893,-20.025,-14.893,-20.025,-14.893,-20.025,0,0,0,0,0,,0,0,0,0
6,1,1,3,2,0,0,0,0,255,255,255,5,392.981,Pugeuk,0,125,0.59,0.668,2,74.093,-148.952,0,0,1,0,5,버블붐_Bubbleboom,174.9,58,393.802,78,89,34,100,64,17.724,23.822,-0.601,-0.155,-37.319,-0.017,-17.16,-19.921,-46.915,-11.108,-60.254,20.562,-55.392,12.306,-65.162,-14.859,-20.016,-14.859,-20.016,-14.859,-20.016,0,0,0,396.435,3,わかなで,-13.666,-49.361,0,1
7,1,1,0,0,1,0,0,0,255,255,255,6,444.601,Pugeuk,4,116,0.143,0.934,0,-214.339,0,0,0,0,1,2,즉석카레,179.9,38,0,0,0,0,0,0,0,0,0,-0.044,-37.971,-0.056,-16.99,-20.333,-46.702,-12.612,-57.109,18.145,-53.81,11.533,-65.57,-15.447,-23.067,-15.447,-23.067,-15.447,-23.067,0,0,0,0,0,,0,0,0,0
8,1,1,0,1,1,0,0,0,255,255,255,7,461.686,Pugeuk,0,127,0.749,0.768,4,7.727,-125.223,-0.331,-21.061,1,1,2,즉석카레,179.9,38,0,0,0,0,0,0,0,0,0,-0.056,-37.763,-0.312,-17.625,-20.337,-46.605,-11.844,-51.62,18.103,-53.831,11.529,-65.586,-15.228,-22.877,-15.228,-22.877,-15.228,-22.877,0,0,0,0,0,,0,0,0,0
9,1,1,0,2,1,0,0,0,255,255,255,8,481.01,Pugeuk,0,129,-0.245,1.026,2,0,38.325,0,0,1,1,2,즉석카레,179.9,38,481.869,124,201,34,150,63,28.565,31.995,-0.965,-0.111,-37.486,0.079,-16.797,-20.431,-46.34,-11.686,-59.828,18.148,-53.811,11.491,-65.607,-15.731,-23.218,-15.731,-23.218,-15.731,-23.218,0,0,0,485.318,3,わかなで,-21.493,-53.719,0,1
10,1,1,0,0,2,0,0,0,255,255,255,9,517.294,Pugeuk,0,131,-1.743,-2.063,1,138.443,-200,-0.443,-17.619,0,2,1,WhiteMountain,190,58,0,0,0,0,0,0,0,0,0,-0.019,-38.001,-0.209,-17.031,-20.407,-46.286,-12.203,-57.677,18.082,-53.873,11.938,-64.942,-15.681,-23.135,-15.681,-23.135,-15.681,-23.135,0,0,0,0,0,,0,0,0,0
