id,inn,half,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bName,bHCm,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,result
1,1,1,0,0,0,0,0,0,255,255,255,0,391.803,jdw4469,0,107,-0.743,0.684,2,0,0,0,0,1,0,7,Slaris,175.4,57,392.773,65,224,68,91,88,21.907,39.813,0.639,0.122,-37.4,0.018,-17.256,-17.458,-44.747,-14.033,-61.089,24.025,-49.639,15.166,-63.401,43.498,-83.113,1.322,-110.181,-43.867,-87.816,395.135,-29.175,-58.294,397.085,8,아침땅_,-43.132,-76.488,1,2
2,1,1,0,0,0,1,0,0,7,255,255,1,417.43,jdw4469,0,106,-1.1,0.874,0,0,0,0,0,0,1,8,Gonyong,175.8,53,0,0,0,0,0,0,0,0,0,0.031,-37.919,0.069,-17.447,-19.014,-39.732,-12.849,-61.612,24.271,-51.883,7.323,-62.198,41.784,-81.592,-0.052,-109.977,-47.285,-85.459,0,0,0,0,0,,0,0,0,0
3,1,1,0,1,1,0,0,0,255,255,255,2,461.819,jdw4469,0,111,-1.146,1.309,2,0,0,0,0,1,1,8,Gonyong,175.8,53,462.973,105,156,77,151,129,32.959,24.572,0.508,0.319,-37.438,-0.012,-17.263,-19.206,-48.195,-13.944,-61.285,24.65,-52.894,13.097,-65.002,43.405,-83.992,-0.09,-109.801,-47.463,-85.542,467.885,-32.17,-121.849,470.235,7,crani,-21.779,-122.016,1,2
4,1,1,0,0,1,1,0,0,8,255,255,3,502.621,jdw4469,0,109,-2.709,0.958,3,0,0,0.176,-20.26,0,2,3,IllilliIIIIllil,174.5,64,0,0,0,0,0,0,0,0,0,0.136,-37.87,-0.045,-17.358,-19.247,-40.047,-6.401,-59.982,24.148,-52.387,12.394,-64.802,39.859,-80.872,-0.45,-114.415,-44.915,-86.58,0,0,0,0,0,,0,0,0,6
5,1,1,0,0,1,1,1,0,3,8,255,4,544.149,jdw4469,15,96,0.155,0.698,2,-108.451,-306.782,0,0,1,3,6,Roscosmos,174.8,49,545.137,255,199,82,157,100,38.706,23.897,-0.003,0.161,-37.416,0.036,-16.701,-19.038,-44.948,-12.382,-59.4,22.773,-46.659,4.348,-62.851,39.695,-81.267,0.323,-114.021,-44.989,-86.699,550.268,-37.196,-90.5,556.851,0,Dοpi,-46.647,-107.659,1,2
6,1,1,1,0,1,1,0,1,6,255,255,5,635.047,jdw4469,0,0,0,0,0,0,0,0,0,0,4,9,SOM_candy,180.1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
7,1,1,1,0,1,1,0,1,6,255,255,6,635.553,jdw4469,0,0,0,0,0,0,0,0,0,0,4,9,SOM_candy,180.1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
8,1,1,1,0,1,1,0,1,6,255,255,7,730.741,jdw4469,4,95,1.485,-0.269,2,-151.338,-63.732,0,0,1,4,9,SOM_candy,180.1,38,731.949,103,120,103,150,129,59.344,-42.162,0.637,0.174,-37.883,-0.049,-17.084,-18.982,-39.179,-6.743,-59.476,18.882,-40.048,16.756,-62.818,41.07,-80.587,0.45,-106.73,-47.725,-86.975,739.568,76.708,-76.24,0,0,,0,0,0,3
9,1,1,1,1,1,1,0,1,6,255,255,8,775.473,jdw4469,0,104,-1.148,0.454,2,0,0,0,0,1,4,9,SOM_candy,180.1,38,776.539,124,154,19,145,65,31.829,-30.985,-0.807,0.239,-37.841,-0.047,-17.407,-19.195,-39.547,-9.256,-59.543,21.199,-42.848,17.367,-62.149,46.125,-82.566,1.246,-106.95,-48.35,-88.218,0,0,0,780.601,5,오띵__,23.665,-56.869,0,1
10,1,1,0,0,2,1,0,1,6,255,255,9,805.029,jdw4469,0,101,-0.739,-0.87,0,0,0,0,0,0,5,1,Pugeuk,190,54,0,0,0,0,0,0,0,0,0,-0.102,-38.067,0.156,-17.13,-18.095,-45.023,-11.45,-61.069,19.404,-41.999,18.525,-61.14,39.267,-74.912,0.068,-108.453,-47.711,-87.66,0,0,0,0,0,,0,0,0,0
11,1,1,0,1,2,1,0,1,6,255,255,10,826.016,jdw4469,0,98,-0.579,1.499,2,0,0,0,0,1,5,1,Pugeuk,190,54,827.061,74,119,36,100,90,-39.281,36.319,0.264,0.025,-37.673,0.037,-16.97,-17.674,-43.096,-11.172,-60.579,21.095,-42.882,17.545,-62.119,39.273,-74.905,0.077,-108.541,-47.725,-87.655,827.268,-1.586,-21.648,828.735,2,-라후이-,-15.063,-39.442,0,2
12,1,0,0,0,0,0,0,0,255,255,255,0,1001.868,Dοpi,0,133,0.568,0.482,0,79.702,-84.177,0,0,0,0,6,장덕춘_,169.5,54,0,0,0,0,0,0,0,0,0,-0.021,-37.091,-0.045,-16.886,-21.007,-44.959,-12.15,-64.282,19.889,-52.209,12.592,-63.854,32.368,-83.059,-3.672,-107.681,-44.274,-84.04,0,0,0,0,0,,0,0,0,0
13,1,0,0,1,0,0,0,0,255,255,255,1,1019.646,Dοpi,0,107,-2.909,1.235,1,0,0,0,0,0,0,6,장덕춘_,169.5,54,0,0,0,0,0,0,0,0,0,0.116,-37.287,-0.446,-16.809,-20.852,-45.034,-11.61,-64.56,20.163,-51.839,12.199,-64.698,32.36,-83.163,-7.561,-107.126,-44.229,-83.971,0,0,0,0,0,,0,0,0,0
14,1,0,1,1,0,0,0,0,255,255,255,2,1036.319,Dοpi,13,116,0.422,-1.655,4,-361.228,345.708,0.061,-17.049,1,0,6,장덕춘_,169.5,46,0,0,0,0,0,0,0,0,0,0.169,-37.237,-0.098,-17.151,-20.824,-45.06,-11.911,-64.869,18.363,-50,12.189,-64.745,31.993,-83.214,-4.076,-107.275,-49.331,-87.566,0,0,0,0,0,,0,0,0,0
15,1,0,1,2,0,0,0,0,255,255,255,3,1057.448,Dοpi,0,111,3.922,9.304,1,81.015,-71.722,2.516,-7.626,0,0,6,장덕춘_,169.5,46,0,0,0,0,0,0,0,0,0,0.028,-37.384,0.437,-16.158,-20.909,-44.959,-11.899,-64.875,18.627,-47.948,12.193,-64.734,31.304,-82.865,-0.248,-107.536,-41.278,-92.493,0,0,0,0,0,,0,0,0,0
16,1,0,2,2,0,0,0,0,255,255,255,4,1082.231,Dοpi,10,112,-1.32,-0.182,2,0,400,0,0,1,0,6,장덕춘_,169.5,46,1083.112,80,167,0,124,75,-20.446,2.033,-0.101,-0.232,-37.085,-0.043,-16.918,-20.943,-44.977,-12.138,-64.717,18.498,-48.124,12.204,-64.722,31.46,-82.9,-0.125,-107.582,-41.287,-92.411,1083.335,-0.318,-22.22,1086.401,3,IllilliIIIIllil,-1.527,-63.095,0,2
