id,inn,half,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bName,bHCm,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,result
1,1,1,0,0,0,0,0,0,255,255,255,0,387.97,muyang_,14,96,0.688,-1.49,4,340.743,312.348,0.487,-17.159,1,0,6,Riyaj,175.2,53,0,0,0,0,0,0,0,0,0,-0.486,-37.815,0.081,-17.384,-19.197,-47.042,-15.286,-60.662,21.884,-52.58,15.473,-63.288,50.67,-85.751,-0.657,-109.078,-36.579,-82.915,0,0,0,0,0,,0,0,0,0
2,1,1,0,1,0,0,0,0,255,255,255,1,410.71,muyang_,6,82,0.513,-0.736,0,281.562,172.888,0,0,1,0,6,Riyaj,175.2,53,0,0,0,0,0,0,0,0,0,-0.509,-37.721,-0.12,-17.568,-20.633,-47.313,-15.3,-60.721,17.598,-49.437,13.664,-64.326,50.674,-85.744,-0.594,-102.358,-36.912,-83.097,0,0,0,0,0,,0,0,0,0
3,1,1,0,2,0,0,0,0,255,255,255,2,430.747,muyang_,0,87,0.189,0.38,2,0,0,0,0,1,0,6,Riyaj,175.2,53,431.908,118,163,102,157,64,38.946,28.497,-0.644,-0.303,-37.822,-0.608,-17.512,-20.256,-46.96,-15.272,-60.808,20.493,-51.005,15.677,-63.062,50.661,-85.73,-1.262,-101.941,-35.131,-83.612,0,0,0,436.741,3,Penguin_iDOL,-22.974,-60.215,0,1
4,1,1,0,0,1,0,0,0,255,255,255,3,466.18,muyang_,3,79,-2.496,-0.021,4,-315.677,0,0,0,1,1,8,장덕춘_,169.7,53,0,0,0,0,0,0,0,0,0,-0.49,-38.159,-0.317,-17.696,-20.805,-46.977,-17.374,-59.672,19.475,-50.883,12.773,-64.343,48.198,-85.713,0.472,-102.222,-39.838,-81.22,0,0,0,0,0,,0,0,0,0
5,1,1,0,1,1,0,0,0,255,255,255,4,481.846,muyang_,3,80,-1.819,0.145,4,-363.636,0,0,0,1,1,8,장덕춘_,169.7,53,0,0,0,0,0,0,0,0,0,-0.276,-37.919,-0.424,-18.469,-20.586,-47.261,-17.665,-59.553,16.472,-48.649,11.582,-64.193,48.193,-85.69,0.23,-103.569,-39.172,-81.645,0,0,0,0,0,,0,0,0,0
6,1,1,0,2,1,0,0,0,255,255,255,5,500.029,muyang_,0,85,-0.031,0.043,0,0,0,0,0,1,1,8,장덕춘_,169.7,53,0,0,0,0,0,0,0,0,0,-0.359,-37.919,-0.194,-17.712,-19.346,-44.707,-16.879,-60.726,16.87,-49.45,11.146,-64.701,48.3,-85.963,0.348,-103.551,-39.094,-81.655,0,0,0,0,0,,0,0,0,0
7,1,1,0,0,2,0,0,0,255,255,255,6,528.074,muyang_,14,83,0.102,-1.461,2,285.138,327.409,0,0,1,2,1,하루（Haru）,190,53,529.319,142,152,23,148,112,-39.621,-11.284,0.875,-0.47,-37.46,-0.071,-17.368,-20.958,-47.372,-10.394,-62.988,22.078,-49.434,15.486,-63.15,48.395,-86.083,8.782,-106.337,-39.237,-84.248,529.674,0.115,-21.527,531.957,5,눈꽃,8.526,-62.936,1,2
8,1,1,0,0,2,1,0,0,7,255,255,7,571.367,muyang_,3,81,-1.988,0.434,1,-330.664,0,0,0,0,3,5,Chunsik03,174.7,53,0,0,0,0,0,0,0,0,0,-0.352,-37.751,-0.821,-19.982,-19.001,-40.2,-16.947,-56.781,18.761,-49.029,2.722,-61.017,48.703,-84.009,-1.764,-119.319,-41.113,-85.384,0,0,0,0,0,,0,0,0,0
9,1,1,1,0,2,0,1,0,255,1,255,8,594.79,muyang_,0,126,-3.139,-0.369,1,0,0,0,0,0,3,5,Chunsik03,174.7,53,0,0,0,0,0,0,0,0,0,-0.45,-37.759,-0.323,-17.47,-22.602,-46.646,-14.145,-57.316,18.036,-47.958,9.456,-64.056,47.982,-83.506,4.657,-101.604,-41.104,-83.278,0,0,0,0,0,,0,0,0,0
10,1,1,2,0,2,0,1,0,255,1,255,9,619.583,muyang_,10,84,-0.812,-1.537,1,0,393.81,-0.149,-18.811,0,3,5,Chunsik03,174.7,53,0,0,0,0,0,0,0,0,0,-0.431,-37.5,-0.127,-18.23,-22.543,-46.653,-12.124,-58.295,17.709,-45.564,4.162,-62.387,47.968,-83.663,0.863,-105.899,-41.095,-83.267,0,0,0,0,0,,0,0,0,0
